Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]
72	0	-1808.23	-1397.71	-410.526	5277.88	16111.7	17444.8	61935.1	inf
73	1	-1832.05	-1415.64	-416.408	5928.79	9682.61	32740.3	50063.1	inf
74	0	-1814.91	-1401.84	-413.067	4319.16	14052.8	19365.3	53393.9	inf
75	1	-1832.66	-1416.15	-416.506	5900.88	11887.5	24679.1	58728.3	inf
76	0	-1808.83	-1394.67	-414.165	5538.34	12994.7	21497.3	48051.1	inf
77	1	-1832.11	-1415.33	-416.777	4561.85	11999.7	25870.5	60399.3	inf
78	0	-1809.14	-1395.09	-414.05	5776.18	15501.8	21467.4	40246.2	inf
79	1	-1836.5	-1416.22	-420.277	6353.36	15590	29705.3	74699	inf
80	0	-1807.41	-1395.53	-411.877	10416.7	16947.3	18647.1	28409.6	inf
81	1	-1824.62	-1412.49	-412.134	4225.23	8546.12	24207.5	36400.8	inf
82	0	-1813.09	-1399.01	-414.084	7744.52	12994.8	21300.8	30645.8	inf
83	1	-1826.62	-1414.26	-412.354	4917.56	7833.81	28174.1	42365.3	inf
84	0	-1810.52	-1397.79	-412.728	7348.1	13770.6	18558	38019.8	inf
85	1	-1826.4	-1413.6	-412.798	5886.3	11346.5	23328.1	33556.2	inf
86	0	-1804.6	-1394.04	-410.563	3354.77	9322.62	14947.8	39367.1	inf
87	1	-1823.3	-1410.93	-412.377	2771.25	8136.98	26358.8	33972.3	inf
88	0	-1808.42	-1398.5	-409.913	2619.22	7020.52	12210	31017.3	inf
89	1	-1820.4	-1406.91	-413.485	2950.76	8136.98	26664.5	59068	inf
90	0	-1822.21	-1410	-412.214	1513.55	13758.1	18967.1	35135.6	inf
91	1	-1823.07	-1409.23	-413.833	5165.02	8071.21	26449	59790.1	inf
92	0	-1823.03	-1405.87	-417.166	4217.82	18019.1	30914.6	62424.7	inf
93	1	-1819.46	-1406.37	-413.088	3374.57	9013.58	28051.6	42749.1	inf
94	0	-1822.5	-1405.36	-417.15	7423.85	15419.5	27525.6	50984.1	inf
95	1	-1819.46	-1406.12	-413.332	4267.2	10145	34175.2	43655.8	inf
96	0	-1822.75	-1406.54	-416.212	5558.13	17528.4	26592.8	60303.3	inf
97	1	-1825.8	-1409.4	-416.41	4131.65	12972	36849.9	55184.7	inf
98	0	-1821.09	-1405.28	-415.81	4220.24	15747.6	25531.2	54825.2	inf
99	1	-1829.42	-1411.51	-417.911	6606.22	15682.1	33803.5	63054.8	inf
100	0	-1819.21	-1405.63	-413.581	5086.86	10056.9	18512.4	30316	inf
101	1	-1826.51	-1408.09	-418.422	6606.22	17449.6	31291	52709.7	inf
102	0	-1823.47	-1408.71	-414.753	6209.6	19942.6	24680	37694.1	inf
103	1	-1822.31	-1407.54	-414.763	11744	15588.5	27946.6	46118.6	inf
104	0	-1820.25	-1403.79	-416.46	10250.5	19213.5	26440.3	40285.9	inf
105	1	-1816.46	-1404.45	-412.007	8744.54	12187.9	18512.3	41003.6	inf
106	0	-1816.77	-1403.47	-413.296	8718.88	16681.4	20395.8	44806.3	inf
107	1	-1821.11	-1408.71	-412.408	9436.87	13767.5	22214.7	37930.1	inf
108	0	-1813.89	-1401.55	-412.334	5229	16681.4	20395.8	64900.2	inf
109	1	-1830.15	-1416.19	-413.964	12018.6	14786.5	26565.4	55202.7	inf
110	0	-1816.03	-1402.24	-413.79	4933.89	14969.6	21463.6	61237.4	inf
111	1	-1827.47	-1412.53	-414.936	9341.94	14786.5	31131.9	55202.7	inf
112	0	-1814.53	-1401	-413.535	7383.43	14833	19244.7	53031.7	inf
113	1	-1821.45	-1408.69	-412.762	12565	14786.5	22955.8	55255.1	inf
114	0	-1823.65	-1409.04	-414.614	8463.74	17729.2	21549.9	39616.6	inf
115	1	-1822.95	-1410.73	-412.22	11887.7	14786.5	21329.4	53351.7	inf
116	0	-1817.46	-1407.06	-410.4	5623.04	11835.6	14776.1	38795	inf
117	1	-1822.65	-1411.48	-411.166	5634.94	8727.72	24358.5	53519.2	inf
118	0	-1821.69	-1408.13	-413.563	9894.79	12026.4	15348.1	67521.7	inf
119	1	-1826.28	-1413.22	-413.056	2796.55	8825.26	28898.6	75458.7	inf
120	0	-1824.73	-1410.81	-413.927	4327.17	14664.1	20550.2	66398.1	inf
121	1	-1819.61	-1410.55	-409.062	1775.94	6332.76	18678.5	52559.3	inf
122	0	-1818.89	-1405.89	-413.001	6339.05	13065.8	18160.2	58676	inf
123	1	-1824.18	-1409.93	-414.245	7037.08	13818.1	24174.3	57063.5	inf
124	0	-1813.64	-1402.69	-410.955	5057.15	11579.4	15533.8	36048.2	inf
125	1	-1820.19	-1407.23	-412.963	8750.33	11885.6	26083.5	53708.7	inf
126	0	-1811.37	-1399.76	-411.61	4201.94	9668.99	14618.8	59934.5	inf
127	1	-1832.45	-1413.79	-418.663	11987.4	16657.9	29138.7	77587.2	inf
128	0	-1802.66	-1394.05	-408.607	3921.41	11668.6	14329.3	49442.3	inf
129	1	-1827.28	-1411.74	-415.546	4265.53	12509.3	27687.5	67413.2	inf
130	0	-1803.82	-1397.89	-405.931	5675.23	9612.18	10850.8	40187.1	inf
131	1	-1828.79	-1411.64	-417.157	5654.36	14769.8	30932.2	67413.2	inf
132	0	-1810.57	-1399.65	-410.925	5482.52	16185.6	18681.6	84002.2	inf
133	1	-1826.07	-1410.45	-415.618	6535.35	10852.2	26730.8	70040.2	inf
134	0	-1807.09	-1397.23	-409.859	4381.1	16307.6	18681.6	41326.7	inf
135	1	-1826.95	-1411.67	-415.278	6877.07	11773.7	28686.2	73702.5	inf
136	0	-1803.44	-1394.37	-409.063	3104.83	11938.2	16569.2	36685.6	inf
137	1	-1826.24	-1409.43	-416.808	8668.04	17030.8	38896.5	56429.3	inf
138	0	-1803.96	-1396.49	-407.477	1074.71	10294.5	14149.9	31301.8	inf
139	1	-1821.01	-1408.47	-412.532	11637.8	16820	31178.3	41272.3	inf
140	0	-1801.26	-1395.62	-405.64	3500.15	8178.46	10627.9	43994.7	inf
