Iteration	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
0	-2749.65	-2323.29	-426.359	517017	614657	151142	684710	939529	178661
1	-2577.23	-2150.14	-427.093	520610	612656	148253	684710	908216	178661
2	-2476.29	-2034.6	-441.684	564651	591316	148253	684710	908216	178661
3	-2390.07	-1958.91	-431.169	602669	584423	149720	696513	901606	175855
4	-2234.55	-1803.46	-431.097	630252	578170	149720	696513	939535	177875
5	-2188.1	-1755.79	-432.305	618209	566243	154634	703677	939044	177875
6	-2138.19	-1715.12	-423.07	622320	552968	154634	658564	911235	179671
7	-2126.84	-1704.3	-422.537	622320	552968	150303	686255	895096	188039
8	-2007.46	-1587.47	-419.99	624423	577149	149853	686255	913339	193005
9	-1995.43	-1580.03	-415.404	631710	556204	147609	687100	913339	189433
10	-2007.83	-1585.65	-422.184	633068	556204	155492	687100	913339	189339
11	-1988.6	-1568.76	-419.838	654925	562582	155490	687100	913339	177960
12	-1963.25	-1536.03	-427.22	677780	546709	164373	679138	900376	169585
13	-1861.13	-1444.2	-416.931	636080	554121	159039	666035	786165	172779
14	-1861.73	-1441.39	-420.34	641467	565530	154046	697084	793055	156048
15	-1855.31	-1438.88	-416.43	600046	542219	156542	697084	788509	156109
16	-1853.87	-1438.65	-415.216	629477	521849	154085	625774	813704	156096
17	-1860.18	-1438.75	-421.426	638727	515751	164649	649576	818264	156614
18	-1852.12	-1434.85	-417.268	649343	515979	152913	699391	847327	164232
19	-1854.32	-1431.46	-422.859	649343	494714	160113	730778	847327	164232
20	-1851.71	-1432.21	-419.503	572432	473500	157314	752727	861254	171936
21	-1849.11	-1429.13	-419.979	572432	451675	154569	782529	806887	167536
22	-1845.01	-1427.9	-417.104	591050	450592	155061	791925	792506	175267
23	-1840.35	-1422.08	-418.274	566284	470463	154860	791925	800949	183554
24	-1839.84	-1421.89	-417.945	540962	501719	154860	748557	767999	175868
25	-1840.68	-1421.1	-419.583	592121	490142	150385	719182	694484	178347
26	-1840.13	-1422.24	-417.885	584009	511345	158010	683394	670159	178347
27	-1833.14	-1420.45	-412.688	590551	544382	150948	654411	601524	170396
28	-1823.03	-1411.91	-411.127	590675	533632	150948	697469	641766	178226
29	-1823.63	-1412.23	-411.398	570117	548966	147747	633547	688362	181114
30	-1823.31	-1410.64	-412.662	563983	592847	159302	587212	711656	190383
31	-1823.24	-1406.02	-417.224	539260	622475	163433	587212	681561	195299
32	-1823.71	-1410.15	-413.561	539260	623931	151642	568743	635832	195299
33	-1824.22	-1412.24	-411.985	560015	603158	144662	592579	597335	186432
34	-1821.99	-1411.31	-410.68	604684	614916	132911	620317	595475	182305
35	-1821.45	-1410.99	-410.463	618760	593959	133194	620317	588913	182305
36	-1808.23	-1397.71	-410.526	587054	602217	132046	559398	596244	197517
37	-1814.91	-1401.84	-413.067	573580	578683	138000	614443	596244	190273
38	-1808.83	-1394.67	-414.165	642246	598659	140814	658553	596244	181044
39	-1809.14	-1395.09	-414.05	630008	641446	140814	640194	577725	182324
40	-1807.41	-1395.53	-411.877	630008	673454	145349	615230	579388	184892
41	-1813.09	-1399.01	-414.084	619634	655634	151253	604917	553147	192509
42	-1810.52	-1397.79	-412.728	612857	655634	139232	629440	538741	200765
43	-1804.6	-1394.04	-410.563	576556	686612	135194	629440	538741	199262
44	-1808.42	-1398.5	-409.913	590017	714372	136285	643557	493868	206133
45	-1822.21	-1410	-412.214	584009	714372	141681	668358	493868	209035
46	-1823.03	-1405.87	-417.166	567804	691622	135395	668358	507303	215277
47	-1822.5	-1405.36	-417.15	583085	687835	136588	672632	516905	205049
48	-1822.75	-1406.54	-416.212	599306	668128	136990	695994	508228	191526
49	-1821.09	-1405.28	-415.81	564189	657634	136990	695994	497185	198830
50	-1819.21	-1405.63	-413.581	537676	669857	133858	746950	506250	199446
51	-1823.47	-1408.71	-414.753	543442	660359	128436	797543	517127	205782
52	-1820.25	-1403.79	-416.46	552730	659038	120868	805733	535569	195908
53	-1816.77	-1403.47	-413.296	530579	659038	115934	905116	484421	217163
54	-1813.89	-1401.55	-412.334	499240	659038	123101	969292	484421	217163
55	-1816.03	-1402.24	-413.79	438284	657784	129221	954360	516271	225072
