Iteration	Posterior	Likelihood	Prior	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]
84	-1820.14	-1409.74	-410.397	532284	188347	413519	242831	610889	435633
85	-1820.65	-1407.7	-412.951	535465	190102	429093	245325	615357	414181
86	-1820.13	-1407.82	-412.305	518948	195605	429093	267635	617127	410092
87	-1820.8	-1408.27	-412.525	507303	205778	424110	278839	620386	393397
88	-1819.77	-1409.75	-410.018	507303	193252	454307	278839	632451	363145
89	-1824.87	-1408.28	-416.585	532502	192658	444115	278839	662514	363145
90	-1817.56	-1406.28	-411.28	558751	183867	444115	295926	695313	363145
91	-1823.47	-1407.8	-415.662	564880	184390	450424	295926	695313	363898
92	-1819.44	-1408.89	-410.557	564880	177633	456772	291512	658276	363898
93	-1820.02	-1411.23	-408.781	559599	176844	521293	271153	642562	363898
94	-1814.38	-1404.78	-409.602	555508	174716	521293	271153	595386	354029
95	-1822.58	-1410.01	-412.57	555508	169123	502793	271153	600996	354029
96	-1815.89	-1406.99	-408.905	548664	165764	502793	283600	600996	357235
97	-1821.72	-1412.45	-409.27	514439	157692	513464	290075	585759	372876
98	-1812.58	-1404.58	-408.002	505968	148027	477516	259978	619552	372876
99	-1813.01	-1404.09	-408.925	490522	154212	456679	248700	591369	390418
100	-1812.29	-1404.86	-407.424	513494	156612	452978	269455	511145	386336
101	-1823.9	-1410.36	-413.542	513494	145301	491245	247040	511145	387154
102	-1818.4	-1407.85	-410.549	511188	154593	491245	247040	470071	380729
103	-1815.39	-1406.94	-408.449	596389	164390	535180	278938	467884	348244
104	-1819.29	-1408.18	-411.109	548370	181166	535180	267529	534455	380290
105	-1822.26	-1407.15	-415.111	550547	181166	558845	278076	635013	353123
106	-1822.09	-1409.5	-412.593	519588	189443	592710	278076	638841	322452
107	-1825.74	-1413.34	-412.402	519588	204792	739956	297217	670369	261254
108	-1827.24	-1414.23	-413.006	548168	252648	739956	297217	573559	228692
109	-1819.85	-1408.36	-411.489	570852	275689	702286	289636	531918	207289
110	-1819.32	-1406.69	-412.634	572198	255921	796304	268411	576178	207289
111	-1818.69	-1404.48	-414.209	622185	270502	778758	240265	576178	207289
112	-1818.93	-1404.29	-414.641	622185	300901	751481	242598	610891	207289
113	-1818.35	-1405.51	-412.838	580380	320814	737494	262698	570533	224351
114	-1819.18	-1406.23	-412.954	570582	323109	737494	262698	469720	217363
115	-1819.1	-1406.07	-413.027	565362	312615	737494	298864	458481	234937
116	-1820.11	-1408.6	-411.512	570805	320477	702362	300621	427856	211740
117	-1816.86	-1406.6	-410.263	552532	340417	702362	360587	427856	203680
118	-1828.56	-1413.34	-415.212	556449	338883	862733	360587	464012	203680
119	-1819.22	-1405.76	-413.466	506963	349767	852407	325273	464012	208783
120	-1828.4	-1409.7	-418.693	506963	344566	794244	306251	499019	199008
121	-1825.11	-1408.15	-416.961	506963	288680	783024	306251	461159	199008
122	-1821.23	-1406.06	-415.175	493474	288524	856276	306251	444590	194607
123	-1822.29	-1408	-414.283	493474	309196	856276	260162	458013	194607
124	-1817.16	-1405.78	-411.378	472835	296064	822712	228484	413554	194607
125	-1821.78	-1409.79	-411.991	444121	296064	729314	222625	413554	206374
126	-1819.73	-1409.35	-410.388	444121	247380	654313	189890	353458	190790
127	-1821.52	-1410.53	-410.992	444121	254987	631953	189890	353458	200665
128	-1813.28	-1406.87	-406.415	473307	231493	678196	200268	353076	184794
129	-1814.25	-1407.39	-406.862	482599	248530	722995	200268	303811	175064
130	-1813.92	-1406.96	-406.963	454595	228722	722995	200384	362945	188964
131	-1809.45	-1405.6	-403.854	472236	272305	734736	177273	358523	216834
132	-1818.89	-1409.71	-409.181	447279	252026	693874	177273	343784	262247
133	-1814.36	-1406.81	-407.551	420351	265491	708637	156668	344778	263380
134	-1809.84	-1405.11	-404.725	420351	267984	708637	160373	389588	293539
135	-1809.63	-1405.51	-404.122	420351	244406	707191	151297	382831	317309
136	-1810.81	-1405.34	-405.47	427763	257348	754902	151297	354471	317309
137	-1814.44	-1406.48	-407.956	455332	268209	697789	151297	381025	340731
138	-1812.35	-1408.37	-403.979	428316	268707	790682	131001	402213	347687
139	-1818.13	-1411.42	-406.705	437205	236868	804511	128482	422117	351637
140	-1823.09	-1414.21	-408.887	411112	236868	921238	113963	457181	348424
141	-1817.31	-1410.17	-407.142	449632	220081	921238	122098	447817	336758
142	-1828.19	-1416.61	-411.578	449632	245336	809883	115611	499364	310744
143	-1831.16	-1419.39	-411.767	449632	237121	824251	119339	388544	310744
144	-1827.13	-1416.43	-410.703	404199	283945	836742	117343	388544	307220
145	-1821.43	-1411.84	-409.59	386717	237951	851599	113758	366764	315035
146	-1823.17	-1411.39	-411.78	330926	233005	851599	107604	417114	285935
147	-1824.53	-1412.59	-411.936	271497	249299	851599	107604	424470	285893
148	-1815.95	-1408.78	-407.168	242699	274637	930779	107604	343420	282300
149	-1814.77	-1412.66	-402.109	237450	249486	994608	101354	291395	297600
150	-1819.56	-1411	-408.563	302762	243693	846987	93007	244740	273460
151	-1817.21	-1409.72	-407.483	277943	244908	875373	86870.7	219118	269141
152	-1816.37	-1409.18	-407.191	282778	227286	875373	79661.4	207796	251822
153	-1818.42	-1414.11	-404.313	283926	230581	703423	79661.4	212399	230744
154	-1809.17	-1408.65	-400.523	269723	240799	755484	79661.4	212399	233775
155	-1825.78	-1416.62	-409.167	269729	223665	755484	85830.3	198667	222074
156	-1806.74	-1409.05	-397.69	275697	259379	775051	99218.3	218531	221868
157	-1812.59	-1408.6	-403.991	310419	250467	735950	99218.3	215740	243722
158	-1811.22	-1409.51	-401.708	322435	230322	803702	91813.3	239389	268528
159	-1813.04	-1411.35	-401.697	322435	192362	803702	94098.3	234067	308655
160	-1815.85	-1412.63	-403.219	322435	195644	738417	93215	234067	308655
161	-1823.76	-1416.78	-406.988	378128	211757	815818	89416.9	228313	282993
162	-1812.84	-1410.33	-402.511	324459	211757	849218	89416.9	228313	340353
163	-1812.23	-1409.25	-402.98	282869	202558	782992	96392.3	223170	308037
