Iteration	Posterior	Likelihood	Prior	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	p_invar	pi[1]	pi[2]	pi[3]	pi[4]	pop_size[1]	pop_size[2]	pop_size[3]	pop_size[4]	pop_size[5]	pop_size[6]	root_height
0	-2749.65	-2323.29	-426.359	0.14537	0.0957568	0.112348	0.0803005	0.372907	0.193317	7440.94	20320.3	27715.6	103490	inf	0.8634592	0.0807907	0.162365	0.61657	0.140274	517017	614657	151142	684710	939529	178661	2262346
1	-2577.23	-2150.14	-427.093	0.147538	0.0951799	0.111671	0.0827981	0.37066	0.192152	8027.43	16334.1	26282.9	168471	inf	0.8634592	0.0654745	0.187608	0.499682	0.247235	520610	612656	148253	684710	908216	178661	2175308
2	-2476.29	-2034.6	-441.684	0.139508	0.0899997	0.105594	0.046996	0.454589	0.163314	7483.36	34186.5	66258.6	150432	inf	0.8634592	0.0756799	0.187909	0.48878	0.247631	564651	591316	148253	684710	908216	178661	1150351
3	-2390.07	-1958.91	-431.169	0.133147	0.155896	0.117995	0.0525152	0.357954	0.182493	7169.91	31768.5	51113.3	116046	inf	0.8634592	0.0756799	0.187909	0.48878	0.247631	602669	584423	149720	696513	901606	175855	652254.1
4	-2234.55	-1803.46	-431.097	0.0205573	0.259328	0.0858756	0.0561708	0.382872	0.195197	15612.6	36763.9	49813.7	116046	inf	0.8634592	0.0934088	0.231929	0.369021	0.305642	630252	578170	149720	696513	939535	177875	652254.1
5	-2188.1	-1755.79	-432.305	0.0176758	0.264671	0.0697795	0.0573281	0.39076	0.199786	18204.3	35879.1	47527	124764	inf	0.9329961	0.0934088	0.231929	0.369021	0.305642	618209	566243	154634	703677	939044	177875	629009.2
6	-2138.19	-1715.12	-423.07	0.0216157	0.323665	0.0706953	0.0701063	0.269601	0.244317	10503.4	21770.2	33346	77557.4	inf	0.9558467	0.100054	0.238914	0.346184	0.314848	622320	552968	154634	658564	911235	179671	402449.2
7	-2126.84	-1704.3	-422.537	0.0127432	0.3993	0.0634864	0.0629574	0.242109	0.219403	6212.94	20863.5	32439.6	59643.9	inf	0.9558467	0.100054	0.238914	0.346184	0.314848	622320	552968	150303	686255	895096	188039	350992.4
8	-2007.46	-1587.47	-419.99	0.0106294	0.333064	0.0529551	0.0483555	0.371988	0.183008	4409.39	18155.8	29332.3	59643.9	inf	0.9558467	0.120156	0.286915	0.214824	0.378105	624423	577149	149853	686255	913339	193005	344409.4
9	-1995.43	-1580.03	-415.404	0.0107709	0.337497	0.0403482	0.0489992	0.37694	0.185444	7410.23	13298.7	18089.4	49516.8	inf	0.9558467	0.124525	0.260988	0.222635	0.391852	631710	556204	147609	687100	913339	189433	249171.9
10	-2007.83	-1585.65	-422.184	0.0106553	0.333877	0.0356544	0.0634625	0.372896	0.183455	12852.5	24211.5	31376.4	83124.9	inf	0.9558467	0.124525	0.260988	0.222635	0.391852	633068	556204	155492	687100	913339	189339	195436.6
11	-1988.6	-1568.76	-419.838	0.0125386	0.392889	0.0419563	0.0746794	0.262056	0.215881	11142	19110.2	27157.1	72061.9	inf	0.9558467	0.132617	0.280158	0.169911	0.417315	654925	562582	155490	687100	913339	177960	178462.5
12	-1963.25	-1536.03	-427.22	0.0125012	0.391718	0.0418312	0.0774384	0.261275	0.215237	12058	28034.8	44443.9	84860.5	inf	0.9558467	0.151232	0.319484	0.193761	0.335523	677780	546709	164373	679138	900376	169585	294887.9
13	-1861.13	-1444.2	-416.931	0.020287	0.381341	0.0590963	0.0753871	0.254353	0.209535	11110.4	15938.7	24996.7	52971.4	inf	0.9558467	0.295177	0.265302	0.1609	0.278621	636080	554121	159039	666035	786165	172779	224756.3
14	-1861.73	-1441.39	-420.34	0.0207468	0.389984	0.0604357	0.0544313	0.260118	0.214284	14301.8	20007.9	30263.1	69461.9	inf	0.9558467	0.312395	0.254772	0.15371	0.279123	641467	565530	154046	697084	793055	156048	226198.5
15	-1855.31	-1438.88	-416.43	0.015898	0.532553	0.0463111	0.04171	0.199325	0.164203	9616.68	16466	22104.2	50609	inf	0.9558467	0.312395	0.254772	0.15371	0.279123	600046	542219	156542	697084	788509	156109	255704.7
