Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-14507.13	-14528.27	21.13205	0.113226	0.103335	0.096719	0.09128	0.101247	0.0730194	0.1167	0.0793354	0.0712259	0.204049	0.0692961	0.0854729	0.0773832	0.107971	0.0985568	0.138393	0.129446	0.110168	0.124468	0.0770243	0.102001	0.095271	0.126218	0.0273221	0.00988896	0.0417965	0.0396489	0.0421003	0.011239	0.0359089	0.00522884	0.0470092	0.0254304	0.0272379	0.0713092	0.0399613	0.0202515	0.0307221	0.0363059	0.0315568	0.0301149	0.0293563	0.0394314	0.230907	0.269761	0.051891	0.0331149	0.402052	0.0122746	0.24665	0.220228	0.153381	0.379741	3.033628
110	-14508.4	-14529.47	21.07447	0.137267	0.126584	0.106878	0.090658	0.0868149	0.0794627	0.100508	0.0791341	0.0862911	0.162143	0.0742902	0.0838719	0.105025	0.0844342	0.112	0.126192	0.125776	0.104182	0.121347	0.0855588	0.0778358	0.066839	0.180908	0.0118651	0.0234693	0.0320372	0.0267943	0.0256166	0.0078801	0.0348928	0.00454866	0.0410982	0.029804	0.0189352	0.073394	0.0657213	0.0363692	0.0265463	0.0366453	0.0287714	0.0499626	0.0444662	0.0165671	0.23512	0.264849	0.0607359	0.0325119	0.394731	0.0120511	0.238176	0.222705	0.155107	0.384012	3.039386
120	-14502.75	-14524.21	21.46426	0.127716	0.099577	0.109705	0.0954336	0.0927412	0.0692907	0.113335	0.0665665	0.0886533	0.163486	0.0903676	0.0674656	0.102604	0.0896504	0.109067	0.126192	0.146081	0.118756	0.119804	0.0729465	0.062907	0.0772202	0.146011	0.0130195	0.0196482	0.0289452	0.0343826	0.0321211	0.0202017	0.0475238	0.00481714	0.0380444	0.0193685	0.0330163	0.0851081	0.0521213	0.0197936	0.0223984	0.0476797	0.0167537	0.0499626	0.0470157	0.0129097	0.227792	0.271417	0.0615819	0.0271679	0.404521	0.00752019	0.227591	0.229126	0.156305	0.386978	3.000407
130	-14515.3	-14535.7	20.40158	0.141	0.112558	0.123755	0.0699869	0.0841357	0.0773489	0.120151	0.0664366	0.0918337	0.184806	0.0775233	0.0844	0.0996619	0.0827689	0.0865129	0.153589	0.122385	0.0925041	0.129884	0.0863821	0.0907257	0.0764031	0.167876	0.0228356	0.0245301	0.0386475	0.0220176	0.0294679	0.0146811	0.0564281	0.00940129	0.0422564	0.019758	0.0376456	0.0757456	0.0606679	0.0270338	0.0313834	0.0600076	0.0162829	0.0383499	0.0395459	0.0173622	0.227792	0.271417	0.0615819	0.0271679	0.404521	0.00752019	0.225826	0.235104	0.155093	0.383978	3.106675
140	-14505.88	-14525.69	19.80869	0.12328	0.0950038	0.0968602	0.0843535	0.0992923	0.0768034	0.133773	0.0700706	0.0870745	0.170673	0.0834622	0.0891409	0.0851359	0.110375	0.124721	0.118726	0.149996	0.104465	0.115758	0.0863821	0.0940592	0.0767483	0.175479	0.0193509	0.0205008	0.030009	0.0223569	0.044898	0.013465	0.0500109	0.0228004	0.0401137	0.0254889	0.0350899	0.0952833	0.0520871	0.0301057	0.0228084	0.0459865	0.0185976	0.0552113	0.0504556	0.0197111	0.225854	0.273936	0.0621534	0.0221919	0.408275	0.00758997	0.226133	0.234065	0.155303	0.384499	3.165964
150	-14502.28	-14522.26	19.97594	0.12328	0.0997396	0.115514	0.11279	0.110053	0.0718136	0.132029	0.0626566	0.0913606	0.185899	0.0617126	0.0926184	0.0818358	0.110295	0.12163	0.130885	0.123853	0.124566	0.131565	0.0798335	0.0965291	0.0820025	0.173296	0.0190167	0.0135399	0.0348219	0.0325121	0.0540787	0.0156675	0.0440146	0.0162414	0.0425386	0.0259019	0.0422977	0.0595368	0.0444256	0.0184937	0.0188348	0.027384	0.0194789	0.029266	0.0537351	0.021697	0.219835	0.287427	0.060497	0.0216005	0.397394	0.0132463	0.226133	0.234065	0.155303	0.384499	3.149239
160	-14514.89	-14536.48	21.5897	0.12328	0.0931905	0.0968263	0.133912	0.0915105	0.0536826	0.0913126	0.0599158	0.0822182	0.184899	0.0673696	0.0788264	0.12076	0.0901992	0.121281	0.116846	0.104887	0.0777316	0.114121	0.0670724	0.0812454	0.0926112	0.173296	0.0112545	0.0122627	0.0368219	0.0434921	0.0428994	0.0163565	0.0515709	0.0113164	0.0355482	0.0242699	0.0255564	0.086969	0.0408692	0.0309882	0.038281	0.0301051	0.0169424	0.0288677	0.0543771	0.0321221	0.229421	0.283206	0.0596086	0.0231533	0.391559	0.0130518	0.234559	0.231516	0.153612	0.380313	2.987863
170	-14500.79	-14522.11	21.31587	0.12328	0.0915762	0.109529	0.103426	0.09905	0.0855894	0.118027	0.0803785	0.096144	0.184899	0.0741312	0.0762901	0.0837257	0.0899065	0.0970681	0.0973785	0.141483	0.115769	0.109995	0.0821104	0.0916386	0.0852946	0.174172	0.00661529	0.00817511	0.0308805	0.0353464	0.0464348	0.00847313	0.0415511	0.0145782	0.0357925	0.0195163	0.022235	0.0912102	0.0349805	0.0124061	0.0307989	0.0426999	0.0220835	0.0440917	0.0349288	0.021585	0.229676	0.286186	0.0596747	0.0194047	0.391993	0.0130663	0.234559	0.231516	0.153612	0.380313	3.015246
180	-14511.15	-14531.3	20.15315	0.147695	0.0768147	0.0983148	0.102975	0.10009	0.0992866	0.135179	0.0692886	0.0901563	0.171044	0.070883	0.0697504	0.124288	0.116406	0.110917	0.133057	0.118713	0.110368	0.1504	0.081198	0.099818	0.0876732	0.159873	0.0198452	0.0112192	0.0310698	0.0491877	0.0286867	0.012648	0.0409553	0.0253524	0.03636	0.0278221	0.0283773	0.0743103	0.045358	0.0104262	0.0247465	0.0250886	0.0195275	0.0400242	0.0408339	0.0154924	0.233523	0.29098	0.0606745	0.0197298	0.381807	0.0132852	0.234559	0.231516	0.153612	0.380313	3.131518
190	-14512.38	-14533.31	20.92892	0.12821	0.108223	0.0782767	0.11655	0.0907201	0.0722902	0.121049	0.0833976	0.0927943	0.168052	0.093337	0.054912	0.115324	0.0812677	0.115493	0.130931	0.171733	0.111396	0.114014	0.0793904	0.0844412	0.0828482	0.155646	0.0266336	0.0215401	0.0219958	0.0343832	0.0385377	0.0114932	0.0468256	0.0165722	0.0367513	0.0273986	0.0245442	0.0736653	0.0316621	0.0218386	0.0171598	0.026946	0.0247263	0.0338585	0.042721	0.0243923	0.233302	0.290704	0.0606168	0.0206613	0.381444	0.0132725	0.222798	0.242581	0.149319	0.385302	3.053941
