Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
2150	-14502.8	-14523.81	21.00923	0.0981348	0.0958512	0.106158	0.100385	0.12188	0.0603554	0.13597	0.0735473	0.0973944	0.157503	0.0835309	0.0706332	0.107449	0.0938718	0.108244	0.125368	0.165094	0.108085	0.113802	0.0756293	0.080375	0.0799473	0.140298	0.0277341	0.0230839	0.0253563	0.0268391	0.0351903	0.0141978	0.0483968	0.017236	0.0380659	0.0284732	0.0109772	0.0809963	0.0454876	0.0376516	0.0288342	0.0399371	0.0191401	0.0362485	0.0446929	0.0178645	0.215826	0.289662	0.0634631	0.0236768	0.391137	0.0162345	0.234941	0.242827	0.149179	0.373053	3.04591
2160	-14517.06	-14537.52	20.46013	0.168143	0.0969417	0.0774957	0.0970013	0.11568	0.0503542	0.132819	0.0703725	0.0910636	0.181038	0.0754697	0.084347	0.0964167	0.0932851	0.100665	0.119086	0.121972	0.0922898	0.127905	0.0702679	0.0734156	0.0812032	0.184128	0.041186	0.0199658	0.0442661	0.0316937	0.0401373	0.0208998	0.0600138	0.0153692	0.040395	0.0287226	0.00453655	0.0821273	0.0483579	0.024138	0.0391293	0.0466819	0.0224986	0.0489529	0.0317421	0.00864708	0.217277	0.29161	0.0638898	0.023836	0.393767	0.00962023	0.233451	0.241287	0.154575	0.370687	3.10082
2170	-14521.37	-14540.72	19.35115	0.112117	0.0949684	0.118038	0.0898258	0.0903249	0.0809138	0.138503	0.0778537	0.0802239	0.210926	0.0818688	0.0890413	0.113048	0.0972643	0.139526	0.143685	0.124641	0.143502	0.113221	0.0695994	0.0844905	0.0888075	0.162715	0.0206489	0.0180436	0.0271887	0.0209978	0.0417971	0.0139493	0.0430753	0.0073482	0.048579	0.0349001	0.0025516	0.10165	0.0885619	0.0212845	0.0238389	0.0351997	0.0178569	0.0418431	0.0333369	0.023962	0.216857	0.285273	0.0632709	0.0319905	0.389953	0.0126555	0.234284	0.247757	0.137331	0.380628	3.211718
2180	-14506	-14527.77	21.77549	0.131933	0.0909284	0.10072	0.111308	0.0989392	0.0626322	0.118538	0.0678498	0.0677314	0.164954	0.066747	0.0645719	0.0838551	0.0967193	0.106037	0.127412	0.114019	0.114624	0.130129	0.075801	0.0963353	0.0668409	0.171704	0.0329576	0.0275851	0.0312829	0.0359983	0.0355467	0.0163611	0.0366881	0.00616036	0.0403737	0.0187465	0.00295001	0.0996686	0.0534987	0.0317061	0.0239116	0.0331566	0.0248445	0.0392673	0.0332405	0.0150085	0.21562	0.283646	0.0629102	0.0382894	0.38773	0.0118038	0.240638	0.227356	0.141055	0.39095	2.969284
2190	-14504.37	-14525.91	21.54374	0.125908	0.101522	0.10194	0.0861693	0.0932334	0.0798812	0.124063	0.0707797	0.0850123	0.16158	0.073405	0.0765166	0.0935889	0.0851193	0.101751	0.131524	0.0958265	0.114624	0.130129	0.0809958	0.0887821	0.0909656	0.158398	0.0385492	0.0163412	0.023335	0.0304106	0.0495024	0.0234266	0.0429302	0.0147422	0.0353723	0.0183472	0.00169273	0.102687	0.0499578	0.0294299	0.0266542	0.02738	0.0112351	0.0470985	0.0375367	0.0141149	0.21462	0.282331	0.0626183	0.0381117	0.385931	0.016388	0.237423	0.226799	0.15005	0.385727	2.992459
2200	-14506.38	-14527.24	20.86015	0.115903	0.0858139	0.132047	0.0842883	0.109386	0.071628	0.109127	0.0723837	0.097359	0.184223	0.0823019	0.0605675	0.0997239	0.0901056	0.10877	0.116865	0.114102	0.125141	0.118256	0.0786352	0.100014	0.0849601	0.157516	0.0437579	0.0153821	0.029134	0.0295632	0.032975	0.0254256	0.0411111	0.011747	0.0398781	0.0317837	0.00392865	0.0888353	0.0560072	0.0216592	0.0201827	0.0319585	0.0261411	0.0444127	0.0391739	0.0286449	0.21462	0.282331	0.0626183	0.0381117	0.385931	0.016388	0.239987	0.229248	0.15167	0.379094	3.060818
2210	-14507.2	-14527.55	20.35195	0.144543	0.0989156	0.0995398	0.0906173	0.106265	0.100559	0.128116	0.0654298	0.0884734	0.176963	0.0810425	0.0850756	0.0993616	0.0774908	0.132785	0.133369	0.135133	0.101284	0.108736	0.099685	0.0977704	0.0872294	0.141806	0.0156906	0.012948	0.0463385	0.0260859	0.0287463	0.0411832	0.0483069	0.00985031	0.0417595	0.0211382	0.0113802	0.0870067	0.0563937	0.0238562	0.022782	0.0289327	0.017457	0.036207	0.0332433	0.0221426	0.218634	0.271786	0.0637894	0.0271087	0.408598	0.0100844	0.236863	0.226264	0.162714	0.374159	3.111639
2220	-14499.46	-14519.8	20.34388	0.115368	0.10078	0.100272	0.0827594	0.112714	0.0690317	0.131689	0.0845426	0.0837593	0.177668	0.0746241	0.0770244	0.0985639	0.0889346	0.106711	0.127161	0.125557	0.0932168	0.126069	0.0720562	0.115317	0.102367	0.16306	0.0334709	0.0183192	0.0298978	0.0360044	0.041708	0.0187257	0.0489629	0.0148155	0.0288038	0.0211885	0.00904539	0.0989379	0.0367871	0.0303181	0.0237214	0.0509709	0.0209324	0.0299887	0.0589065	0.0316934	0.219034	0.272283	0.0639061	0.0253281	0.409346	0.0101029	0.238215	0.227467	0.158168	0.376149	3.112445
2230	-14492.46	-14514.04	21.58358	0.111602	0.0885703	0.0959762	0.0971392	0.110723	0.0743098	0.108393	0.068342	0.0817357	0.175077	0.0653774	0.0805035	0.0948447	0.101785	0.118819	0.109226	0.110672	0.10299	0.112516	0.0845994	0.081135	0.0871372	0.158583	0.0383839	0.012818	0.0368702	0.0244443	0.0390913	0.021511	0.0522973	0.00610053	0.0468817	0.0255695	0.0210788	0.0989379	0.0367376	0.0307375	0.0357227	0.0340217	0.0211069	0.0330993	0.0288657	0.0241443	0.22094	0.274653	0.0557601	0.0255485	0.412908	0.0101908	0.237809	0.228785	0.157899	0.375507	2.988475
2240	-14512.19	-14532.4	20.21044	0.156731	0.0932418	0.0919815	0.0935622	0.117725	0.0571157	0.114135	0.068342	0.0889369	0.199371	0.069254	0.0741659	0.0859563	0.100494	0.107701	0.133497	0.109145	0.110269	0.144551	0.0826284	0.0814603	0.0697115	0.180406	0.0234174	0.0199085	0.0213695	0.0298456	0.039274	0.0165834	0.0507912	0.012099	0.0416471	0.0140199	0.0237638	0.10337	0.047439	0.0406102	0.0228609	0.0392997	0.0318471	0.0516278	0.0469382	0.0186954	0.216162	0.270597	0.0719127	0.024996	0.403978	0.0123544	0.232724	0.241772	0.159077	0.366427	3.125789
2250	-14508.27	-14529.44	21.16955	0.11753	0.0978431	0.117008	0.0914948	0.101005	0.0886338	0.108944	0.0720737	0.106326	0.165369	0.0920693	0.0594993	0.100668	0.104211	0.117085	0.120502	0.117104	0.0992246	0.119392	0.0648822	0.0864478	0.0752019	0.155226	0.0335441	0.0209413	0.0422669	0.0354796	0.0409103	0.0183103	0.0476037	0.00996577	0.0430366	0.0119777	0.0121949	0.0827747	0.0473776	0.0241454	0.0139256	0.0284691	0.0316858	0.0412308	0.0445376	0.0217616	0.215977	0.270365	0.0718511	0.0258305	0.403632	0.0123439	0.237935	0.248663	0.153562	0.35984	3.029878
2260	-14508.67	-14528.85	20.18067	0.118492	0.102466	0.104632	0.0922672	0.116808	0.0641919	0.134409	0.0824522	0.0874181	0.165369	0.0843506	0.0742794	0.116515	0.0905807	0.103862	0.144139	0.131869	0.0992246	0.119521	0.0811867	0.0735656	0.0920186	0.15671	0.0379705	0.0233569	0.0347806	0.0541883	0.0306754	0.0344779	0.036593	0.0141334	0.045176	0.022081	0.0176898	0.0726971	0.0505801	0.0302864	0.0256124	0.0315082	0.0233572	0.0341643	0.0400424	0.0330684	0.220037	0.267128	0.0542648	0.0347745	0.41122	0.0125759	0.247379	0.245553	0.151729	0.355339	3.128766
2270	-14513.11	-14533.06	19.94803	0.105273	0.102222	0.0948771	0.0954722	0.11489	0.0676754	0.107562	0.0868732	0.0771496	0.165699	0.0922697	0.0972673	0.0969177	0.12007	0.138961	0.128534	0.114657	0.108141	0.121281	0.0767604	0.107619	0.093693	0.150337	0.0211956	0.0272792	0.0281074	0.0272694	0.0313602	0.0187154	0.0612738	0.00844959	0.043588	0.0262967	0.0102527	0.0956766	0.0692153	0.030805	0.0233969	0.0395069	0.0165516	0.0310804	0.0583697	0.0194372	0.205207	0.292875	0.0551869	0.0341946	0.399928	0.0126078	0.247379	0.245553	0.151729	0.355339	3.15203
2280	-14498.92	-14519.46	20.53419	0.113004	0.116229	0.105928	0.108785	0.0934336	0.0925334	0.116498	0.0641704	0.0855753	0.179999	0.0627121	0.078699	0.0905605	0.111851	0.0936781	0.144386	0.120134	0.102835	0.12355	0.0890131	0.0772745	0.093693	0.153288	0.0271308	0.0135464	0.0389964	0.026288	0.0539893	0.0225059	0.0465303	0.0203121	0.0325287	0.0259987	0.0154055	0.0796552	0.0453074	0.030805	0.0291876	0.0370011	0.0162895	0.0388414	0.0490456	0.0262195	0.213028	0.292028	0.0576738	0.0259288	0.39877	0.0125713	0.23647	0.234725	0.150097	0.378708	3.093414
2290	-14500.64	-14521.64	21.00222	0.159501	0.114517	0.100787	0.0971602	0.0978603	0.0797015	0.116498	0.0705247	0.0750581	0.179999	0.0552765	0.0968333	0.104479	0.0876126	0.112869	0.108953	0.120134	0.105824	0.131687	0.0704492	0.0784774	0.0818409	0.147573	0.024183	0.0202176	0.0312369	0.0334407	0.0396039	0.0181839	0.0486246	0.0135672	0.0353136	0.0191597	0.00644588	0.0873977	0.0364659	0.0262226	0.0285412	0.0413716	0.0264959	0.0431695	0.0503999	0.0229542	0.212435	0.291215	0.0602962	0.0258567	0.39766	0.0125363	0.242531	0.240741	0.153945	0.362782	3.046611
2300	-14502.91	-14523.78	20.86291	0.105966	0.108548	0.0960721	0.0954204	0.108009	0.086106	0.102991	0.0711842	0.105731	0.179999	0.0704352	0.0744797	0.0825968	0.118117	0.0873304	0.126306	0.124795	0.130462	0.122728	0.0854935	0.092358	0.086459	0.160781	0.0250967	0.0141991	0.0426798	0.0331948	0.0480932	0.0150026	0.0388473	0.00783005	0.0435018	0.0145582	0.0210621	0.0771266	0.0437913	0.031186	0.0215419	0.0374111	0.0271643	0.038778	0.0354033	0.0217079	0.217192	0.279362	0.0551485	0.0266049	0.406563	0.0151293	0.240626	0.242978	0.152736	0.36366	3.060542
2310	-14504.18	-14524.19	20.01151	0.127401	0.101168	0.116773	0.0970839	0.123458	0.086106	0.100085	0.0921592	0.0891557	0.16219	0.0657375	0.0943608	0.0978574	0.101991	0.123727	0.140171	0.121557	0.103462	0.124084	0.0694571	0.0765145	0.0956543	0.192351	0.0269467	0.0167677	0.0362819	0.0420477	0.0305181	0.010319	0.0507636	0.00267159	0.0513311	0.023382	0.0101233	0.0786961	0.0507976	0.019887	0.0305246	0.0417997	0.0143687	0.0408002	0.0359227	0.0292306	0.217192	0.279362	0.0551485	0.0266049	0.406563	0.0151293	0.241882	0.244246	0.148314	0.365558	3.145682
2320	-14498.92	-14519.24	20.31779	0.127401	0.108339	0.102652	0.108354	0.106991	0.0867543	0.113128	0.0821999	0.0891557	0.174782	0.0797347	0.093632	0.0978574	0.114724	0.100099	0.121792	0.130512	0.131195	0.101266	0.088629	0.0811011	0.0831247	0.162802	0.0271	0.0159349	0.0348735	0.0351933	0.0322691	0.0181228	0.0510242	0.00563449	0.032522	0.0304422	0.0151915	0.072304	0.0468583	0.020377	0.031855	0.0398864	0.02422	0.042916	0.0398902	0.0122141	0.211467	0.300711	0.0565755	0.0272932	0.396235	0.00771893	0.241882	0.244246	0.148314	0.365558	3.115055
2330	-14516.36	-14536.07	19.70968	0.120599	0.0853676	0.0756792	0.0985034	0.0947193	0.0847365	0.1161	0.0741424	0.117318	0.195464	0.0821956	0.0967008	0.0891791	0.100876	0.0973525	0.108787	0.130512	0.112699	0.124217	0.0928637	0.0811011	0.120403	0.172957	0.0402569	0.0191232	0.0408553	0.0490817	0.0436422	0.0152947	0.0551324	0.00366616	0.0519404	0.0252096	0.0179833	0.101761	0.0470377	0.0320085	0.0262369	0.0175998	0.0209037	0.0289518	0.040866	0.0258407	0.208193	0.304824	0.0573492	0.0201552	0.401654	0.0078245	0.245071	0.234283	0.15027	0.370377	3.175865
2340	-14505.83	-14526.93	21.09792	0.118916	0.121895	0.0961439	0.117139	0.089682	0.0755683	0.114605	0.0741424	0.07948	0.1899	0.0821956	0.0823813	0.0823951	0.103097	0.106798	0.115596	0.121982	0.103335	0.114957	0.0719461	0.0885914	0.0986307	0.182139	0.0184368	0.014853	0.0341158	0.0302628	0.0403925	0.0277485	0.0498314	0.0140929	0.0519404	0.0221339	0.030329	0.0702036	0.0363952	0.0278789	0.0235139	0.0241394	0.0154465	0.0281456	0.0283159	0.0173504	0.207338	0.303571	0.0517949	0.0279207	0.400003	0.00937257	0.245071	0.234283	0.15027	0.370377	3.037041
2350	-14499.77	-14520.47	20.70015	0.118916	0.0960487	0.124479	0.112467	0.0958597	0.0728313	0.126621	0.0781562	0.0753758	0.175355	0.0915912	0.0823813	0.112157	0.0993626	0.0943886	0.118818	0.129324	0.0909642	0.119443	0.0730863	0.0743387	0.0889689	0.162961	0.0338834	0.0170773	0.0243199	0.0274365	0.0380513	0.0252283	0.0502256	0.0193615	0.0527495	0.025651	0.0280868	0.0806213	0.0415493	0.0255516	0.0218505	0.0368848	0.0201554	0.0382103	0.0362125	0.0198165	0.208418	0.277172	0.0509382	0.0280662	0.425984	0.00942143	0.245727	0.23491	0.147995	0.371368	3.076818
2360	-14503.69	-14523.93	20.24556	0.118145	0.098505	0.11526	0.093067	0.103128	0.0877691	0.130125	0.0583437	0.0863038	0.17994	0.0855214	0.0736972	0.0988251	0.0993626	0.106566	0.123479	0.129324	0.115996	0.101386	0.0951199	0.0858438	0.0924104	0.170993	0.0374539	0.0165635	0.0315035	0.0275543	0.0514045	0.0255758	0.0452425	0.00762554	0.0515294	0.0269825	0.0127188	0.0959662	0.0449596	0.0311049	0.0175098	0.0325794	0.0159989	0.0336608	0.0386635	0.0285663	0.199895	0.271373	0.0603932	0.0270965	0.417073	0.024169	0.241458	0.236239	0.148833	0.37347	3.122277
2370	-14510.76	-14531.48	20.72831	0.125205	0.0979651	0.0744425	0.119928	0.103128	0.0682594	0.113451	0.0700803	0.0824251	0.19396	0.0813594	0.0881174	0.0866936	0.0954057	0.107027	0.133335	0.138063	0.120616	0.120706	0.0650153	0.0888162	0.0874642	0.141346	0.0293387	0.017439	0.0464684	0.0275312	0.034692	0.0246764	0.0385842	0.00749417	0.0402394	0.0295808	0.0145142	0.103118	0.0589341	0.0269548	0.0398926	0.0293113	0.00648701	0.0401346	0.037541	0.018263	0.201083	0.275655	0.0578435	0.0191148	0.423653	0.0226517	0.24079	0.236447	0.148964	0.373799	3.074002
2380	-14508.55	-14529.09	20.53716	0.121338	0.0979651	0.100786	0.107935	0.0919123	0.0748388	0.11557	0.0635663	0.0931907	0.208607	0.0680758	0.0844068	0.104578	0.105968	0.114315	0.120829	0.131901	0.102214	0.11968	0.0603146	0.0982796	0.0852794	0.175977	0.0453759	0.0116748	0.0259797	0.0433278	0.0342664	0.0261351	0.0473673	0.00757953	0.0535883	0.0159336	0.00835518	0.0665173	0.0450882	0.0289207	0.0388668	0.0317791	0.012483	0.0249224	0.0471718	0.0302565	0.240479	0.261508	0.054875	0.024807	0.401911	0.0164202	0.24315	0.232433	0.154654	0.369763	3.093117
2390	-14504.62	-14525.52	20.89901	0.132446	0.103401	0.111916	0.108995	0.0974372	0.0628985	0.118119	0.0789387	0.0856612	0.190162	0.0771224	0.0788235	0.110749	0.0801994	0.1105	0.121722	0.115803	0.11354	0.117664	0.0739203	0.0651839	0.0851417	0.162148	0.0257445	0.0118304	0.0404045	0.02319	0.0503287	0.0230492	0.0489282	0.00819271	0.0353091	0.0318037	0.0122035	0.0658511	0.0454618	0.0305826	0.0474126	0.0366529	0.0134629	0.0428904	0.0477669	0.0133754	0.221204	0.297061	0.0535518	0.0242089	0.39222	0.0117548	0.22451	0.242702	0.148086	0.384703	3.056932
2400	-14502.12	-14523.41	21.28868	0.130202	0.0825953	0.11662	0.107246	0.102935	0.066131	0.118119	0.0571919	0.0828209	0.178771	0.0691703	0.0729576	0.0895771	0.105139	0.0965164	0.0981277	0.128461	0.106959	0.115053	0.0835885	0.109951	0.094337	0.162148	0.026266	0.0181596	0.0344236	0.0286244	0.0340001	0.0337822	0.0338472	0.018497	0.0381304	0.0201326	0.0176377	0.0873803	0.0533157	0.0323782	0.0320093	0.0285983	0.0138498	0.0290928	0.0450977	0.0181247	0.226886	0.294597	0.0531076	0.0228125	0.388966	0.0136311	0.242639	0.222095	0.148775	0.386492	3.017965
2410	-14499.42	-14520.45	21.03923	0.130227	0.0870707	0.0891607	0.0824999	0.128054	0.0672132	0.109956	0.0824533	0.0951586	0.178771	0.0729764	0.087715	0.100656	0.0923122	0.115105	0.130559	0.136663	0.100518	0.130861	0.0759	0.0752004	0.0813265	0.173031	0.0274615	0.0192113	0.036563	0.0290123	0.0432715	0.0161038	0.0351967	0.0111674	0.0321322	0.0137968	0.0280513	0.0780499	0.0360589	0.0179862	0.0254389	0.0397815	0.0218117	0.0304646	0.0403692	0.0375934	0.224396	0.291363	0.0525247	0.0275935	0.385921	0.0182005	0.235276	0.227405	0.152332	0.384987	3.04291
2420	-14504.78	-14526.23	21.45387	0.112816	0.110042	0.0917963	0.100869	0.105774	0.0872822	0.108865	0.0833342	0.103395	0.171915	0.0724343	0.0752643	0.0992612	0.0939628	0.121523	0.129518	0.116578	0.104684	0.11388	0.0701286	0.0670156	0.0813265	0.148066	0.020304	0.0117058	0.039961	0.0195177	0.0371272	0.0144214	0.0475778	0.0110066	0.0533852	0.0289795	0.0129619	0.0858528	0.056873	0.0255899	0.0282375	0.0330552	0.0121403	0.0406953	0.0288968	0.0234263	0.223787	0.301021	0.0542657	0.0298403	0.374586	0.0164999	0.231128	0.238729	0.159917	0.370226	3.001446
2430	-14508.88	-14529.24	20.36687	0.13421	0.100447	0.0898961	0.0936671	0.104356	0.067836	0.129189	0.0990123	0.100129	0.161589	0.0724343	0.0917647	0.0981997	0.111009	0.0967589	0.134282	0.121066	0.10465	0.127245	0.061025	0.0961036	0.104425	0.151539	0.0416289	0.0127009	0.0320036	0.0315125	0.0484305	0.0231837	0.0416695	0.0081623	0.0426148	0.0245394	0.0128065	0.0792705	0.0383617	0.0251185	0.0216677	0.0486314	0.0210651	0.0387591	0.0337083	0.0334758	0.229642	0.297572	0.053991	0.0296893	0.37269	0.0164164	0.22831	0.235819	0.157968	0.377902	3.110146
2440	-14506.24	-14527.33	21.08521	0.13461	0.0992455	0.115893	0.0891345	0.086979	0.0823877	0.124326	0.0652838	0.10437	0.172056	0.0768814	0.0660604	0.0885783	0.0997955	0.119137	0.0963337	0.111485	0.102389	0.134639	0.0724403	0.0703505	0.0662745	0.163702	0.0278231	0.0237246	0.0373214	0.0288751	0.0493257	0.0122266	0.0333398	0.0181855	0.0424171	0.0217301	0.0358051	0.0937786	0.0445308	0.0275743	0.0301402	0.043265	0.0213266	0.0369799	0.0434151	0.024175	0.23222	0.300912	0.0574969	0.0235874	0.376873	0.00891075	0.228014	0.240574	0.156654	0.374759	3.038312
2450	-14495.78	-14516.55	20.76357	0.102231	0.0924516	0.100965	0.0836512	0.114324	0.0684181	0.130175	0.0759252	0.0868486	0.180583	0.0692948	0.0736022	0.0868325	0.0998813	0.132321	0.13995	0.129085	0.106768	0.119006	0.0795912	0.0853554	0.0788508	0.159014	0.019917	0.0162419	0.036387	0.0327168	0.044088	0.034336	0.0449443	0.00782679	0.0495432	0.0227178	0.0141024	0.0878178	0.0478752	0.0310691	0.0285548	0.0445537	0.0162787	0.0391533	0.0324474	0.0247767	0.221335	0.286808	0.0610676	0.0334345	0.388862	0.00849308	0.228014	0.240574	0.156654	0.374759	3.070476
2460	-14504.06	-14523.9	19.84578	0.135	0.0900727	0.10279	0.0793152	0.0955226	0.0682767	0.130523	0.091243	0.0894107	0.174292	0.0837201	0.0868636	0.100141	0.0932865	0.116185	0.13995	0.129085	0.127149	0.11082	0.0871342	0.106585	0.0767169	0.164603	0.0235049	0.0156932	0.025829	0.0409141	0.0437753	0.0217923	0.0391887	0.0236325	0.0475446	0.0236811	0.0168315	0.0937906	0.0516999	0.0317489	0.0308749	0.0353656	0.0136621	0.0418441	0.0408475	0.0213488	0.231364	0.256527	0.0638348	0.0349496	0.406483	0.00684128	0.228014	0.240574	0.156654	0.374759	3.162255
2470	-14509.76	-14531.39	21.63535	0.118051	0.079833	0.0977843	0.0754565	0.0927441	0.0830453	0.12475	0.0733676	0.0974823	0.200738	0.0813193	0.0952767	0.0810527	0.102633	0.116185	0.123851	0.129085	0.108341	0.113575	0.0800953	0.0704942	0.0783314	0.16292	0.00961788	0.0184825	0.0261766	0.0263057	0.0431646	0.0279949	0.0306749	0.0131439	0.0272154	0.0240729	0.0178143	0.0747127	0.0547924	0.0320352	0.0242534	0.0257059	0.0155693	0.032161	0.046944	0.0260481	0.230016	0.255032	0.0634628	0.0371501	0.404115	0.0102245	0.227683	0.240225	0.156427	0.375665	2.983298
2480	-14506.29	-14527.06	20.77632	0.119578	0.0806142	0.115012	0.0933983	0.105073	0.0784378	0.111444	0.0942691	0.100461	0.203305	0.0715346	0.075372	0.114139	0.0837762	0.115693	0.11969	0.13239	0.107953	0.111281	0.0779083	0.0763563	0.0836083	0.16292	0.0179048	0.0163782	0.0278548	0.0341908	0.0344227	0.0183123	0.0379567	0.0180111	0.0325336	0.0211435	0.0213202	0.0968108	0.0510209	0.0180271	0.0391005	0.0464608	0.00714272	0.0249256	0.0443992	0.0270702	0.223023	0.310365	0.0536806	0.0269019	0.376751	0.00927872	0.227683	0.240225	0.156427	0.375665	3.069201
2490	-14508.2	-14527.71	19.50885	0.146663	0.0898978	0.0991306	0.0997327	0.0967174	0.067889	0.142897	0.0800404	0.0989975	0.182138	0.083872	0.0630617	0.116327	0.0866328	0.140809	0.13363	0.121156	0.107346	0.119534	0.0772835	0.083228	0.0900661	0.186222	0.0273512	0.0168355	0.030371	0.0515872	0.0258324	0.0251286	0.0520452	0.0138972	0.0389403	0.0266398	0.0248841	0.0834406	0.0390524	0.0356994	0.0196318	0.0460377	0.0120545	0.041752	0.0530125	0.0184827	0.214793	0.298912	0.0516996	0.0259091	0.395868	0.0128187	0.227683	0.240225	0.156427	0.375665	3.195948
2500	-14504.63	-14525.36	20.73073	0.136491	0.0967732	0.10075	0.102521	0.113961	0.0715712	0.12676	0.0643385	0.100122	0.187412	0.0779183	0.0806607	0.103216	0.0911475	0.127301	0.140949	0.134864	0.117637	0.09571	0.0762967	0.0607154	0.0702796	0.138426	0.0269568	0.0125071	0.0534058	0.0268574	0.0304594	0.0105479	0.0392343	0.0148537	0.0474779	0.0248398	0.0249488	0.0915532	0.0534054	0.0307916	0.02773	0.033899	0.0173186	0.0384266	0.0315384	0.0211862	0.216654	0.294342	0.0524928	0.0340729	0.389815	0.0126227	0.235455	0.237807	0.154852	0.371885	3.07376
2510	-14504.27	-14524.74	20.46444	0.127545	0.0805323	0.0734297	0.102431	0.113961	0.0713117	0.110001	0.0652112	0.113748	0.172669	0.0850862	0.091127	0.095887	0.11959	0.1246	0.140949	0.124868	0.124403	0.112007	0.0851698	0.0794354	0.0927774	0.144581	0.0249149	0.0209858	0.0258417	0.0354682	0.0346026	0.0225919	0.0395275	0.0122733	0.0281244	0.0218162	0.0215154	0.0868985	0.0569261	0.027005	0.0190054	0.0407727	0.0177968	0.0340857	0.0599691	0.0189477	0.224993	0.27144	0.0580011	0.0278234	0.40482	0.0129224	0.235455	0.237807	0.154852	0.371885	3.100389
2520	-14494.12	-14515.22	21.09996	0.139873	0.091117	0.100536	0.0902424	0.0922327	0.0757039	0.111812	0.0609304	0.0913708	0.159179	0.0838198	0.078464	0.104257	0.104197	0.104017	0.108603	0.146271	0.117004	0.121763	0.074776	0.0816665	0.0911736	0.173819	0.018932	0.0125527	0.0425805	0.0285728	0.0352179	0.0211677	0.0387069	0.00932661	0.0359437	0.0298872	0.0155748	0.102068	0.0420792	0.025206	0.0240942	0.0362852	0.0152655	0.0271356	0.0524719	0.0209395	0.225377	0.271903	0.0581	0.0267488	0.40551	0.0123613	0.236114	0.238473	0.155285	0.370128	3.036837
2530	-14505.94	-14525.71	19.77168	0.145438	0.0992103	0.114769	0.0784272	0.110493	0.0848654	0.126369	0.0786272	0.0780096	0.183889	0.0734878	0.0759306	0.0926333	0.0852516	0.146801	0.142369	0.140888	0.0991467	0.130197	0.0657159	0.0784182	0.099065	0.164789	0.0229507	0.024297	0.0357822	0.0171817	0.042325	0.0211634	0.0363146	0.0142658	0.0550918	0.04398	0.0233842	0.099922	0.0456146	0.0144839	0.021181	0.0435346	0.0134007	0.0316414	0.0411784	0.0271817	0.223491	0.272185	0.0576137	0.0288962	0.402116	0.0156992	0.237094	0.239462	0.151779	0.371664	3.169665
2540	-14502.79	-14523.91	21.12016	0.119606	0.0878461	0.123089	0.0904968	0.0959316	0.0589758	0.114084	0.0706323	0.0963306	0.17982	0.0755427	0.0718433	0.0865722	0.0913996	0.111752	0.142369	0.118161	0.115156	0.137427	0.0763001	0.0817006	0.106235	0.148635	0.0368715	0.0269262	0.0310086	0.0264135	0.0381765	0.0201173	0.051537	0.00836678	0.0528808	0.0198721	0.0216831	0.081385	0.0521362	0.0182827	0.0189943	0.0240215	0.0148079	0.0294672	0.0377473	0.0242169	0.225521	0.255449	0.0595407	0.0298627	0.415566	0.0140601	0.237158	0.239527	0.15182	0.371496	3.034817
2550	-14500.31	-14520.49	20.17995	0.139078	0.106901	0.0958197	0.0955682	0.111288	0.0637265	0.122006	0.0814177	0.0882009	0.191277	0.0858895	0.073654	0.0973872	0.0753709	0.110605	0.121855	0.138211	0.100714	0.130181	0.0841059	0.0817006	0.0899926	0.180563	0.0333334	0.0161909	0.0395283	0.035616	0.0359153	0.0352015	0.0445535	0.00798237	0.0393501	0.0182194	0.0111406	0.0975957	0.0481739	0.0128349	0.0267873	0.0374236	0.0293096	0.0349116	0.029727	0.0295326	0.213435	0.301334	0.0593161	0.0217597	0.393295	0.0108599	0.237158	0.239527	0.15182	0.371496	3.128838
2560	-14500.32	-14520.43	20.11168	0.139147	0.0964863	0.0843573	0.0909053	0.110445	0.0745436	0.122006	0.067911	0.0885133	0.152141	0.0857664	0.0901636	0.1047	0.087954	0.106146	0.126461	0.138401	0.110355	0.130181	0.0727491	0.0945393	0.115346	0.178148	0.019764	0.0209957	0.0397507	0.0366859	0.0397665	0.021845	0.0457024	0.00477338	0.0334179	0.029152	0.0162222	0.100982	0.0473103	0.0236179	0.0228991	0.0248796	0.0198914	0.0425303	0.0465929	0.0315189	0.213107	0.30087	0.0592247	0.0232661	0.392689	0.0108432	0.237158	0.239527	0.15182	0.371496	3.135665
