Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	lambda	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-20366.9	-20367.5	0.652093	0.124742	0.00957193	0.0612121	0.000396199	0.121316	0.453131	0.0575976	0.0073025	0.0453227	0.0316302	0.0841325	0.0329899	0.168012	0.0534127	0.255727	0.0582903	0.107358	0.0206384	0.00401916	0.0471003	0.558793	0.057443	0.0958609	0.245598	0.217943	0.0907728	0.0428311	0.165082	0.060212	0.0225597	0.0462731	0.0229959	0.0616924	0.197427	0.032303	0.323833	0.1435	0.13255	0.164627	0.213509	0.0234864	0.0268252	0.379148	0.0806853	0.349891	0.109336	0.180519	0.176627	0.102942	0.1245427	0.713826	0.0984866	0.00669773	0.18099	5.06917
10	-15887.9	-15879.3	-8.63449	0.232849	0.0519664	0.193141	0.000316802	0.149264	0.3199	0.114143	0.0133187	0.163233	0.0597046	0.143296	0.131647	0.163949	0.169447	0.157538	0.130285	0.200828	0.0299232	0.008563	0.0626071	0.489929	0.186158	0.482239	0.141458	0.130264	0.0287712	0.0365931	0.06821	0.0733274	0.0584541	0.314561	0.0339055	0.105334	0.108915	0.0356825	0.047969	0.295578	0.205181	0.24384	0.124291	0.0436393	0.00849819	0.24552	0.0219184	0.617481	0.0443913	0.0844007	0.180735	0.0510743	0.06044386	0.444989	0.328322	0.0205505	0.206138	6.004238
20	-14588.6	-14573	-15.5925	0.230136	0.111387	0.167899	0.00157608	0.211531	0.192049	0.196083	0.0678662	0.151783	0.281216	0.12188	0.173015	0.164493	0.557381	0.144432	0.207263	0.189589	0.137857	0.00794719	0.0865656	0.30986	0.114958	0.974245	0.189364	0.0257447	0.0674637	0.0220243	0.0573672	0.0590328	0.382525	0.20384	0.0768724	0.0939811	0.0467479	0.0510483	0.0824732	0.207411	0.0309731	0.109312	0.0839287	0.0647775	0.00995089	0.0298175	0.0362211	0.39228	0.0733587	0.139476	0.298672	0.0599917	0.1041109	0.436481	0.340488	0.020219	0.202812	6.695669
30	-14102.3	-14078	-24.3511	0.219303	0.16768	0.162996	0.0127131	0.264746	0.20667	0.257796	0.154913	0.171951	0.28398	0.156489	0.113886	0.15138	0.653282	0.23168	0.305619	0.238537	0.244239	0.0119874	0.0850699	0.196616	0.136444	1.05912	0.175528	0.0269965	0.0936696	0.0125551	0.0537494	0.0581624	0.415139	0.254761	0.0452596	0.0626314	0.04517	0.056321	0.147404	0.264811	0.109167	0.0500489	0.0970732	0.0307672	0.0369574	0.0480237	0.0262082	0.442659	0.0681716	0.10089	0.357685	0.00438619	0.1065089	0.408996	0.339949	0.0610133	0.190041	7.571288
40	-13859	-13830.1	-28.9102	0.229949	0.160248	0.18224	0.017916	0.322047	0.226611	0.309433	0.14588	0.175988	0.318962	0.124082	0.160867	0.272901	0.6847	0.216397	0.33081	0.241655	0.21864	0.0256559	0.0735505	0.156088	0.0854615	1.26574	0.22575	0.140636	0.15947	0.0207044	0.0710961	0.0827298	0.0286831	0.170922	0.021349	0.0403801	0.0556471	0.121062	0.083459	0.323644	0.174967	0.0385438	0.0677218	0.0470644	0.0804942	0.128118	0.0313971	0.396686	0.0854295	0.0550468	0.428501	0.00293955	0.09595754	0.405267	0.33685	0.0695751	0.188309	8.02826
50	-13655.6	-13629	-26.5655	0.29074	0.213263	0.206448	0.0160653	0.221925	0.109564	0.196152	0.125918	0.133638	0.255759	0.0817937	0.16208	0.267655	0.497724	0.246932	0.31993	0.266969	0.270552	0.122749	0.0991268	0.183628	0.108152	1.42488	0.128535	0.0897533	0.130803	0.0780803	0.0286731	0.0432023	0.0352671	0.272516	0.00837809	0.155668	0.0571447	0.0488456	0.0981786	0.274641	0.135049	0.0682775	0.0563855	0.00539782	0.147566	0.109892	0.0472725	0.354517	0.0763482	0.0491953	0.461019	0.0116483	0.09487319	0.35323	0.366323	0.0756626	0.204785	7.793898
60	-13642	-13607.9	-34.1133	0.339883	0.236067	0.217803	0.0233891	0.246942	0.141921	0.288807	0.14318	0.244817	0.326543	0.123619	0.174992	0.255665	0.497724	0.247388	0.422713	0.301831	0.246636	0.281359	0.188026	0.226438	0.162486	1.20047	0.0698225	0.0812581	0.1125	0.0837971	0.0173354	0.0328871	0.0677086	0.27776	0.00664236	0.183893	0.048326	0.142754	0.0765685	0.284028	0.113425	0.0341858	0.0344401	0.0119484	0.226331	0.10438	0.0450597	0.35403	0.0776087	0.0257706	0.460386	0.0371447	0.09474053	0.332559	0.360829	0.0761996	0.230413	8.548692
70	-13569.9	-13537.4	-32.4867	0.297674	0.195679	0.288945	0.0603339	0.234482	0.129267	0.260073	0.180794	0.18413	0.331307	0.14447	0.131256	0.171021	0.462597	0.258541	0.420787	0.323043	0.28705	0.26558	0.119034	0.206523	0.140331	1.23885	0.0799321	0.0610787	0.137475	0.060062	0.0239182	0.0340533	0.0588449	0.229329	0.0109362	0.187341	0.0513229	0.0454976	0.104176	0.269537	0.139736	0.0520196	0.0310616	0.0263288	0.331294	0.120318	0.043824	0.368096	0.0791298	0.0250639	0.44776	0.0361261	0.09474053	0.337462	0.36615	0.0773232	0.219065	8.38603
80	-13512.5	-13481.1	-31.3722	0.335672	0.154034	0.256305	0.135501	0.281183	0.142755	0.212413	0.199864	0.148781	0.300296	0.141353	0.126008	0.261177	0.29837	0.20331	0.420787	0.299291	0.287157	0.246118	0.128196	0.186942	0.190488	1.32234	0.0906053	0.0715406	0.0782516	0.0316151	0.0123191	0.0211338	0.0832017	0.259582	0.0757067	0.196213	0.0654926	0.0317246	0.058934	0.167064	0.0694181	0.0536612	0.050116	0.176807	0.296311	0.105598	0.044759	0.375949	0.0651629	0.0097587	0.457313	0.0470581	0.1040923	0.337633	0.366056	0.0773033	0.219008	8.27364
90	-13507.6	-13469.5	-38.0695	0.335672	0.179075	0.222819	0.129377	0.34119	0.118383	0.213099	0.132293	0.257669	0.44148	0.162788	0.129262	0.286511	0.226637	0.27257	0.370666	0.423628	0.25602	0.321073	0.108762	0.173308	0.146213	1.3826	0.082278	0.106596	0.0473567	0.0507679	0.0194228	0.0205625	0.0814847	0.341259	0.0927513	0.150542	0.0800248	0.0365515	0.0539112	0.228674	0.107529	0.0509497	0.025646	0.155473	0.433775	0.147522	0.0443867	0.360745	0.0677957	0.00680189	0.475789	0.044481	0.09605569	0.326486	0.372216	0.0786043	0.222694	8.944173
