Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
100	-13405.8	-13387.4	-18.4837	1.034201	0.196862	0.145394	0.135847	0.0839132	0.228018	0.0857605	0.17095	0.111726	0.114304	0.293488	0.105483	0.126641	0.158237	0.12536	0.226114	0.218562	0.236829	0.187098	0.172802	0.126033	0.132478	0.09141	0.298381	0.126401	0.0764468	0.0154678	0.0427836	0.0265805	0.0726866	0.0617864	0.0284595	0.128863	0.122708	0.10188	0.0860162	0.0287342	0.0305845	0.05337	0.0550032	0.0629229	0.0854707	0.00174143	0.17354	0.0677426	0.273149	0.0645133	0.01339	0.533566	0.0476388	0.3754324	0.316588	0.345232	0.104118	0.234062	0.143727	0.486796	1.00544	2.36403	5.153137
110	-13401.7	-13378.6	-23.0977	1.165543	0.212135	0.112108	0.181616	0.087089	0.27107	0.127534	0.223033	0.126091	0.138136	0.254037	0.100908	0.1395	0.163449	0.199128	0.171722	0.271295	0.249588	0.182574	0.166507	0.0907078	0.148302	0.0917601	0.437632	0.117979	0.0528527	0.0487669	0.0171688	0.0668317	0.0860986	0.0407113	0.0434289	0.139988	0.231504	0.0725875	0.0392656	0.0353175	0.040267	0.0539822	0.0475654	0.0485114	0.0977414	0.0213663	0.166675	0.0556691	0.287283	0.0677456	0.016796	0.547998	0.0245084	0.3754324	0.316379	0.345235	0.104322	0.234064	0.168753	0.521421	1.0228	2.28702	5.61453
120	-13403.5	-13381.7	-21.7363	1.135617	0.296643	0.153744	0.127971	0.135923	0.240076	0.131016	0.204953	0.139327	0.127818	0.245362	0.0930461	0.120596	0.173417	0.229533	0.197994	0.22802	0.213011	0.175492	0.223953	0.0809553	0.154166	0.0769442	0.331015	0.164567	0.0994828	0.0290558	0.0148992	0.0434238	0.055933	0.0605328	0.0286343	0.109395	0.11904	0.0988956	0.0320248	0.0362722	0.0554221	0.0631672	0.0505093	0.0344019	0.0911676	0.0262107	0.164385	0.0582434	0.302065	0.0712115	0.0203639	0.501564	0.0465528	0.3754324	0.294357	0.39081	0.097061	0.217772	0.163192	0.514036	1.01928	2.30349	5.478392
130	-13395.7	-13370.4	-25.3522	0.9454577	0.305648	0.143638	0.188767	0.121992	0.18462	0.121938	0.183078	0.119052	0.14342	0.299198	0.085742	0.136106	0.167394	0.23987	0.200737	0.279182	0.266683	0.192367	0.228067	0.0729306	0.107423	0.107838	0.45308	0.124508	0.0806697	0.0319121	0.00504347	0.0586749	0.0718127	0.0568365	0.0399267	0.16388	0.135577	0.13765	0.0869968	0.0327203	0.0167524	0.0498429	0.0225756	0.0419706	0.0795468	0.0434783	0.210838	0.0621134	0.335748	0.0622915	0.0146339	0.487532	0.0376809	0.3582054	0.312913	0.372443	0.083145	0.231499	0.125947	0.459721	0.99034	2.42399	5.839983
140	-13400.5	-13370.1	-30.4612	0.9226416	0.287198	0.196842	0.168244	0.115305	0.18893	0.163704	0.244539	0.164159	0.106415	0.407591	0.109212	0.13154	0.205814	0.170728	0.247201	0.303955	0.280646	0.263174	0.190506	0.106724	0.160988	0.0735748	0.368866	0.178464	0.0746412	0.032157	0.0069344	0.0244765	0.0808365	0.0992258	0.0621888	0.119964	0.254759	0.0855172	0.105034	0.050376	0.00746103	0.0471803	0.0556291	0.0724636	0.111265	0.0269583	0.199494	0.0440379	0.378044	0.0647776	0.0214489	0.463433	0.0282579	0.3582054	0.315834	0.37592	0.0745851	0.233661	0.121272	0.452198	0.985898	2.44063	6.350882
150	-13392.4	-13365.3	-27.0562	0.9760684	0.302208	0.135146	0.165285	0.10202	0.191225	0.163704	0.240459	0.21381	0.131453	0.386796	0.0807047	0.119328	0.194874	0.236738	0.22077	0.259083	0.271327	0.218717	0.222762	0.105634	0.13008	0.0848015	0.340627	0.178464	0.0608457	0.0459547	0.00225369	0.0372438	0.0616351	0.0448536	0.0768142	0.131137	0.181201	0.0964339	0.0466536	0.0427032	0.0269925	0.0490527	0.0167611	0.065312	0.124212	0.0308203	0.173486	0.0446466	0.362731	0.058532	0.0185405	0.469839	0.0457112	0.3582054	0.331382	0.367377	0.0728901	0.228351	0.132154	0.469438	0.995919	2.40249	6.010381
160	-13395.2	-13357.7	-37.4223	0.8722538	0.302208	0.164772	0.176203	0.149226	0.209529	0.135161	0.253845	0.155135	0.16799	0.349869	0.112495	0.167489	0.224946	0.289899	0.224991	0.271622	0.356796	0.216536	0.232797	0.0671739	0.175822	0.0954632	0.698373	0.168279	0.137121	0.044364	0.00192306	0.0428464	0.10177	0.0568588	0.0646799	0.183696	0.223664	0.10235	0.0603851	0.0273803	0.0279683	0.0690251	0.0267047	0.0778482	0.156929	0.0470037	0.227852	0.0425001	0.328969	0.0517396	0.0192838	0.513994	0.0435135	0.3764203	0.352181	0.355949	0.0706227	0.221247	0.110815	0.434676	0.975127	2.47938	7.046992
170	-13394.7	-13360.1	-34.5883	0.8918821	0.299193	0.174062	0.218746	0.113481	0.235934	0.131719	0.233034	0.159698	0.1316	0.390878	0.12436	0.133362	0.24447	0.269431	0.21816	0.253304	0.242037	0.208498	0.283225	0.0934206	0.176362	0.0943523	0.472795	0.172101	0.176739	0.0241733	0.016503	0.0721843	0.049478	0.0719878	0.0278618	0.183696	0.179453	0.114402	0.140822	0.0192377	0.0493706	0.0966601	0.0202359	0.0725805	0.159591	0.0278373	0.186558	0.0347225	0.345191	0.0596598	0.0313017	0.490451	0.0386742	0.3531217	0.352547	0.356319	0.069657	0.221477	0.114909	0.441655	0.97949	2.46395	6.763594
180	-13396.9	-13360.8	-36.1237	0.8037947	0.289043	0.176383	0.195504	0.138584	0.206309	0.13322	0.284586	0.174362	0.131662	0.408993	0.140368	0.0904587	0.194481	0.187279	0.173266	0.337525	0.332986	0.262965	0.226131	0.0936757	0.167701	0.107466	0.494675	0.102134	0.175747	0.0307063	0.0285258	0.0361722	0.112178	0.0439733	0.0564572	0.156697	0.225156	0.0775139	0.110136	0.0440261	0.0566286	0.0967729	0.0325052	0.0846124	0.177968	0.0203966	0.301199	0.0318389	0.403468	0.0516408	0.027869	0.449721	0.0354624	0.3531217	0.352547	0.356319	0.069657	0.221477	0.096366	0.408657	0.958001	2.53698	6.917132
190	-13392.7	-13356	-36.6331	0.7939605	0.319599	0.173865	0.193145	0.11313	0.212456	0.151702	0.255919	0.199217	0.150491	0.271296	0.141421	0.121767	0.279341	0.229986	0.191825	0.33958	0.287238	0.206687	0.217561	0.0828276	0.156914	0.106749	0.494675	0.256881	0.141895	0.0341709	0.0156925	0.040813	0.0888386	0.0116404	0.075598	0.212149	0.259624	0.0821567	0.110357	0.037626	0.0425697	0.0765409	0.0118561	0.0651177	0.172167	0.0206312	0.314362	0.0358682	0.401221	0.0519778	0.0225839	0.452655	0.0356938	0.3571532	0.355608	0.351318	0.0702618	0.222812	0.094273	0.404691	0.955267	2.54577	6.968079
200	-13397.3	-13363.6	-33.7093	0.7746213	0.289446	0.140879	0.171653	0.144612	0.16652	0.184264	0.302746	0.186808	0.125013	0.271366	0.153042	0.154947	0.23357	0.174263	0.179255	0.344439	0.221234	0.222472	0.218526	0.130722	0.199218	0.0871507	0.554568	0.217971	0.10449	0.0198702	0.0271128	0.0982126	0.0735878	0.0220792	0.0860585	0.150067	0.220228	0.107876	0.0562592	0.0136665	0.0789961	0.0797778	0.0239556	0.0494074	0.186838	0.0247153	0.177814	0.0387573	0.380093	0.0413076	0.0180784	0.483198	0.0385656	0.3571532	0.363986	0.362216	0.0719171	0.201881	0.0901481	0.396712	0.949667	2.56347	6.675698
210	-13397.1	-13355	-42.1007	0.7672775	0.282887	0.168282	0.195861	0.183148	0.222502	0.140917	0.409361	0.130356	0.180728	0.365736	0.160425	0.130816	0.258677	0.240003	0.233203	0.386827	0.291996	0.230711	0.286857	0.12994	0.157638	0.132429	0.56791	0.235483	0.114476	0.0214792	0.0776344	0.0440812	0.0650268	0.0139497	0.075194	0.204216	0.29981	0.0827443	0.113169	0.0161921	0.0522634	0.0942709	0.0192668	0.0718856	0.168884	0.0480796	0.209522	0.0338592	0.377348	0.0410093	0.0297875	0.479709	0.0382871	0.3540916	0.349749	0.371103	0.0723136	0.206835	0.0885793	0.393618	0.947459	2.57034	7.514838
220	-13393.2	-13357.1	-36.0789	0.9281221	0.328273	0.174383	0.169312	0.141073	0.155876	0.196912	0.257248	0.18158	0.203071	0.392075	0.16104	0.134302	0.169022	0.243948	0.233405	0.373807	0.307325	0.193217	0.246169	0.111476	0.148191	0.140084	0.467508	0.171823	0.145535	0.0408519	0.00513636	0.0456686	0.0235702	0.0362206	0.0785768	0.187134	0.198552	0.0790407	0.0681191	0.0546779	0.0582295	0.0672348	0.0110827	0.0773606	0.212054	0.0221979	0.200295	0.0350417	0.386211	0.0505347	0.0304871	0.442087	0.0556382	0.3540916	0.344912	0.36597	0.0713134	0.217805	0.122398	0.454027	0.986988	2.43659	6.912655
230	-13384.8	-13352.6	-32.1216	0.7827754	0.305099	0.159989	0.234263	0.0838529	0.219785	0.137125	0.235909	0.127328	0.138369	0.388059	0.0785709	0.136684	0.210825	0.248729	0.222132	0.296335	0.251999	0.178954	0.209291	0.087142	0.145978	0.109738	0.549428	0.218822	0.154186	0.0291461	0.016806	0.0410631	0.0606654	0.0755229	0.0603699	0.131438	0.266962	0.11911	0.0673177	0.030187	0.026325	0.0504958	0.00208427	0.0482845	0.149142	0.0147289	0.198687	0.0354853	0.390022	0.0511743	0.0192925	0.447683	0.0563425	0.3846329	0.351128	0.362497	0.0706367	0.215738	0.0918886	0.400106	0.952065	2.55594	6.516928
240	-13391.6	-13356.5	-35.1632	0.7480639	0.326221	0.127949	0.197602	0.146674	0.217823	0.192087	0.244129	0.163299	0.154916	0.374279	0.151191	0.147806	0.176559	0.191513	0.240588	0.296335	0.256916	0.244674	0.236726	0.136173	0.206177	0.0966082	0.497148	0.185692	0.147995	0.0616155	0.0756235	0.0384193	0.033703	0.0507443	0.0335803	0.138462	0.226693	0.0846903	0.0576272	0.0554285	0.0423285	0.0867635	0.00206642	0.0709052	0.130089	0.024412	0.250852	0.0347043	0.381438	0.050048	0.0308039	0.461733	0.0412728	0.3306854	0.351792	0.363182	0.0688794	0.216146	0.0844703	0.385352	0.941456	2.58872	6.821085
250	-13391.1	-13354.4	-36.6731	0.9025806	0.336853	0.158961	0.212483	0.127453	0.231406	0.176875	0.353434	0.155396	0.180677	0.361131	0.101766	0.136984	0.202524	0.23124	0.197379	0.268128	0.383922	0.211841	0.221387	0.114287	0.127101	0.122118	0.519635	0.209419	0.108096	0.0363227	0.0849	0.0651788	0.054609	0.0330452	0.0301381	0.156361	0.22133	0.104774	0.0705254	0.042873	0.062893	0.127733	0.00205078	0.0585088	0.157201	0.0385112	0.174626	0.0350606	0.379307	0.0497685	0.0200516	0.459154	0.0566582	0.3743683	0.350533	0.361882	0.0722125	0.215372	0.11713	0.445376	0.981776	2.45572	6.97208
260	-13393.2	-13366.1	-27.0947	0.8227922	0.282635	0.162822	0.159367	0.140255	0.142841	0.128084	0.210981	0.129766	0.119458	0.332246	0.132133	0.140411	0.178887	0.207301	0.188397	0.250413	0.279236	0.213515	0.246011	0.0998591	0.190361	0.103095	0.393083	0.170263	0.119081	0.0435591	0.040208	0.0671842	0.0173324	0.054798	0.0498053	0.117758	0.146429	0.070843	0.0566837	0.00860025	0.0388367	0.0583961	0.00119856	0.0437637	0.157819	0.0750031	0.245518	0.035464	0.375997	0.053621	0.029	0.448607	0.0573101	0.3884429	0.357368	0.358074	0.0714525	0.213106	0.100399	0.416151	0.963076	2.52037	6.014234
270	-13388.9	-13358.4	-30.5066	0.8924988	0.288938	0.17083	0.188061	0.135922	0.170019	0.166914	0.20934	0.116092	0.164008	0.304565	0.116	0.10299	0.206437	0.188362	0.157503	0.262651	0.264771	0.20427	0.242104	0.0778342	0.181807	0.158254	0.508348	0.17652	0.118503	0.0225853	0.0648184	0.0769199	0.0452603	0.0718563	0.0698903	0.140323	0.230396	0.0998996	0.0854195	0.0130675	0.0726835	0.0604826	0.00483571	0.0612275	0.124068	0.0252976	0.205351	0.035464	0.375997	0.053621	0.029	0.448607	0.0573101	0.3823766	0.358642	0.35935	0.0681424	0.213865	0.115037	0.441872	0.979623	2.46347	6.355425
280	-13391.3	-13355.2	-36.0645	0.8688141	0.268619	0.140452	0.205562	0.16566	0.247173	0.1272	0.227192	0.176213	0.119122	0.336086	0.0996965	0.156568	0.243966	0.225367	0.218924	0.289264	0.311991	0.212359	0.208568	0.084925	0.154974	0.108247	0.564377	0.339443	0.0548434	0.0516578	0.0339667	0.0745676	0.0699049	0.0754063	0.0507574	0.165629	0.212596	0.0659175	0.114654	0.0145252	0.0668235	0.0834245	0.0518894	0.0500898	0.164231	0.0417711	0.236616	0.0352198	0.368871	0.050539	0.030139	0.461215	0.054016	0.3903133	0.363498	0.35359	0.0661506	0.216761	0.110095	0.433431	0.974339	2.48213	6.91122
290	-13397.4	-13358.2	-39.1639	0.8598937	0.308037	0.148941	0.189406	0.142769	0.233213	0.152753	0.19954	0.133659	0.166385	0.393525	0.12038	0.108372	0.286457	0.253716	0.259261	0.3605	0.301082	0.249385	0.243075	0.125054	0.139525	0.128428	0.63874	0.268309	0.140005	0.0594318	0.0147729	0.0423355	0.0432744	0.108716	0.0850799	0.103613	0.312403	0.0617111	0.0593419	0.00921489	0.0737782	0.0761956	0.0261193	0.0818373	0.110361	0.0204424	0.242011	0.034923	0.318952	0.050113	0.029885	0.512323	0.0538045	0.3668075	0.36039	0.350567	0.0741344	0.214908	0.108225	0.430175	0.972263	2.48934	7.221158
300	-13394.5	-13350.9	-43.69	0.815416	0.363847	0.214314	0.281154	0.160339	0.240194	0.14197	0.305808	0.156184	0.151844	0.468017	0.155487	0.13477	0.255758	0.322825	0.207056	0.308951	0.340713	0.275594	0.265297	0.0963482	0.194825	0.111218	0.530486	0.2287	0.0916735	0.0932321	0.0328568	0.0519213	0.0367092	0.0245952	0.0692273	0.14691	0.309426	0.0998308	0.105747	0.00123127	0.0518608	0.0576887	0.0212835	0.0566329	0.226642	0.0304215	0.254177	0.032956	0.323258	0.0499061	0.020108	0.51924	0.054531	0.3628712	0.360544	0.350717	0.0737388	0.215	0.0988346	0.413267	0.961137	2.52676	7.673767
310	-13401.2	-13357.7	-43.4541	0.6427252	0.381783	0.197161	0.208167	0.158677	0.240194	0.163838	0.305808	0.177733	0.156097	0.45282	0.156971	0.0870505	0.279199	0.267314	0.257878	0.314232	0.261635	0.227007	0.225234	0.150143	0.148299	0.110247	0.596553	0.233802	0.110768	0.0371615	0.016582	0.0727319	0.0766378	0.0945213	0.114369	0.172255	0.309489	0.0860814	0.117626	0.0199106	0.0747293	0.079314	0.0113849	0.0496375	0.180071	0.022711	0.246349	0.0211127	0.327492	0.0602979	0.0285689	0.507283	0.0552452	0.2936473	0.378595	0.340817	0.0716572	0.208931	0.0620229	0.335205	0.901643	2.70113	7.650173
320	-13409.1	-13370.5	-38.6799	0.5530723	0.329459	0.157782	0.162676	0.140545	0.230101	0.121073	0.237422	0.139051	0.135343	0.417471	0.100589	0.128492	0.241942	0.249445	0.270324	0.316999	0.24282	0.265002	0.318301	0.0705349	0.115885	0.102355	0.596553	0.240034	0.141085	0.0151887	0.0132941	0.0439631	0.0699035	0.0850796	0.0981714	0.179228	0.168232	0.10023	0.149059	0.0139032	0.0652081	0.0559342	0.0731336	0.0668702	0.198884	0.0429763	0.262212	0.0325469	0.342567	0.0420518	0.0317379	0.512939	0.0381573	0.2936473	0.379062	0.33656	0.0717456	0.212633	0.0435974	0.285158	0.85535	2.81589	7.172755
330	-13408.1	-13366	-42.041	0.6082758	0.340224	0.178615	0.221523	0.142351	0.260219	0.130897	0.35068	0.251346	0.130879	0.398381	0.0726375	0.189277	0.251341	0.34349	0.200204	0.347822	0.325793	0.243751	0.237481	0.131238	0.142081	0.109846	0.535309	0.17579	0.0998142	0.0429941	0.021004	0.067405	0.0330416	0.052035	0.119889	0.124907	0.333833	0.108487	0.132549	0.0185694	0.0555942	0.110157	0.0447243	0.0615497	0.172159	0.0166847	0.182292	0.032522	0.322033	0.0508674	0.0317137	0.512548	0.0503167	0.2913714	0.373552	0.342271	0.0715513	0.212626	0.0548193	0.316841	0.885483	2.74286	7.508862
340	-13399.3	-13361.3	-37.9949	0.5731234	0.330621	0.15403	0.175005	0.12732	0.260364	0.0981306	0.263581	0.170297	0.135837	0.434169	0.159029	0.167952	0.251341	0.276877	0.19492	0.283759	0.247295	0.201592	0.272704	0.0705817	0.199321	0.141305	0.464663	0.276271	0.0995435	0.0364349	0.0160574	0.0512819	0.0704684	0.0823011	0.0782154	0.141005	0.301713	0.132019	0.106838	0.0330066	0.0387389	0.0611147	0.0578801	0.0632673	0.138853	0.0172948	0.221261	0.0325354	0.322165	0.0448835	0.0317267	0.512758	0.0559321	0.2913714	0.37467	0.343295	0.0687738	0.213262	0.0476164	0.296998	0.866962	2.78842	7.104258
350	-13410.4	-13365.2	-45.2632	0.5772083	0.348599	0.202029	0.200251	0.234129	0.28626	0.209544	0.22187	0.181862	0.15796	0.404776	0.120434	0.133379	0.29449	0.279302	0.205483	0.364907	0.362203	0.264381	0.266158	0.146906	0.154709	0.129638	0.509086	0.260169	0.113751	0.054516	0.0235907	0.0580796	0.0815267	0.0805164	0.0645346	0.272532	0.263942	0.0925232	0.0542643	0.0573063	0.0773009	0.104471	0.0796671	0.0220356	0.165044	0.00911144	0.217846	0.0354424	0.377712	0.0431069	0.029206	0.453603	0.0609296	0.3175704	0.364969	0.348621	0.0698408	0.21657	0.0484439	0.299363	0.86923	2.78296	7.831083
360	-13405	-13366.9	-38.0373	0.7618066	0.244194	0.149551	0.269819	0.111334	0.177628	0.139164	0.300474	0.201613	0.123142	0.37968	0.130805	0.147091	0.226133	0.254171	0.198321	0.319492	0.312042	0.253424	0.234419	0.0961098	0.224591	0.119953	0.473401	0.227698	0.131661	0.0395234	0.0377038	0.0350539	0.0679354	0.0418595	0.0895981	0.229739	0.255286	0.112542	0.0296227	0.0537049	0.0721263	0.053553	0.0320041	0.0290054	0.234998	0.0110977	0.237235	0.0359601	0.360843	0.0437366	0.0296327	0.460229	0.0695991	0.3175704	0.36492	0.348574	0.0699655	0.216541	0.0874098	0.39129	0.945783	2.57552	7.108498
370	-13399.6	-13355.7	-43.9425	0.7716693	0.33652	0.148713	0.23297	0.10602	0.223666	0.163582	0.261043	0.148946	0.17196	0.449023	0.118318	0.160341	0.298517	0.203826	0.223576	0.443507	0.322554	0.274614	0.285877	0.0720188	0.224591	0.133717	0.572229	0.163517	0.101234	0.0603319	0.0131086	0.0819004	0.0718591	0.059134	0.0499977	0.147328	0.283016	0.156784	0.104497	0.044809	0.0633857	0.0512944	0.0277455	0.116356	0.194929	0.045463	0.286196	0.0301486	0.334861	0.0579451	0.0256784	0.512461	0.0389062	0.3675851	0.351219	0.375182	0.0668132	0.206785	0.0895176	0.395473	0.948785	2.56622	7.699014
380	-13398.9	-13353.9	-44.9479	0.7756008	0.370665	0.142605	0.163504	0.150012	0.219762	0.21567	0.257924	0.139395	0.161973	0.481365	0.125797	0.128764	0.245103	0.267909	0.223576	0.348161	0.328618	0.303847	0.306185	0.0914147	0.189012	0.108465	0.577532	0.30214	0.196225	0.0751745	0.0218269	0.0662338	0.0640794	0.075764	0.0500449	0.181755	0.3468	0.103927	0.0653904	0.0483687	0.0337559	0.133109	0.0284252	0.0742887	0.159326	0.0144635	0.211195	0.021968	0.339811	0.0552338	0.037047	0.488482	0.0574587	0.3398463	0.351219	0.375182	0.0668132	0.206785	0.0903573	0.397122	0.949958	2.56256	7.799552
