Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-20949.9	-20936.7	-13.2564	1	0.0688049	0.210909	0.00261489	0.0202041	0.0218407	0.0292462	0.129836	0.0816102	0.328078	0.110967	0.0363784	0.0651112	0.113496	0.0382677	0.0619099	0.0151493	0.600213	0.103029	0.0464332	0.00793779	0.181082	0.0186523	0.155325	0.0565808	0.304493	0.0965482	0.00566167	0.091845	0.0925044	0.0587004	0.206644	0.317436	0.12782	0.0824976	0.0800487	0.0451614	0.0970536	0.0674273	0.0792707	0.0712407	0.00365555	0.0960836	0.202634	0.0274727	0.183351	0.351831	0.141175	0.189054	0.107116	0.3512992	0.439576	0.0848791	0.374953	0.100592	0.136954	0.476752	1	2.38629	4.630402
10	-15274.6	-15268	-6.63279	0.7297321	0.0868298	0.259489	0.00490129	0.0479584	0.0257717	0.0902835	0.324856	0.0548983	0.0889661	0.169573	0.0722034	0.109427	0.134131	0.0642526	0.109682	0.0667319	0.194305	0.116956	0.0613021	0.0617964	0.146516	0.0249081	0.196743	0.00819523	0.158831	0.037607	0.00945451	0.0814454	0.0560546	0.0755988	0.175187	0.196744	0.107391	0.127451	0.0543036	0.0382442	0.0840372	0.0403527	0.0153377	0.0522745	0.00813411	0.00517719	0.123743	0.268819	0.192562	0.0961402	1.94902e-07	0.441803	0.000675097	0.3034459	0.195282	0.287925	0.273755	0.243039	0.080547	0.377227	0.935407	2.60682	3.968044
20	-14745.3	-14731.8	-13.5052	1.088365	0.231544	0.309832	0.0182416	0.0660844	0.081041	0.130886	0.26379	0.0675822	0.117975	0.200362	0.159011	0.129532	0.14412	0.0714926	0.136735	0.226957	0.26098	0.133683	0.18101	0.136285	0.142708	0.0679369	0.23247	0.0236324	0.0969163	0.0258934	0.00875007	0.0864786	0.0105889	0.0693845	0.0612237	0.137189	0.0905451	0.120018	0.0289752	0.0173011	0.107106	0.0977212	0.0246682	0.0411654	0.00531528	0.00569995	0.0864582	0.164435	0.123605	0.0807345	6.02842e-07	0.614746	0.0164788	0.3649427	0.198545	0.327942	0.254292	0.219221	0.15424	0.501791	1.01323	2.33074	4.655287
30	-14327	-14310.7	-16.2962	1.122645	0.318208	0.34617	0.0254618	0.165834	0.168605	0.0862384	0.303046	0.0784431	0.132742	0.245807	0.152475	0.180513	0.137209	0.113009	0.152683	0.199447	0.162126	0.102996	0.173671	0.0993952	0.156024	0.117795	0.348188	0.0216536	0.0086948	0.0220049	0.0317767	0.0380877	0.0079689	0.0446969	0.0242114	0.0266274	0.233492	0.0908173	0.0436968	0.0259447	0.0841626	0.112564	0.0183577	0.0572761	0.0264218	0.0106363	0.0392047	0.173184	0.130181	0.0711395	4.20302e-06	0.608858	0.016633	0.369016	0.264939	0.310057	0.205671	0.219334	0.160755	0.510748	1.01768	2.31082	4.934383
40	-13966.8	-13944.2	-22.5953	0.9647161	0.394661	0.373241	0.0617049	0.139457	0.220789	0.0801301	0.42996	0.122447	0.0952949	0.297028	0.117216	0.15654	0.184881	0.177641	0.152683	0.181344	0.20726	0.119526	0.168868	0.0781897	0.160072	0.0952567	0.437252	0.0433687	0.0506059	0.0492324	0.0209575	0.0385819	0.0107335	0.0356528	0.029314	0.185698	0.116327	0.124875	0.0274315	0.0378562	0.0608055	0.137355	0.0318741	0.0281594	0.0303701	0.0249097	0.0287411	0.0698261	0.213423	0.0724612	1.52344e-05	0.614556	0.0297188	0.3898136	0.356852	0.334993	0.127094	0.181061	0.129861	0.465883	0.993898	2.41036	5.564291
50	-13867.5	-13836	-31.5483	0.9496038	0.272832	0.470488	0.21799	0.0878514	0.180103	0.114659	0.479037	0.169654	0.137407	0.331566	0.0954653	0.149415	0.184881	0.120755	0.231991	0.238625	0.209367	0.151167	0.140991	0.109666	0.13625	0.098386	0.742923	0.0456006	0.158061	0.036071	0.0756335	0.0680039	0.0107948	0.0785447	0.061221	0.175067	0.0490927	0.180014	0.0124491	0.0617666	0.0505411	0.140323	0.0278233	0.0804206	0.0356867	0.0185484	0.0224593	0.0550932	0.212814	0.0722544	0.000306008	0.612802	0.0467307	0.3997917	0.356852	0.334993	0.127094	0.181061	0.126792	0.461062	0.99112	2.42103	6.459592
60	-13527.8	-13501.7	-26.1057	1.037694	0.202066	0.172492	0.153275	0.132367	0.207832	0.128499	0.15012	0.115501	0.120462	0.495799	0.13442	0.133749	0.193674	0.141365	0.195963	0.261139	0.233869	0.22281	0.192468	0.0752149	0.140898	0.0601588	0.642154	0.0280582	0.106937	0.0181911	0.0644392	0.0341913	0.0333124	0.0884171	0.0374085	0.120031	0.0389498	0.129169	0.0303053	0.0780595	0.0846231	0.0637627	0.141203	0.174622	0.0420921	0.0576626	0.0376018	0.0561414	0.216863	0.0736292	0.00577077	0.624461	0.0231348	0.3498426	0.332217	0.334126	0.126765	0.206893	0.144413	0.487796	1.00598	2.36182	5.915334
70	-13403.3	-13376.7	-26.5794	1.029806	0.311911	0.178784	0.18303	0.0881455	0.192578	0.106947	0.197927	0.149757	0.172486	0.303605	0.0839544	0.145161	0.204455	0.188249	0.211914	0.298461	0.253621	0.152876	0.252626	0.0658954	0.152822	0.101065	0.366546	0.0111702	0.0749566	0.026707	0.0397681	0.0632043	0.0739273	0.0879841	0.02211	0.155161	0.0330625	0.263748	0.0483446	0.0632267	0.0834044	0.0364081	0.197516	0.0681701	0.0359136	0.0419514	0.173151	0.0567056	0.219042	0.0743691	0.0102871	0.601642	0.0379538	0.3677957	0.338549	0.355696	0.102234	0.203521	0.142862	0.485531	1.00477	2.36684	5.9627
80	-13388	-13359.5	-28.4627	0.8426841	0.253924	0.179464	0.207783	0.115697	0.222136	0.143531	0.259684	0.126293	0.132816	0.300698	0.109273	0.138534	0.208915	0.237988	0.186605	0.349835	0.253621	0.237053	0.180703	0.0827449	0.153926	0.135098	0.398986	0.0272864	0.108484	0.0202675	0.0596833	0.0382721	0.0777686	0.052355	0.0209776	0.17194	0.0319706	0.238471	0.0917985	0.0520955	0.045868	0.0369609	0.195215	0.0616374	0.0431908	0.028643	0.132841	0.043432	0.222218	0.0705353	0.00905686	0.616254	0.038504	0.3677957	0.345811	0.357319	0.0924193	0.20445	0.104604	0.423768	0.968115	2.50351	6.151034
90	-13387.7	-13358.5	-29.1583	0.9332577	0.32223	0.175093	0.209013	0.155603	0.228663	0.1945	0.250546	0.115998	0.182961	0.270561	0.117815	0.104505	0.197702	0.172662	0.187538	0.266232	0.294118	0.210307	0.185794	0.0765222	0.175638	0.12115	0.376495	0.0432481	0.0763768	0.0408445	0.0557011	0.0643972	0.103303	0.066827	0.0653543	0.127736	0.0497251	0.1893	0.155911	0.0542944	0.0434469	0.0541423	0.150819	0.0297222	0.0136386	0.0390632	0.205101	0.0415687	0.25309	0.0675092	0.0125546	0.589816	0.0354614	0.3677957	0.345811	0.357319	0.0924193	0.20445	0.123452	0.455729	0.987996	2.43282	6.220596
