Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
100	-15803.4	-15816.5	13.1172	0.132636	0.1028	0.0793862	0.110785	0.119228	0.0907764	0.116169	0.0821921	0.0905115	0.140508	0.0848713	0.0836798	0.115253	0.0940119	0.116109	0.11208	0.13752	0.0937636	0.108531	0.0818375	0.0958996	0.0902578	0.147496	0.0522208	0.0451353	0.0292532	0.0482527	0.0574014	0.0286594	0.0266066	0.0260797	0.0494655	0.0216848	0.0391637	0.0397567	0.0665357	0.0381831	0.0157042	0.0342663	0.0140999	0.0307286	0.0316305	0.056055	3.177187
110	-15808.4	-15820.9	12.5192	0.11552	0.100434	0.082648	0.103042	0.104234	0.0824645	0.13974	0.0931602	0.0905115	0.163773	0.10827	0.0850838	0.101681	0.101221	0.100932	0.11816	0.132595	0.123188	0.135921	0.0784418	0.0915268	0.0865881	0.161715	0.0287092	0.0447473	0.0450279	0.0371487	0.0515358	0.00937752	0.0476965	0.028072	0.0497193	0.0199514	0.037201	0.0215361	0.061616	0.0343674	0.0349657	0.0347856	0.0166985	0.0524299	0.0308619	0.0496906	3.23699
120	-15801	-15814.4	13.4046	0.122525	0.0927568	0.099204	0.100194	0.130118	0.0915509	0.124282	0.0734673	0.0912846	0.166723	0.0579215	0.0768634	0.100495	0.100277	0.121004	0.103249	0.122311	0.128014	0.126516	0.0654307	0.0938809	0.089244	0.161715	0.0380167	0.0512004	0.028855	0.0452595	0.0500028	0.022707	0.0291731	0.0230535	0.0225579	0.0205898	0.0433321	0.0402938	0.0797865	0.0314028	0.0115704	0.030183	0.0251986	0.0489413	0.024082	0.0432144	3.148448
130	-15803.7	-15816.2	12.4772	0.146722	0.0789921	0.123942	0.0994694	0.117164	0.089076	0.123	0.0640335	0.103321	0.174719	0.0743999	0.0802087	0.0880301	0.0919621	0.115826	0.13229	0.138385	0.100124	0.110421	0.0769456	0.0938809	0.0909826	0.202963	0.0561238	0.0463118	0.0323511	0.0391044	0.0707124	0.020752	0.0267045	0.0263651	0.0315077	0.0167745	0.0205742	0.044435	0.0632137	0.034242	0.0109723	0.0337413	0.0146392	0.0492441	0.0292986	0.0572662	3.24119
140	-15803.6	-15815.4	11.8376	0.127654	0.126756	0.105728	0.116433	0.137756	0.0893214	0.140183	0.0814387	0.0963592	0.165867	0.0814792	0.0961501	0.114843	0.108127	0.113366	0.121545	0.120507	0.106857	0.109914	0.0804294	0.0988921	0.0816155	0.177256	0.0303381	0.0397714	0.0279754	0.0469887	0.0559592	0.00861255	0.0415895	0.0301677	0.0438028	0.0150523	0.0383131	0.0305493	0.061441	0.042586	0.0217323	0.0345688	0.0148098	0.0423407	0.0215757	0.0584999	3.30515
150	-15804.8	-15817.2	12.3656	0.135243	0.0750773	0.10057	0.0937403	0.126617	0.0938516	0.135582	0.0733625	0.0845291	0.17434	0.0954768	0.0909158	0.103141	0.113001	0.098852	0.13264	0.113568	0.103494	0.119436	0.0721689	0.0922192	0.0712504	0.178397	0.0350244	0.0433704	0.0258421	0.0508455	0.0503149	0.00980284	0.0464565	0.0305543	0.0362209	0.0297009	0.0306736	0.0554326	0.0886737	0.0317064	0.0139366	0.0306411	0.0190724	0.0484738	0.0382443	0.0598831	3.252343
160	-15806.4	-15819.2	12.772	0.127938	0.0907093	0.103888	0.114027	0.126786	0.0563905	0.125295	0.0873836	0.101797	0.156819	0.0657873	0.0766802	0.103044	0.0987684	0.10596	0.13278	0.143504	0.097956	0.115225	0.0831187	0.11075	0.0834413	0.16726	0.0401597	0.0438336	0.0354709	0.0443618	0.0473858	0.0134833	0.0387525	0.0310261	0.0370938	0.0248374	0.0227173	0.0606202	0.0739921	0.0457874	0.00563473	0.0460576	0.0165524	0.0394152	0.0237756	0.0454462	3.211713
170	-15810.7	-15823.3	12.5758	0.131948	0.125395	0.113828	0.0798679	0.128591	0.0840843	0.121103	0.0832731	0.10743	0.159688	0.0733336	0.0834993	0.100904	0.0902113	0.118778	0.150138	0.114889	0.0990444	0.129177	0.071036	0.0783774	0.113243	0.172338	0.0430406	0.0240059	0.0231238	0.0386771	0.0498527	0.0336181	0.0259979	0.0211224	0.0223146	0.0222257	0.0369933	0.0474906	0.0740148	0.0453721	0.00875699	0.0450981	0.0137174	0.049032	0.0249954	0.0517004	3.231328
180	-15801.8	-15814.3	12.5175	0.145826	0.104831	0.0877938	0.134841	0.121952	0.0879124	0.136638	0.085743	0.0910561	0.186355	0.0733336	0.0904651	0.104122	0.106783	0.100473	0.120448	0.130394	0.136452	0.110265	0.071036	0.0821993	0.0790342	0.16354	0.0430692	0.0398961	0.0249583	0.0504061	0.0535632	0.0237548	0.0254604	0.0230734	0.0305842	0.0348562	0.0348253	0.0443443	0.0559121	0.0443379	0.00972318	0.0308425	0.019922	0.0365691	0.0246084	0.0349565	3.237158
190	-15800.9	-15813.4	12.4655	0.132331	0.096428	0.084286	0.118723	0.117544	0.0731019	0.136638	0.0693547	0.10362	0.164637	0.0997005	0.0709042	0.0961416	0.0944158	0.112836	0.110805	0.137806	0.118488	0.127854	0.0687397	0.0914573	0.0826223	0.158382	0.0429791	0.0423306	0.0338587	0.0545697	0.0510491	0.014947	0.0322425	0.0284219	0.0371544	0.0258144	0.0414943	0.0397079	0.0755478	0.0551805	0.0117319	0.0474804	0.010096	0.0591698	0.0265996	0.0451632	3.242354
