Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
100	-5395.44	-5417.71	22.2665	0.110968	0.0745333	0.0905803	0.0643769	0.0481504	0.0528332	0.0714767	0.0544474	0.132413	0.130888	0.0404713	0.0454431	0.0908024	0.0693612	0.0850116	0.0617225	0.0609363	0.0485318	0.0523586	0.0271034	0.0264356	0.0360836	0.138135	0.084599	0.0155448	0.0322095	0.0266472	0.0144611	0.0559302	0.034178	0.0339298	0.028638	0.00384743	0.0206044	0.00725496	0.0181533	0.0259526	0.074513	0.0286062	0.029022	0.0561904	0.0125716	0.0463385	2.262255
110	-5395.59	-5416.79	21.2001	0.0963886	0.0805744	0.0864445	0.0370502	0.118921	0.0799523	0.0747741	0.0489871	0.0859043	0.0809773	0.0213196	0.0394469	0.105079	0.0846431	0.111745	0.09491	0.0967438	0.0655182	0.0625713	0.0369927	0.0517297	0.0262753	0.163614	0.037791	0.0263411	0.0159619	0.0180201	0.0321895	0.036409	0.0277854	0.0194735	0.020142	0.00364601	0.0237239	0.00742874	0.0215815	0.0310482	0.0513266	0.035548	0.0568605	0.0717803	0.0189248	0.0623501	2.368895
120	-5387.49	-5409.03	21.5409	0.085509	0.0630098	0.0788041	0.057449	0.0788851	0.0771172	0.105541	0.0624737	0.101564	0.134909	0.0401293	0.0153193	0.0818888	0.0740578	0.0998267	0.0774038	0.0882304	0.0566109	0.0804542	0.0414074	0.0360512	0.0325319	0.130518	0.0477323	0.0179998	0.0378144	0.0128249	0.0281098	0.0452999	0.0365053	0.0151032	0.0357194	0.0179462	0.0295045	0.0156364	0.0125703	0.0277338	0.0832801	0.018675	0.0424265	0.0518162	0.015564	0.0428667	2.334819
130	-5399.72	-5422.23	22.5132	0.0872022	0.0766664	0.0757987	0.0395261	0.0840371	0.0455396	0.0931085	0.0700453	0.093331	0.124008	0.0359471	0.0362358	0.0574922	0.0642113	0.0563219	0.0955697	0.0734504	0.0724191	0.121807	0.0269482	0.0390079	0.0283938	0.0934161	0.0417904	0.0243682	0.0305087	0.0313017	0.0178083	0.0332653	0.0529612	0.0267604	0.0233405	0.0185211	0.0286504	0.0126043	0.0068186	0.0153885	0.0668357	0.0110184	0.0565057	0.0654093	0.0229689	0.0602795	2.237589
140	-5397.45	-5418.65	21.1957	0.120598	0.0526806	0.0881666	0.0748463	0.0691759	0.10418	0.0979512	0.0490071	0.110642	0.0806265	0.0464895	0.0626846	0.101505	0.0487045	0.0790115	0.105	0.0851867	0.065569	0.0700932	0.0460952	0.0247641	0.0231234	0.140971	0.0226855	0.0213682	0.0500947	0.0142897	0.0322492	0.0460223	0.0290706	0.0178453	0.020429	0.0293429	0.0298023	0.0237559	0.00584894	0.0266397	0.0796718	0.0124268	0.038068	0.0452272	0.0255306	0.0518939	2.369335
150	-5389.49	-5411.88	22.3862	0.114885	0.0594652	0.0746353	0.0566821	0.0724067	0.071939	0.080512	0.0546939	0.0913619	0.064784	0.0470678	0.0358258	0.0937048	0.060822	0.0957785	0.0895391	0.0808742	0.0313507	0.0415941	0.036838	0.0176924	0.0424335	0.181558	0.0576256	0.0186218	0.0272875	0.014989	0.0167623	0.0316792	0.0538543	0.0245194	0.033406	0.0163106	0.0393818	0.0228628	0.00595821	0.0426514	0.075457	0.0175044	0.0183218	0.0695548	0.0136026	0.0534909	2.250285
160	-5389.11	-5410.91	21.7979	0.133528	0.0582107	0.0874217	0.0641043	0.0848236	0.0295984	0.0835661	0.0464841	0.129506	0.124165	0.0437854	0.016945	0.115033	0.0610531	0.0855946	0.055679	0.0861506	0.0489762	0.054232	0.0513839	0.0331909	0.0284857	0.137243	0.0376181	0.0373367	0.0275234	0.0195772	0.0153321	0.0273209	0.0418423	0.0203472	0.0184081	0.0157907	0.0364682	0.0253096	0.00812385	0.0448932	0.0578904	0.0416848	0.0331333	0.0618382	0.0171785	0.0623396	2.309117
170	-5392.78	-5415.04	22.2611	0.0826791	0.0461903	0.0744889	0.0540228	0.0924003	0.0573595	0.122834	0.0644973	0.0885151	0.0854892	0.0474248	0.0197122	0.0775974	0.0384468	0.0644293	0.062981	0.0758479	0.0600679	0.0811212	0.0470718	0.0319228	0.0221187	0.126499	0.0548533	0.0164433	0.0545402	0.0152491	0.0376068	0.0325247	0.0333525	0.0319464	0.025113	0.0377505	0.0358108	0.0141798	0.027188	0.0476998	0.071101	0.017189	0.0697672	0.0561843	0.0126159	0.0479679	2.262801
180	-5398.68	-5419.83	21.1499	0.0964203	0.0342951	0.0964226	0.0398677	0.0649086	0.0793887	0.0789506	0.0528208	0.130579	0.095252	0.0286758	0.033641	0.0816943	0.0633366	0.127784	0.0710139	0.0995102	0.0687737	0.0821156	0.0293123	0.0424891	0.0127438	0.126798	0.0504471	0.0201856	0.0405317	0.00940596	0.049729	0.066162	0.0684323	0.0308081	0.0228943	0.0262163	0.0375557	0.0155495	0.0214177	0.0496756	0.0636583	0.0359459	0.0438673	0.0474587	0.00685425	0.0303251	2.373915
190	-5384.89	-5408.2	23.3149	0.103416	0.052629	0.0798844	0.0551307	0.070622	0.042089	0.0918746	0.0316358	0.11859	0.0851158	0.0385506	0.035362	0.0902809	0.0621101	0.0854865	0.0491358	0.0788212	0.0699367	0.0594606	0.0353271	0.036062	0.0230396	0.120414	0.0516103	0.025575	0.0187293	0.027045	0.0339177	0.0393328	0.0361136	0.010988	0.0211906	0.0135883	0.0227215	0.0197472	0.0207149	0.0471644	0.0689249	0.0156673	0.0221825	0.0533717	0.0167298	0.0771264	2.157416
200	-5384.31	-5407.88	23.5699	0.0905146	0.0825983	0.0863183	0.0514015	0.0740163	0.0749151	0.0747418	0.0484847	0.0875973	0.110326	0.0427708	0.0249969	0.0639619	0.0456306	0.0774952	0.0599925	0.0860038	0.0823641	0.0661282	0.027035	0.0346599	0.0235442	0.119421	0.0416894	0.0173905	0.0363062	0.0298968	0.0125216	0.0283256	0.0189255	0.0149455	0.00989594	0.031202	0.0317599	0.0278425	0.0182509	0.0501278	0.0522664	0.0155151	0.0440873	0.0458071	0.0147994	0.0554413	2.131915
210	-5387.07	-5408.74	21.6702	0.142927	0.0717545	0.0692525	0.0548542	0.0675297	0.0604799	0.0832254	0.0498766	0.108196	0.105682	0.0408515	0.016233	0.0895274	0.0713757	0.0888647	0.0759322	0.103111	0.0519176	0.0661282	0.0452786	0.0316584	0.0180873	0.179521	0.0476947	0.0243422	0.0336936	0.00600404	0.0100509	0.0427531	0.0301651	0.0232012	0.027585	0.0308679	0.0410263	0.0295876	0.0270861	0.0582871	0.0459583	0.00618744	0.0212199	0.0512178	0.0229865	0.0497121	2.321892
220	-5397.82	-5421.19	23.3716	0.0903689	0.0500263	0.0792591	0.0464644	0.0836149	0.0451928	0.0868544	0.0511172	0.0811155	0.0510687	0.0384997	0.0197505	0.0699337	0.0864156	0.0813833	0.0671594	0.0837928	0.0584177	0.0712454	0.046502	0.0136639	0.0198127	0.157105	0.0415334	0.0274409	0.0625855	0.0102216	0.012946	0.0184081	0.0389783	0.0405749	0.0261743	0.0186136	0.0152032	0.0253216	0.0221243	0.0343261	0.0921926	0.0283124	0.0225865	0.0532397	0.0212596	0.0609448	2.151752
230	-5389.56	-5411.42	21.8568	0.103486	0.0444356	0.0778395	0.0457948	0.0785189	0.0460548	0.144389	0.0484006	0.118584	0.0841867	0.0302431	0.0280791	0.0669336	0.0575751	0.0864516	0.0574575	0.0828917	0.0576226	0.0587129	0.0512498	0.0348598	0.0454413	0.153041	0.070878	0.0322127	0.0182939	0.0132617	0.0128976	0.0426173	0.0320323	0.0369742	0.016127	0.0119132	0.0475699	0.028406	0.00641685	0.0476243	0.0768348	0.0254958	0.0473062	0.061751	0.0321835	0.0401787	2.303224
240	-5391.94	-5413.77	21.8226	0.115736	0.0385116	0.0922993	0.0466979	0.0715788	0.0822918	0.0713525	0.0486569	0.118335	0.0685673	0.0212052	0.026176	0.0828685	0.0659325	0.0623172	0.0852125	0.0594715	0.0803622	0.0601727	0.0506111	0.0632995	0.0272792	0.18086	0.0468163	0.0197247	0.0560887	0.0259333	0.00338453	0.030934	0.0425292	0.0329028	0.0184186	0.0181791	0.0362775	0.0218445	0.0226822	0.0461238	0.0709258	0.0291496	0.0512044	0.0668583	0.00805408	0.0388168	2.306643
