Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
0	-7332.04	-7339.01	6.96822	0.163865	0.0604135	0.00949317	0.0829515	0.140175	0.0945294	0.0444871	0.0373414	0.159791	0.173377	0.175061	0.0967045	0.0791596	0.285622	0.0217098	0.0152754	0.194281	0.0270571	0.00424514	0.337925	0.0237749	0.0180765	0.120906	0.141767	0.211728	0.0710535	0.0409178	0.0379531	0.114278	0.0449916	0.229073	0.00095935	0.00353823	0.113336	0.0309651	0.00275425	0.0717926	0.0171253	0.0201336	0.0244488	0.000986234	0.21966	0.028403	3.792086
10	-6056.66	-6074.01	17.3504	0.165861	0.138243	0.0370694	0.0523097	0.079188	0.0954533	0.0631373	0.0717723	0.128901	0.0939397	0.0628683	0.088841	0.0707823	0.21807	0.0756833	0.028996	0.101915	0.0292546	0.0218696	0.142298	0.0528589	0.0625761	0.184338	0.0409461	0.049788	0.0538608	0.0440117	0.0742299	0.0591501	0.0377754	0.050798	0.00109909	0.00360986	0.0497659	0.0221137	0.0037946	0.0604133	0.0102882	0.00808667	0.0309684	0.00216507	0.0790347	0.00573998	2.753864
20	-5459.98	-5482.27	22.2902	0.093898	0.0773608	0.0571149	0.0551206	0.0875434	0.0625713	0.0623762	0.0638828	0.126723	0.0821322	0.0356364	0.0676764	0.062981	0.0740664	0.0978196	0.0674531	0.0808241	0.0450697	0.104404	0.0454325	0.0451688	0.0478548	0.137344	0.0246314	0.0131126	0.0353972	0.027103	0.149537	0.0290645	0.062609	0.025147	0.00156674	0.0120848	0.0188685	0.0140816	0.00322768	0.0264436	0.0178077	0.0150707	0.0438348	0.00628061	0.0430326	0.010528	2.259884
30	-5431.37	-5453.36	21.9883	0.0920583	0.0499674	0.0874358	0.0596396	0.0814541	0.0640348	0.092497	0.0316599	0.126749	0.0890495	0.0471903	0.0633478	0.0810959	0.0828959	0.0877015	0.0718768	0.0750226	0.0665505	0.0553736	0.0382282	0.016703	0.0442809	0.151881	0.0186922	0.0136292	0.0262992	0.0342198	0.113248	0.0515122	0.104275	0.0127648	0.00334854	0.010831	0.0275572	0.0194268	0.0081355	0.0120398	0.0408118	0.0309496	0.0322297	0.0240972	0.0371359	0.0121819	2.290079
40	-5433.51	-5455.35	21.8372	0.120774	0.06788	0.0777181	0.0494416	0.0878841	0.0617612	0.101207	0.0248766	0.117421	0.0833103	0.0238967	0.0332453	0.0852543	0.0697302	0.115499	0.100716	0.0833043	0.0954971	0.0545673	0.0224091	0.0198001	0.0358374	0.108473	0.0182468	0.0044636	0.0332339	0.0329858	0.0780388	0.0526438	0.123054	0.0176343	0.0124302	0.0191052	0.0396928	0.00663093	0.024253	0.0175262	0.0420913	0.0222283	0.0405185	0.0249535	0.0230466	0.031907	2.305188
50	-5420.97	-5443.34	22.3727	0.112608	0.0571554	0.0825143	0.0595046	0.0723162	0.0728949	0.0872625	0.0575724	0.083451	0.0789333	0.0293625	0.0223217	0.0799735	0.0569101	0.0964265	0.06967	0.0815925	0.0589886	0.063786	0.0648672	0.0174923	0.0204969	0.125019	0.0235807	0.0198503	0.0268871	0.0408672	0.084249	0.0407568	0.122437	0.0233072	0.0321332	0.037795	0.0205885	0.00452759	0.0161352	0.00504851	0.0444962	0.0215514	0.0275518	0.0317053	0.0295636	0.0474849	2.251637
60	-5426.07	-5448.34	22.2709	0.082374	0.0729516	0.0649948	0.0495553	0.0784623	0.0588025	0.0701108	0.0531683	0.0820773	0.111032	0.0234561	0.0314597	0.061222	0.0884627	0.0651738	0.0573187	0.113743	0.0677242	0.0832899	0.0307345	0.0307358	0.0302254	0.169682	0.0285582	0.00999169	0.0254633	0.0472927	0.105671	0.0379793	0.0813242	0.0286647	0.0352517	0.0393398	0.0085798	0.0076063	0.0180743	0.0110172	0.026479	0.0141989	0.0411455	0.0488602	0.0326199	0.0369436	2.261819
70	-5422.43	-5444.77	22.3425	0.119139	0.0829494	0.0998713	0.0498325	0.0823882	0.0531019	0.0996389	0.0547251	0.110744	0.0920044	0.0189782	0.0236326	0.0781484	0.0658357	0.0795087	0.0556863	0.112482	0.0530857	0.0847691	0.0260104	0.0302287	0.0354878	0.150838	0.0170609	0.0102513	0.0267977	0.0378158	0.0784747	0.0280499	0.0901386	0.0286863	0.0274423	0.0414406	0.00713472	0.00761062	0.0136417	0.013097	0.0154631	0.0170602	0.0396486	0.0328663	0.0175859	0.0453098	2.254662
80	-5432.68	-5453.58	20.906	0.0858725	0.0670487	0.0688053	0.0596893	0.125482	0.0750731	0.0811352	0.0377817	0.106025	0.0828154	0.0354248	0.0222488	0.112131	0.078749	0.0988331	0.06896	0.0830789	0.0639042	0.0675041	0.0266922	0.0363309	0.0262407	0.149638	0.0174155	0.00405464	0.0208411	0.035747	0.0903843	0.0831864	0.0907448	0.0141019	0.0354936	0.033927	0.0188326	0.0236639	0.0297955	0.0342257	0.0372068	0.0306053	0.0405046	0.0363881	0.0166251	0.0450998	2.398306
90	-5426.74	-5449.24	22.5052	0.0862102	0.0681732	0.0708668	0.0500035	0.08983	0.0523272	0.069837	0.0644937	0.10741	0.0849364	0.0323262	0.0284707	0.0925774	0.0739559	0.0527351	0.0692877	0.100791	0.0650797	0.0737878	0.0287792	0.0455789	0.0151497	0.124828	0.0330983	0.0152182	0.0280292	0.0362474	0.0889499	0.0422689	0.0783872	0.0210338	0.0368807	0.0313745	0.039206	0.0217613	0.0115362	0.00494735	0.0205656	0.0177387	0.0315359	0.0360304	0.0505334	0.0456112	2.238389
