Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
100	-15797.76	-15810.73	12.97272	0.111982	0.0867761	0.105293	0.123368	0.123188	0.0787712	0.123307	0.0835263	0.102968	0.161066	0.063122	0.0781377	0.107326	0.0874916	0.111883	0.125547	0.131975	0.113421	0.119966	0.0855243	0.0726439	0.0780083	0.15947	0.0332887	0.0316508	0.0737968	0.0353671	0.0350891	0.0399901	0.0669825	0.0463936	0.0366537	0.0304098	0.0244398	0.0332282	0.0221953	0.0152968	0.0474946	0.0436396	0.030501	0.0614174	0.0226323	0.0264087	3.191636
110	-15808.46	-15820.75	12.28884	0.135023	0.139916	0.0979918	0.105205	0.0951438	0.116238	0.126405	0.0831997	0.104677	0.171312	0.0763364	0.0653027	0.090366	0.0870027	0.101691	0.126988	0.136278	0.110776	0.115094	0.0767315	0.0892923	0.0855575	0.133464	0.028345	0.0344662	0.0541756	0.0300221	0.0221427	0.0492102	0.0801198	0.0454324	0.032836	0.0393907	0.0320276	0.0350057	0.0398126	0.0327144	0.0469132	0.0566379	0.0303705	0.0540435	0.024285	0.0220816	3.260024
120	-15801.17	-15813.5	12.32299	0.114614	0.111518	0.118967	0.101228	0.138019	0.0734064	0.117446	0.0817456	0.0966815	0.162954	0.0761838	0.103644	0.107856	0.103859	0.110972	0.137523	0.121044	0.107576	0.125998	0.0734813	0.0931254	0.0796674	0.173313	0.0354636	0.0309976	0.0431755	0.039278	0.0206381	0.0486158	0.0838564	0.0460677	0.0417445	0.0289748	0.0191373	0.0217131	0.0355154	0.0212102	0.0446086	0.0295256	0.0304009	0.058734	0.0203852	0.0257425	3.256609
130	-15805.62	-15817.94	12.31808	0.1434	0.108838	0.121704	0.100333	0.0988897	0.0726309	0.149508	0.0821012	0.0820908	0.165736	0.0848655	0.0842299	0.0979232	0.0958009	0.119847	0.114132	0.136285	0.101842	0.13268	0.0789909	0.075922	0.0923207	0.155633	0.037853	0.0237184	0.0509099	0.0406662	0.0148406	0.0501413	0.0832459	0.0338283	0.0430208	0.0317387	0.0205946	0.0320972	0.0282278	0.0335327	0.0420826	0.0423727	0.0319063	0.0356334	0.0395522	0.0454325	3.2571
140	-15803.14	-15814.84	11.69876	0.128741	0.113709	0.113236	0.0965472	0.114706	0.0790969	0.129302	0.0862451	0.135034	0.16504	0.0711034	0.101603	0.113455	0.106449	0.113998	0.124928	0.136285	0.128626	0.127952	0.0765805	0.0805607	0.0849543	0.168551	0.0343865	0.0330999	0.0561561	0.0453682	0.0177262	0.040902	0.0832109	0.0492206	0.0273395	0.0379862	0.0148827	0.0296149	0.0314122	0.0235882	0.051678	0.0324869	0.0277379	0.0434751	0.022471	0.0195852	3.319032
150	-15806.43	-15820.14	13.70302	0.0964671	0.100751	0.105588	0.100198	0.120031	0.0757023	0.130052	0.0766275	0.115203	0.16504	0.0770798	0.079287	0.109353	0.0846487	0.113998	0.124928	0.104362	0.105005	0.102826	0.089982	0.0968097	0.0825492	0.130161	0.0429517	0.026497	0.0460766	0.0428654	0.0219048	0.059508	0.0746918	0.0415782	0.0252681	0.0228221	0.0247811	0.0326613	0.0181943	0.0140691	0.0402906	0.0384712	0.0433446	0.0569713	0.0293072	0.0297013	3.118606
160	-15809.1	-15821.76	12.66157	0.127237	0.0982412	0.105588	0.116311	0.113797	0.0801089	0.101549	0.0771699	0.0929958	0.16504	0.0876038	0.067582	0.0872423	0.0809245	0.102886	0.141572	0.144205	0.0933141	0.141432	0.067801	0.0804247	0.0804905	0.184397	0.0462936	0.0333571	0.0527213	0.0368813	0.0147364	0.0424704	0.0872771	0.0473848	0.0443212	0.0582437	0.0362517	0.0305322	0.0206795	0.00978171	0.0327801	0.0545358	0.0397317	0.0458855	0.0233314	0.0276415	3.222751
170	-15809.3	-15821.68	12.37507	0.130125	0.10724	0.111111	0.115451	0.142629	0.0770016	0.119533	0.0758043	0.0859112	0.179564	0.0673317	0.0834436	0.0937689	0.110239	0.092778	0.141997	0.117152	0.104813	0.13768	0.0729366	0.0981579	0.0873147	0.179984	0.0231227	0.0225484	0.076233	0.0331099	0.013558	0.0286119	0.081639	0.0406644	0.0377451	0.0428278	0.0194461	0.0303894	0.0251303	0.0225171	0.0300383	0.0463519	0.025409	0.0619184	0.0267166	0.0314592	3.251401
180	-15807.5	-15820.13	12.62548	0.109687	0.0982249	0.0808868	0.132702	0.127034	0.0821245	0.127004	0.0848772	0.099126	0.180454	0.0759083	0.0825656	0.103092	0.0827802	0.123502	0.140633	0.113862	0.102782	0.126067	0.0667796	0.0746198	0.105643	0.169925	0.0270966	0.0328676	0.054453	0.0461933	0.0301407	0.040112	0.0857755	0.0303211	0.0303455	0.0461234	0.0279379	0.0360509	0.0254691	0.00924295	0.0319044	0.0413074	0.0243004	0.0452423	0.0202862	0.05091	3.22636
190	-15812.15	-15824.27	12.12027	0.119247	0.127954	0.0790564	0.119848	0.105369	0.0710521	0.126232	0.0859942	0.117101	0.156215	0.10181	0.0696114	0.0903543	0.0968907	0.122876	0.140636	0.120388	0.101994	0.130607	0.0733823	0.093837	0.0912391	0.170708	0.0491488	0.0153816	0.0622256	0.0533481	0.0221883	0.0354032	0.111481	0.0362767	0.0333027	0.0333751	0.0205118	0.0327805	0.0268368	0.00743408	0.0305678	0.0520362	0.0360959	0.0589993	0.0212834	0.0258	3.276881
