Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	lambda	pi[1]	pi[2]	pi[3]	pi[4]	TL
100	-13500.8	-13474.5	-26.323	0.296893	0.200354	0.169709	0.132141	0.281367	0.0923174	0.202801	0.139093	0.219425	0.324471	0.13638	0.141222	0.227881	0.181565	0.242132	0.42916	0.3586	0.253834	0.248413	0.120477	0.190172	0.122545	1.11773	0.105038	0.0431352	0.101423	0.0736268	0.14775	0.0435557	0.0490746	0.0107878	0.120863	0.170853	0.0672363	0.250349	0.0347987	0.111545	0.177514	0.0776464	0.10122	0.0603566	0.122653	0.0701558	0.0601893	0.278147	0.108185	0.0118413	0.520795	0.0208424	0.108698	0.317398	0.358717	0.107012	0.216873	7.76826
110	-13507.6	-13482.4	-25.2586	0.28323	0.150601	0.212414	0.110902	0.25437	0.136249	0.314897	0.173399	0.169666	0.333358	0.127507	0.168046	0.281263	0.29093	0.235401	0.388274	0.298309	0.278218	0.198894	0.135364	0.234342	0.0970092	0.891761	0.0841863	0.0427411	0.0654451	0.0956663	0.121784	0.0169295	0.0884145	0.00902188	0.108937	0.189125	0.0380477	0.253137	0.0479759	0.144244	0.181856	0.0775933	0.106771	0.0683244	0.116864	0.0395234	0.046942	0.277525	0.112302	0.0133531	0.524093	0.0257856	0.1170282	0.317398	0.358717	0.107012	0.216873	7.660992
120	-13500.1	-13473.1	-26.9847	0.365059	0.180312	0.193305	0.120622	0.253708	0.137998	0.278116	0.170958	0.16893	0.288035	0.102075	0.182504	0.167466	0.211443	0.245514	0.385692	0.346915	0.239583	0.268663	0.135901	0.258035	0.166441	1.00331	0.0886015	0.0396105	0.117834	0.0800574	0.211499	0.0410802	0.0642309	0.00474384	0.116295	0.176045	0.0258447	0.284106	0.0581683	0.146498	0.254737	0.0245683	0.0492983	0.0461531	0.06198	0.0707149	0.066782	0.296035	0.0899175	0.00595916	0.515923	0.0253837	0.1265623	0.317398	0.358717	0.107012	0.216873	7.832652
130	-13504.1	-13479	-25.0222	0.271641	0.161132	0.203075	0.110024	0.264991	0.124812	0.168954	0.1564	0.141202	0.376575	0.115341	0.19996	0.218438	0.225751	0.285898	0.371215	0.271964	0.236208	0.238953	0.106065	0.163794	0.170521	1.00331	0.0956037	0.0607029	0.100147	0.0690854	0.110762	0.0562622	0.0720404	0.0169106	0.0870419	0.218076	0.0268422	0.255431	0.0346639	0.184652	0.238709	0.101878	0.0659454	0.0766177	0.103777	0.0763328	0.0645184	0.306213	0.0804578	0.00822014	0.523512	0.017078	0.1134976	0.311086	0.372316	0.104038	0.21256	7.637706
140	-13492.9	-13465.7	-27.1166	0.288655	0.128011	0.176066	0.131713	0.224495	0.122081	0.198945	0.132158	0.193363	0.365873	0.144398	0.167869	0.216475	0.231891	0.250677	0.344124	0.336051	0.273192	0.34389	0.123819	0.218897	0.121967	1.26939	0.104604	0.0415001	0.0429076	0.0463382	0.193669	0.0329916	0.0266163	0.0147645	0.0946861	0.196478	0.0234941	0.251528	0.0414753	0.169781	0.224314	0.0591544	0.0416165	0.103806	0.0816251	0.0517906	0.0604321	0.326614	0.0753619	0.00990595	0.490355	0.037331	0.1134976	0.313534	0.375246	0.096986	0.214233	7.847139
150	-13504.2	-13477.1	-27.0916	0.370595	0.173892	0.249268	0.153489	0.22589	0.185809	0.234115	0.123699	0.152313	0.365873	0.120488	0.167892	0.190971	0.19883	0.22177	0.386718	0.338917	0.321597	0.244767	0.103664	0.237085	0.0842917	0.997257	0.17597	0.0552798	0.0744101	0.0328876	0.109292	0.0334583	0.046231	0.0095865	0.0586155	0.278918	0.029052	0.194094	0.0649835	0.154424	0.264678	0.0436237	0.0799599	0.108043	0.12092	0.0607733	0.0652711	0.32684	0.075414	0.00442476	0.490693	0.0373568	0.1160064	0.324101	0.36947	0.0954931	0.210936	7.844393
160	-13499.8	-13471	-28.815	0.302333	0.177037	0.257499	0.158052	0.251543	0.155526	0.261685	0.137903	0.15959	0.341003	0.155825	0.183331	0.252808	0.235794	0.28523	0.339163	0.333161	0.322061	0.22206	0.117568	0.267807	0.140561	1.02867	0.0371146	0.0455168	0.0636974	0.0683123	0.126522	0.0360487	0.0598311	0.0243407	0.162562	0.179103	0.0359074	0.190717	0.0823695	0.176393	0.237007	0.0483055	0.0623509	0.126975	0.116113	0.0514257	0.0657343	0.325866	0.0759492	0.00340325	0.494176	0.0348715	0.1150803	0.316627	0.362887	0.0937916	0.226694	8.01682
170	-13504	-13473.7	-30.3542	0.348858	0.190131	0.199287	0.132373	0.274161	0.091817	0.231987	0.163108	0.216075	0.375501	0.155593	0.162879	0.256622	0.153919	0.266266	0.367277	0.35199	0.25262	0.322914	0.0758515	0.209603	0.140911	1.1995	0.0602543	0.0350859	0.0417559	0.0809856	0.238592	0.0527784	0.0234506	0.0186485	0.149429	0.161176	0.0649875	0.22901	0.0639015	0.213669	0.235133	0.0753824	0.0756039	0.0381638	0.106916	0.0665823	0.0653917	0.31611	0.0736754	0.0187611	0.493262	0.0328004	0.1150803	0.316627	0.362887	0.0937916	0.226694	8.170747
180	-13500.7	-13469.8	-30.8713	0.314605	0.160508	0.241565	0.130262	0.247148	0.134724	0.226918	0.159007	0.16795	0.421578	0.133178	0.181568	0.256622	0.268969	0.222716	0.348495	0.273287	0.234402	0.290338	0.0713635	0.161316	0.173315	1.34958	0.0908479	0.0459994	0.0270871	0.0716887	0.16157	0.0599445	0.00420017	0.0163249	0.204819	0.185838	0.0580811	0.260075	0.0442295	0.166479	0.301174	0.10693	0.0811721	0.0530539	0.0845956	0.0291826	0.0652882	0.315609	0.0735587	0.0187314	0.492481	0.0343313	0.1125431	0.309218	0.377797	0.0915967	0.221389	8.222712
190	-13489	-13465.2	-23.7502	0.277608	0.139047	0.246546	0.139872	0.219328	0.123334	0.231944	0.136572	0.192279	0.350491	0.130408	0.157392	0.255867	0.268016	0.212429	0.272972	0.310254	0.249387	0.241606	0.119655	0.1965	0.0944959	1.17916	0.0908805	0.0277854	0.063308	0.0441601	0.134681	0.0228286	0.0125411	0.00680472	0.079315	0.244437	0.0580901	0.178547	0.0502119	0.15616	0.284884	0.0517851	0.0909726	0.067078	0.0810458	0.0196156	0.0633807	0.32634	0.0806739	0.0181841	0.478093	0.0333283	0.1154827	0.309692	0.378377	0.0902027	0.221729	7.510302
