Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	lambda	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-31167.4	-31177.2	9.83637	0.0622516	0.0459212	0.0145492	0.0325434	0.00921357	0.0732774	0.0565081	0.0157413	0.101332	0.0841131	0.14457	0.0402164	0.248132	0.0302648	0.0466624	0.244262	0.0725674	0.22416	0.12122	0.035488	0.120806	0.0151711	0.0399345	0.0783291	0.0994049	0.0467554	0.115874	0.0919283	0.0410897	0.150303	0.19345	0.154934	0.137569	0.0439828	0.291828	0.0168777	0.138733	0.32591	0.0263067	0.058905	0.0574005	0.0807777	0.0947287	0.204999	0.217034	0.175002	0.1429	0.0937466	0.166319	0.3920357	0.00248924	0.0293802	0.871338	0.0967928	4.123992
10	-15885.3	-15891.9	6.56328	0.191958	0.0850275	0.0576451	0.0934367	0.034143	0.0950083	0.148304	0.0623571	0.176498	0.255421	0.149682	0.068595	0.125961	0.0519583	0.14543	0.178329	0.228534	0.144914	0.234163	0.142014	0.139811	0.0443756	0.203037	0.0953759	0.0918111	0.0553515	0.0720884	0.0336641	0.0890211	0.0802039	0.0349533	0.0233145	0.134572	0.0530154	0.157569	0.0273997	0.0747223	0.124766	0.0364231	0.0142299	0.0770179	0.0294067	0.0982333	0.408928	0.228875	0.191193	0.00455761	0.166446	1.55631e-24	0.3076201	0.189693	0.106316	0.139555	0.564435	4.459743
20	-13928.2	-13927.1	-1.10283	0.221365	0.24423	0.227472	0.187214	0.0956369	0.132098	0.230049	0.130884	0.13251	0.336943	0.105176	0.162615	0.162314	0.105715	0.231464	0.241717	0.259072	0.178432	0.209925	0.115961	0.12618	0.11132	0.209912	0.0594455	0.0652042	0.0535264	0.0151426	0.0218107	0.122046	0.0345055	0.0646442	0.0297713	0.129253	0.0389756	0.0486952	0.04818	0.0558982	0.128298	0.0348805	0.00806324	0.0534069	0.0281931	0.0369737	0.1406	0.169847	0.0760478	0.013121	0.600383	1.00249e-24	0.2199604	0.240903	0.257019	0.24112	0.260958	5.23512
30	-13644.3	-13640.4	-3.85977	0.191062	0.178275	0.190464	0.170693	0.164009	0.102758	0.223026	0.143577	0.141743	0.29745	0.0627086	0.140385	0.154074	0.166758	0.173064	0.330178	0.232597	0.200409	0.232576	0.126739	0.144815	0.10425	0.509548	0.0969379	0.0339219	0.0511408	0.0415742	0.0374433	0.0450887	0.023331	0.179286	0.0190684	0.117832	0.0366996	0.0638104	0.0616881	0.0324681	0.137197	0.0294711	0.0201384	0.0488264	0.0259076	0.0346526	0.109374	0.175225	0.095088	0.0172817	0.603032	1.63923e-24	0.151687	0.307244	0.276511	0.199899	0.216346	5.517641
40	-13564.4	-13547.5	-16.8922	0.275711	0.195487	0.220377	0.134541	0.254159	0.160384	0.192453	0.146632	0.17049	0.328034	0.0955204	0.188404	0.174963	0.22601	0.194994	0.298149	0.257642	0.226868	0.214502	0.109237	0.209982	0.165123	0.801894	0.0998734	0.112427	0.0689093	0.0495179	0.119672	0.0467262	0.0279911	0.173737	0.0394396	0.081108	0.0229566	0.0514189	0.0418015	0.0416957	0.177587	0.0381312	0.110313	0.0340357	0.210054	0.0308943	0.110732	0.177401	0.0838514	0.0174963	0.61052	1.30414e-23	0.1621083	0.297099	0.308986	0.191432	0.202484	6.819844
50	-13568.6	-13547.9	-20.6524	0.304873	0.238246	0.213539	0.151076	0.262423	0.0963043	0.237828	0.1326	0.207125	0.404532	0.137044	0.160421	0.221686	0.189173	0.194994	0.314579	0.347449	0.192736	0.264396	0.143903	0.142924	0.146876	0.930414	0.0909228	0.0943506	0.0881286	0.0842889	0.126947	0.045373	0.0375243	0.205357	0.0132828	0.0819719	0.0283039	0.039242	0.0374211	0.0408811	0.200308	0.0652916	0.0920799	0.0126445	0.139091	0.0378597	0.110732	0.177401	0.0838514	0.0174963	0.61052	7.89824e-24	0.1566664	0.297099	0.308986	0.191432	0.202484	7.196407
60	-13568.1	-13545.7	-22.3965	0.292648	0.155664	0.202134	0.158554	0.262423	0.149357	0.246795	0.12568	0.157083	0.404532	0.159184	0.158949	0.187515	0.225631	0.28345	0.295008	0.291357	0.220177	0.287137	0.105049	0.205923	0.160514	0.930414	0.104327	0.114117	0.115877	0.0694974	0.17145	0.0424007	0.0520615	0.245173	0.0242517	0.0964195	0.0514854	0.0252728	0.0321802	0.0706229	0.150769	0.0476462	0.0995696	0.00622345	0.153667	0.0344326	0.0718896	0.186016	0.0835823	0.0183459	0.640167	1.59824e-23	0.1386474	0.314904	0.301159	0.186582	0.197355	7.372623
70	-13533.2	-13508.9	-24.2847	0.367823	0.205729	0.224044	0.15149	0.196947	0.14344	0.191756	0.113454	0.179529	0.35584	0.123238	0.127412	0.253946	0.192786	0.274358	0.378191	0.319974	0.250105	0.194104	0.110698	0.209515	0.149179	0.999788	0.149736	0.0991259	0.11246	0.0548718	0.102692	0.0733478	0.0400037	0.235777	0.0286418	0.107247	0.0318714	0.0731318	0.019301	0.0983074	0.233423	0.0507922	0.0905694	0.0113538	0.187774	0.0476687	0.0686933	0.183787	0.093182	0.0218405	0.632497	3.9622e-23	0.1386474	0.347597	0.332426	0.123577	0.196401	7.561442
80	-13524.7	-13502.7	-21.9969	0.342799	0.162069	0.182272	0.12107	0.24438	0.118905	0.19308	0.144559	0.20612	0.370189	0.0932159	0.200804	0.241439	0.201775	0.231863	0.370486	0.318103	0.293668	0.169549	0.153397	0.21443	0.138194	0.923317	0.139107	0.0674036	0.0540348	0.0553998	0.0932021	0.0687102	0.0549922	0.235095	0.0223097	0.0719558	0.0322613	0.110725	0.0387353	0.0540863	0.182804	0.0730713	0.133174	0.00732035	0.181447	0.0229529	0.0665368	0.209411	0.0902567	0.0211548	0.612641	2.75021e-23	0.1205186	0.313892	0.3496	0.129961	0.206548	7.334474
90	-13516.1	-13489.7	-26.3671	0.27864	0.19887	0.184016	0.13859	0.30733	0.14582	0.231276	0.126928	0.172193	0.346407	0.111387	0.161303	0.252251	0.206659	0.210431	0.348258	0.318103	0.262748	0.234771	0.195166	0.157516	0.133692	1.09658	0.132233	0.0895739	0.0585068	0.0476264	0.158454	0.0652923	0.068345	0.153924	0.0575265	0.106453	0.033888	0.0588937	0.0959297	0.0454136	0.297097	0.0887704	0.137998	0.0701911	0.166837	0.0179889	0.0632339	0.24871	0.0857696	0.0201031	0.582183	7.90777e-22	0.1366825	0.313255	0.350918	0.129698	0.206129	7.769878
