Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	lambda	pi[1]	pi[2]	pi[3]	pi[4]	TL
10	0	-13568.6	-13547.9	-20.6524	0.304873	0.238246	0.213539	0.151076	0.262423	0.0963043	0.237828	0.1326	0.207125	0.404532	0.137044	0.160421	0.221686	0.189173	0.194994	0.314579	0.347449	0.192736	0.264396	0.143903	0.142924	0.146876	0.930414	0.0909228	0.0943506	0.0881286	0.0842889	0.126947	0.045373	0.0375243	0.205357	0.0132828	0.0819719	0.0283039	0.039242	0.0374211	0.0408811	0.200308	0.0652916	0.0920799	0.0126445	0.139091	0.0378597	0.110732	0.177401	0.0838514	0.0174963	0.61052	7.89824e-24	0.1566664	0.297099	0.308986	0.191432	0.202484	7.196407
11	1	-13499.7	-13478.3	-21.3333	0.26771	0.160149	0.21258	0.0842889	0.241418	0.132829	0.218875	0.116596	0.1938	0.352326	0.124117	0.19788	0.202929	0.164986	0.250702	0.318722	0.284489	0.250371	0.226818	0.0982932	0.140364	0.140593	1.19258	0.106105	0.174414	0.0825257	0.209162	0.112329	0.0644143	0.04889	0.0296513	0.113412	0.0612334	0.0455629	0.0396608	0.0406788	0.037296	0.0697503	0.120934	0.0410764	0.206241	0.0574114	0.0327604	0.0653846	0.244107	0.0894486	0.0175503	0.558254	0.0252547	0.132382	0.330706	0.355119	0.11952	0.194655	7.266923
12	0	-13568.1	-13545.7	-22.3965	0.292648	0.155664	0.202134	0.158554	0.262423	0.149357	0.246795	0.12568	0.157083	0.404532	0.159184	0.158949	0.187515	0.225631	0.28345	0.295008	0.291357	0.220177	0.287137	0.105049	0.205923	0.160514	0.930414	0.104327	0.114117	0.115877	0.0694974	0.17145	0.0424007	0.0520615	0.245173	0.0242517	0.0964195	0.0514854	0.0252728	0.0321802	0.0706229	0.150769	0.0476462	0.0995696	0.00622345	0.153667	0.0344326	0.0718896	0.186016	0.0835823	0.0183459	0.640167	1.59824e-23	0.1386474	0.314904	0.301159	0.186582	0.197355	7.372623
13	1	-13507.8	-13482.8	-24.9589	0.315146	0.166731	0.185153	0.165701	0.280853	0.171529	0.263108	0.163403	0.167748	0.352326	0.120478	0.177386	0.214097	0.224938	0.228099	0.277646	0.284489	0.246937	0.23626	0.101914	0.195516	0.140041	1.04883	0.09134	0.169324	0.161128	0.234418	0.16473	0.0647215	0.0392684	0.0688474	0.04372	0.0676241	0.0581235	0.0112029	0.067913	0.0347027	0.029804	0.136683	0.0778994	0.221712	0.0937832	0.0643365	0.0656246	0.245004	0.0716447	0.0176147	0.573789	0.0263229	0.1310896	0.325997	0.364301	0.117819	0.191883	7.629614
14	0	-13533.2	-13508.9	-24.2847	0.367823	0.205729	0.224044	0.15149	0.196947	0.14344	0.191756	0.113454	0.179529	0.35584	0.123238	0.127412	0.253946	0.192786	0.274358	0.378191	0.319974	0.250105	0.194104	0.110698	0.209515	0.149179	0.999788	0.149736	0.0991259	0.11246	0.0548718	0.102692	0.0733478	0.0400037	0.235777	0.0286418	0.107247	0.0318714	0.0731318	0.019301	0.0983074	0.233423	0.0507922	0.0905694	0.0113538	0.187774	0.0476687	0.0686933	0.183787	0.093182	0.0218405	0.632497	3.9622e-23	0.1386474	0.347597	0.332426	0.123577	0.196401	7.561442
15	1	-13502.6	-13476.2	-26.3743	0.257388	0.207219	0.232394	0.139392	0.307992	0.11872	0.266357	0.147835	0.233892	0.357106	0.127536	0.135089	0.179181	0.226575	0.236038	0.361335	0.334226	0.258004	0.198009	0.130549	0.201179	0.136985	1.2338	0.116961	0.206344	0.0747176	0.288696	0.137804	0.0403965	0.0172605	0.05457	0.0532212	0.0783016	0.023541	0.0232584	0.0266077	0.072475	0.0513334	0.140118	0.0777596	0.192606	0.0301227	0.0390488	0.0648177	0.260844	0.0707637	0.00688677	0.566734	0.0299544	0.1232038	0.327035	0.365461	0.115009	0.192494	7.771944
16	0	-13524.7	-13502.7	-21.9969	0.342799	0.162069	0.182272	0.12107	0.24438	0.118905	0.19308	0.144559	0.20612	0.370189	0.0932159	0.200804	0.241439	0.201775	0.231863	0.370486	0.318103	0.293668	0.169549	0.153397	0.21443	0.138194	0.923317	0.139107	0.0674036	0.0540348	0.0553998	0.0932021	0.0687102	0.0549922	0.235095	0.0223097	0.0719558	0.0322613	0.110725	0.0387353	0.0540863	0.182804	0.0730713	0.133174	0.00732035	0.181447	0.0229529	0.0665368	0.209411	0.0902567	0.0211548	0.612641	2.75021e-23	0.1205186	0.313892	0.3496	0.129961	0.206548	7.334474
17	1	-13504.4	-13478.7	-25.7606	0.309218	0.161073	0.192233	0.089991	0.227571	0.203655	0.218802	0.149307	0.163765	0.383284	0.17245	0.14054	0.271939	0.23019	0.233355	0.35579	0.300316	0.258004	0.26575	0.104964	0.201455	0.0935329	1.0251	0.144358	0.209899	0.067903	0.220027	0.220786	0.0574444	0.0561985	0.0830262	0.0445415	0.0931702	0.0356309	0.0287403	0.00514559	0.0826896	0.0301691	0.150605	0.0723001	0.205041	0.0759449	0.0746717	0.0664446	0.267391	0.0725399	0.00211398	0.561101	0.0304093	0.1232038	0.327035	0.365461	0.115009	0.192494	7.710575
18	0	-13516.1	-13489.7	-26.3671	0.27864	0.19887	0.184016	0.13859	0.30733	0.14582	0.231276	0.126928	0.172193	0.346407	0.111387	0.161303	0.252251	0.206659	0.210431	0.348258	0.318103	0.262748	0.234771	0.195166	0.157516	0.133692	1.09658	0.132233	0.0895739	0.0585068	0.0476264	0.158454	0.0652923	0.068345	0.153924	0.0575265	0.106453	0.033888	0.0588937	0.0959297	0.0454136	0.297097	0.0887704	0.137998	0.0701911	0.166837	0.0179889	0.0632339	0.24871	0.0857696	0.0201031	0.582183	7.90777e-22	0.1366825	0.313255	0.350918	0.129698	0.206129	7.769878
19	1	-13504.7	-13479.2	-25.4746	0.261259	0.131943	0.182389	0.113379	0.305937	0.189803	0.19474	0.12934	0.195694	0.323161	0.125833	0.131434	0.268366	0.215983	0.277989	0.299528	0.340137	0.322049	0.232064	0.108677	0.20795	0.10201	1.29664	0.0983837	0.238392	0.0619586	0.220027	0.154836	0.0541466	0.0610852	0.0456096	0.0209327	0.0426833	0.0596364	0.0228406	0.0147355	0.0762338	0.0265103	0.163182	0.0564638	0.177618	0.0615323	0.0683319	0.0613622	0.282078	0.0958096	0.00446532	0.532445	0.02384	0.1285092	0.327035	0.365461	0.115009	0.192494	7.681445
