Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6390.299	-6380.114	-10.18513	37.24561	1	0.0342837	0.0717858	0.0551371	0.122792	0.0589176	0.0621786	0.103502	0.061001	0.0871639	0.0197262	0.107773	0.0536536	0.0592238	0.0699418	0.08242928	0.01059334	0.0800229	0.560241	0.0246171	0.0135539	0.201455	0.12011	45.80744	0.03812606	-2.495815	0.136954	0.476752	1	2.38629	0.116848	0.107579	0.218677	0.556896	0.0487194	0.7825642
10	-3634.97	-3640.388	5.418181	4.532748	0.7060907	0.0269622	0.0399062	0.0230629	0.090135	0.0372343	0.0446839	0.0587252	0.0264544	0.0468352	0.0141576	0.0640848	0.0327632	0.0565546	0.0374971	0.04271957	0.06056155	0.0142222	0.733526	0.00603675	0.00538492	0.171836	0.0689948	21.00593	0.05169671	-3.153098	0.0754897	0.36639	0.927105	2.63102	0.3461	0.279854	0.168284	0.205762	0.1122583	0.4605159
20	-3367.416	-3376.696	9.279965	4.532748	0.4895525	0.0176382	0.0466594	0.0287136	0.0561596	0.0555016	0.0321159	0.0323133	0.0216181	0.0308518	0.0104145	0.050853	0.0233831	0.0376928	0.0195344	0.04423473	0.01104546	0.0133251	0.52117	0.0114333	0.00990313	0.396949	0.0472195	11.4461	0.03349371	-3.118245	0.0314681	0.245041	0.812515	2.91098	0.282092	0.302444	0.130545	0.284918	0.04453918	0.7520057
30	-3307.45	-3322.251	14.80117	3.726373	0.3158128	0.0197461	0.0417148	0.0237298	0.0625773	0.034938	0.0164264	0.0560061	0.0274683	0.0196452	0.0119046	0.0233283	0.021635	0.0369923	0.0267451	0.03381346	0.03549513	0.0241629	0.530681	0.00590586	0.00984015	0.409399	0.0200108	8.38484	0.01277222	-3.386896	0.00666539	0.116839	0.621427	3.25507	0.287059	0.316526	0.12507	0.271345	0.04826735	0.2646141
40	-3299.969	-3311.089	11.11974	3.624723	0.2509939	0.0280061	0.0284971	0.0272034	0.0903836	0.0352148	0.0131298	0.0725065	0.0365319	0.0257736	0.00808241	0.0328973	0.0251026	0.0286951	0.0270897	0.03348549	0.118102	0.0202416	0.475348	0.00393671	0.0045567	0.480067	0.0158502	9.184523	0.006417017	-3.396643	0.0021584	0.0674087	0.503577	3.42686	0.293841	0.311639	0.129974	0.264545	0.124519	0.05153443
50	-3294.99	-3307.686	12.69597	3.5388	0.2212931	0.0202355	0.037124	0.0213653	0.06876	0.0299186	0.0196688	0.0673725	0.0608677	0.030233	0.0131862	0.0143456	0.0204727	0.0387071	0.0182939	0.03200285	0.04574315	0.0190723	0.474116	0.00670974	0.00922309	0.475353	0.0155255	9.060675	0.02710456	-3.44193	0.00103208	0.0468914	0.436921	3.51516	0.282497	0.305826	0.140957	0.27072	0.07284772	0.3720715
60	-3301.228	-3308.889	7.661124	4.397751	0.1831676	0.020128	0.0418581	0.021176	0.0837127	0.0343303	0.0245935	0.0991982	0.041937	0.0257129	0.0155173	0.0147338	0.0202192	0.0510633	0.0219861	0.0221516	0.05128989	0.00746246	0.548158	0.00842541	0.0111509	0.419104	0.00569898	10.51858	0.05630528	-3.809846	0.000281596	0.024664	0.338323	3.63673	0.270764	0.309047	0.133107	0.287083	0.1075952	0.5233068
70	-3294.655	-3304.313	9.657529	3.667513	0.2043868	0.0173373	0.0297236	0.0233963	0.084375	0.0336117	0.0248909	0.0842129	0.0522359	0.0247236	0.0264538	0.0152037	0.0157775	0.0247375	0.0199313	0.02053628	-0.004160752	0.0145407	0.566021	0.00650965	0.00781919	0.401697	0.0034123	8.955349	0.09177084	-3.885562	0.000616047	0.036344	0.39501	3.56803	0.280062	0.306092	0.135105	0.27874	0.08761008	1.047492
80	-3299.577	-3308.039	8.462049	3.917936	0.1864189	0.0197063	0.0378942	0.0365511	0.0227171	0.0366996	0.0114077	0.0733438	0.0520305	0.0190748	0.0437641	0.0100743	0.0133407	0.0239358	0.0137489	0.0163545	0.07119355	0.0111885	0.481073	0.00433764	0.00273236	0.498485	0.00218349	12.02029	0.05281008	-4.113252	0.000321184	0.0263263	0.347294	3.62606	0.316811	0.291034	0.136945	0.255209	0.1240036	0.4258753
90	-3287.756	-3302.698	14.9426	4.063083	0.1739814	0.0171809	0.0310128	0.0274482	0.0356959	0.0283762	0.0147955	0.0339888	0.0405371	0.0188641	0.0457331	0.0169043	0.0102536	0.0246408	0.00992243	0.02096081	-0.09062692	0.0159556	0.559433	0.00599054	0.00441874	0.412535	0.00166782	13.38112	0.1474098	-3.865101	0.000189078	0.0202408	0.312453	3.66712	0.302163	0.290281	0.133088	0.274467	0.05678289	2.596025
100	-3292.119	-3305.326	13.20703	3.872836	0.2061749	0.017842	0.0336159	0.0375286	0.0361856	0.021086	0.0183711	0.0370688	0.0347852	0.0174642	0.0509508	0.0158245	0.0192526	0.0158079	0.0080873	0.02760138	-0.07681321	0.0182391	0.485748	0.00923641	0.00540881	0.478679	0.00268877	15.88761	0.1318013	-3.589889	0.00065322	0.0374121	0.399581	3.56235	0.293272	0.30914	0.128025	0.269563	0.05498806	2.396907
