Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
140	-17.227	0	-17.227	37.2069	1.083202	0.07581	0.184228	0.0552286	0.32272	0.0249137	0.238312	0.0319287	0.0159735	0.0717189	0.69453	0.0774806	0.55769	0.274961	0.137902	0.2397013	-0.01493839	0.538992	0.079582	0.0408212	0.10143	0.204624	0.0345501	44.20669	0.05612519	0.15325	0.500407	1.01253	2.33382	0.0672121	0.521803	0.172697	0.238288	0.04118681	1.362698
150	-7.52449	0	-7.52449	31.33988	0.9981076	0.0327675	0.0430984	0.0479222	0.281284	0.017701	0.146279	0.0139454	0.0466939	0.086089	0.199688	0.0718723	0.251492	0.185601	0.138054	0.132305	0.04248632	0.54164	0.108819	0.0657461	0.108828	0.069813	0.105153	43.05702	0.01385657	0.136576	0.476182	0.999686	2.38756	0.163148	0.304382	0.333048	0.199422	0.05634289	0.2459328
160	-4.17261	0	-4.17261	20.61416	0.8496651	0.021558	0.0542985	0.0316083	0.290311	0.0156313	0.0424891	0.0277	0.0468654	0.0838581	0.0875877	0.101974	0.270355	0.193242	0.13864	0.1342355	0.0006235157	0.185133	0.530779	0.0292646	0.141372	0.0489149	0.064537	33.96312	0.02010894	0.106075	0.426387	0.96982	2.49772	0.169236	0.363423	0.23518	0.23216	0.02073246	0.9699256
170	2.85925	0	2.85925	5.730352	1.07778	0.0212061	0.0408841	0.0441777	0.21343	0.0154285	0.0568168	0.0386949	0.0303428	0.103513	0.127479	0.0870863	0.183695	0.120039	0.111462	0.1119296	0.1457276	0.24972	0.274771	0.0465204	0.085174	0.125728	0.218087	29.70511	0.01539459	0.152207	0.498944	1.01178	2.33707	0.105574	0.327528	0.220162	0.346736	0.1611222	0.09554606
180	1.84187	0	1.84187	14.16689	1.092892	0.0401925	0.0437117	0.0817558	0.107164	0.0277071	0.0722958	0.0487882	0.0312405	0.0792997	0.1488	0.0495738	0.0719705	0.0894562	0.142567	0.1063297	0.007903901	0.20474	0.0624017	0.0786702	0.169426	0.314005	0.170757	29.48879	0.03053486	0.155107	0.502996	1.01383	2.32806	0.220315	0.129533	0.390665	0.259487	0.03843876	0.7943768
190	3.27706	0	3.27706	11.10822	1.166997	0.0346246	0.0479931	0.0793905	0.0661467	0.0279937	0.0728828	0.0501486	0.0268221	0.048535	0.169976	0.024807	0.0376677	0.104022	0.135737	0.08887236	0.05015124	0.0755405	0.0375634	0.00869779	0.221216	0.378445	0.278537	27.39909	0.05353285	0.169021	0.521773	1.02297	2.28624	0.125583	0.171578	0.232205	0.470635	0.1036841	0.5163073
200	-8.9129	0	-8.9129	8.422179	1.022976	0.101169	0.0908182	0.150694	0.139548	0.153119	0.148078	0.137704	0.0937452	0.0656957	0.247383	0.0691212	0.163752	0.313349	0.376213	0.1174665	0.3215387	0.0574779	0.153045	0.00199113	0.55216	0.151647	0.0836784	11.75423	0.03491478	0.141515	0.483551	1.00371	2.37123	0.115047	0.0380056	0.755957	0.0909905	0.3564534	0.09795047
210	-10.7133	0	-10.7133	3.309736	0.985365	0.169908	0.114756	0.352421	0.265552	0.151895	0.382139	0.272384	0.196724	0.111769	0.23136	0.156653	0.351457	0.616917	0.402915	0.1922357	0.2641594	0.103673	0.309244	0.00422579	0.414649	0.131769	0.0364403	46.82917	0.03850567	0.134025	0.472308	0.997532	2.39614	0.308056	0.115869	0.499401	0.0766738	0.3026651	0.127222
220	-9.38023	0	-9.38023	7.407105	0.9408179	0.146923	0.073783	0.270942	0.118513	0.0938841	0.608396	0.158893	0.247865	0.0700155	0.247837	0.128579	0.280462	0.202303	0.476901	0.1742194	0.2866475	0.533063	0.176039	0.00225808	0.147614	0.100429	0.0405962	20.10644	0.01319768	0.124999	0.458211	0.989457	2.42733	0.176098	0.503904	0.316135	0.00386293	0.2998452	0.044015
230	-10.9591	0	-10.9591	8.035719	0.9362401	0.107757	0.121394	0.115236	0.0875347	0.0939462	0.816214	0.280163	0.139405	0.049197	0.118079	0.207118	0.261332	0.332577	0.139529	0.2628336	0.2899517	0.26746	0.123006	0.000898775	0.23973	0.190928	0.177977	44.47817	0.006923529	0.124063	0.456711	0.988576	2.43065	0.0607583	0.119009	0.819432	0.000800195	0.2968752	0.02332135
