Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
130	-3318.359	-3308.433	-9.925891	0.6240488	0.1710719	0.575326	0.377553	0.553252	0.273175	0.39339	0.157301	0.20139	0.00581378	0.244003	0.443315	0.0995486	0.316585	0.288292	0.415485	0.287107	0.05926985	0.00607002	0.357045	0.00964592	0.0125812	0.60159	0.0130681	0.04223166	0.000165184	0.0189275	0.304106	3.6768	0.302751	0.29728	0.14125	0.25872	0.1015015	0.4160693
140	-3315.724	-3305.439	-10.28525	0.720274	0.1543698	0.706073	0.316581	0.201947	0.315456	0.553224	0.167485	0.212792	0.00525199	0.211563	0.143212	0.573587	0.082448	0.508665	0.0560582	0.2265343	0.1679896	0.00772227	0.461971	0.00420033	0.0119656	0.490682	0.0234593	0.0648542	6.89055e-05	0.0122553	0.254964	3.73271	0.29211	0.296514	0.146826	0.26455	0.2328438	0.2785309
150	-3314.815	-3308.656	-6.158639	0.6588741	0.1445847	0.716119	0.237521	0.185513	0.247447	0.144815	0.0645836	0.10749	0.0062575	0.566532	0.142415	0.207903	0.0421966	0.383583	0.0482244	0.2380766	0.02523731	0.00723612	0.624712	0.00347606	0.0096387	0.333145	0.0217922	0.1267648	3.75786e-05	0.00906259	0.225436	3.76546	0.298426	0.304419	0.120522	0.276632	0.1520021	0.8339674
160	-3317.864	-3307.482	-10.38232	0.4276121	0.1879688	0.460585	0.331251	0.589856	0.337495	0.373073	0.122991	0.321686	0.0135154	0.51687	0.509256	0.132843	0.120698	0.197061	0.0516183	0.2094251	-0.07037457	0.00549646	0.5352	0.00412379	0.0127015	0.428373	0.0141046	0.1805533	0.000341421	0.0271357	0.351536	3.62099	0.280132	0.30839	0.133502	0.277976	0.1101788	1.638731
170	-3317.466	-3310.552	-6.914132	0.722624	0.1852152	0.505171	0.484682	0.205798	0.418147	0.207838	0.0417547	0.200231	0.00625151	0.174541	0.304451	0.0657621	0.0464907	0.506214	0.00391234	0.2215362	-0.08994803	0.0117237	0.461637	0.00643009	0.0175486	0.497489	0.00517211	0.2250506	0.000306083	0.0257052	0.343985	3.63	0.293563	0.294623	0.131106	0.280708	0.1351026	1.665776
180	-3314.374	-3304.536	-9.837632	0.6519787	0.1757867	0.845246	0.298915	0.166986	0.366557	0.154969	0.0194082	0.158252	0.0347168	0.263043	0.20304	0.71701	0.0645132	0.585745	0.0313814	0.3603349	-0.02661184	0.0116503	0.503277	0.0067468	0.0112471	0.464222	0.00285704	0.09767303	0.000205148	0.0210773	0.317596	3.66112	0.321862	0.287502	0.12713	0.263506	0.07106119	1.374492
190	-3319.617	-3306.14	-13.47684	0.5807016	0.1758957	0.634761	0.3802	0.290662	0.770381	0.512901	0.108177	0.607984	0.0408057	0.16961	0.220932	0.151152	0.0629237	0.29135	0.0385444	0.4988858	-0.04407325	0.00840842	0.507228	0.00760366	0.00776575	0.467867	0.00112669	0.1114874	0.00020615	0.0211283	0.317905	3.66076	0.323205	0.286756	0.145043	0.244996	0.06741413	1.653769
200	-3323.999	-3303.428	-20.57154	0.413504	0.1663023	0.746371	0.453716	0.763072	0.359601	1.63845	0.351505	0.807507	0.0546865	0.31082	0.617661	0.704028	0.0407137	0.280661	0.0389355	0.5451424	-0.1663242	0.00811374	0.459541	0.00439673	0.0120918	0.512431	0.00342575	0.2227027	0.000131019	0.0168693	0.290275	3.69273	0.294191	0.290945	0.141091	0.273772	0.05637858	3.950131
210	-3323.535	-3308.223	-15.31271	0.5791146	0.1260034	1.25432	0.807459	0.302807	0.24804	0.262263	0.109889	0.316336	0.0183353	0.62234	0.308928	0.0717963	0.197331	0.733021	0.0408274	0.3245605	0.1918261	0.009273	0.495288	0.00405266	0.00866186	0.481887	0.00083789	0.08773237	9.16464e-06	0.00448576	0.168949	3.82656	0.290624	0.304529	0.144598	0.260249	0.2795585	0.3138247
220	-3312.367	-3302.075	-10.29225	0.441643	0.1593111	0.648576	0.387177	0.188229	0.458606	0.28029	0.0976991	0.272535	0.0260327	0.476688	0.192606	0.0855355	0.0781581	0.770047	0.0811548	0.2171322	-0.1517214	0.0104671	0.542774	0.00323194	0.00798812	0.43269	0.00284919	0.2322375	9.09714e-05	0.0140715	0.269697	3.71614	0.309622	0.304551	0.122381	0.263446	0.08051607	2.884362
230	-3310.864	-3305.579	-5.284877	0.7247051	0.1804174	0.570619	0.343572	0.222506	0.255461	0.303453	0.0587436	0.182203	0.0167907	0.107809	0.325446	0.0392865	0.0708334	0.291228	0.224418	0.2076538	0.003013938	0.0159054	0.505004	0.00372362	0.00619322	0.463886	0.0052878	0.1375949	0.000251009	0.0232968	0.330658	3.64579	0.301616	0.304822	0.132208	0.261355	0.1406088	0.9785651
240	-3304.982	-3303.975	-1.007722	0.6255622	0.1808333	0.478581	0.264759	0.228768	0.2062	0.0946576	0.0462935	0.10921	0.0218988	0.247631	0.182599	0.152354	0.127336	0.32932	0.0540021	0.1838619	-0.04448708	0.0132369	0.457977	0.00380838	0.0164242	0.502185	0.00636856	0.07265085	0.000255469	0.0235012	0.331821	3.64442	0.302026	0.291478	0.13525	0.271246	0.02816377	2.579586
250	-3313.19	-3305.02	-8.170226	0.7198866	0.1670037	0.485241	0.303718	0.178293	0.15763	0.167915	0.11624	0.140902	0.0292693	0.239026	0.146523	0.121559	0.314593	0.823541	0.0817491	0.2741399	0.02902905	0.0120186	0.507514	0.00313624	0.00888567	0.454571	0.0138748	0.1586579	0.000135673	0.0171645	0.292319	3.69038	0.275733	0.307811	0.138277	0.27818	0.1876869	0.8453326
260	-3314.78	-3308.036	-6.743457	0.7677882	0.1675534	0.582145	0.379266	0.244888	0.219242	0.124808	0.0757702	0.173237	0.0207133	0.0382331	0.224251	0.259031	0.227171	0.464895	0.0381444	0.1893141	-0.04162501	0.0128893	0.469483	0.00464222	0.00578	0.490568	0.0166368	0.211979	0.000139407	0.0173976	0.29392	3.68854	0.304018	0.305957	0.134679	0.255346	0.170354	1.244344
270	-3311.905	-3304.803	-7.101132	0.7235384	0.1586763	0.577398	0.232156	0.156591	0.229436	0.19978	0.0822958	0.18895	0.0440655	0.133143	0.28782	0.436705	0.262642	0.442306	0.0587109	0.2090483	-0.1126514	0.00933187	0.587413	0.00338801	0.0059314	0.387305	0.00663085	0.207084	8.78673e-05	0.0138306	0.267813	3.71827	0.313234	0.293574	0.13006	0.263132	0.09443264	2.192929
280	-3304.344	-3299.01	-5.334217	0.5211686	0.1896924	0.611655	0.347705	0.234037	0.239795	0.164761	0.0308561	0.173755	0.145087	0.134631	0.529871	0.0156967	0.0816605	0.173987	0.284701	0.2403174	0.02239245	0.0108337	0.471653	0.00241104	0.0134011	0.491176	0.0105256	0.07505993	0.000364998	0.0280487	0.356225	3.61536	0.291929	0.311393	0.136255	0.260423	0.09745239	0.7702216
290	-3312.503	-3306.775	-5.728759	0.738305	0.1520852	0.618699	0.240981	0.0891587	0.55757	0.425752	0.0496719	0.153723	0.243616	0.143984	0.0800633	0.079144	0.127972	0.270735	0.143527	0.1635296	-0.09674618	0.0131051	0.425919	0.00234508	0.0118119	0.532593	0.0142261	0.1351912	6.02305e-05	0.0114616	0.248107	3.74037	0.309997	0.303561	0.127115	0.259327	0.03844505	3.516479
300	-3298.74	-3299.207	0.4667675	0.7002622	0.163758	0.493976	0.290218	0.100967	0.228379	0.323971	0.0535398	0.0866993	0.175388	0.0986051	0.0629395	0.024389	0.126911	0.215386	0.0326873	0.1274956	0.02264719	0.011173	0.516922	0.00219902	0.00461818	0.454112	0.0109758	0.03351914	0.000115145	0.0158206	0.282825	3.70124	0.321473	0.285098	0.148457	0.244972	0.05616633	0.5967835
310	-3298.258	-3296.386	-1.87226	0.6928519	0.1784106	0.37332	0.294531	0.0770552	0.215671	0.068722	0.00454759	0.0878668	0.139137	0.309513	0.175803	0.188378	0.0622067	0.523413	0.170172	0.1808303	-0.02376856	0.0192342	0.554987	0.00170044	0.00370996	0.410358	0.0100111	0.06361528	0.00023029	0.022322	0.325021	3.65243	0.286897	0.316472	0.128825	0.267807	0.03984672	1.5965
320	-3305.186	-3299.983	-5.203268	0.8731951	0.1640192	1.01471	0.397388	0.131662	0.360333	0.1002	0.0139575	0.111243	0.188048	0.201829	0.0359579	0.0132951	0.0885244	0.24597	0.195311	0.2577823	-0.06163388	0.00972857	0.541742	0.00162578	0.00324349	0.427114	0.016546	0.1037949	0.000116704	0.0159267	0.283592	3.70036	0.311358	0.300741	0.119331	0.26857	0.04216104	2.461868
330	-3297.443	-3295.169	-2.273717	0.6760135	0.1996656	0.801304	0.321925	0.0812744	0.148294	0.0627133	0.0541405	0.0956246	0.115148	0.20565	0.0770359	0.0728817	0.185367	0.220915	0.0374403	0.1710881	-0.09643576	0.0185873	0.527007	0.00626716	0.00338445	0.437462	0.00729183	0.1829062	0.000525091	0.0335828	0.382785	3.58311	0.296833	0.293212	0.137888	0.272067	0.08647044	2.115245
340	-3302.282	-3300.45	-1.83163	0.7642141	0.2042944	0.281535	0.24812	0.0797303	0.333605	0.0588679	0.0284477	0.175758	0.253714	0.0378879	0.0765564	0.0558364	0.310271	0.420946	0.143034	0.1345823	-0.02719614	0.0262705	0.42454	0.00601492	0.0172038	0.522945	0.00302564	0.1066622	0.000614167	0.0362891	0.394773	3.56832	0.300994	0.294598	0.140124	0.264284	0.07946605	1.342236
350	-3301.938	-3302.476	0.5370886	0.7018733	0.2428507	0.334616	0.249955	0.109732	0.154637	0.0492316	0.0869365	0.100712	0.120413	0.166525	0.0360892	0.103969	0.186227	0.369178	0.0819396	0.1155507	-0.02640088	0.0255736	0.559042	0.000957919	0.019862	0.392123	0.00244121	0.1031691	0.00179514	0.0615776	0.486164	3.45046	0.280438	0.299901	0.128493	0.291168	0.07676817	1.343904
360	-3310.779	-3309.103	-1.675952	0.8249853	0.2300892	0.370079	0.230374	0.0698539	0.327382	0.0400618	0.159982	0.172435	0.140972	0.0754835	0.134579	0.06486	0.164226	0.492681	0.108931	0.1277231	0.07871941	0.0198218	0.476807	0.000670863	0.0280803	0.471516	0.00310415	0.01945357	0.00130994	0.0527367	0.457575	3.48838	0.289088	0.298195	0.121331	0.291385	0.09817298	0.198156
370	-3306.144	-3304.068	-2.076324	0.6521993	0.1945601	0.668231	0.270484	0.286322	0.218521	0.0937845	0.132764	0.0791138	0.186033	0.0404462	0.199771	0.0288446	0.2167	0.193741	0.0619596	0.1996856	-0.07562416	0.0148963	0.48082	0.00121313	0.0247134	0.476646	0.00171116	0.09962519	0.000437933	0.0306973	0.369312	3.59955	0.300711	0.273119	0.141689	0.284481	0.02400103	4.150871
380	-3308.71	-3304.058	-4.652106	0.7953467	0.172536	0.699987	0.233566	0.124586	0.30959	0.269908	0.211097	0.107169	0.152211	0.0517864	0.0872956	0.00724297	0.0686808	0.43636	0.211258	0.2072018	0.004320498	0.0143862	0.57733	0.000523547	0.0111992	0.395509	0.00105174	0.1052605	0.000176905	0.019583	0.308315	3.67193	0.318592	0.301473	0.124755	0.25518	0.109581	0.9605726
390	-3310.923	-3307.305	-3.618386	0.5406982	0.1323485	0.600516	0.46977	0.14019	0.325584	0.0588602	0.0415033	0.123325	0.103759	0.0383626	0.075758	0.0348724	0.305986	0.206915	0.185375	0.1847183	0.07623123	0.0167648	0.632461	0.000799239	0.00409692	0.344778	0.00110006	0.1007725	1.55154e-05	0.00583226	0.188197	3.80596	0.292014	0.302678	0.127225	0.278082	0.1770037	0.5693241
400	-3305.221	-3297.539	-7.682243	0.5895806	0.1990942	0.610097	0.291742	0.235452	0.376453	0.126709	0.0229293	0.115824	0.251499	0.019551	0.131078	0.0923139	0.125464	0.239176	0.0195946	0.3554385	0.05650079	0.0254675	0.451408	0.000779272	0.0049374	0.513074	0.00433363	0.1324577	0.000514771	0.0332545	0.38129	3.58494	0.302993	0.2844	0.138705	0.273902	0.1889584	0.7009883
410	-3311.13	-3309.118	-2.011836	0.5135656	0.169546	0.42901	0.353905	0.219981	0.386944	0.0516645	0.0143165	0.162726	0.174503	0.157895	0.183044	0.211457	0.199122	0.151433	0.0218326	0.1644394	0.0758288	0.0171646	0.458709	0.00168837	0.000784067	0.514631	0.00702302	0.01711761	0.0001536	0.0182561	0.2997	3.68189	0.275356	0.309464	0.124381	0.290799	0.09294641	0.1841664
420	-3310.121	-3298.848	-11.27311	0.3696928	0.1889131	0.489964	0.21153	0.262946	0.515115	0.104256	0.0434852	0.28252	0.384823	0.0528708	0.282786	0.0970021	0.39349	0.171556	0.659247	0.1759969	0.1031901	0.0189567	0.56448	0.00411732	0.00159081	0.397911	0.0129448	0.1268624	0.000354197	0.0276343	0.354108	3.6179	0.307857	0.305861	0.134573	0.251709	0.2300525	0.5514498
430	-3301.133	-3298.812	-2.320812	0.4818775	0.2328068	0.421764	0.216391	0.121933	0.227765	0.494925	0.0453643	0.201208	0.131408	0.00446119	0.112268	0.298683	0.243097	0.161805	0.203292	0.2024847	-0.01296272	0.0199258	0.557888	0.00260866	0.00227655	0.405839	0.0114622	0.0263101	0.00140492	0.0545857	0.463799	3.48021	0.277497	0.307	0.127542	0.287961	0.01334738	1.971181
440	-3299.856	-3296.964	-2.891823	0.5649891	0.2130141	0.438003	0.212555	0.104227	0.315684	0.155458	0.0187267	0.199678	0.165596	0.000388795	0.21025	0.289261	0.456138	0.190438	0.212278	0.1841947	-0.01926219	0.0127867	0.439661	0.00525351	0.00559192	0.523505	0.013202	0.03971343	0.000809894	0.0416044	0.416762	3.54082	0.313268	0.293199	0.138646	0.254886	0.02045124	1.941859
450	-3302.198	-3298.057	-4.14081	0.7307352	0.1825587	0.741216	0.268726	0.0864255	0.304067	0.500671	0.0401236	0.15135	0.168696	0.00305947	0.0597985	0.0862242	0.139476	0.3541	0.0157887	0.1694262	0.05718069	0.0152115	0.527594	0.00430372	0.00704599	0.426059	0.019786	0.07351758	0.0002746	0.0243582	0.336632	3.63873	0.309659	0.304515	0.125247	0.260579	0.1306983	0.5624985
460	-3304.228	-3301.278	-2.950066	0.6950053	0.1887435	0.585047	0.270484	0.0949171	0.222099	0.0248941	0.00815033	0.0781315	0.146719	0.0065153	0.264651	0.380637	0.0979364	0.471811	0.0697	0.1630427	0.09147471	0.0060225	0.467717	0.00335721	0.0160394	0.490474	0.01639	0.04482597	0.000351877	0.0275444	0.353647	3.61846	0.283019	0.323586	0.125897	0.267499	0.1363007	0.3288756
