Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
140	-3317.59	-3299.25	-18.3415	0.112544	0.1937583	0.228584	0.668408	0.705919	0.454984	1.39693	1.32764	0.880276	0.641882	0.547349	1.40773	1.05243	1.25437	0.861666	0.393924	0.008284199	0.03099352	0.0123712	0.532294	0.012702	0.00750339	0.433955	0.00117447	0.08956538	0.000425256	0.030254	0.367172	3.60215	0.283826	0.31518	0.147549	0.253445	0.1205589	0.742918
150	-3319.46	-3301.13	-18.3273	0.112544	0.1994151	0.351948	0.707035	0.877622	0.593636	1.40799	1.09406	1.15143	0.72752	0.394323	1.34025	1.57429	1.03071	0.504046	0.432461	0.0103905	-0.01220114	0.0129591	0.606832	0.00846686	0.00699155	0.363721	0.00102929	0.1469489	0.000520549	0.0334387	0.38213	3.58391	0.283996	0.310099	0.133005	0.272899	0.1347477	1.090548
160	-3319.03	-3297.99	-21.0389	0.1092913	0.2135768	0.19772	0.853814	0.832853	0.662946	1.1435	1.29949	0.783919	0.90346	0.482066	1.21876	1.73042	1.55613	0.518279	0.266952	0.0164664	-0.04698176	0.0104083	0.546534	0.010795	0.00395321	0.426987	0.00132237	0.1519124	0.000823843	0.0419567	0.418155	3.53906	0.312023	0.297459	0.131543	0.258975	0.1049306	1.447741
170	-3317.38	-3295.07	-22.3187	0.1092913	0.158322	0.301655	0.893964	1.13855	0.535285	1.03282	2.31825	0.525835	0.715295	0.325376	0.709559	1.68247	1.21251	0.360042	0.287865	0.009880866	0.1167271	0.0129293	0.559376	0.0106907	0.00476751	0.410871	0.00136568	0.1228565	8.61706e-05	0.0136972	0.26676	3.71946	0.301439	0.303813	0.143927	0.250821	0.2395836	0.5127919
180	-3327.84	-3304.94	-22.8944	0.1092913	0.2038946	0.499017	1.15949	1.14712	0.450977	1.02462	1.80736	0.597279	0.829343	0.237124	0.995146	1.5991	2.31481	0.578955	0.594637	0.01865632	-0.03587166	0.0137968	0.488644	0.0069885	0.00699794	0.482694	0.000879045	0.2558724	0.000606082	0.0360521	0.393746	3.5696	0.297577	0.296398	0.121009	0.285016	0.2200007	1.163052
190	-3323.02	-3300	-23.0252	0.1092913	0.1718704	0.478736	1.17648	0.948582	0.545555	1.16264	2.09872	0.808083	0.994934	0.364567	1.34673	2.21847	2.25977	0.618089	0.396698	0.04423645	0.05772265	0.0150278	0.443353	0.00334557	0.0111344	0.525758	0.00138055	0.1419658	0.000171502	0.0192836	0.306404	3.67414	0.279059	0.303108	0.161944	0.255888	0.1996884	0.7109364
200	-3317.08	-3296.1	-20.9786	0.1092913	0.1537076	0.603301	0.762982	1.18433	0.466961	1.15747	2.54365	0.756777	0.85592	0.476464	1.84268	2.12075	1.64431	0.849095	0.697519	0.03766803	0.1257786	0.0106876	0.491295	0.00443965	0.0100458	0.482007	0.0015256	0.04479499	6.62972e-05	0.0120223	0.252979	3.73493	0.284701	0.318314	0.128122	0.268862	0.1705736	0.2626139
210	-3317.87	-3299.16	-18.7043	0.1420126	0.1468351	0.462596	0.847367	1.59706	0.483423	1.25108	0.851149	0.470922	0.891509	0.487239	0.692389	2.12391	0.754509	0.458147	0.813021	0.03176417	-0.05400153	0.00825299	0.453477	0.00659388	0.0100689	0.520605	0.00100196	0.1760083	4.35125e-05	0.00974896	0.23226	3.75795	0.315962	0.305029	0.13139	0.24762	0.1220067	1.442611
220	-3314.76	-3298.15	-16.6118	0.1420126	0.1365713	0.569735	0.790475	0.896238	0.477291	1.16502	1.16803	0.639361	0.768625	0.317763	0.928722	1.37892	0.714089	0.524771	1.04411	0.02482055	0.06090872	0.00782785	0.492696	0.00542882	0.00682804	0.485947	0.00127238	0.08484708	2.14359e-05	0.00685174	0.201055	3.79207	0.280433	0.309462	0.147938	0.262167	0.1457558	0.582118
230	-3323.63	-3303.72	-19.9097	0.1288466	0.1894311	0.322903	0.901983	0.521931	0.696187	1.71579	1.37907	0.386104	1.14351	0.591529	1.46721	1.78477	2.55132	0.73441	0.675979	0.008825636	0.03207372	0.0120612	0.482902	0.00447357	0.00589927	0.49353	0.00113484	0.01957941	0.00036135	0.0279094	0.355516	3.61621	0.293954	0.315262	0.134353	0.25643	0.05165313	0.3790556
240	-3312.5	-3294.33	-18.1754	0.1296107	0.1814315	0.285616	0.72327	0.65301	0.44476	1.05701	1.19724	0.679373	1.15577	0.43672	1.01267	1.39637	2.38379	1.08869	0.487648	0.0123404	0.0685352	0.00830965	0.508067	0.00784811	0.010308	0.464185	0.00128159	0.005170318	0.000261987	0.0237967	0.333492	3.64245	0.281698	0.311121	0.134979	0.272202	0.07370552	0.07014831
250	-3315.59	-3297.74	-17.8493	0.1206089	0.1514176	0.228837	0.794211	0.458864	0.47461	1.22816	0.403387	0.744907	1.00671	0.398066	0.914923	0.706518	1.6426	0.675668	0.886662	0.01735012	0.1113754	0.00697376	0.461449	0.0105794	0.0050598	0.515291	0.000647138	0.02356692	5.78635e-05	0.0112352	0.246098	3.74261	0.293888	0.305364	0.148875	0.251873	0.1349423	0.1746444
260	-3322.02	-3304.94	-17.0763	0.1287479	0.1488156	0.649563	0.783547	0.484274	0.397617	0.896881	0.649594	0.333204	1.33797	0.40878	2.04335	0.851175	0.687843	0.798667	0.543814	0.008559849	0.1197131	0.00733676	0.534679	0.00882009	0.00355433	0.444921	0.000688198	0.028158	4.93231e-05	0.0103767	0.238251	3.75132	0.313177	0.280632	0.125925	0.280266	0.1478711	0.1904226
270	-3321.61	-3303.21	-18.3983	0.113706	0.1165899	0.585639	1.19312	0.390529	0.604156	1.04298	0.473515	0.615899	1.84894	0.59553	1.95222	1.25564	0.540368	0.647889	0.640758	0.005748601	0.2263017	0.00652208	0.617102	0.00784071	0.00679979	0.361273	0.000462583	0.03445249	3.77543e-06	0.00288212	0.140794	3.85632	0.302112	0.295026	0.142254	0.260609	0.2607542	0.1321263
280	-3314.97	-3298.49	-16.4768	0.1304759	0.1347734	0.541686	0.820345	0.362834	0.382455	0.948742	0.56781	0.617253	0.844821	0.35234	0.876108	1.17381	0.590413	0.799676	0.607502	0.00540218	0.2834216	0.00438868	0.542155	0.00746208	0.00856353	0.436069	0.00136183	0.01430368	1.87262e-05	0.00640548	0.195578	3.798	0.306671	0.287282	0.13852	0.267527	0.2977252	0.04804321
290	-3316.05	-3298.65	-17.3956	0.1357994	0.1607396	0.346556	0.909618	0.553853	0.359193	1.14638	0.593789	1.10566	0.944027	0.471894	1.15618	1.05926	0.8404	1.20132	0.426123	0.003169443	0.2876139	0.00803098	0.509832	0.00584602	0.00623808	0.468325	0.001728	0.002034759	9.82652e-05	0.0146216	0.273929	3.71135	0.294207	0.293814	0.139436	0.272543	0.2896487	0.007024919
300	-3318.38	-3301.22	-17.156	0.1244008	0.1767552	0.288074	0.851149	0.636868	0.672596	2.18014	0.851948	1.09882	1.00583	0.648185	1.29071	1.00873	1.54928	0.987896	0.5156	0.001365241	0.07320517	0.0103375	0.48782	0.00842357	0.0034746	0.483923	0.00602096	0.003579742	0.000214177	0.0215327	0.320343	3.65791	0.286417	0.312643	0.137091	0.263849	0.07678491	0.04662039
310	-3322.74	-3303.93	-18.8098	0.1244008	0.1818372	0.581551	2.13736	0.487448	0.823043	1.81131	0.75026	0.892578	0.993956	0.295692	0.929451	1.07158	1.25136	0.95641	0.419932	0.0008681332	0.2122608	0.0101323	0.476797	0.00645296	0.0048833	0.496318	0.00541604	0.005166056	0.000266476	0.0239981	0.334624	3.64111	0.305294	0.29292	0.139407	0.262379	0.2174268	0.02375998
320	-3323.11	-3305.71	-17.4013	0.1290644	0.1524889	0.386188	1.18139	0.963146	0.551567	1.81131	0.5799	0.989905	1.17827	0.392619	0.768134	1.227	0.97799	1.46354	0.444764	0.001019219	0.1027791	0.00881522	0.538851	0.00820666	0.0102124	0.431802	0.00211204	0.02339905	6.16978e-05	0.0115997	0.24932	3.73902	0.311173	0.301469	0.124791	0.262567	0.1261782	0.1854445
330	-3317.11	-3300.29	-16.8274	0.13	0.1816544	0.520197	0.662105	0.51619	0.652558	0.766031	0.927586	0.924673	1.67736	0.466843	0.666262	0.438581	0.507543	1.33198	0.34073	0.001083722	0.1443779	0.0103781	0.467628	0.00523512	0.00886257	0.502605	0.00529187	0.05998754	0.000264446	0.0239073	0.334114	3.64171	0.302009	0.30737	0.138223	0.252399	0.2043655	0.2935307
340	-3313.11	-3296.79	-16.3228	0.1257766	0.1560351	0.54111	0.863507	0.619282	0.624478	0.802393	0.538636	0.573613	1.617	0.574419	0.914976	0.717118	0.367093	0.823218	0.311689	0.0006293356	0.06666881	0.00977218	0.493808	0.00457997	0.00581618	0.483072	0.00295119	0.09907716	7.58177e-05	0.0128523	0.259945	3.72713	0.296785	0.295706	0.140005	0.267504	0.165746	0.5977651
