Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
10	0	-4106.791	-3866.783	-240.0082	5.626847	0.1832771	3.303112	0.222989	0.308224	0.205815	0.179107	0.507098	0.385335	0.123134	0.051247	0.0647034	0.0657742	0.0513791	0.0799425	0.551741	0.223539	0.0708091	0.0893661	0.217264	0.561108	0.352995	0.165452	0.188191	0.0682776	0.158458	0.109979	0.0676374	0.0569684	0.0956155	0.193871	0.460211	0.241428	0.364316	0.213672	0.292134	0.140923	0.125471	0.106233	0.356135	0.177723	0.1653472	0.04891338	-0.1059892	0.0111649	0.406444	0.00146563	0.0142053	0.565277	0.00144326	5.912561	0.1294505	-1.799708	0	40.86436	0.04358532	0.000282867	0.0247192	0.338627	3.63637	0.411432	0.74704	1.08365	1.75788	0.289704	0.305482	0.137761	0.267052	0.0234613	5.517617
11	1	-3949.475	-3820.79	-128.6849	5.957805	0.2199069	0.5714314	0.0740821	0.093352	0.0900082	0.0509755	0.0321112	0.0673887	0.0592117	0.00482336	0.0708142	0.0379655	0.00988154	0.0357288	0.0507791	0.136993	0.047852	0.145172	0.0404001	0.0936893	0.0560215	0.0549271	0.0185654	0.0432825	0.0198636	0.0424062	0.017589	0.0694927	0.0864433	0.184355	0.0334282	0.143573	0.105942	0.120047	0.0994511	0.201422	0.0787166	0.11788	0.032022	0.0854913	0.06000798	0.03706258	0.002624249	0.0112929	0.569491	0.00140634	0.0179253	0.385194	0.0146906	6.109487	0.1400424	-2.813278	1	40.76387	0.1776502	0.00099229	0.0459909	0.433595	3.51942	0.0472745	0.296014	0.866013	2.7907	0.290764	0.287602	0.134688	0.286946	0.1426667	0.9816057
12	0	-4059.044	-3831.742	-227.3015	5.626847	0.1513454	2.491486	0.154268	0.189951	0.156805	0.131129	0.370031	0.354878	0.0789972	0.0336116	0.103396	0.0492416	0.041866	0.0678794	0.462467	0.229664	0.0883537	0.207664	0.214494	0.533374	0.146438	0.156385	0.153718	0.0659877	0.149305	0.0682557	0.0808682	0.0639633	0.157379	0.270417	0.437969	0.204181	0.190684	0.173354	0.177714	0.185518	0.142425	0.18737	0.26416	0.155166	0.1408325	0.0413204	-0.1196346	0.00981131	0.317594	0.00195605	0.0185128	0.650847	0.00127923	5.912561	0.1509889	-1.960184	0	40.881	0.04358532	5.76121e-05	0.0112109	0.245881	3.74285	0.345648	0.698819	1.07853	1.877	0.289248	0.296577	0.129045	0.28513	0.03135432	4.815569
13	1	-3930.99	-3814.305	-116.6845	6.107239	0.1836095	1.005909	0.0679154	0.124263	0.0975951	0.0522464	0.0418987	0.052981	0.0578549	0.0099986	0.0407845	0.0408161	0.011039	0.0322987	0.0886074	0.175349	0.0526278	0.126816	0.0454343	0.0875273	0.116519	0.0893415	0.0443625	0.0648318	0.020256	0.0380941	0.0165094	0.0431015	0.112626	0.113817	0.0453953	0.0620159	0.110595	0.0701703	0.0729572	0.162375	0.0932269	0.0956782	0.0474626	0.0453969	0.06038756	0.03916631	0.0252209	0.0118768	0.508938	0.00233077	0.00376444	0.448936	0.0241541	6.109487	0.1174458	-2.806972	2	39.93951	0.1776502	0.000286754	0.0248871	0.339549	3.63528	0.138131	0.478521	1.00097	2.38238	0.275571	0.325091	0.12668	0.272659	0.1426667	0.823218
14	0	-4061.024	-3818.618	-242.4056	5.626847	0.1334127	1.755358	0.133408	0.123837	0.192681	0.116692	0.451351	0.375475	0.0994591	0.0126301	0.067646	0.04293	0.041866	0.0491204	0.232606	0.26723	0.126126	0.441453	0.343616	0.353291	0.28221	0.190073	0.0708559	0.0470068	0.109192	0.0569023	0.056615	0.0560301	0.325898	0.351182	0.37598	0.197691	0.154072	0.288263	0.191016	0.197169	0.117548	0.370552	0.229186	0.219551	0.1726947	0.06517415	-0.1196346	0.00516174	0.400715	0.00109204	0.0192269	0.572566	0.00123847	5.912561	0.1509889	-1.75623	0	40.881	0.04358532	1.68648e-05	0.00607979	0.191435	3.80247	0.262214	0.626193	1.06246	2.04913	0.304255	0.303646	0.127783	0.264316	0.03135432	4.815569
15	1	-3924.564	-3810.814	-113.7498	6.107239	0.1622085	1.033308	0.0610595	0.0771249	0.0603217	0.0398969	0.0314388	0.0292131	0.0696428	0.00933602	0.0363892	0.0488107	0.0103793	0.0338534	0.0473087	0.146484	0.0551492	0.10279	0.0546757	0.0666887	0.138865	0.0852512	0.0648399	0.0423459	0.0168895	0.0352977	0.0287832	0.044133	0.139105	0.093936	0.0221435	0.059543	0.105723	0.0576883	0.073533	0.113549	0.0953752	0.0897718	0.0396761	0.0272941	0.04114874	0.03695747	0.0252209	0.00565719	0.435067	0.00591128	0.00251564	0.534425	0.0164246	6.109487	0.1174458	-3.190562	2	39.93951	0.1776502	0.000106224	0.0151989	0.278266	3.70643	0.143552	0.48654	1.00531	2.3646	0.307991	0.308433	0.135046	0.24853	0.1426667	0.823218
16	0	-4058.201	-3822.629	-235.5721	5.583223	0.1192398	0.8589551	0.2981	0.174411	0.158931	0.144796	0.301617	0.281255	0.0931351	0.0148281	0.0647617	0.0479595	0.0247475	0.0514682	0.125775	0.406683	0.125772	0.377652	0.256783	0.414065	0.281393	0.241859	0.0617139	0.0721776	0.235959	0.0320437	0.0441709	0.0953313	0.206344	0.462763	0.375805	0.259004	0.12661	0.14247	0.065937	0.449432	0.116856	0.324513	0.178983	0.140502	0.1322796	0.03045855	-0.09308991	0.00215848	0.43687	0.000139977	0.01308	0.54587	0.00188238	5.912561	0.1366625	-2.022837	0	40.36548	0.04263813	4.9152e-06	0.00328758	0.14865	3.84806	0.108028	0.42983	0.972041	2.4901	0.274916	0.311324	0.138893	0.274867	0.0435726	3.136432
17	1	-3933.406	-3820.155	-113.2513	6.107239	0.1698881	3.381069	0.0309281	0.0319471	0.036362	0.0417695	0.0563531	0.0210334	0.0466573	0.0122167	0.0662616	0.0332971	0.013438	0.0298496	0.0651452	0.148474	0.061712	0.0554239	0.0684722	0.0968515	0.120006	0.0797988	0.0634419	0.0471942	0.0163129	0.0398037	0.0285133	0.0839051	0.0789857	0.121022	0.038489	0.0434125	0.168497	0.033986	0.0233505	0.0750243	0.0433275	0.255944	0.0400585	0.0344185	0.05374239	0.05576738	0.0252209	0.0033553	0.450741	0.00223019	0.00442008	0.522191	0.0170625	6.109487	0.1174458	-2.923553	2	39.93951	0.1776502	0.000156142	0.0184056	0.30069	3.68075	0.41675	0.75066	1.08384	1.74875	0.292568	0.333458	0.138136	0.235837	0.1426667	0.823218
18	0	-4013.583	-3802.927	-210.6567	5.361499	0.1211894	2.204703	0.163878	0.0882326	0.145463	0.101416	0.231506	0.211147	0.160833	0.0215724	0.0723315	0.0474906	0.019393	0.0828052	0.0942984	0.324773	0.127874	0.17932	0.531278	0.49253	0.241018	0.175074	0.0553648	0.0585224	0.169374	0.0579165	0.0386836	0.092999	0.281887	0.514578	0.150421	0.125148	0.116883	0.16432	0.0611127	0.463645	0.0536432	0.253013	0.251412	0.178371	0.1154038	0.05228793	-0.003746673	0.00130378	0.359019	0.000184009	0.0113178	0.62511	0.00306574	6.196872	0.1363287	-2.159318	0	41.03687	0.04263813	5.92431e-06	0.00360855	0.154469	3.84192	0.316544	0.675154	1.07436	1.93394	0.291681	0.324465	0.126593	0.257261	0.1325821	1.028259
19	1	-3928.945	-3814.079	-114.8661	6.107239	0.1404506	1.900452	0.0259315	0.023299	0.0294476	0.0255533	0.0825308	0.0332206	0.0574668	0.00844332	0.0526642	0.0504541	0.010835	0.0290667	0.0475018	0.16927	0.0499223	0.0632648	0.087254	0.082244	0.147814	0.0643668	0.0518542	0.0323472	0.0103725	0.0454449	0.028062	0.0652497	0.134826	0.129904	0.024697	0.0452713	0.121739	0.0489816	0.0601658	0.0373373	0.0338847	0.239549	0.0363701	0.0421828	0.04649764	0.04392181	0.0252209	0.00604368	0.433033	0.00475598	0.00983682	0.525508	0.0208216	6.109487	0.1174458	-3.068354	2	39.93951	0.1776502	2.83561e-05	0.00787661	0.212869	3.77923	0.281095	0.643992	1.06729	2.00763	0.270292	0.345957	0.132303	0.251448	0.1426667	0.823218
20	0	-4000.278	-3800.536	-199.7422	5.361499	0.133187	2.842872	0.0981719	0.0994426	0.0581756	0.054592	0.141926	0.160864	0.143572	0.015656	0.0661709	0.0454739	0.0411662	0.0594256	0.111416	0.260868	0.151257	0.264726	0.442473	0.200834	0.248271	0.196736	0.0659664	0.0538159	0.103108	0.0380269	0.0471832	0.0730654	0.180797	0.432636	0.141531	0.117484	0.0905178	0.206506	0.0716018	0.281776	0.0912583	0.11234	0.194071	0.100172	0.1191295	0.04128546	0.05114023	0.00216536	0.386941	0.00146025	0.0173556	0.588307	0.00377114	6.196872	0.1080787	-2.127544	1	40.85127	0.04263813	1.6571e-05	0.00602678	0.190748	3.80321	0.376729	0.72244	1.08162	1.81921	0.299604	0.321439	0.128291	0.250667	0.1592189	0.6788055
21	1	-3920.464	-3811.424	-109.0404	6.107239	0.1626254	2.330503	0.0455972	0.0193503	0.025387	0.0236205	0.0445365	0.0342461	0.0657301	0.00704122	0.0419767	0.0368194	0.00652435	0.0366826	0.0473459	0.115442	0.0556974	0.0561557	0.0996203	0.0658906	0.0885466	0.0923841	0.0406877	0.018892	0.0148993	0.02464	0.0437823	0.0489823	0.103364	0.122437	0.0272939	0.0302049	0.0691765	0.0346004	0.0552655	0.0362428	0.0472882	0.176648	0.0659294	0.023866	0.0453165	0.06488948	0.0252209	0.00705068	0.338333	0.00966269	0.0110491	0.62454	0.00936384	6.109487	0.1174458	-3.094084	2	39.93951	0.1776502	0.000108571	0.0153649	0.279495	3.70503	0.329774	0.68611	1.07642	1.90769	0.290033	0.295952	0.148635	0.26538	0.1426667	0.823218
22	0	-3980.085	-3792.273	-187.8116	5.675035	0.1201133	1.789111	0.107765	0.0558168	0.0900412	0.0848846	0.110375	0.150822	0.0653243	0.0209778	0.0499617	0.0385201	0.0212048	0.0528655	0.0472568	0.262476	0.0711836	0.15238	0.513446	0.232919	0.116902	0.157007	0.0776235	0.07583	0.0990863	0.038223	0.0509658	0.0898052	0.213587	0.272545	0.116346	0.160039	0.114208	0.262669	0.082389	0.306674	0.146064	0.0993106	0.169488	0.0854542	0.09795232	0.04466497	0.06034105	0.00425498	0.396635	0.00130252	0.00820812	0.588021	0.00157813	7.094271	0.2086518	-2.323274	1	41.46139	0.04263813	5.34815e-06	0.00342899	0.151253	3.84531	0.266732	0.630535	1.06369	2.03904	0.303412	0.314419	0.123907	0.258262	0.2689928	0.7756778
23	1	-3910.214	-3802.565	-107.6489	6.107239	0.1678558	2.957282	0.0551369	0.0310242	0.016803	0.0385792	0.0400795	0.0616555	0.0387088	0.0075518	0.0391008	0.0397484	0.0086261	0.0277573	0.0719778	0.111454	0.0582781	0.0822244	0.111938	0.0777105	0.0655951	0.137493	0.0339278	0.0242197	0.0190531	0.020023	0.0459112	0.031292	0.0507473	0.102223	0.0176331	0.027876	0.0557705	0.0314482	0.0379561	0.0304917	0.0491029	0.172395	0.074133	0.0321941	0.03861084	0.04420799	0.0252209	0.00923846	0.438891	0.00462706	0.00357206	0.532767	0.0109052	6.109487	0.1174458	-3.254222	2	39.93951	0.1776502	0.000141495	0.0175266	0.294799	3.68753	0.38593	0.729135	1.0823	1.80264	0.298865	0.30032	0.138607	0.262208	0.1426667	0.823218
24	0	-3971.713	-3786.15	-185.5631	6.926896	0.1478912	0.7294365	0.13732	0.089562	0.0651312	0.0678881	0.109157	0.0789141	0.0724043	0.0165851	0.0411693	0.0324546	0.0216902	0.0489576	0.0301593	0.203327	0.0970464	0.123072	0.37521	0.159954	0.111253	0.17819	0.0950513	0.0721917	0.15789	0.0508592	0.0506983	0.0542233	0.113203	0.213068	0.145939	0.119838	0.0635603	0.212826	0.108775	0.42241	0.132897	0.111511	0.206335	0.127473	0.0921691	0.04215263	0.03671397	0.0053687	0.389314	0.00267149	0.00843661	0.593652	0.000556967	7.094271	0.2081437	-2.38413	1	41.36861	0.04583848	4.65398e-05	0.010081	0.235456	3.75442	0.0804837	0.377094	0.935307	2.60712	0.282292	0.319793	0.13437	0.263546	0.2448577	0.8500599
25	1	-3917.178	-3806.649	-110.529	6.107239	0.1824213	1.997296	0.03962	0.0299505	0.0224158	0.0458247	0.0514551	0.0851367	0.0497287	0.00926689	0.0470904	0.0353264	0.0132066	0.0364516	0.120265	0.118344	0.0675834	0.0899892	0.144905	0.0589801	0.083801	0.157985	0.0315011	0.0336909	0.0160959	0.0293342	0.0412553	0.0465236	0.0649731	0.137596	0.0263829	0.0227197	0.0480639	0.0347313	0.0649272	0.0269651	0.0442167	0.137465	0.0776365	0.0257963	0.05124244	0.05427151	0.0252209	0.0167447	0.410854	0.0015202	0.00856256	0.560199	0.00211906	6.109487	0.1174458	-2.971187	2	39.93951	0.1776502	0.000273038	0.0242894	0.33625	3.63919	0.292952	0.654726	1.06992	1.9824	0.317515	0.282107	0.139014	0.261364	0.1426667	0.823218
26	0	-3955.139	-3781.567	-173.5712	5.636072	0.1382412	1.056587	0.115407	0.0950721	0.0599125	0.0927714	0.102911	0.0451986	0.0788816	0.0187271	0.0366419	0.0319813	0.0158583	0.0411609	0.0335406	0.238595	0.086785	0.111122	0.260356	0.185975	0.10807	0.247664	0.0923542	0.0934532	0.108202	0.0452905	0.047638	0.0255703	0.0434162	0.151291	0.179593	0.162591	0.0694902	0.157518	0.0773904	0.287311	0.0824665	0.116436	0.166643	0.126537	0.09177683	0.04069162	0.06992956	0.00799441	0.452458	0.0025438	0.00744714	0.529019	0.000537946	7.094271	0.159779	-2.388395	1	39.9299	0.06159532	2.4226e-05	0.00728249	0.206141	3.78655	0.148104	0.493124	1.00878	2.34999	0.292503	0.308181	0.137709	0.261607	0.2297086	0.6955727
27	1	-3916.969	-3804.082	-112.887	6.107239	0.1458309	2.470544	0.0624514	0.0498422	0.0280075	0.0375378	0.057485	0.115809	0.0478358	0.00906597	0.0432029	0.0448637	0.0125149	0.0212494	0.101358	0.171982	0.0683921	0.0761508	0.0869373	0.0946257	0.0731994	0.0846269	0.0291178	0.0400773	0.0220482	0.0235176	0.0504482	0.0486501	0.0700048	0.126039	0.0273029	0.0535615	0.0502884	0.0323071	0.0425098	0.0129772	0.0466579	0.0970492	0.078313	0.0229069	0.060187	0.04679368	0.0252209	0.00896668	0.553816	0.00145462	0.0117201	0.421783	0.00225883	6.109487	0.1174458	-2.810299	2	39.93951	0.1776502	4.07798e-05	0.00943914	0.229217	3.7613	0.343646	0.697242	1.07829	1.88083	0.295372	0.294461	0.138533	0.271635	0.1426667	0.823218
28	0	-3949.879	-3778.57	-171.3086	5.930427	0.1569531	1.721742	0.0578191	0.107727	0.0516265	0.0565657	0.0622038	0.0336272	0.0820248	0.0209077	0.0393119	0.0284339	0.0225527	0.0357129	0.042027	0.158672	0.064758	0.103772	0.265609	0.203856	0.0923533	0.169036	0.0638447	0.145933	0.240721	0.0379735	0.0288869	0.0172343	0.0504506	0.201305	0.181448	0.186964	0.0442764	0.091089	0.0942602	0.223651	0.100877	0.115517	0.164472	0.188515	0.0854852	0.03803095	0.1410235	0.00460342	0.576483	0.00619821	0.00609659	0.406157	0.000461481	7.094271	0.1275616	-2.459412	3	40.43361	0.05844309	7.98511e-05	0.013188	0.262684	3.72405	0.257636	0.621737	1.06117	2.05946	0.276232	0.327558	0.128771	0.267438	0.2685851	0.4749393
29	1	-3916.409	-3810.82	-105.59	6.107239	0.1788847	1.098569	0.0299299	0.0439856	0.0534215	0.0427757	0.0552635	0.0968524	0.0533281	0.00508293	0.061318	0.0495165	0.0146479	0.0203007	0.0738616	0.129164	0.0784834	0.106965	0.0503132	0.0423655	0.0453805	0.0750859	0.0701593	0.0806779	0.0230793	0.017513	0.0710829	0.0631165	0.0828038	0.0577451	0.0493673	0.0448536	0.0574408	0.0310316	0.0233432	0.0221012	0.0369848	0.0463308	0.106487	0.0246291	0.04883124	0.04805038	0.0252209	0.0120069	0.506346	0.000400462	0.00711133	0.473538	0.00059665	6.109487	0.1174458	-3.019385	2	39.93951	0.1776502	0.000235067	0.0225505	0.326356	3.65086	0.156191	0.504498	1.01459	2.32472	0.300301	0.316665	0.127296	0.255739	0.1426667	0.823218
30	0	-3943.087	-3782.666	-160.4209	5.930427	0.1299843	1.022291	0.113861	0.0531568	0.0498506	0.0741402	0.0614884	0.0351546	0.0533846	0.0195338	0.0298452	0.0261466	0.0255013	0.0432434	0.0312516	0.157071	0.0684849	0.0854065	0.136483	0.275806	0.0838163	0.146871	0.0413177	0.0437807	0.120184	0.0323926	0.0686619	0.0268898	0.0490751	0.289312	0.112393	0.134642	0.0746617	0.0646349	0.0774606	0.230234	0.0714112	0.0880568	0.119705	0.123208	0.08153529	0.05645963	0.1410235	0.00641946	0.555432	0.00471035	0.00466445	0.42841	0.000363489	7.094271	0.1275616	-2.506719	3	40.43361	0.05844309	1.28287e-05	0.0053048	0.18101	3.81367	0.14138	0.483351	1.0036	2.37167	0.277909	0.321032	0.115691	0.285368	0.2685851	0.4749393
