Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5706.706	-5406.599	-300.1072	6.051397	1	0.5666803	0.150678	0.109992	0.0662616	0.0908928	0.0491732	0.295611	0.0446074	0.0262346	0.152535	0.108748	0.0294376	0.039581	0.16049	0.0805053	0.0743121	0.118426	0.0590422	0.0799221	0.129021	0.0674379	0.0702048	0.0661915	0.128764	0.0666384	0.191531	0.0527409	0.0399873	0.133629	0.0391801	0.030235	0.118682	0.0684672	0.0434864	0.0703828	0.0985102	0.0619465	0.0957833	0.0275262	0.06382377	0.03082816	0.09757287	0.0468336	0.25489	0.352604	0.141811	0.185634	0.0182273	7.335837	0.006438775	-2.75163	0	44.36323	0.003966879	0.136954	0.476752	1	2.38629	0.0463169	0.293236	0.863319	2.79713	0.559099	0.0353437	0.0843517	0.321206	0.1040116	0.06190436
10	-4377.274	-4086.122	-291.1519	6.051397	0.7163199	1.018805	0.255595	0.0933345	0.0708383	0.0582964	0.0385753	0.221325	0.101639	0.0232792	0.115339	0.0735251	0.0194521	0.0349642	0.0712725	0.0368784	0.0523708	0.0590569	0.0508436	0.11758	0.135508	0.0834765	0.0630979	0.0551386	0.0782818	0.0470126	0.141018	0.0469481	0.0295299	0.0476079	0.054706	0.0284481	0.162482	0.0833603	0.102626	0.0941211	0.0621694	0.0346508	0.141229	0.0583956	0.06379479	0.04052389	0.1327144	0.0111278	0.427864	0.112022	0.0821025	0.353823	0.0130607	6.058801	0.007436435	-2.752084	0	43.82768	0.004209649	0.0776771	0.37113	0.930769	2.62042	0.140691	0.482332	1.00305	2.37393	0.238344	0.32917	0.138704	0.293782	0.1401508	0.05306024
20	-4147.45	-3865.202	-282.2482	5.326912	0.5361352	1.956976	0.183785	0.0573885	0.0580061	0.067276	0.0680641	0.217141	0.0939122	0.0219454	0.0713918	0.033136	0.021068	0.0317486	0.0499034	0.0315236	0.0402929	0.0485155	0.0268075	0.0783787	0.119637	0.0612067	0.0506578	0.0281613	0.050509	0.0176997	0.0885613	0.0363319	0.0249353	0.0440793	0.0263662	0.0397737	0.109623	0.0899346	0.0899104	0.0544805	0.0478509	0.0282057	0.146655	0.0572664	0.05353892	0.04419221	0.1669228	0.00789101	0.454718	0.026452	0.013421	0.486173	0.011345	6.060498	0.007436435	-2.927346	0	43.39699	0.004209649	0.0402651	0.274853	0.844879	2.84	0.288084	0.650359	1.06887	1.99268	0.265998	0.315029	0.145385	0.273588	0.1743592	0.04265008
30	-4117.285	-3830.057	-287.2279	5.326912	0.3270931	2.276678	0.0961367	0.0369436	0.04855	0.0275369	0.0323688	0.137477	0.123665	0.0263565	0.0653632	0.0343916	0.0127744	0.0253197	0.0424785	0.0229738	0.0315568	0.0908586	0.0357086	0.0648165	0.073737	0.0193179	0.0531706	0.0267474	0.0261429	0.01397	0.0714863	0.0496057	0.025446	0.0418941	0.0791255	0.0440682	0.15833	0.179582	0.15778	0.0600278	0.0337395	0.0197723	0.212773	0.0581397	0.05170278	0.0561286	0.1669228	0.0134948	0.406056	0.0165923	0.0279297	0.525398	0.0105285	6.060498	0.007436435	-2.962244	0	43.39699	0.004209649	0.00774843	0.125669	0.638618	3.22796	0.324207	0.681541	1.07559	1.91866	0.293005	0.291204	0.140758	0.275034	0.1743592	0.04265008
40	-4117.695	-3824.33	-293.3648	5.326912	0.2568668	1.627861	0.0959681	0.0207007	0.0707275	0.0481819	0.0243891	0.122136	0.0874342	0.0551313	0.0811407	0.0464875	0.014583	0.0135857	0.0405586	0.0381339	0.0444511	0.0797155	0.0253614	0.0543871	0.0572976	0.0188234	0.0507009	0.0392293	0.0452851	0.00581453	0.0524741	0.0389347	0.0286458	0.0339342	0.0690849	0.0856627	0.193693	0.365246	0.164682	0.0590475	0.0637049	0.013557	0.10475	0.054092	0.04797609	0.07840473	0.1669228	0.0196818	0.400883	0.010932	0.0251811	0.532493	0.0108288	6.060498	0.007436435	-3.037053	0	43.39699	0.004209649	0.00244736	0.0716919	0.515745	3.41012	0.244416	0.608542	1.05712	2.08992	0.257807	0.31084	0.140913	0.290439	0.1743592	0.04265008
50	-4097.058	-3805.053	-292.0047	5.326912	0.231361	1.338314	0.0739214	0.0166768	0.067001	0.0474191	0.0268399	0.076515	0.0510144	0.0445302	0.111326	0.0310661	0.0163174	0.0206046	0.0436115	0.0289997	0.0610779	0.069167	0.0165176	0.0827683	0.026262	0.0181821	0.0243782	0.0237453	0.0349985	0.0060794	0.0308377	0.0482484	0.0513678	0.032184	0.0422894	0.0862615	0.124921	0.351129	0.12973	0.106881	0.0548579	0.00905991	0.143212	0.121499	0.04327573	0.04794167	0.1669228	0.0101463	0.493326	0.00279937	0.0128239	0.470691	0.0102134	6.060498	0.007436435	-3.140163	0	43.39699	0.004209649	0.00135384	0.0535996	0.460497	3.48455	0.199231	0.559227	1.03932	2.20222	0.283098	0.310236	0.134709	0.271957	0.1743592	0.04265008
60	-4097.172	-3809.917	-287.2551	5.326912	0.189759	1.269152	0.0541329	0.0199312	0.0784419	0.0394478	0.0417326	0.0859392	0.0352865	0.0411662	0.147459	0.0439041	0.0214444	0.0351263	0.0435451	0.0392485	0.0580061	0.137682	0.0258206	0.0969098	0.0274942	0.0400995	0.024886	0.0221972	0.0346756	0.0103426	0.0394924	0.0392387	0.0439412	0.0296783	0.0618808	0.10126	0.0853603	0.32184	0.162699	0.111872	0.0923894	0.0137454	0.0703101	0.0838138	0.04810799	0.04358708	0.1669228	0.00953988	0.454943	0.00299865	0.0118178	0.509548	0.0111518	6.060498	0.007436435	-3.034307	0	43.39699	0.004209649	0.000365933	0.0280842	0.356406	3.61514	0.187361	0.545004	1.0334	2.23423	0.290233	0.29929	0.136758	0.273719	0.1743592	0.04265008
70	-4088.319	-3806.699	-281.6203	5.326912	0.2071827	1.200414	0.0255889	0.0434245	0.149065	0.0324737	0.0277828	0.0574264	0.0640641	0.0632229	0.0867792	0.0381103	0.0166538	0.0201293	0.0450019	0.0401907	0.0267054	0.132544	0.0402039	0.0596875	0.0274417	0.0710224	0.0189385	0.0195727	0.0332325	0.0093148	0.0263726	0.0260836	0.0417929	0.0241607	0.0660211	0.0531895	0.0530102	0.318658	0.143537	0.0592721	0.0443796	0.0181033	0.0785868	0.0849991	0.04487692	0.04681032	0.1669228	0.0106291	0.567723	0.00253171	0.00806898	0.399932	0.011115	6.060498	0.007436435	-3.103832	0	43.39699	0.004209649	0.000674847	0.0380192	0.402142	3.55916	0.175128	0.529689	1.02663	2.26855	0.297298	0.298728	0.123535	0.28044	0.1743592	0.04265008
80	-4095.62	-3806.712	-288.9081	5.326912	0.2205593	1.695453	0.019776	0.0319326	0.223746	0.0619362	0.0467252	0.0399449	0.063137	0.0744377	0.100122	0.0448137	0.0142781	0.0215894	0.0495797	0.0342672	0.0471064	0.135252	0.0506911	0.0413053	0.0365096	0.100458	0.0128195	0.0220725	0.0234057	0.0154277	0.0191456	0.023815	0.0347631	0.0341514	0.049687	0.14149	0.0527293	0.229196	0.0873313	0.134952	0.0650408	0.0233595	0.0883443	0.0881928	0.0539217	0.05496866	0.1669228	0.0137167	0.584212	0.00413434	0.0145911	0.374728	0.00861841	6.060498	0.007436435	-2.920222	0	43.39699	0.004209649	0.00101088	0.046414	0.435163	3.51741	0.253999	0.618157	1.0601	2.06774	0.283037	0.300437	0.124698	0.291828	0.1743592	0.04265008
90	-4097.265	-3807.405	-289.86	5.326912	0.2083125	2.043188	0.0287802	0.0350329	0.146814	0.0389363	0.0781601	0.0605327	0.0698828	0.0671234	0.127951	0.048122	0.0178539	0.015214	0.0421079	0.0402428	0.036042	0.180409	0.036177	0.0262634	0.0265186	0.0798776	0.0136245	0.0212855	0.0201498	0.0132592	0.0337725	0.0350839	0.0285569	0.0420081	0.0491004	0.178953	0.0740376	0.144841	0.158107	0.0774556	0.0591941	0.0522111	0.153269	0.0907887	0.04564221	0.04487814	0.1669228	0.0214236	0.464291	0.00624603	0.0174455	0.487795	0.00279892	6.060498	0.007436435	-3.086922	0	43.39699	0.004209649	0.000699684	0.0387044	0.405002	3.55559	0.298376	0.659529	1.07103	1.97106	0.308604	0.297517	0.138197	0.255683	0.1743592	0.04265008
