Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-11654.3	-11320.5	-333.779	29.50878	1	0.2916726	-0.1902047	0.432002	0.066236	0.0181337	0.078947	0.178656	0.226025	40.7331	0.1910876	0	46.78501	0.122762	0.136954	0.476752	1	2.38629	0.0735392	0.0728864	0.780405	0.0731689	0.0008829052	216.4305
1	-6898.56	-6580.24	-318.321	25.84439	0.97619	0.2743744	-0.114767	0.392406	0.0708534	0.0193978	0.0844505	0.191111	0.241782	38.22232	0.1155929	0	46.5487	0.1253933	0.132179	0.469476	0.99594	2.4024	0.189377	0.35411	0.117217	0.339296	0.0008259034	139.9594
2	-6327.42	-6019.7	-307.713	16.18821	0.9358574	0.2093015	-0.09207818	0.354045	0.0826631	0.0203574	0.088628	0.200565	0.253742	38.22232	0.09295781	0	46.76303	0.1549733	0.123985	0.456585	0.988502	2.43093	0.189377	0.35411	0.117217	0.339296	0.0008796299	105.6783
3	-5982.12	-5686.23	-295.884	17.61651	0.875101	0.1952683	-0.05192695	0.359076	0.0838378	0.00643646	0.0898875	0.203415	0.257348	33.61868	0.05294305	0	46.65622	0.1549733	0.111411	0.435701	0.975774	2.47712	0.211319	0.279275	0.130798	0.378607	0.001016097	52.1043
4	-5430.61	-5141.92	-288.684	14.77299	0.875101	0.1283126	-0.04448889	0.360966	0.0842791	0.0039354	0.0876322	0.204485	0.258702	26.81033	0.04569674	0	46.54596	0.1549733	0.111411	0.435701	0.975774	2.47712	0.233786	0.364662	0.103105	0.298447	0.001207854	37.833
5	-5351.96	-5067.13	-284.829	14.77299	0.8273386	0.1283126	-0.04434086	0.360966	0.0842791	0.0039354	0.0876322	0.204485	0.258702	26.08717	0.04569674	0	46.75089	0.1549733	0.101361	0.417912	0.964251	2.51648	0.237661	0.311544	0.147401	0.303394	0.001355882	33.7026
6	-5094.42	-4813.7	-280.713	14.77299	0.7628158	0.09500445	-0.04503249	0.368206	0.0859696	0.00374312	0.0696023	0.208587	0.263892	24.7925	0.0466935	0	48.12425	0.1751291	0.0876256	0.391721	0.946094	2.57456	0.237661	0.311544	0.147401	0.303394	0.001661013	28.11146
7	-4824.51	-4553.79	-270.721	13.3261	0.7313827	0.08386632	-0.04261825	0.346111	0.0808107	0.0035185	0.0654256	0.257123	0.247011	24.7925	0.04491559	0	47.91013	0.1947254	0.0809002	0.377969	0.935965	2.60517	0.237661	0.311544	0.147401	0.303394	0.002297338	19.55114
8	-4593.12	-4330.78	-262.334	7.353247	0.7053363	0.0795077	-0.04869116	0.346349	0.0851776	0.003202	0.0654707	0.2573	0.2425	13.20066	0.05164563	0	47.73185	0.1947254	0.0753285	0.366037	0.92683	2.6318	0.237661	0.311544	0.147401	0.303394	0.002954465	17.48053
9	-4408.69	-4151.46	-257.228	9.137215	0.6724346	0.05569573	-0.05432059	0.344851	0.0859588	0.00298871	0.0660712	0.25966	0.24047	13.20066	0.05787401	0	46.90175	0.2182118	0.0683128	0.350228	0.914209	2.66725	0.237661	0.311544	0.147401	0.303394	0.003553419	16.28685
10	-4356.35	-4100.06	-256.291	9.237014	0.6724346	0.05569573	-0.04485518	0.327173	0.132815	0.0028355	0.0626842	0.246349	0.228143	13.20066	0.0484086	0	46.85095	0.2182118	0.0683128	0.350228	0.914209	2.66725	0.237661	0.311544	0.147401	0.303394	0.003553419	13.62311
11	-4261.84	-4005.95	-255.891	6.61279	0.6582241	0.05138343	-0.05441406	0.29972	0.182768	0.00259757	0.0388806	0.267035	0.208999	13.20066	0.05848829	0	47.80504	0.2182118	0.0652973	0.343134	0.908346	2.68322	0.249729	0.278833	0.130061	0.341377	0.004074236	14.35565
12	-4160.45	-3906.22	-254.232	10.29804	0.6063112	0.05138343	-0.06118465	0.237842	0.351486	0.0020613	0.0308536	0.211906	0.165851	13.20066	0.06624762	1	46.52614	0.2182118	0.0544123	0.315762	0.884505	2.74532	0.222781	0.288848	0.134733	0.353639	0.005062975	13.08472
13	-4131.74	-3886.32	-245.413	10.29804	0.5934561	0.04812353	-0.07450836	0.237842	0.351486	0.0020613	0.0308536	0.211906	0.165851	13.20066	0.08118466	0	46.36179	0.2182118	0.0517612	0.308615	0.877943	2.76168	0.222781	0.288848	0.134733	0.353639	0.006676296	12.16013
14	-4065.43	-3818.38	-247.046	6.461878	0.5655449	0.04103378	-0.07953596	0.229621	0.339337	0.00199005	0.0272117	0.241722	0.160118	13.20066	0.08621226	0	47.23019	0.2182118	0.0460887	0.292569	0.862669	2.79867	0.219213	0.284222	0.14859	0.347975	0.006676296	12.91319
15	-3982.43	-3728.76	-253.67	7.854944	0.5477365	0.03239699	-0.07956298	0.218249	0.372019	0.00218172	0.0184304	0.265002	0.124119	13.20066	0.08623928	1	47.55197	0.2139376	0.042541	0.281942	0.852119	2.8234	0.228549	0.303305	0.154918	0.313228	0.006676296	12.91723
16	-3901.19	-3656.31	-244.881	7.854944	0.5272539	0.02958376	-0.05852794	0.102734	0.704406	0.00101906	0.00867551	0.124741	0.0584248	13.20066	0.06817027	1	47.98493	0.2139376	0.0385436	0.269336	0.839129	2.85299	0.250947	0.308465	0.12203	0.318557	0.009642323	7.069901
17	-3820.72	-3585.08	-235.634	5.708975	0.5272539	0.01987487	-0.04579955	0.0982967	0.673984	0.000603781	0.00830083	0.162913	0.0559016	13.20066	0.05802882	0	47.70723	0.2515839	0.0385436	0.269336	0.839129	2.85299	0.233219	0.314229	0.128043	0.324509	0.01222928	4.745074
18	-3742.76	-3512.51	-230.253	5.708975	0.5210535	0.01935806	-0.05516508	0.0872653	0.598346	0.000400001	0.00736926	0.268282	0.0383376	13.20066	0.06899054	0	48.67373	0.2515839	0.0373531	0.265438	0.835003	2.86221	0.249076	0.30773	0.125395	0.317798	0.01382546	4.990109
19	-3726.2	-3498.48	-227.726	5.708975	0.4972415	0.01775239	-0.05328038	0.0872903	0.598517	0.00040711	0.00707743	0.268359	0.0383486	13.20066	0.06736114	0	47.64275	0.2620197	0.0328776	0.250111	0.818251	2.89876	0.249076	0.30773	0.125395	0.317798	0.01408077	4.783912
20	-3716.43	-3490.58	-225.85	5.708975	0.4730884	0.01775239	-0.03743842	0.0872363	0.598147	0.000367299	0.0077318	0.268193	0.0383249	12.6373	0.05828931	0	48.20221	0.2386518	0.0285149	0.233984	0.799654	2.93785	0.249076	0.30773	0.125395	0.317798	0.02085089	2.795531
21	-3704.03	-3486.01	-218.022	6.111414	0.4375339	0.01775239	-0.03581939	0.0872496	0.598238	0.000214403	0.00773298	0.268234	0.0383307	12.55042	0.06403134	0	48.12614	0.2386518	0.0224806	0.209197	0.7689	2.99942	0.244201	0.313008	0.131214	0.311578	0.02821195	2.269653
22	-3695.96	-3480.96	-215.002	5.699931	0.3952647	0.01780724	-0.0305702	0.0872496	0.598238	0.000214403	0.00773298	0.268234	0.0383307	12.55042	0.06403134	0	48.62645	0.2613649	0.0160372	0.17821	0.726105	3.07965	0.243059	0.311545	0.135275	0.310121	0.03346114	1.913603
23	-3665.89	-3448.49	-217.404	5.898385	0.3857527	0.01814592	-0.04443127	0.0794989	0.545094	0.000195357	0.00704603	0.338992	0.0291737	12.55042	0.0778924	0	48.06864	0.2613649	0.0147138	0.171035	0.715391	3.09886	0.245791	0.303806	0.136796	0.313607	0.03346114	2.327847
24	-3665.98	-3450.01	-215.97	6.527621	0.3913216	0.01627656	-0.06126836	0.077561	0.531807	0.000190595	0.00687427	0.350477	0.0330902	12.55042	0.09041702	0	47.55462	0.2613649	0.0154826	0.175244	0.721716	3.08756	0.242417	0.30832	0.139962	0.309301	0.02914866	3.101927
25	-3653.45	-3441.82	-211.634	7.081769	0.3785767	0.01625053	-0.05518628	0.077561	0.531807	0.000190595	0.00687427	0.350477	0.0330902	11.41986	0.09532292	0	46.37875	0.2613649	0.013749	0.16558	0.707017	3.11365	0.24878	0.290164	0.143636	0.31742	0.04013664	2.37496
26	-3650.58	-3439.09	-211.488	7.081769	0.3608365	0.01625053	-0.05120175	0.0760623	0.532554	0.000394665	0.00688392	0.350969	0.0331367	11.41986	0.09820031	1	45.81856	0.2613649	0.0114934	0.151957	0.685169	3.15138	0.259479	0.284752	0.149813	0.305956	0.04699856	2.089432
27	-3647.93	-3438.49	-209.433	7.081769	0.3403879	0.01625053	-0.004813444	0.0757439	0.530324	0.000393012	0.0068551	0.349499	0.0371846	11.25458	0.07105024	1	46.21344	0.2615422	0.0091353	0.136065	0.657794	3.197	0.259479	0.284752	0.149813	0.305956	0.0662368	1.07267
28	-3616.72	-3411.79	-204.933	7.081769	0.3403879	0.02274233	0.01000176	0.0619643	0.433846	0.000342543	0.00404073	0.477911	0.021895	11.25458	0.1056507	1	46.21344	0.2807943	0.0091353	0.136065	0.657794	3.197	0.253989	0.296503	0.150026	0.299482	0.1156524	0.9135188
29	-3604.89	-3401.97	-202.923	7.081769	0.334261	0.02020917	-0.01471996	0.0470847	0.329666	0.000260287	0.00211299	0.606791	0.0140849	11.25458	0.1056507	1	47.27554	0.2807943	0.00848152	0.131278	0.649099	3.21114	0.299386	0.278459	0.140897	0.281258	0.09093072	1.161881
30	-3593.95	-3393.94	-200.015	7.008578	0.334261	0.02157139	0.001819218	0.040906	0.440678	0.000365548	0.00183571	0.503978	0.0122366	11.25458	0.09857666	1	46.56717	0.3088233	0.00848152	0.131278	0.649099	3.21114	0.280107	0.286122	0.144774	0.288997	0.1003959	0.9818796
31	-3593.56	-3394.26	-199.299	5.893473	0.334261	0.02157139	-0.01419124	0.0381688	0.477499	0.000341087	0.00171288	0.470254	0.0120241	11.25458	0.1065135	1	46.92131	0.3088233	0.00848152	0.131278	0.649099	3.21114	0.280107	0.286122	0.144774	0.288997	0.0923223	1.153714
32	-3592.54	-3391.35	-201.184	5.893473	0.3171343	0.02157139	0.01227176	0.038171	0.477526	0.000341106	0.00165617	0.470281	0.0120248	11.25458	0.08005055	1	46.74292	0.3328488	0.00678775	0.117873	0.623487	3.25185	0.280107	0.286122	0.144774	0.288997	0.0923223	0.867077
33	-3590.11	-3389.3	-200.807	5.893473	0.3041429	0.0199714	0.03497014	0.0381777	0.477611	0.000412326	0.0014078	0.470364	0.012027	10.81237	0.06891888	1	48.20508	0.3328488	0.00563739	0.107722	0.602695	3.28395	0.276363	0.282297	0.156206	0.285134	0.103889	0.6633895
34	-3588.54	-3386.24	-202.295	9.183544	0.2940877	0.0199714	0.03849888	0.0381849	0.477701	0.000412403	0.00122101	0.470452	0.0120292	10.81237	0.0613961	1	47.47152	0.3328488	0.00482799	0.0999042	0.585739	3.30953	0.286566	0.283762	0.143058	0.286614	0.09989498	0.6146065
35	-3581.8	-3381.36	-200.434	9.183544	0.2947883	0.01991346	-0.01810826	0.0383635	0.479935	0.000358422	0.0021124	0.472653	0.00657752	10.81237	0.1009026	2	47.79889	0.3328488	0.00488208	0.100447	0.586946	3.30773	0.271119	0.299374	0.140449	0.289058	0.08279432	1.218714
36	-3573.5	-3379.18	-194.324	6.892995	0.2915995	0.02228118	-0.02049339	0.0383635	0.479935	0.000358422	0.0021124	0.472653	0.00657752	10.81237	0.1098165	2	47.92498	0.4031553	0.00463866	0.097978	0.581422	3.31596	0.271543	0.2992	0.140367	0.28889	0.08932315	1.22943
37	-3572.19	-3375.52	-196.672	7.545787	0.260847	0.02514059	0.01851952	0.0358661	0.51535	0.00038487	0.00236071	0.438976	0.00706288	10.81237	0.08899161	2	48.2255	0.4031553	0.0026563	0.0746277	0.523809	3.39891	0.265268	0.292286	0.137123	0.305323	0.1075111	0.8277432
38	-3569.37	-3375.24	-194.133	7.545787	0.2410162	0.02310954	0.06069176	0.0366665	0.52685	0.000393459	0.00241339	0.429042	0.00463426	10.81237	0.06634785	1	48.33364	0.4031553	0.00171917	0.0602831	0.482153	3.45584	0.273031	0.289198	0.135675	0.302097	0.1270396	0.5222611
39	-3572.55	-3373.76	-198.79	7.545787	0.2336176	0.02304166	0.07246046	0.0366665	0.52685	0.000393459	0.00241339	0.429042	0.00463426	10.81237	0.06634785	1	48.19554	0.4031553	0.00143412	0.0551411	0.465641	3.47778	0.28769	0.304725	0.142959	0.264625	0.1388083	0.4779818
40	-3568.4	-3370.86	-197.538	9.056885	0.2161144	0.02255283	0.07039944	0.0284148	0.504846	0.000347946	0.00213423	0.460773	0.00348397	10.81237	0.08120934	4	47.39493	0.4031553	0.000888798	0.0435583	0.424394	3.53116	0.294855	0.312315	0.121614	0.271216	0.1516088	0.5356506
41	-3566.38	-3372.22	-194.159	7.166541	0.2262658	0.02654696	0.04053936	0.0257382	0.551488	0.000315171	0.00193319	0.41737	0.00315579	10.81237	0.1151386	3	48.05663	0.4031553	0.00118369	0.0501688	0.448694	3.49995	0.290379	0.307573	0.134949	0.267098	0.1556779	0.7395947
42	-3567.68	-3369.12	-198.561	7.166541	0.2277792	0.02407578	0.03598384	0.0244344	0.573716	0.000299205	0.00232671	0.396227	0.00299593	10.81237	0.1529738	4	48.17794	0.4658899	0.00123264	0.0511804	0.452227	3.49536	0.284028	0.304259	0.138194	0.273519	0.1889577	0.8095666
43	-3554.43	-3349.6	-204.834	7.166541	0.2154759	0.02483222	0.03674467	0.0280637	0.569819	0.000297173	0.00374904	0.393536	0.00453551	10.73165	0.1177182	5	48.76306	0.4658899	0.000872132	0.0431533	0.42283	3.53314	0.268551	0.306285	0.130663	0.294501	0.1544629	0.7621133
44	-3551.52	-3345.73	-205.787	7.166541	0.2217598	0.02238863	0.0476892	0.0328383	0.495606	0.000347731	0.00558119	0.460489	0.00513832	10.90443	0.09555972	3	48.49187	0.4658899	0.00104572	0.0471959	0.438037	3.51372	0.276927	0.315838	0.134739	0.272496	0.1432489	0.6670886
