Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-4667.3	-4674.83	7.53022	0.37241	1	0.18615	0.0427954	0.0204123	0.202397	0.00780384	0.13933	0.358886	0.00302166	0.0561022	0.194915	0.0338825	0.0487661	0.078977	0.0536157	0.09609141	-0.05047957	0.116352	0.327117	0.0962997	0.174541	0.0486422	0.237049	0.1058327	0.136954	0.476752	1	2.38629	0.13267	0.547756	0.0858244	0.233749	0.05535313	1.911955
10	-3632.46	-3637	4.53728	0.6951483	0.6182407	0.159329	0.0689438	0.0257244	0.18602	0.0218765	0.103132	0.449662	0.00252236	0.0498153	0.12329	0.0268709	0.0751313	0.128235	0.0711467	0.1135139	0.2664952	0.120513	0.537572	0.0622887	0.0555694	0.149453	0.0746042	0.05142374	0.0568907	0.322261	0.890347	2.7305	0.194405	0.31003	0.128949	0.366616	0.317919	0.1617511
20	-3425.42	-3428.39	2.97167	0.6951483	0.4747687	0.220333	0.0544095	0.0422932	0.228401	0.0351126	0.0780656	0.411715	0.0039831	0.0498153	0.0467192	0.0500363	0.0882086	0.356444	0.116097	0.1407732	-0.07199534	0.0394065	0.539553	0.0344332	0.0441521	0.272211	0.0702436	0.1547184	0.028812	0.235125	0.801004	2.93506	0.266202	0.331898	0.115683	0.286216	0.08272309	1.870317
30	-3363.55	-3362.31	-1.24209	0.7175493	0.412564	0.330354	0.0520578	0.0783735	0.2197	0.0440893	0.0765616	0.484439	0.00272318	0.0517341	0.0506539	0.0768993	0.0837239	0.505101	0.080026	0.1408743	-0.2763766	0.0242652	0.347326	0.0238012	0.0114982	0.570066	0.0230442	0.3387565	0.0185679	0.191078	0.744526	3.04583	0.301993	0.272991	0.126284	0.298732	0.06237984	5.430544
40	-3347.25	-3347.65	0.402428	0.7198089	0.3931375	0.220676	0.0297612	0.0748271	0.1726	0.0776907	0.0787121	0.373308	0.00526868	0.037501	0.0757711	0.0575114	0.0982273	0.608047	0.0894023	0.1398368	-0.1583583	0.0102606	0.562219	0.0298617	0.0082353	0.366961	0.0224622	0.2428353	0.015737	0.176611	0.723747	3.08391	0.259386	0.32229	0.141675	0.276648	0.08447706	2.874571
50	-3327.72	-3325.45	-2.27438	0.6575243	0.3077162	0.238238	0.0513381	0.0899535	0.166915	0.122234	0.117008	0.388098	0.00571534	0.0650278	0.13192	0.057244	0.0891799	0.575191	0.0494058	0.1025221	-0.2749278	0.0151887	0.463858	0.0186393	0.00445849	0.489246	0.00860878	0.3428364	0.00594208	0.11051	0.608536	3.27501	0.290009	0.289777	0.130965	0.289249	0.06790854	5.048502
60	-3326.18	-3321.87	-4.31281	0.6575243	0.2503652	0.282549	0.0519202	0.0721439	0.195223	0.0896847	0.123118	0.55845	0.00335401	0.0781976	0.180471	0.0671976	0.129347	0.69441	0.0765579	0.1181156	-0.07820135	0.0136948	0.54452	0.0140388	0.00780287	0.416522	0.00342186	0.1903676	0.00212882	0.0669538	0.502255	3.42866	0.302368	0.302171	0.119071	0.27639	0.1121662	1.697192
70	-3319.7	-3313.13	-6.57001	0.6609908	0.239435	0.272673	0.0570339	0.0783397	0.217943	0.16572	0.0776898	0.560921	0.00429486	0.0933935	0.133719	0.143118	0.117286	1.07127	0.0885443	0.212219	-0.2424832	0.0145923	0.532187	0.00797369	0.0118639	0.429423	0.00395966	0.3005382	0.0016554	0.0591734	0.47867	3.4605	0.314107	0.277983	0.138443	0.269466	0.0580549	5.176792
80	-3319.74	-3311.28	-8.45624	0.6403648	0.2105993	0.297111	0.0353264	0.134011	0.253135	0.139857	0.0790705	0.700832	0.0188109	0.0923541	0.206813	0.122371	0.114494	1.43936	0.0581909	0.1756531	-0.04439353	0.0105119	0.570129	0.00627321	0.014254	0.395811	0.00302071	0.1228283	0.000751893	0.0401053	0.410751	3.54839	0.319726	0.290637	0.136569	0.253068	0.07843475	1.565993
90	-3322.29	-3313.59	-8.69411	0.6434123	0.1602315	0.305967	0.0670111	0.0687433	0.171842	0.177765	0.120598	0.675197	0.0219696	0.244977	0.248055	0.0891915	0.046417	1.40036	0.0771105	0.228814	0.09431797	0.01143	0.538501	0.0124412	0.014514	0.410922	0.0121911	0.09397897	9.56211e-05	0.0144247	0.272425	3.71305	0.305266	0.286957	0.146985	0.260791	0.1882969	0.4990998
