Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
13	1	-3314.116	-3308.645	-5.471097	0.6962582	0.2235391	0.559084	0.304329	0.0877209	0.304306	0.184392	0.0591782	0.17029	0.00299609	0.399887	0.102985	0.496753	0.0255411	0.190964	0.0445139	0.1306418	0.2023236	0.0228985	0.559643	0.00272034	0.00606546	0.407666	0.00100687	0.007938296	0.00109882	0.0483627	0.442269	3.50827	0.299768	0.299836	0.13474	0.265656	0.2102619	0.03775433
14	0	-3300.366	-3301.264	0.8985876	0.6518457	0.2206825	0.199879	0.461346	0.0450491	0.147763	0.0802173	0.256791	0.170019	0.0953179	0.0514149	0.00805941	0.21529	0.105556	0.213985	0.163683	0.1572746	-0.01746407	0.0198963	0.493098	0.00580148	0.00321799	0.459635	0.0183514	0.07382659	0.00101442	0.046494	0.435458	3.51703	0.277185	0.31553	0.143349	0.263936	0.05636252	1.309852
15	1	-3312.487	-3310.924	-1.562816	0.6914897	0.175996	0.63793	0.22297	0.145482	0.221696	0.113301	0.0600166	0.126341	0.00306007	0.376746	0.143692	0.12608	0.218729	0.222451	0.0523956	0.1672698	0.07137957	0.0134147	0.561654	0.00472189	0.00496817	0.414516	0.000725153	0.01033923	0.000207075	0.0211753	0.31819	3.66043	0.281041	0.286763	0.152944	0.279252	0.0817188	0.126522
16	0	-3313.433	-3301.628	-11.80485	0.5354695	0.1830798	0.288726	0.786581	0.0661481	0.34343	0.0624649	0.645961	0.393258	0.110251	0.441586	0.0931675	0.156859	0.606204	0.0756243	0.33708	0.2612607	-0.280213	0.0118236	0.513207	0.0138978	0.00334193	0.449513	0.00821708	0.307271	0.000280579	0.0246198	0.33808	3.63702	0.270978	0.321433	0.136282	0.271307	0.02705801	11.35601
17	1	-3308.023	-3303.774	-4.248841	0.6213099	0.1816575	0.501688	0.310446	0.261824	0.23633	0.340111	0.270573	0.154756	0.00350836	0.521958	0.224703	0.0458922	0.04332	0.303457	0.0422696	0.2093543	0.0264817	0.00860955	0.539333	0.00448837	0.0105034	0.43653	0.000535594	0.009603454	0.00026448	0.0239088	0.334123	3.6417	0.298359	0.305703	0.129115	0.266823	0.03608515	0.2661331
18	0	-3312.86	-3300.449	-12.41033	0.9466705	0.1789414	0.311396	0.680939	0.0573143	0.249616	0.0239758	0.381684	0.241011	0.112689	0.060585	1.24894	0.0298308	0.223507	0.441396	0.164891	0.2283304	-0.4061153	0.00953906	0.519281	0.0101312	0.007879	0.435946	0.0172234	0.4241905	0.000235643	0.0225779	0.326515	3.65067	0.302447	0.298373	0.126353	0.272827	0.01807511	23.46821
19	1	-3312.848	-3309.137	-3.711157	0.6008143	0.1758377	0.666581	0.324715	0.253643	0.455318	0.148841	0.0866519	0.19072	0.00289551	0.34611	0.382035	0.0413065	0.0440731	0.183032	0.00566842	0.1759496	0.02503545	0.0124033	0.486393	0.00798703	0.0111665	0.481492	0.000557822	0.0114384	0.000205617	0.0211012	0.317741	3.66095	0.261469	0.316035	0.130281	0.292214	0.03647385	0.3136054
20	0	-3314.344	-3303.268	-11.07572	0.7499463	0.2311309	0.343595	0.729145	0.114342	0.227134	0.0256003	0.43731	0.344509	0.129327	0.249767	0.069869	0.219597	0.104337	0.209629	0.287388	0.3090171	-0.4443383	0.0151427	0.45541	0.00733513	0.00371674	0.506889	0.0115066	0.4816765	0.00134583	0.0534432	0.459969	3.48524	0.297812	0.281294	0.13613	0.284763	0.03733818	12.90037
21	1	-3324.652	-3313.995	-10.65716	0.7742752	0.1726114	0.817903	0.241044	0.572437	0.268139	0.353837	0.20048	0.110528	0.00191142	0.170939	0.924402	0.0826593	0.0972029	0.817902	0.00263587	0.2197753	0.02429027	0.0109048	0.540406	0.0130041	0.0157356	0.413932	0.00601754	0.01036103	0.000177526	0.019617	0.308531	3.67167	0.260631	0.310565	0.144898	0.283905	0.03465129	0.2990084
22	0	-3311.136	-3304.017	-7.118953	0.768964	0.2102101	0.20832	0.687558	0.033755	0.230665	0.0285689	0.507522	0.344838	0.100708	0.101046	0.197173	0.0600204	0.264146	0.116158	0.281357	0.2378821	-0.3458526	0.0123235	0.485431	0.00637933	0.010014	0.470917	0.0149349	0.3604629	0.000742823	0.0398656	0.409776	3.54962	0.302875	0.283308	0.130344	0.283473	0.01461029	24.67185
