Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
130	-3302.56	-3303.16	0.593875	0.9443996	0.2180313	0.188435	0.311265	0.0399749	0.0942279	0.052915	0.0215398	0.0948778	0.165829	0.0468219	0.0955311	0.0739576	0.088646	0.00434183	0.704604	0.2159981	0.05375745	0.0217507	0.488333	0.0111869	0.0069211	0.470197	0.00161221	0.03955756	0.000940133	0.0447821	0.429062	3.52522	0.270861	0.293332	0.157659	0.278148	0.09331501	0.4239142
140	-3316.46	-3317.62	1.1587	0.9647839	0.2184471	0.139422	0.381768	0.0576312	0.116652	0.0526145	0.0318974	0.0922572	0.134855	0.0416967	0.0662635	0.132766	0.0694	0.00488587	0.792685	0.177366	0.03894293	0.0100529	0.507609	0.0149065	0.00662826	0.457513	0.00329108	0.04018962	0.000951531	0.0450492	0.43007	3.52393	0.232541	0.32721	0.149026	0.291222	0.07913255	0.5078772
150	-3306.88	-3308.62	1.74019	0.9595523	0.2061004	0.202421	0.510364	0.0354398	0.10666	0.0625064	0.0258579	0.0885173	0.142589	0.0332657	0.0575064	0.152645	0.0813404	0.0102675	0.539913	0.1803145	0.01074072	0.0244311	0.397725	0.0193043	0.00390561	0.551165	0.0034693	0.03993343	0.00065164	0.0373673	0.399391	3.56259	0.313608	0.301599	0.125729	0.259064	0.05067415	0.7880434
160	-3303.07	-3303.94	0.872924	0.9045088	0.1767081	0.180537	0.489673	0.0926358	0.0937976	0.0594885	0.024705	0.111398	0.111026	0.0196872	0.0491102	0.513312	0.049433	0.00801347	0.496584	0.1697377	-0.01553685	0.018776	0.559993	0.00960211	0.00363622	0.405804	0.00218876	0.03818193	0.000213732	0.0215105	0.32021	3.65807	0.322872	0.281527	0.148663	0.246937	0.02264508	1.686103
170	-3299.47	-3296.79	-2.67552	0.8984775	0.1660941	0.278143	0.797939	0.0779542	0.0776431	0.0634151	0.0170961	0.166317	0.187439	0.0331254	0.0702498	0.480372	0.0614387	0.00914928	0.478983	0.1626837	0.02939648	0.0159108	0.572806	0.00522115	0.00716986	0.398149	0.00074304	0.04157444	0.000129661	0.0167822	0.289667	3.69342	0.275616	0.320252	0.126422	0.27771	0.07097092	0.5857954
180	-3300.16	-3296.93	-3.22941	0.8597567	0.1899834	0.336911	0.724263	0.0935698	0.0937303	0.0690642	0.0187127	0.120925	0.216496	0.0546216	0.0868078	0.55339	0.0559825	0.0118593	0.322168	0.2469888	0.04335846	0.00992332	0.613755	0.00480523	0.0137214	0.35603	0.00176446	0.03120363	0.000369092	0.0282041	0.357014	3.61441	0.27627	0.304577	0.133128	0.286025	0.07456209	0.4184919
190	-3299.77	-3297.74	-2.03398	0.8470223	0.1750416	0.291424	0.691767	0.0613129	0.0894575	0.062903	0.0111197	0.125315	0.20155	0.0881198	0.0899805	0.63924	0.0965009	0.0101122	0.252335	0.2272655	0.02515503	0.00869138	0.546046	0.00818148	0.0173763	0.418457	0.00124764	0.01289982	0.000198397	0.0207301	0.315476	3.6636	0.279133	0.30981	0.1417	0.269357	0.03805486	0.3389797
200	-3303.56	-3294.92	-8.63892	0.8211229	0.1811745	0.430684	0.826182	0.0473548	0.109603	0.0941533	0.0140585	0.194303	0.221882	0.127334	0.0799942	0.337294	0.0644905	0.0157614	0.5833	0.41765	0.01402589	0.0114192	0.542078	0.00904161	0.0138091	0.423217	0.000435913	0.04519779	0.000259171	0.0236695	0.332775	3.6433	0.290243	0.308683	0.123668	0.277407	0.05922368	0.7631709
210	-3299.12	-3298.48	-0.644153	0.8046399	0.2090636	0.397412	0.788995	0.0345975	0.0955957	0.0623741	0.0143053	0.12448	0.191216	0.0855794	0.0696223	0.177946	0.101704	0.133426	0.250407	0.185976	-0.0558226	0.00951353	0.511567	0.00901191	0.0082185	0.461507	0.00018223	0.06173654	0.000716544	0.0391625	0.406896	3.55322	0.28491	0.326675	0.133097	0.255318	0.005913944	10.43915
220	-3301.37	-3298.2	-3.16698	0.7511139	0.1862026	0.307689	0.611347	0.0431133	0.0860454	0.0776759	0.0281273	0.0983228	0.138345	0.187415	0.179845	0.164604	0.328683	0.0982318	0.509249	0.201575	-0.08136321	0.011644	0.480794	0.00656996	0.0113616	0.488876	0.000754014	0.1017418	0.000318432	0.0262142	0.346701	3.62677	0.314178	0.287486	0.146185	0.252151	0.02037864	4.992573
