Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_cytb[5]	rates_cytb[6]	rates_cytb[7]	rates_cytb[8]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5584.62	-5597.22	12.6035	0.8702088	1	0.0464774	0.0177963	0.0918655	0.0170016	0.0510909	0.050613	0.379532	0.0852592	0.0314574	0.0178544	0.0880446	0.0996733	0.0532513	0.0782126	0.05413508	0.06295091	0.148753	0.0815653	0.0439482	0.0647876	0.526286	0.134659	0.006364114	0.0652803	0.208627	0.376074	0.577429	0.830101	1.1699	1.69315	3.07944	0.00142626	0.390587	0.197809	0.410178	0.06931503	0.09181435
10	-3411.93	-3420.6	8.66356	0.9137597	0.8301042	0.0540585	0.0345798	0.0882598	0.0179779	0.0512412	0.0379114	0.299595	0.206381	0.0356374	0.0263784	0.101049	0.0951345	0.0890446	0.118687	0.09311933	0.05826491	0.0762425	0.292879	0.027271	0.0314805	0.512812	0.0593153	0.006182086	0.0425628	0.16133	0.318453	0.519502	0.782468	1.14745	1.72478	3.30345	0.301696	0.272902	0.159929	0.265473	0.064447	0.09592512
20	-3344.08	-3356.26	12.1874	0.9914805	0.7092533	0.0561633	0.047042	0.100643	0.0365743	0.0563435	0.046781	0.181778	0.287378	0.0397417	0.0752141	0.0519644	0.104814	0.0766171	0.159813	0.06526647	0.1413116	0.0247245	0.409537	0.00543177	0.0257573	0.503358	0.0311913	0.006525432	0.0278006	0.124531	0.269227	0.4665	0.735572	1.12093	1.7466	3.50884	0.30387	0.262363	0.174646	0.25912	0.147837	0.04413936
30	-3316.39	-3325.65	9.26335	0.9823981	0.5432547	0.061501	0.0943779	0.0680517	0.0407678	0.0611814	0.0291806	0.182893	0.265296	0.0270473	0.0873107	0.118708	0.0755248	0.0509604	0.141499	0.07616653	0.3675834	0.0217216	0.477044	0.019598	0.00916794	0.444308	0.0281602	0.01135847	0.0114182	0.0718984	0.188257	0.37018	0.641675	1.05704	1.76841	3.89112	0.290054	0.288004	0.135656	0.286287	0.3789418	0.02997419
40	-3307.52	-3319.76	12.24	0.9694181	0.4475957	0.0524627	0.111869	0.0629423	0.0429716	0.063375	0.0237712	0.12088	0.359108	0.0513739	0.0820647	0.0975048	0.0759906	0.0529025	0.144238	0.07664532	0.1184894	0.0235401	0.495389	0.0102774	0.00731577	0.453567	0.00991053	0.01248517	0.00507255	0.0432007	0.13484	0.297831	0.562649	0.993444	1.76768	4.19528	0.288646	0.29102	0.155896	0.264438	0.1309745	0.09532518
50	-3301.73	-3309.17	7.44236	0.9230052	0.3950958	0.0552701	0.16673	0.0772581	0.0830791	0.0571207	0.0195682	0.166115	0.296672	0.0865335	0.0919729	0.165958	0.0642574	0.0476247	0.274024	0.1054388	0.04214597	0.0202925	0.44276	0.0125474	0.00953563	0.505872	0.00899287	0.01075035	0.0027492	0.0292774	0.104357	0.251809	0.507702	0.944135	1.75765	4.40232	0.293334	0.287476	0.150682	0.268508	0.05289632	0.2032343
60	-3298.24	-3303.81	5.57343	0.7333849	0.3293386	0.0682804	0.130489	0.0956041	0.0452516	0.0740462	0.0175217	0.205272	0.375052	0.0469403	0.151998	0.109603	0.098893	0.148989	0.217684	0.08276379	0.0224266	0.0223396	0.460731	0.01263	0.00921511	0.485546	0.00953819	0.01099939	0.000968088	0.0149806	0.0669172	0.187937	0.423637	0.860239	1.72679	4.71853	0.275943	0.288201	0.154578	0.281278	0.03342599	0.329067
70	-3302.6	-3308.55	5.95275	0.9497102	0.3186008	0.0627708	0.16897	0.0997908	0.0503735	0.0552843	0.0201324	0.183866	0.379189	0.132889	0.0706268	0.100665	0.111349	0.159534	0.173663	0.07991101	-0.007611313	0.0169597	0.433479	0.0112793	0.00387114	0.518885	0.0155262	0.04428523	0.000783519	0.0130664	0.0610887	0.176953	0.408045	0.843471	1.71887	4.77773	0.284169	0.307904	0.14415	0.263777	0.03667392	1.20754
80	-3304.05	-3308.09	4.03878	0.8491473	0.2310919	0.0589788	0.195004	0.0877634	0.0422997	0.115051	0.0211275	0.274598	0.356405	0.0956191	0.0637074	0.0415868	0.0610989	0.299527	0.121319	0.08298237	-0.00310297	0.019764	0.495131	0.0129638	0.00700654	0.456763	0.00837133	0.04800788	6.69274e-05	0.00262202	0.0207111	0.0861222	0.259415	0.660345	1.59995	5.37076	0.276989	0.316915	0.140832	0.265265	0.04490491	1.069101
90	-3299.34	-3304.21	4.8619	0.8042314	0.2222077	0.0761083	0.244335	0.0812455	0.0546878	0.124505	0.0284711	0.22615	0.503448	0.107266	0.0518978	0.0936006	0.0770449	0.253076	0.109864	0.09872065	0.02057372	0.0214457	0.439764	0.00881497	0.00728814	0.517788	0.00489956	0.01790557	4.67623e-05	0.00207107	0.0176412	0.0773361	0.242296	0.635915	1.57982	5.44487	0.268265	0.315963	0.142606	0.273166	0.03847929	0.46533
100	-3299.81	-3305.72	5.90504	0.7055049	0.2897073	0.0937	0.174589	0.145021	0.0535682	0.0815943	0.0404577	0.233474	0.461266	0.250138	0.07892	0.13784	0.117994	0.178544	0.0842438	0.116574	0.03896008	0.018998	0.567971	0.00869545	0.00650169	0.395763	0.00207044	0.009738627	0.000410108	0.0085851	0.0461268	0.146905	0.363242	0.792969	1.69184	4.94992	0.303584	0.291	0.127629	0.277787	0.04869871	0.1999771
110	-3295.03	-3304.95	9.91331	0.7113154	0.2691682	0.0551852	0.137953	0.109299	0.0668055	0.117632	0.0501306	0.190556	0.369366	0.135695	0.0517794	0.0804648	0.0984782	0.173784	0.0921821	0.1067158	0.09776493	0.015978	0.50725	0.0043546	0.00857463	0.4617	0.00214283	0.005974125	0.000237785	0.00601808	0.0363309	0.125351	0.328803	0.751606	1.66635	5.0853	0.307296	0.288824	0.139781	0.264099	0.1037391	0.05758801
120	-3293.03	-3303.54	10.5026	0.7404645	0.2344592	0.0668347	0.120568	0.133194	0.0616732	0.107528	0.0572008	0.189298	0.285263	0.0879893	0.0973947	0.104282	0.0556572	0.292703	0.0515787	0.09923407	0.04175987	0.0172001	0.426436	0.00576581	0.0041283	0.544491	0.00197892	0.00571582	7.6125e-05	0.00285358	0.0219363	0.0895025	0.265821	0.669273	1.60706	5.34348	0.283717	0.309521	0.144715	0.262046	0.04747569	0.1203947
130	-3298.84	-3306.02	7.18355	0.6449588	0.2352321	0.086122	0.112706	0.131808	0.0450572	0.117017	0.086984	0.18914	0.430859	0.0793072	0.161325	0.128455	0.082311	0.318344	0.0723052	0.09798974	0.01653886	0.0241891	0.369204	0.0026908	0.00544305	0.597716	0.000756454	0.005254599	7.83677e-05	0.00290854	0.0222222	0.0902818	0.267284	0.671297	1.60865	5.33727	0.315763	0.271233	0.142821	0.270183	0.02179346	0.241109
140	-3297.27	-3305.33	8.05919	0.6184764	0.2250216	0.112564	0.193183	0.127902	0.0845658	0.113561	0.0717272	0.140796	0.33068	0.0567391	0.215495	0.1914	0.0987128	0.213283	0.0574132	0.1344576	0.05792892	0.0302126	0.521765	0.00446146	0.00219456	0.440091	0.00127505	0.006302451	5.25471e-05	0.00223633	0.0185876	0.0800965	0.247751	0.643792	1.58642	5.42106	0.265262	0.289034	0.139928	0.305776	0.06423137	0.09812108
150	-3299.23	-3306.74	7.50818	0.6184764	0.2416238	0.123161	0.129096	0.107088	0.136482	0.1201	0.0902231	0.156325	0.316613	0.0889331	0.400996	0.107231	0.104933	0.183939	0.0860193	0.1289274	0.1099697	0.0283514	0.489623	0.00405293	0.000431772	0.471382	0.00615909	0.02034701	9.89266e-05	0.00338927	0.0246511	0.096771	0.279287	0.687684	1.6213	5.28682	0.295229	0.307429	0.137351	0.259991	0.1303167	0.1561351
160	-3300.39	-3305.04	4.65051	0.5628142	0.2936796	0.0890096	0.134507	0.114095	0.145704	0.11627	0.0585316	0.10988	0.306965	0.0534537	0.209017	0.164185	0.109184	0.274459	0.149927	0.09196498	0.208211	0.0256068	0.491001	0.0017947	0.000946371	0.470589	0.0100622	0.01699908	0.000451694	0.00914159	0.0481102	0.151066	0.369653	0.800416	1.69611	4.92505	0.280238	0.305303	0.140051	0.274408	0.2252101	0.07548098
170	-3301.74	-3307.51	5.7716	0.6187415	0.2503017	0.0814492	0.184934	0.137152	0.0995219	0.0840169	0.0691941	0.129299	0.259594	0.033294	0.114148	0.102321	0.0973875	0.303582	0.135908	0.09376848	0.2839532	0.0232298	0.532038	0.00185471	0.00135629	0.433612	0.00790926	0.04164818	0.000133163	0.00411854	0.0281272	0.105689	0.295284	0.708959	1.63705	5.22064	0.292791	0.300023	0.128602	0.278584	0.3256013	0.1279116
180	-3299.39	-3305.23	5.8365	0.6238224	0.2061406	0.0818544	0.116882	0.105236	0.132264	0.0805138	0.0798793	0.152429	0.449977	0.0587548	0.0695641	0.131897	0.112706	0.352387	0.185938	0.1313078	0.04624019	0.0242661	0.504543	0.00400686	0.00417634	0.459763	0.00324528	0.07535422	2.26002e-05	0.00128239	0.0127193	0.0620636	0.210648	0.588339	1.5377	5.58722	0.277651	0.292666	0.152072	0.277611	0.1215944	0.6197178
190	-3304.2	-3307.06	2.86625	0.6463071	0.2189693	0.0792656	0.197368	0.109589	0.156161	0.157406	0.0431532	0.174439	0.440414	0.0492497	0.0562369	0.0803396	0.0910986	0.271303	0.229858	0.1062173	0.02855878	0.0106146	0.531702	0.00310192	0.00455054	0.448217	0.00181375	0.1165745	4.07368e-05	0.00189122	0.0165826	0.074188	0.235983	0.626685	1.57196	5.47267	0.282255	0.298775	0.122765	0.296204	0.1451333	0.8032238
