Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
21	1	-3314.713	-3300.215	-14.49791	0.2246695	0.1811163	0.3384338	0.2876854	0.0149948	0.493859	0.00505874	0.0123745	0.470897	0.0028154	0.03534219	0.000258537	0.0236408	0.332612	3.64349	0.291149	0.300529	0.134567	0.273755	0.3230276	0.1094092
22	0	-3320.729	-3301.279	-19.44922	0.2660378	0.1863478	0.2955974	-0.6323213	0.0250401	0.526966	0.000439081	0.009472	0.435276	0.00280656	0.7866297	0.000320278	0.0262894	0.347099	3.62629	0.301644	0.30707	0.131243	0.260043	0.1543084	5.097776
23	1	-3322.115	-3307.701	-14.41388	0.2054757	0.2117064	0.3579662	0.2222935	0.0119779	0.523337	0.0111184	0.0206493	0.429271	0.00364635	0.05193853	0.000778114	0.0407901	0.413514	3.54492	0.286852	0.318831	0.118817	0.2755	0.274232	0.1893963
24	0	-3323.105	-3306.837	-16.26851	0.2660378	0.1722355	0.3142381	-0.294402	0.00897162	0.498351	0.000584942	0.00721453	0.475005	0.00987355	0.4322274	0.000174451	0.0194476	0.307452	3.67293	0.292537	0.327248	0.122132	0.258083	0.1378255	3.136049
25	1	-3319.554	-3304.455	-15.09857	0.1854273	0.2020393	0.3978495	0.2574969	0.00665259	0.452651	0.00542331	0.0243838	0.503323	0.00756668	0.05391209	0.000569539	0.0349602	0.388959	3.57551	0.306655	0.288565	0.130784	0.273996	0.3114089	0.1731231
26	0	-3317.735	-3301.095	-16.63942	0.267004	0.1961058	0.28685	0.04677622	0.0143468	0.522828	0.000836325	0.00954157	0.438657	0.0137908	0.2978018	0.000463135	0.0315595	0.373418	3.59456	0.309916	0.296352	0.131101	0.262631	0.3445781	0.8642507
27	1	-3322.363	-3306.034	-16.32934	0.1503791	0.1835521	0.4786905	0.2442454	0.00786994	0.499347	0.00515779	0.0225686	0.455934	0.00912345	0.09146132	0.00028608	0.024858	0.339389	3.63547	0.311496	0.300961	0.134922	0.25262	0.3357067	0.2724441
28	0	-3318.154	-3302.119	-16.0353	0.2541833	0.1916516	0.3484752	0.06596783	0.0112616	0.546144	0.00133114	0.00854797	0.422103	0.0106125	0.2254295	0.000393205	0.0291023	0.36152	3.60898	0.303101	0.309118	0.134722	0.25306	0.2913973	0.7736155
29	1	-3321.093	-3306.76	-14.33298	0.1751946	0.1812051	0.3507704	-0.006157054	0.0117747	0.484243	0.00397671	0.0143829	0.47453	0.0110931	0.1693052	0.000259505	0.0236847	0.33286	3.6432	0.308293	0.289983	0.136295	0.265429	0.1631481	1.037739
30	0	-3317.061	-3302.611	-14.44994	0.2894882	0.1831138	0.2644237	0.003766983	0.0187527	0.51377	0.000869886	0.0127762	0.442782	0.0110493	0.2059235	0.000280972	0.0246369	0.338174	3.63691	0.291405	0.298144	0.145991	0.26446	0.2096905	0.9820355
31	1	-3324.442	-3309.327	-15.1146	0.1910372	0.1464338	0.4037661	-0.03243301	0.00880431	0.615727	0.00343215	0.0142707	0.344075	0.0136908	0.1994939	4.24035e-05	0.00962444	0.231044	3.75929	0.295942	0.324048	0.129872	0.250139	0.1670609	1.194139
32	0	-3318.263	-3303.053	-15.21013	0.2888698	0.2194933	0.3142282	-0.01032694	0.0171484	0.504169	0.00177641	0.0113466	0.461674	0.00388642	0.2332873	0.000980623	0.0457234	0.432598	3.5207	0.281723	0.302743	0.137037	0.278498	0.2229604	1.046317
33	1	-3317.42	-3302.366	-15.05412	0.1904517	0.1614774	0.4123427	0.1206104	0.0128623	0.511049	0.00258542	0.0108726	0.458465	0.0041662	0.1132753	0.000102203	0.0149101	0.276109	3.70888	0.279978	0.32372	0.117532	0.27877	0.2338857	0.4843191
34	0	-3317.34	-3303.89	-13.45	0.2782908	0.2351548	0.263666	0.0953948	0.0215676	0.430339	0.000991637	0.0112608	0.528786	0.00705535	0.1094859	0.00149057	0.0561986	0.469116	3.47319	0.303307	0.287416	0.141264	0.268013	0.2048807	0.5343886
35	1	-3314.913	-3298.806	-16.1076	0.1904517	0.1787678	0.3612135	0.1653182	0.0147112	0.509281	0.00369479	0.0084598	0.461195	0.00265745	0.1787672	0.000233882	0.0224941	0.326027	3.65125	0.280599	0.315149	0.133936	0.270316	0.3440854	0.5195432
36	0	-3317.461	-3303.963	-13.49743	0.2785222	0.2195385	0.2529784	0.1878096	0.0161688	0.485226	0.0033137	0.00362684	0.476453	0.0152114	0.07264267	0.000981893	0.0457526	0.432707	3.52056	0.295383	0.29996	0.136824	0.267833	0.2604523	0.2789097
37	1	-3325.429	-3305.144	-20.28531	0.203739	0.1974887	0.3987772	0.7395322	0.0134864	0.575089	0.00758158	0.011558	0.387006	0.00527926	0.1119924	0.000486546	0.0323394	0.377072	3.5901	0.287487	0.326511	0.126272	0.259731	0.8515246	0.1315199
38	0	-3317.671	-3305.023	-12.64872	0.2785222	0.213319	0.2309077	-0.05314305	0.0139779	0.536121	0.00711552	0.00349338	0.421838	0.0174543	0.1574407	0.000817432	0.0417952	0.417517	3.53987	0.308531	0.273398	0.145104	0.272968	0.1042976	1.509533
39	1	-3322.064	-3304.558	-17.5056	0.22903	0.1509851	0.2950679	0.6676416	0.0150951	0.540957	0.00687324	0.01485	0.416941	0.00528304	0.03937171	5.63692e-05	0.0110898	0.244796	3.74406	0.302333	0.297575	0.144437	0.255655	0.7070133	0.05568737
40	0	-3318.934	-3305.549	-13.38504	0.2897396	0.2302538	0.2716577	0.07638878	0.0188632	0.415441	0.00474102	0.0151704	0.529445	0.0163392	0.1105476	0.00131557	0.0528481	0.457954	3.48788	0.286417	0.306075	0.143909	0.263599	0.1869363	0.5913647
41	1	-3318.556	-3304.584	-13.97194	0.22903	0.2053368	0.3358951	0.1707634	0.00917645	0.440515	0.00910932	0.0126358	0.520641	0.00792265	0.06430448	0.000635606	0.0369099	0.397442	3.56501	0.292959	0.301093	0.139386	0.266562	0.2350678	0.2735571
42	0	-3320.215	-3304.896	-15.31842	0.3005014	0.2220527	0.299472	-0.3623108	0.0127794	0.522533	0.00245145	0.0219262	0.433419	0.00689036	0.4230136	0.00105433	0.0473873	0.438736	3.51282	0.306354	0.297022	0.130612	0.266011	0.0607028	6.968601
43	1	-3325.939	-3311.398	-14.54075	0.3329732	0.239621	0.2732088	-0.3650913	0.0159294	0.556772	0.00583963	0.0110023	0.401548	0.00890847	0.3923254	0.00166282	0.0593037	0.479081	3.45995	0.294369	0.305503	0.116341	0.283787	0.02723405	14.40569
44	0	-3319.962	-3308.311	-11.65101	0.3172958	0.2069454	0.2599294	-0.05580832	0.00785782	0.600085	0.0101842	0.0223171	0.351597	0.00795901	0.08556973	0.00066971	0.0378759	0.40154	3.55991	0.291742	0.308981	0.139257	0.26002	0.02976141	2.875191
45	1	-3317.306	-3304.643	-12.66303	0.3201612	0.1898744	0.2393519	-0.0564478	0.0195898	0.470646	0.00417412	0.00538857	0.492643	0.00755903	0.1540999	0.000367555	0.0281458	0.356718	3.61477	0.305416	0.300039	0.146685	0.24786	0.09765207	1.57805
46	0	-3322.963	-3307.954	-15.00903	0.3172958	0.1937177	0.2479193	-0.2215885	0.00764832	0.504579	0.0134451	0.0111377	0.450654	0.0125353	0.3563612	0.00042462	0.0302316	0.367063	3.60228	0.316227	0.299029	0.1361	0.248643	0.1347727	2.644165
47	1	-3319.242	-3306.585	-12.6563	0.285267	0.2092963	0.3188766	-0.1040371	0.0200044	0.509293	0.0031452	0.0185019	0.430831	0.0182244	0.1351386	0.000721825	0.0393048	0.407482	3.55249	0.298211	0.287718	0.136242	0.27783	0.03110147	4.345086
48	0	-3317.198	-3305.279	-11.91861	0.2959627	0.2135425	0.2423945	0.1299606	0.013846	0.619224	0.00920387	0.0115813	0.341292	0.00485291	0.01847501	0.000822988	0.0419352	0.41807	3.53917	0.270913	0.293772	0.144604	0.290711	0.1484356	0.1244648
49	1	-3316.043	-3304.894	-11.14915	0.2791321	0.2124195	0.219815	-0.08077045	0.0199181	0.535281	0.00723873	0.0137908	0.416408	0.0073635	0.09309953	0.000795335	0.0412334	0.415288	3.54268	0.27374	0.294237	0.135914	0.296108	0.01232908	7.551214
50	0	-3315.302	-3303.574	-11.72758	0.3367432	0.214113	0.2601382	0.08092204	0.0210227	0.521753	0.00286009	0.0033755	0.439457	0.0115313	0.02058724	0.000837285	0.0422933	0.419479	3.53739	0.284077	0.312299	0.144797	0.258827	0.1015093	0.2028114
51	1	-3317.202	-3305.06	-12.142	0.2893421	0.2329949	0.2975508	-0.03806223	0.00665628	0.502676	0.0145793	0.00672721	0.462886	0.00647567	0.08406284	0.00141166	0.0547144	0.464227	3.47965	0.297719	0.306584	0.141951	0.253746	0.04600061	1.827429
52	0	-3315.735	-3304.287	-11.44841	0.3145367	0.2374234	0.2419057	0.1084212	0.0191432	0.561733	0.0068579	0.00453841	0.394288	0.0134399	0.00228652	0.00157653	0.0577699	0.474202	3.46645	0.310665	0.276169	0.134809	0.278357	0.1107078	0.02065366
53	1	-3319.47	-3306.224	-13.24541	0.2893421	0.2382087	0.2640302	-0.2092117	0.00703069	0.512697	0.0232641	0.00856483	0.43846	0.009983	0.2495161	0.00160702	0.0583167	0.475951	3.46413	0.280925	0.311799	0.137942	0.269335	0.04030433	6.1908
54	0	-3314.778	-3302.349	-12.42926	0.2932088	0.2082032	0.3031319	0.1405973	0.0195849	0.510019	0.00430828	0.00500897	0.457572	0.00350639	0.007305454	0.000697254	0.0386379	0.404726	3.55594	0.29655	0.282341	0.144945	0.276163	0.1479027	0.04939364
55	1	-3321.516	-3309.36	-12.15589	0.3227534	0.1929749	0.2674428	-0.06442158	0.0200399	0.486741	0.00425831	0.0101764	0.4663	0.0124838	0.1126899	0.000413126	0.0298235	0.365075	3.60469	0.264757	0.294749	0.149759	0.290735	0.04826832	2.334656
56	0	-3324.876	-3309.868	-15.00719	0.3224734	0.2216095	0.2822424	0.4529482	0.0207775	0.572209	0.00389904	0.00153154	0.395668	0.00591474	0.001090668	0.00104131	0.0470977	0.437678	3.51418	0.270693	0.311781	0.137277	0.280248	0.4540389	0.002402147
57	1	-3316.819	-3304.621	-12.19823	0.2705969	0.2585492	0.2456417	-0.190893	0.0214822	0.483454	0.00376017	0.00605358	0.479369	0.00588126	0.1943384	0.00253437	0.0729298	0.519171	3.40536	0.282572	0.302614	0.14769	0.267124	0.003445394	56.40527
58	0	-3315.06	-3303.224	-11.83565	0.3224734	0.2128601	0.2531755	0.1411213	0.0221077	0.52297	0.0136853	0.00500188	0.434529	0.00170607	0.0005581536	0.000806106	0.0415083	0.416381	3.5413	0.28855	0.296357	0.13653	0.278563	0.1416794	0.003939553
59	1	-3319.643	-3307.708	-11.93513	0.2705969	0.182972	0.3046828	-0.07437945	0.0111263	0.518552	0.00701966	0.00972322	0.447662	0.00591619	0.08667145	0.000279333	0.0245656	0.33778	3.63737	0.309986	0.300269	0.126618	0.263128	0.01229201	7.051042
60	0	-3314.223	-3303.405	-10.81848	0.3171993	0.2167857	0.2481275	0.03303116	0.0131663	0.508368	0.00988274	0.00478441	0.461872	0.001926	0.0006045847	0.00090655	0.0439855	0.426033	3.52908	0.293448	0.292729	0.142488	0.271335	0.03363575	0.01797447
61	1	-3316.569	-3304.382	-12.18716	0.2900852	0.1872453	0.3112398	0.02656695	0.0182575	0.573701	0.00426739	0.00551193	0.393499	0.00476246	0.04683503	0.000331863	0.0267565	0.349559	3.62335	0.285607	0.32304	0.126383	0.264969	0.07340198	0.6380623
62	0	-3315.567	-3304.929	-10.63802	0.337246	0.1979492	0.2465931	-0.006936721	0.012238	0.457912	0.0100827	0.0192676	0.499092	0.00140785	0.01158788	0.000494526	0.0326008	0.378284	3.58862	0.302398	0.308787	0.146387	0.242428	0.004651156	2.491397
63	1	-3315.856	-3303.267	-12.58923	0.309748	0.1883268	0.2754192	6.173994e-05	0.0152871	0.47008	0.00447154	0.015738	0.492388	0.00203554	0.1030886	0.000346224	0.0273243	0.352512	3.61982	0.301222	0.30293	0.135008	0.26084	0.1031503	0.9994015
64	0	-3320.778	-3309.964	-10.81359	0.337246	0.2617509	0.2161752	0.03378379	0.0220486	0.569484	0.0108149	0.00882195	0.386408	0.00242354	0.01762421	0.00270524	0.0752978	0.52562	3.39638	0.319572	0.273238	0.140636	0.266554	0.051408	0.3428301
65	1	-3318.911	-3307.28	-11.63098	0.3177773	0.1941049	0.2806531	0.04152573	0.0206126	0.480297	0.0147651	0.0110742	0.471026	0.00222456	0.02519258	0.000430703	0.0304453	0.368098	3.60103	0.28161	0.299706	0.151792	0.266892	0.0667183	0.3775962
66	0	-3316.991	-3304.882	-12.10885	0.3529749	0.2330256	0.2048897	0.1806786	0.017603	0.516835	0.00533113	0.0198657	0.439688	0.00067672	0.02094767	0.00141277	0.0547355	0.464297	3.47956	0.285539	0.294294	0.134326	0.285841	0.2016263	0.1038936
67	1	-3319.417	-3305.865	-13.55203	0.3049199	0.2403736	0.2605269	-0.1640896	0.0155692	0.45768	0.00741822	0.00852356	0.507956	0.00285366	0.2463665	0.00169307	0.0598314	0.48074	3.45774	0.279106	0.312585	0.142977	0.265332	0.08227681	2.994361
68	0	-3322.986	-3309.713	-13.27294	0.3516994	0.1945122	0.2615896	0.2915741	0.015598	0.522793	0.00819584	0.0160932	0.437015	0.000305515	0.003681441	0.000437169	0.0306707	0.369184	3.59971	0.268028	0.314061	0.139088	0.278823	0.2952556	0.01246866
69	1	-3319.242	-3304.969	-14.27271	0.2295889	0.2249296	0.3422398	-0.1343354	0.0214423	0.473171	0.00693623	0.0159267	0.479413	0.00311141	0.2315401	0.00114157	0.0492811	0.445555	3.50402	0.282164	0.295818	0.156161	0.265857	0.09720472	2.381984
70	0	-3316.364	-3305.594	-10.76969	0.330811	0.230278	0.2352567	0.03993562	0.0296732	0.434007	0.00712879	0.0126749	0.514456	0.00205956	0.001968566	0.00131639	0.0528645	0.45801	3.48781	0.278902	0.299949	0.140029	0.28112	0.04190419	0.04697777
71	1	-3319.774	-3306.959	-12.81462	0.2681208	0.2162498	0.3495627	-0.07828476	0.0137047	0.46738	0.00440749	0.0107114	0.495048	0.00874816	0.1159679	0.000892359	0.0436444	0.424725	3.53074	0.310631	0.281213	0.129614	0.278541	0.03768314	3.077448
72	0	-3315.25	-3304.735	-10.51419	0.3600665	0.2326476	0.2254554	-0.0007196015	0.0188201	0.459529	0.00509174	0.0082934	0.504908	0.0033577	0.01315288	0.00139924	0.0544769	0.463436	3.48069	0.299746	0.304467	0.149789	0.245997	0.01243328	1.057877
73	1	-3315.501	-3301.758	-13.74254	0.2431658	0.1837613	0.2874701	0.2003989	0.0153426	0.482619	0.00706666	0.0068078	0.483368	0.0047961	0.06355252	0.000288541	0.0249639	0.339969	3.63478	0.288995	0.287585	0.139882	0.283538	0.2639514	0.2407735
74	0	-3317.558	-3306.21	-11.34762	0.3079029	0.2844277	0.2197115	0.06017312	0.0183775	0.564567	0.0076272	0.00965008	0.394111	0.00566693	0.03331967	0.00411732	0.0924496	0.5687	3.33473	0.297957	0.28177	0.140969	0.279304	0.09349278	0.3563876
75	1	-3317.667	-3302.824	-14.84367	0.2451764	0.1879565	0.3257953	0.3946116	0.0170085	0.486192	0.00457517	0.00642278	0.479739	0.00606283	0.01018442	0.000341258	0.0271293	0.351502	3.62103	0.292766	0.306452	0.1335	0.267282	0.4047961	0.02515939
76	0	-3313.535	-3302.311	-11.2239	0.2867725	0.2214789	0.255617	0.0693089	0.0134649	0.529931	0.01243	0.00264496	0.438001	0.00352841	0.00181369	0.00103749	0.0470125	0.437366	3.51458	0.31422	0.2864	0.129315	0.270066	0.07112259	0.02550089
77	1	-3317.262	-3303.341	-13.92127	0.2278776	0.209015	0.3265633	0.2967261	0.0113797	0.574353	0.00292385	0.00519748	0.395646	0.0105008	0.00614162	0.000715445	0.0391328	0.406774	3.55338	0.286641	0.319793	0.119873	0.273693	0.3028677	0.02027822
78	0	-3316.693	-3304.726	-11.9674	0.2551031	0.2009565	0.3101477	0.04892137	0.0120431	0.449313	0.0142982	0.00110696	0.517496	0.00574288	0.02400725	0.000548947	0.0343291	0.38615	3.57897	0.282037	0.31788	0.150256	0.249827	0.07292862	0.3291883
