Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5386.3	-5402.44	16.1428	0.01828736	1	0.0385837	0.0527059	0.0735056	0.047574	0.0364875	0.0830881	0.120132	0.0502741	0.0576153	0.0303422	0.115295	0.0474614	0.0353664	0.0278618	0.0603216	0.05087842	0.506966	0.119722	0.0844102	0.0501638	0.19689	0.0418487	0.4017706	0.136954	0.476752	1	2.38629	0.132055	0.0384393	0.182881	0.646625	0.452649	0.8875985
10	-3526.28	-3536.13	9.85576	0.5185391	0.7229607	0.0495204	0.113623	0.161151	0.0613176	0.0678995	0.110367	0.117849	0.080703	0.0777005	0.0274692	0.238713	0.0335973	0.0517862	0.0180088	0.06038588	0.05791626	0.259383	0.360684	0.0210351	0.0251835	0.305385	0.0283299	0.1635885	0.0790979	0.374165	0.933089	2.61365	0.230427	0.288253	0.166288	0.315031	0.2215047	0.7385326
20	-3375.29	-3385.24	9.94152	0.5123453	0.4567826	0.0797525	0.193936	0.138105	0.0946853	0.101641	0.0812069	0.15947	0.0829621	0.13942	0.037481	0.145345	0.0451053	0.0932969	0.0236888	0.08188591	0.09311218	0.120308	0.405066	0.00698975	0.0215231	0.414697	0.0314158	0.1086956	0.0256854	0.222769	0.786084	2.96546	0.285917	0.27154	0.134366	0.308177	0.2018078	0.5386096
30	-3322.04	-3325.68	3.63758	0.6434723	0.4204194	0.158828	0.267379	0.16155	0.0860927	0.0748678	0.0490191	0.178806	0.138888	0.148553	0.0942665	0.244985	0.0571766	0.274274	0.0364705	0.1043885	0.06288838	0.0462366	0.418356	0.00517064	0.00648813	0.517353	0.00639609	0.1436931	0.0197671	0.196838	0.752464	3.03093	0.277332	0.282516	0.150409	0.289743	0.2065815	0.6955759
40	-3298.59	-3305.72	7.13181	0.5811259	0.2321775	0.199747	0.308785	0.0909038	0.0769133	0.0900454	0.0345793	0.172005	0.0954913	0.117882	0.0717259	0.176984	0.0908741	0.139822	0.0757727	0.1014467	-0.009125018	0.0239038	0.440275	0.00210232	0.00684532	0.521181	0.00569274	0.1904711	0.00138254	0.0541559	0.462364	3.4821	0.314657	0.29404	0.148974	0.24233	0.1813461	1.050318
50	-3291.43	-3300.74	9.31079	0.6719187	0.2296915	0.24514	0.330645	0.0952979	0.0975017	0.0894202	0.0639782	0.156661	0.121117	0.10951	0.0627524	0.0765747	0.10274	0.107576	0.0831562	0.1167488	-0.01177699	0.0202018	0.440647	0.00429903	0.00924369	0.519339	0.00627036	0.1341569	0.0012964	0.0524677	0.456658	3.48958	0.287796	0.293183	0.160905	0.258116	0.1223799	1.096233
60	-3305.16	-3310.48	5.31474	0.6911195	0.2014634	0.224392	0.306453	0.0693868	0.07366	0.19401	0.0684194	0.148233	0.113973	0.0542122	0.0615615	0.0612786	0.211828	0.108166	0.0573198	0.1428687	0.04599486	0.0339346	0.517483	0.00294119	0.00689887	0.428242	0.0104994	0.1108982	0.000558521	0.034624	0.387467	3.57735	0.317936	0.280944	0.131766	0.269353	0.156893	0.7068394
70	-3294.23	-3302.71	8.47084	0.7076435	0.2579288	0.210569	0.282481	0.0853002	0.0662562	0.164961	0.113685	0.141682	0.11527	0.0787892	0.130971	0.0450974	0.0912341	0.0842643	0.0761428	0.08499915	-0.1221495	0.0182732	0.48857	0.00739322	0.0092362	0.4656	0.0109267	0.2012583	0.00250206	0.0724727	0.517911	3.40711	0.290708	0.280145	0.145897	0.283251	0.07910874	2.544071
80	-3296.9	-3302.76	5.85499	0.780574	0.2214119	0.216337	0.386984	0.0607366	0.0680908	0.129817	0.174311	0.197441	0.124073	0.0656271	0.335057	0.0524181	0.100222	0.093141	0.0994768	0.1308	-0.007723565	0.015378	0.57242	0.00330908	0.0140061	0.388475	0.00641136	0.05662233	0.00103554	0.0469688	0.437205	3.51479	0.266469	0.306225	0.136249	0.291058	0.04889877	1.15795
90	-3302.47	-3306.65	4.18068	0.7585826	0.2450102	0.209335	0.374668	0.0703589	0.0828977	0.0967937	0.186558	0.136882	0.0995436	0.136349	0.378006	0.068142	0.125812	0.0905345	0.146546	0.1026981	-0.09496576	0.0169084	0.509441	0.00883584	0.00547325	0.455979	0.00336255	0.1496488	0.0018873	0.0631108	0.490844	3.44416	0.258682	0.330713	0.123284	0.287322	0.05468301	2.736659
