Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
19	1	-3646.14	-3449.91	-196.233	6.854005	0.6222952	0.01466078	0.08438848	0.0801486	0.501351	0.00271297	0.00064534	0.343197	0.0719451	10.57373	0.05906978	2	45.00963	0.243424	0.0577366	0.32444	0.892281	2.72554	0.230185	0.320351	0.157657	0.291808	0.1434583	0.4117559
20	0	-4356.35	-4100.06	-256.291	9.237014	0.6724346	0.05569573	-0.04485518	0.327173	0.132815	0.0028355	0.0626842	0.246349	0.228143	13.20066	0.0484086	0	46.85095	0.2182118	0.0683128	0.350228	0.914209	2.66725	0.237661	0.311544	0.147401	0.303394	0.003553419	13.62311
21	1	-3630.39	-3435.68	-194.712	5.592346	0.6107529	0.01515006	0.0691172	0.0561558	0.513412	0.00464162	0.000660865	0.351453	0.0736759	10.57373	0.07406833	2	44.28722	0.243424	0.0553332	0.318197	0.886707	2.73976	0.231142	0.307678	0.15142	0.30976	0.1431855	0.5172892
22	0	-4261.84	-4005.95	-255.891	6.61279	0.6582241	0.05138343	-0.05441406	0.29972	0.182768	0.00259757	0.0388806	0.267035	0.208999	13.20066	0.05848829	0	47.80504	0.2182118	0.0652973	0.343134	0.908346	2.68322	0.249729	0.278833	0.130061	0.341377	0.004074236	14.35565
23	1	-3626.07	-3428.16	-197.914	5.927699	0.6107529	0.01506489	0.06593646	0.0566319	0.517765	0.00468097	0.00179749	0.354433	0.0646926	10.57373	0.06512931	3	44.94933	0.243424	0.0553332	0.318197	0.886707	2.73976	0.256545	0.297512	0.146417	0.299526	0.1310658	0.4969208
24	0	-4160.45	-3906.22	-254.232	10.29804	0.6063112	0.05138343	-0.06118465	0.237842	0.351486	0.0020613	0.0308536	0.211906	0.165851	13.20066	0.06624762	1	46.52614	0.2182118	0.0544123	0.315762	0.884505	2.74532	0.222781	0.288848	0.134733	0.353639	0.005062975	13.08472
25	1	-3618.81	-3421.82	-196.985	5.927699	0.6107529	0.01506489	0.02422021	0.0558201	0.38344	0.00397801	0.00190795	0.491088	0.0637653	10.19409	0.09842259	2	45.26624	0.243424	0.0553332	0.318197	0.886707	2.73976	0.256083	0.296976	0.147956	0.298985	0.1226428	0.8025142
26	0	-4131.74	-3886.32	-245.413	10.29804	0.5934561	0.04812353	-0.07450836	0.237842	0.351486	0.0020613	0.0308536	0.211906	0.165851	13.20066	0.08118466	0	46.36179	0.2182118	0.0517612	0.308615	0.877943	2.76168	0.222781	0.288848	0.134733	0.353639	0.006676296	12.16013
27	1	-3615.53	-3420.15	-195.382	5.927699	0.5944206	0.01506489	0.04834953	0.0558201	0.38344	0.00397801	0.00190795	0.491088	0.0637653	10.19409	0.09449464	2	44.75499	0.2369896	0.0519594	0.309157	0.878446	2.76044	0.291423	0.263805	0.168375	0.276397	0.1428442	0.6615226
28	0	-4065.43	-3818.38	-247.046	6.461878	0.5655449	0.04103378	-0.07953596	0.229621	0.339337	0.00199005	0.0272117	0.241722	0.160118	13.20066	0.08621226	0	47.23019	0.2182118	0.0460887	0.292569	0.862669	2.79867	0.219213	0.284222	0.14859	0.347975	0.006676296	12.91319
29	1	-3612.4	-3416.25	-196.149	5.927699	0.5598306	0.01614195	0.06386957	0.0559551	0.384368	0.00206883	0.00167702	0.492276	0.0636556	10.19409	0.06742061	2	44.38264	0.2369896	0.0449437	0.289192	0.859355	2.80651	0.298563	0.270268	0.148	0.283169	0.1312902	0.5135236
