Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates_mean	branch_rates_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
100	-3874.697	-3786.203	-88.49466	6.48342	0.1434245	0.7177072	0.0647726	0.0590109	0.0410861	0.0496305	0.0423341	0.102185	0.0392952	0.0409608	0.114118	0.0171003	0.0145307	0.0165665	0.0353887	0.028399	0.0459295	0.0619208	0.032562	0.0245449	0.0499378	0.0403052	0.0122726	0.018168	0.0200088	0.0461044	0.0426572	0.0321629	0.0102918	0.0667511	0.12496	0.109635	0.0307966	0.107058	0.115791	0.0338628	0.0261644	0.0170197	0.0660888	0.0799933	0.04174547	0.03562178	-0.09059325	0.0155896	0.522441	0.00140664	0.0151014	0.443333	0.00212908	7.884862	0.173447	-3.176164	2	43.89606	0.6214929	3.47804e-05	0.00871999	0.221913	3.76933	0.0779738	0.371766	0.931257	2.619	0.266839	0.323847	0.145987	0.263327	0.08285379	2.093411
110	-3870.568	-3785.675	-84.89236	6.48342	0.1618822	1.266623	0.048764	0.07819	0.0420923	0.0280991	0.0433947	0.136909	0.0207092	0.0366665	0.100763	0.0159951	0.0124048	0.0222086	0.0268387	0.023513	0.0472724	0.0525323	0.0149104	0.0491319	0.0428356	0.0381324	0.0122253	0.020492	0.0238309	0.0452428	0.0272703	0.0305739	0.00791634	0.042448	0.0848563	0.130632	0.0347544	0.0445365	0.125223	0.0397365	0.0245797	0.0183202	0.0635136	0.0414844	0.03589191	0.05875107	-0.09059325	0.0186666	0.517601	0.000846706	0.00986408	0.450397	0.00262414	7.884862	0.173447	-3.327243	2	43.89606	0.6214929	0.000104415	0.0150697	0.277304	3.70752	0.186919	0.544462	1.03317	2.23545	0.286386	0.288921	0.140725	0.283968	0.08285379	2.093411
120	-3861.063	-3780.796	-80.26664	6.48342	0.1685496	1.516007	0.0480168	0.138719	0.0377269	0.022491	0.0714395	0.0598865	0.0174927	0.0399318	0.0989331	0.0129021	0.0114723	0.0145286	0.0390777	0.0347219	0.0375631	0.0410401	0.011321	0.0517307	0.067628	0.0547154	0.0220434	0.0114006	0.0239668	0.0303534	0.0347359	0.0456494	0.0142832	0.0544277	0.0701079	0.0463231	0.0235005	0.0421904	0.078463	0.0423423	0.0216927	0.0247995	0.0380971	0.0200411	0.03611613	0.04886904	-0.09059325	0.0133107	0.513125	0.000732861	0.0125607	0.457674	0.00259631	7.884862	0.173447	-3.321016	2	43.89606	0.6214929	0.000146373	0.0178242	0.296814	3.68522	0.227785	0.591199	1.05135	2.12967	0.296494	0.279085	0.139948	0.284472	0.08285379	2.093411
130	-3863.103	-3780.739	-82.36412	6.48342	0.2003702	1.918399	0.0413633	0.15437	0.0403827	0.0326158	0.0403978	0.0832428	0.0248969	0.0348656	0.0953063	0.0109857	0.0121732	0.0154522	0.0367881	0.0304086	0.0432462	0.0540837	0.00917392	0.0356651	0.0772671	0.0331525	0.00937865	0.0231571	0.0420857	0.019896	0.0215305	0.0238054	0.0303664	0.0901147	0.0606531	0.0665362	0.018307	0.0419716	0.0347756	0.0508723	0.0164089	0.0179457	0.0366246	0.0277177	0.03839109	0.04814847	-0.09059325	0.0179292	0.494825	0.00111758	0.012602	0.467485	0.00604076	7.884862	0.173447	-3.25993	2	43.89606	0.6214929	0.000538019	0.0339893	0.384623	3.58085	0.283335	0.646046	1.06781	2.00281	0.31837	0.289792	0.131122	0.260715	0.08285379	2.093411
140	-3867.983	-3782.22	-85.76341	6.48342	0.1750371	1.255322	0.0802519	0.142468	0.030122	0.0413746	0.053833	0.0852413	0.0276852	0.0457347	0.0730393	0.0182839	0.0072512	0.00872346	0.0294225	0.0317517	0.0453862	0.0741352	0.0159904	0.052038	0.0847353	0.0255017	0.0120031	0.0136659	0.043618	0.0146535	0.0304038	0.0154476	0.0211452	0.0786608	0.0424335	0.0594793	0.0171307	0.0695443	0.0233933	0.0907332	0.0161716	0.0318184	0.0349643	0.0391573	0.03248409	0.04103209	-0.04511338	0.0124595	0.557937	0.00231823	0.0151819	0.405696	0.00640734	7.884862	0.1514577	-3.427005	2	43.89606	0.6214929	0.000198357	0.020728	0.315464	3.66361	0.184935	0.542022	1.03212	2.24093	0.318064	0.298246	0.114605	0.269084	0.1063443	1.42422
150	-3854.873	-3779.246	-75.62677	6.48342	0.1893768	1.960748	0.0456168	0.138528	0.0509351	0.0281361	0.103577	0.0689303	0.0286147	0.041769	0.0809482	0.0191843	0.0102712	0.0106723	0.029474	0.0320189	0.0446806	0.0550017	0.0269708	0.0149515	0.0676403	0.0348345	0.0126571	0.0221514	0.0270671	0.0126674	0.0347862	0.0236372	0.0241113	0.0392929	0.0465472	0.0557801	0.0197403	0.0678822	0.0218816	0.0682005	0.0297096	0.0252396	0.0204191	0.0264204	0.04068036	0.04296201	0.003585903	0.0110942	0.468668	0.0022929	0.0287718	0.483966	0.00520787	7.884862	0.1514577	-3.20201	2	43.60604	0.6734828	0.000360596	0.0278805	0.355369	3.61639	0.288544	0.650774	1.06898	1.99171	0.293875	0.294285	0.130926	0.280914	0.1550436	0.9768717
160	-3855.205	-3777.278	-77.92702	6.48342	0.1796429	2.490534	0.0362102	0.157236	0.0424691	0.0407963	0.0707732	0.0723817	0.0465399	0.0394964	0.0842711	0.0165674	0.0152924	0.0111508	0.0455129	0.0253342	0.0432181	0.0675687	0.0270842	0.0253319	0.0545217	0.0533388	0.0128115	0.0250954	0.0165858	0.0123585	0.0156064	0.0363824	0.027848	0.048255	0.0536409	0.0403255	0.0182248	0.0991096	0.0224098	0.0690813	0.0214308	0.0228585	0.0178899	0.0641688	0.02979434	0.04791815	0.003585903	0.0153178	0.537815	0.00270729	0.0104991	0.424514	0.00914705	8.032123	0.1514577	-3.513437	2	43.77599	0.6734828	0.000242856	0.0229182	0.328486	3.64835	0.345557	0.698748	1.07852	1.87718	0.302963	0.285345	0.150021	0.261672	0.1550436	0.9768717
170	-3856.772	-3777.751	-79.02135	6.369936	0.1679104	1.511475	0.0532968	0.0906772	0.0312286	0.0277417	0.0941851	0.059179	0.0442915	0.0528136	0.0897632	0.0157077	0.0125697	0.0142897	0.0560011	0.0277624	0.0401917	0.0610573	0.0322876	0.0294555	0.0468327	0.0610452	0.011575	0.0155138	0.0198471	0.00924176	0.0166503	0.0392742	0.0304248	0.0229795	0.0822305	0.0347864	0.0111721	0.0931269	0.0508383	0.0239895	0.0322078	0.0331234	0.0202126	0.0313473	0.02989851	0.04529603	0.002317383	0.00985717	0.429995	0.00174887	0.0133755	0.531782	0.0132411	8.032123	0.1409846	-3.509946	1	44.43575	0.5961594	0.000141874	0.0175499	0.294957	3.68735	0.22709	0.590455	1.05109	2.13137	0.307633	0.294943	0.138921	0.258503	0.143302	0.9838287
180	-3850.02	-3777.53	-72.48934	6.369936	0.1983624	2.803541	0.0478596	0.0697308	0.0454583	0.0364346	0.0651861	0.021265	0.0549507	0.0453131	0.0722792	0.0184433	0.0159056	0.0197459	0.038874	0.0392262	0.0553104	0.0434947	0.0227895	0.0192524	0.0435229	0.0605626	0.0102678	0.019538	0.0280096	0.0182045	0.0155621	0.018715	0.0167123	0.0359417	0.0438091	0.0365375	0.0203435	0.0718153	0.0411897	0.0347512	0.0421878	0.0542196	0.0185368	0.0320895	0.02810294	0.05519261	0.002317383	0.0131171	0.526324	0.00272884	0.016727	0.428391	0.0127122	8.032123	0.1409846	-3.571881	1	44.43575	0.5961594	0.000501765	0.0328361	0.37937	3.58729	0.373468	0.720036	1.08136	1.82514	0.288393	0.295245	0.121846	0.294517	0.143302	0.9838287
190	-3845.853	-3777.587	-68.26558	6.369936	0.2210546	2.618254	0.0259065	0.0288473	0.0525454	0.0625019	0.0444754	0.013648	0.0371661	0.0331675	0.057081	0.0157102	0.014903	0.0120664	0.0354895	0.0301244	0.0490116	0.0195118	0.0192051	0.0200859	0.0535169	0.0697752	0.00809356	0.0176523	0.0263845	0.0182356	0.0268527	0.0344873	0.0231338	0.0535105	0.0309418	0.0332571	0.0118255	0.0626019	0.0187558	0.0281042	0.0541275	0.0497867	0.0251689	0.0401973	0.03053637	0.04860176	0.002317383	0.0194765	0.459754	0.00424237	0.0130359	0.494005	0.00948643	8.032123	0.1409846	-3.488837	1	44.43575	0.5961594	0.00102516	0.046736	0.43635	3.51589	0.357389	0.707931	1.07985	1.85483	0.314491	0.303187	0.132659	0.249663	0.143302	0.9838287
200	-3848.507	-3781.278	-67.22954	6.369936	0.2065684	1.379576	0.0179084	0.0216382	0.0363233	0.0487081	0.0500597	0.010247	0.0361724	0.0255312	0.0990844	0.0166714	0.0162574	0.0168072	0.0334554	0.0276439	0.0492656	0.0211211	0.0191612	0.0226575	0.0547787	0.0785931	0.00631787	0.0193691	0.0180003	0.0174952	0.0253972	0.0260912	0.0200316	0.0329333	0.0245918	0.0424419	0.0171266	0.0299085	0.0217511	0.026389	0.0402374	0.0508614	0.0299937	0.0356129	0.03452566	0.03980185	0.002317383	0.00659033	0.472266	0.00414822	0.022707	0.476839	0.0174494	8.032123	0.1409846	-3.366053	1	44.43575	0.5961594	0.000661606	0.0376487	0.400582	3.56111	0.206106	0.567202	1.04249	2.1842	0.268854	0.309503	0.133414	0.288229	0.143302	0.9838287
210	-3834.966	-3775.377	-59.58847	6.369936	0.1529889	1.25714	0.00777973	0.01807	0.0286751	0.0136755	0.0282584	0.040587	0.0348792	0.027414	0.0999942	0.0131627	0.00892977	0.0197326	0.0324197	0.034184	0.0336358	0.0158041	0.0149515	0.0234851	0.0265593	0.0357215	0.0187678	0.010673	0.0230499	0.0288424	0.029427	0.0189591	0.0155073	0.0210278	0.0449714	0.0577382	0.0183121	0.0128565	0.0470568	0.0237626	0.0156879	0.0474431	0.0289195	0.0402487	0.0233858	0.04514112	0.002317383	0.00690281	0.547433	0.000970191	0.0171495	0.412803	0.014741	8.032123	0.1409846	-3.755626	1	44.43575	0.5961594	6.35537e-05	0.0117721	0.250822	3.73734	0.185255	0.542417	1.03229	2.24004	0.297583	0.310897	0.12782	0.2637	0.143302	0.9838287
220	-3834.339	-3772.941	-61.39723	6.369936	0.1520755	2.710324	0.0103736	0.0232446	0.0386066	0.0144227	0.0229473	0.0224201	0.0184223	0.0471443	0.110065	0.012748	0.0116818	0.0138618	0.0398609	0.0265301	0.0447434	0.0127724	0.0256263	0.0181277	0.0177652	0.074652	0.0294391	0.0100331	0.0184215	0.0222723	0.024723	0.0178029	0.0226403	0.0275121	0.0554383	0.0276175	0.00758452	0.0242399	0.0246606	0.0110668	0.0136134	0.0351013	0.0332092	0.0347465	0.02310296	0.03803604	0.002317383	0.0144649	0.421395	0.00149968	0.00607944	0.544279	0.0122813	8.032123	0.1409846	-3.767794	1	44.43575	0.5961594	6.01953e-05	0.0114583	0.248078	3.7404	0.365532	0.714114	1.08066	1.8397	0.314023	0.285582	0.143754	0.256641	0.143302	0.9838287
230	-3831.771	-3775.529	-56.24186	6.369936	0.1741538	3.81998	0.0134449	0.0134933	0.0191003	0.0162134	0.034897	0.0135184	0.040572	0.0408319	0.103723	0.0180772	0.0127424	0.0109704	0.0296937	0.0337655	0.0364224	0.0222909	0.0286505	0.00966176	0.0107686	0.064837	0.0156646	0.0160836	0.0113217	0.0173369	0.0362936	0.0143582	0.0220653	0.0202044	0.0271516	0.0120252	0.0209066	0.0105386	0.0220533	0.0105851	0.0162437	0.0161539	0.0268479	0.0330118	0.02036109	0.03964042	0.002317383	0.0107811	0.546089	0.00115437	0.0118513	0.426219	0.00390523	8.032123	0.1409846	-3.89413	1	44.43575	0.5961594	0.00019057	0.02032	0.312945	3.66654	0.444191	0.768744	1.08438	1.70268	0.279568	0.315362	0.130675	0.274394	0.143302	0.9838287
