Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_cytb[5]	rates_cytb[6]	rates_cytb[7]	rates_cytb[8]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
120	-3297.22	-3302.18	4.96535	0.813255	0.2361627	0.249574	0.0979543	0.108151	0.218295	0.0720465	0.242663	0.0674804	0.399366	0.105073	0.0813578	0.031899	0.0623722	0.126676	0.282825	0.1210154	0.01130367	0.0228211	0.481363	0.0102255	0.00631422	0.473243	0.00603272	0.008898261	8.11353e-05	0.00297561	0.0225686	0.0912218	0.269043	0.673722	1.61055	5.32983	0.298289	0.292251	0.15147	0.257991	0.02020193	0.4404659
130	-3301.74	-3302.65	0.910198	0.7514864	0.2003787	0.207215	0.115847	0.115451	0.452444	0.156262	0.223425	0.0643533	0.463481	0.0910551	0.136565	0.0495358	0.0545668	0.1112	0.242185	0.1874177	-0.005122366	0.0163798	0.510595	0.0107698	0.00542544	0.454275	0.00255515	0.0184795	1.69237e-05	0.00105943	0.0111607	0.0568277	0.199132	0.570159	1.52056	5.64108	0.264648	0.310118	0.136165	0.289069	0.01335713	1.383493
140	-3302.45	-3300.08	-2.36942	0.5544431	0.2335806	0.281414	0.125963	0.0997978	0.401652	0.0872107	0.426416	0.0691327	0.282501	0.109785	0.112196	0.0750101	0.0863182	0.298489	0.501086	0.1200407	-0.07369706	0.0134662	0.515774	0.00493305	0.0144416	0.447471	0.00391399	0.08798929	7.36362e-05	0.00279193	0.0216134	0.0886181	0.264154	0.666961	1.60523	5.35055	0.288911	0.286239	0.151544	0.273306	0.01429222	6.156445
150	-3298.08	-3297.15	-0.939496	0.4341623	0.2280965	0.241957	0.180569	0.143406	0.376133	0.103112	0.307783	0.0640302	0.29416	0.124125	0.151465	0.0933382	0.107932	0.39968	0.43335	0.1827947	-0.0532875	0.0115513	0.492533	0.00641136	0.0095212	0.475535	0.00444835	0.1558273	5.94927e-05	0.00242665	0.0196494	0.0831372	0.253678	0.652252	1.5934	5.3954	0.294885	0.285991	0.138939	0.280184	0.1025398	1.519676
160	-3309.97	-3307.55	-2.42307	0.5177178	0.288776	0.331464	0.197053	0.0969575	0.500072	0.111838	0.300675	0.0407342	0.168212	0.0974021	0.214083	0.0765664	0.160159	0.592295	0.206494	0.1797968	-0.01215058	0.0106148	0.483612	0.0125605	0.00978182	0.476984	0.00644592	0.07996207	0.00040077	0.00845743	0.0456657	0.145928	0.361727	0.791199	1.69081	4.95581	0.294264	0.308026	0.144479	0.253231	0.06781149	1.179182
170	-3307.02	-3303.92	-3.09404	0.5087797	0.2705503	0.225824	0.188456	0.155444	0.53773	0.119303	0.368442	0.055205	0.227768	0.103508	0.274553	0.0817881	0.193512	0.403846	0.357074	0.1935246	-0.1361584	0.00684704	0.473371	0.0110621	0.0116341	0.489063	0.00802281	0.199198	0.000247312	0.00617444	0.0369638	0.1268	0.331188	0.754548	1.66826	5.07581	0.30101	0.306666	0.127961	0.264363	0.06303963	3.159886
180	-3308.89	-3305.3	-3.59195	0.4460261	0.2779406	0.254832	0.186564	0.208256	0.454757	0.08934	0.391418	0.0631558	0.320595	0.110948	0.186427	0.0971453	0.245255	0.36754	0.452633	0.2129492	-0.07543058	0.0144855	0.336522	0.0040339	0.0149729	0.62466	0.00532607	0.1622352	0.000303097	0.00705063	0.0404149	0.134556	0.343777	0.76988	1.67798	5.02604	0.304222	0.277964	0.146468	0.271345	0.08680457	1.86897
190	-3307.37	-3307.48	0.111349	0.4739501	0.2708527	0.172681	0.174282	0.129489	0.244367	0.113839	0.264276	0.0697237	0.363531	0.137841	0.0753714	0.190302	0.219489	0.211642	0.390613	0.2331276	-0.03399699	0.0304071	0.493217	0.00457511	0.0108983	0.456651	0.00425116	0.1120071	0.000249434	0.00620897	0.0371028	0.127117	0.331709	0.755188	1.66868	5.07375	0.285556	0.287038	0.149052	0.278355	0.07801007	1.435803
200	-3302.28	-3303.6	1.32138	0.4484844	0.2635239	0.202466	0.126692	0.113857	0.393937	0.122044	0.167225	0.0561596	0.317592	0.145251	0.14287	0.218666	0.172153	0.138725	0.218295	0.200363	-0.0007568242	0.0252123	0.474863	0.00262757	0.0202427	0.474752	0.00230239	0.1799597	0.000201672	0.00540405	0.0337897	0.119442	0.318961	0.739341	1.65824	5.12462	0.280364	0.294286	0.135753	0.289598	0.1792028	1.004223
210	-3303.21	-3307.2	3.98789	0.4833277	0.2725995	0.222584	0.152825	0.121326	0.297058	0.255605	0.130276	0.0999121	0.331127	0.0957633	0.255978	0.249736	0.148851	0.135286	0.137407	0.139913	0.03944725	0.0214422	0.417628	0.00687305	0.0116586	0.542127	0.000271715	0.05847257	0.000261952	0.00641061	0.0379095	0.12895	0.334707	0.758866	1.67104	5.06186	0.282946	0.294028	0.155769	0.267257	0.09791982	0.5971474
