Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
19	-3579.4	-3392.13	-187.269	7.856687	0.4442028	0.01696055	0.02962026	0.0444924	0.460724	0.000838666	0.00199155	0.453944	0.0380092	10.39904	0.1307209	3	42.72803	0.2634387	0.0235734	0.213939	0.775003	2.98748	0.27485	0.296032	0.144259	0.284859	0.1603412	0.8152673
20	-3581.07	-3392.99	-188.076	9.047766	0.4554404	0.01765603	0.02573039	0.0445091	0.460896	0.00109457	0.00136332	0.454114	0.0380234	10.39904	0.1503966	2	43.27007	0.2427574	0.025457	0.221834	0.784928	2.96778	0.279297	0.300822	0.146593	0.273287	0.176127	0.85391
21	-3571.03	-3385.4	-185.631	9.047766	0.4467539	0.01621509	0.01611057	0.0445221	0.461031	0.00131597	0.000849403	0.454247	0.0380346	10.14204	0.1325536	3	43.2951	0.2427574	0.0239964	0.215742	0.777295	2.98297	0.279037	0.296106	0.148331	0.276527	0.1486642	0.8916311
22	-3570.2	-3383.27	-186.931	6.066463	0.4538354	0.01728083	0.0681232	0.0445246	0.461056	0.00131605	0.000793807	0.454272	0.0380367	10.43991	0.08190285	4	43.268	0.2276201	0.0251848	0.220714	0.783537	2.97056	0.282951	0.300259	0.136385	0.280405	0.1500261	0.5459242
23	-3565.6	-3379.11	-186.496	6.066463	0.4398462	0.01535845	0.1466171	0.0357332	0.465299	0.00132816	0.000801111	0.458452	0.0383866	10.43991	0.102744	4	42.52796	0.2276201	0.0228573	0.210846	0.771035	2.99526	0.291891	0.278149	0.140694	0.289265	0.2493612	0.412029
24	-3562.81	-3378.96	-183.85	5.353396	0.420303	0.0144928	0.05186203	0.0356959	0.464813	0.00132677	0.000800275	0.457974	0.03939	10.87819	0.1556976	3	41.88915	0.2276201	0.0197491	0.196753	0.752348	3.03115	0.287112	0.289968	0.138391	0.284529	0.2075597	0.7501344
25	-3557.54	-3375.75	-181.789	5.353396	0.418245	0.01405424	0.02322273	0.027401	0.425331	0.000952437	0.000614309	0.515465	0.0302367	10.87819	0.1558238	3	41.53554	0.2425017	0.0194321	0.195249	0.750292	3.03503	0.289276	0.289088	0.137971	0.283666	0.1790465	0.8702978
26	-3554.02	-3371.63	-182.391	5.226596	0.4020425	0.0163572	0.0771311	0.0233261	0.427352	0.000631561	0.000394407	0.517915	0.0303804	10.87819	0.1499103	6	41.48747	0.2409848	0.0170102	0.18328	0.733481	3.06623	0.286116	0.28593	0.147386	0.280567	0.2270414	0.6602773
27	-3547.01	-3368.5	-178.506	5.21338	0.3747568	0.0163572	-0.00318341	0.0223074	0.48911	0.000603979	0.000377182	0.458548	0.0290536	10.87819	0.2036257	6	41.09147	0.281837	0.0132475	0.162663	0.702453	3.12164	0.290808	0.284051	0.146417	0.278724	0.2004423	1.015882
28	-3545.75	-3367.69	-178.053	5.21338	0.3816685	0.01713938	0.03864307	0.0241854	0.451621	0.000654828	0.000147098	0.498578	0.0248131	10.87819	0.2016654	6	41.03321	0.281837	0.0141611	0.167935	0.710656	3.10725	0.290543	0.289155	0.136571	0.283732	0.2403084	0.8391939
29	-3546.06	-3366.38	-179.685	5.171627	0.3511052	0.01498839	-0.01684652	0.0241859	0.45163	0.00065484	0.000127835	0.498588	0.0248136	10.87819	0.1708197	4	40.25547	0.281837	0.010338	0.144414	0.672449	3.1728	0.285199	0.283837	0.152452	0.278513	0.1539732	1.109412
30	-3544.52	-3365.52	-179.007	5.752824	0.3449634	0.01677201	-0.01815321	0.0244691	0.445084	0.000787273	0.000129331	0.504426	0.0251042	11.39389	0.1721264	6	40.32352	0.281837	0.00963965	0.139634	0.664136	3.18659	0.285199	0.283837	0.152452	0.278513	0.1539732	1.117898
31	-3544.71	-3365.39	-179.324	5.11381	0.3368961	0.01608172	0.01488821	0.0241383	0.457031	0.000770017	0.000136789	0.49337	0.0245539	11.39389	0.1659677	6	40.00701	0.281837	0.00875965	0.133338	0.652868	3.20503	0.295663	0.294251	0.15668	0.253406	0.180856	0.9176792
32	-3545.01	-3364.95	-180.057	5.191942	0.3476572	0.01655577	0.0153234	0.0221637	0.457916	0.000868804	0.000124759	0.494325	0.0246015	11.39389	0.1655325	4	40.50394	0.281837	0.00994294	0.141732	0.66781	3.18051	0.295663	0.294251	0.15668	0.253406	0.180856	0.9152729
33	-3548.87	-3369.44	-179.435	5.191942	0.3545983	0.01553235	0.08019046	0.0307348	0.392454	0.000963871	0.00013841	0.548416	0.0272934	10.9819	0.1357674	5	40.08764	0.2776737	0.0107459	0.147127	0.677077	3.16505	0.286019	0.284653	0.15157	0.277759	0.2159578	0.6286753
34	-3532.57	-3353.59	-178.986	5.191942	0.3545983	0.01815247	0.0963349	0.0308891	0.394424	0.00140964	0.000107881	0.55117	0.0219996	10.96704	0.1111291	4	40.26795	0.3531576	0.0107459	0.147127	0.677077	3.16505	0.27779	0.306106	0.146336	0.269768	0.207464	0.535655
35	-3521.7	-3344.71	-176.983	5.191942	0.3740299	0.01421462	0.0290133	0.0309885	0.395693	0.00141418	0.000107864	0.552943	0.0188539	11.25885	0.1628358	4	39.58717	0.3531576	0.013153	0.162106	0.701576	3.12316	0.27779	0.306106	0.146336	0.269768	0.1918491	0.8487702
36	-3521.37	-3343.19	-178.186	5.191942	0.3764667	0.01511056	0.07096268	0.0310589	0.396593	0.00161609	0.000108109	0.5542	0.0164247	11.09529	0.1314025	5	39.05274	0.3531576	0.0134709	0.16397	0.704505	3.11805	0.283152	0.303833	0.145249	0.267766	0.2023651	0.6493335
37	-3515.05	-3340.83	-174.223	5.168559	0.3400901	0.01507768	0.06761588	0.0310057	0.395913	0.00161333	0.000107924	0.55325	0.0181095	11.57421	0.1235957	5	37.78505	0.3929426	0.00910296	0.135833	0.657377	3.19769	0.283443	0.304145	0.145398	0.267014	0.1912116	0.646382
38	-3514.98	-3340.22	-174.761	7.047438	0.343195	0.01598459	0.08965951	0.0251627	0.510028	0.00130929	8.0194e-05	0.44899	0.0144299	11.57421	0.1147352	5	37.41912	0.4017936	0.00944311	0.138256	0.6617	3.1906	0.295416	0.288559	0.137731	0.278294	0.2043947	0.5613413
39	-3513.84	-3339.94	-173.897	7.367009	0.3462357	0.01498068	0.06440718	0.0308469	0.506981	0.00144018	7.9715e-05	0.446308	0.0143437	11.05474	0.1399875	6	37.51662	0.4017936	0.00978232	0.140626	0.665877	3.18372	0.295416	0.288559	0.137731	0.278294	0.2043947	0.6848882
40	-3500.14	-3329.38	-170.761	6.107036	0.3388539	0.01605749	0.04558996	0.0332363	0.468793	0.00155173	8.58896e-05	0.480879	0.0154548	11.05474	0.1477961	6	37.27083	0.4340219	0.00896929	0.134868	0.655639	3.20052	0.29093	0.297684	0.137319	0.274067	0.1933861	0.7642542
41	-3502.58	-3329.34	-173.236	6.107036	0.3388539	0.01497663	0.07668465	0.0332456	0.468924	0.0012727	8.59136e-05	0.481013	0.0154591	11.06722	0.1672763	6	37.5617	0.4058358	0.00896929	0.134868	0.655639	3.20052	0.285211	0.304736	0.136874	0.273179	0.2439609	0.6856683
42	-3504.23	-3328.26	-175.969	6.107036	0.3204449	0.01497663	0.09454634	0.0331524	0.46761	0.000995843	0.000115379	0.482711	0.0154158	11.058	0.1388424	6	37.72498	0.5426717	0.00709958	0.120465	0.628592	3.24384	0.293913	0.291944	0.152432	0.261711	0.2333888	0.5948976
43	-3498.02	-3325.27	-172.744	5.655199	0.3156509	0.01566181	0.04863957	0.0338676	0.477697	0.00101733	0.000117868	0.477464	0.00983598	11.058	0.1321492	6	37.44255	0.4614398	0.00665047	0.116712	0.621174	3.25546	0.288981	0.303827	0.149874	0.257319	0.1807888	0.7309591
44	-3501.07	-3329.54	-171.527	5.655199	0.3062652	0.01313384	0.09925251	0.0386698	0.534931	0.00113921	8.43755e-05	0.408957	0.0162183	10.61783	0.1449065	7	37.36937	0.4614398	0.00581728	0.109377	0.606176	3.27863	0.274932	0.322556	0.129331	0.273181	0.244159	0.5934923
45	-3496.76	-3324.72	-172.041	7.740472	0.2831546	0.01608616	0.07704074	0.0385981	0.533939	0.00181039	0.00015127	0.409313	0.0161882	10.61783	0.1671183	7	37.74169	0.4614398	0.00402856	0.0914724	0.566398	3.3381	0.272036	0.323845	0.129847	0.274273	0.244159	0.6844649
46	-3497.09	-3322.67	-174.425	7.004643	0.299531	0.01454187	0.04625087	0.0305978	0.538329	0.00182528	0.000247997	0.412679	0.0163213	11.26278	0.1461576	6	37.31314	0.5852015	0.00525734	0.10413	0.595014	3.2956	0.266752	0.317554	0.127325	0.288369	0.1924085	0.7596215
47	-3496.07	-3323.83	-172.231	6.134026	0.292821	0.0150245	0.00264359	0.0315303	0.558422	0.00180171	0.000232734	0.387279	0.0207339	11.26278	0.1696029	5	37.39076	0.5852015	0.00473106	0.0989232	0.583547	3.3128	0.26456	0.326026	0.123414	0.286001	0.1722465	0.9846523
48	-3496.12	-3321.52	-174.599	8.292266	0.2658918	0.01279343	0.02330119	0.0312649	0.56259	0.00239697	0.000234471	0.39017	0.0133429	12.13888	0.1480004	6	37.44802	0.5852015	0.00293657	0.0783832	0.533823	3.38486	0.259688	0.320021	0.142094	0.278197	0.1713016	0.8639757
49	-3492.83	-3319.34	-173.49	6.848064	0.269374	0.01502071	-0.02963523	0.0284168	0.533532	0.00365278	0.000230178	0.419812	0.0143566	11.7001	0.2155976	6	37.33003	0.5852015	0.0031402	0.0809958	0.540602	3.37526	0.268686	0.290872	0.148907	0.291535	0.1859624	1.159361
50	-3491.32	-3318.56	-172.76	6.889162	0.2676807	0.01550731	0.002806162	0.0323856	0.468383	0.00416294	0.000262325	0.478445	0.0163617	12.2937	0.1831562	6	37.40775	0.5852015	0.00304014	0.0797234	0.537319	3.37992	0.268686	0.290872	0.148907	0.291535	0.1859624	0.9849101
51	-3491.56	-3316.71	-174.85	6.266648	0.2676807	0.01318844	0.02321293	0.0323256	0.467516	0.00599949	0.000269193	0.477559	0.0163314	13.28644	0.2033915	6	37.44615	0.5576585	0.00304014	0.0797234	0.537319	3.37992	0.267447	0.304999	0.137363	0.290191	0.2266045	0.8975619
52	-3488.56	-3316.04	-172.521	6.266648	0.2787492	0.01318844	0.08276142	0.0355641	0.465951	0.00597941	0.000268292	0.47596	0.0162767	13.28644	0.167219	6	37.44615	0.5576585	0.00373016	0.088102	0.558327	3.34984	0.280284	0.299654	0.134956	0.285106	0.2499805	0.6689284
53	-3492.49	-3317.78	-174.71	7.550335	0.2697473	0.01227151	-0.0173731	0.035564	0.465951	0.0059794	0.00026917	0.47596	0.0162767	13.28644	0.2218876	6	37.67406	0.5088672	0.00316252	0.0812768	0.541322	3.37424	0.271963	0.290759	0.160635	0.276643	0.2045145	1.084948
54	-3489	-3316.74	-172.264	6.217404	0.2636582	0.01296724	-0.01117753	0.0293409	0.46757	0.00886709	0.000274564	0.477614	0.0163333	13.40239	0.2218659	6	37.28271	0.5088672	0.00281034	0.0767158	0.529417	3.39106	0.273749	0.292668	0.16169	0.271894	0.2106884	1.053052
