Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
220	-3319.962	-3308.311	-11.65101	0.3172958	0.2069454	0.2599294	-0.05580832	0.00785782	0.600085	0.0101842	0.0223171	0.351597	0.00795901	0.08556973	0.00066971	0.0378759	0.40154	3.55991	0.291742	0.308981	0.139257	0.26002	0.02976141	2.875191
230	-3322.963	-3307.954	-15.00903	0.3172958	0.1937177	0.2479193	-0.2215885	0.00764832	0.504579	0.0134451	0.0111377	0.450654	0.0125353	0.3563612	0.00042462	0.0302316	0.367063	3.60228	0.316227	0.299029	0.1361	0.248643	0.1347727	2.644165
240	-3317.198	-3305.279	-11.91861	0.2959627	0.2135425	0.2423945	0.1299606	0.013846	0.619224	0.00920387	0.0115813	0.341292	0.00485291	0.01847501	0.000822988	0.0419352	0.41807	3.53917	0.270913	0.293772	0.144604	0.290711	0.1484356	0.1244648
250	-3315.302	-3303.574	-11.72758	0.3367432	0.214113	0.2601382	0.08092204	0.0210227	0.521753	0.00286009	0.0033755	0.439457	0.0115313	0.02058724	0.000837285	0.0422933	0.419479	3.53739	0.284077	0.312299	0.144797	0.258827	0.1015093	0.2028114
260	-3315.735	-3304.287	-11.44841	0.3145367	0.2374234	0.2419057	0.1084212	0.0191432	0.561733	0.0068579	0.00453841	0.394288	0.0134399	0.00228652	0.00157653	0.0577699	0.474202	3.46645	0.310665	0.276169	0.134809	0.278357	0.1107078	0.02065366
270	-3314.778	-3302.349	-12.42926	0.2932088	0.2082032	0.3031319	0.1405973	0.0195849	0.510019	0.00430828	0.00500897	0.457572	0.00350639	0.007305454	0.000697254	0.0386379	0.404726	3.55594	0.29655	0.282341	0.144945	0.276163	0.1479027	0.04939364
280	-3324.876	-3309.868	-15.00719	0.3224734	0.2216095	0.2822424	0.4529482	0.0207775	0.572209	0.00389904	0.00153154	0.395668	0.00591474	0.001090668	0.00104131	0.0470977	0.437678	3.51418	0.270693	0.311781	0.137277	0.280248	0.4540389	0.002402147
290	-3315.06	-3303.224	-11.83565	0.3224734	0.2128601	0.2531755	0.1411213	0.0221077	0.52297	0.0136853	0.00500188	0.434529	0.00170607	0.0005581536	0.000806106	0.0415083	0.416381	3.5413	0.28855	0.296357	0.13653	0.278563	0.1416794	0.003939553
300	-3314.223	-3303.405	-10.81848	0.3171993	0.2167857	0.2481275	0.03303116	0.0131663	0.508368	0.00988274	0.00478441	0.461872	0.001926	0.0006045847	0.00090655	0.0439855	0.426033	3.52908	0.293448	0.292729	0.142488	0.271335	0.03363575	0.01797447
310	-3315.567	-3304.929	-10.63802	0.337246	0.1979492	0.2465931	-0.006936721	0.012238	0.457912	0.0100827	0.0192676	0.499092	0.00140785	0.01158788	0.000494526	0.0326008	0.378284	3.58862	0.302398	0.308787	0.146387	0.242428	0.004651156	2.491397
320	-3320.778	-3309.964	-10.81359	0.337246	0.2617509	0.2161752	0.03378379	0.0220486	0.569484	0.0108149	0.00882195	0.386408	0.00242354	0.01762421	0.00270524	0.0752978	0.52562	3.39638	0.319572	0.273238	0.140636	0.266554	0.051408	0.3428301
330	-3316.991	-3304.882	-12.10885	0.3529749	0.2330256	0.2048897	0.1806786	0.017603	0.516835	0.00533113	0.0198657	0.439688	0.00067672	0.02094767	0.00141277	0.0547355	0.464297	3.47956	0.285539	0.294294	0.134326	0.285841	0.2016263	0.1038936
340	-3322.986	-3309.713	-13.27294	0.3516994	0.1945122	0.2615896	0.2915741	0.015598	0.522793	0.00819584	0.0160932	0.437015	0.000305515	0.003681441	0.000437169	0.0306707	0.369184	3.59971	0.268028	0.314061	0.139088	0.278823	0.2952556	0.01246866
350	-3316.364	-3305.594	-10.76969	0.330811	0.230278	0.2352567	0.03993562	0.0296732	0.434007	0.00712879	0.0126749	0.514456	0.00205956	0.001968566	0.00131639	0.0528645	0.45801	3.48781	0.278902	0.299949	0.140029	0.28112	0.04190419	0.04697777
