Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
12	0	-3296.044	-3304.836	8.79157	2.705805	0.222578	0.0255251	0.0190835	0.0335775	0.0617931	0.0795108	0.0490925	0.0681732	0.0703442	0.0202825	0.108383	0.0242299	0.0701725	0.0857463	0.0789142	0.04764161	0.01193804	0.0127872	0.493988	0.0173195	0.0186877	0.451023	0.00619401	3.598522	0.04810723	-3.044049	0.00106991	0.0477312	0.439987	3.51121	0.298974	0.306915	0.142017	0.252094	0.06004527	0.8011826
13	1	-3301.228	-3308.889	7.661124	4.397751	0.1831676	0.020128	0.0418581	0.021176	0.0837127	0.0343303	0.0245935	0.0991982	0.041937	0.0257129	0.0155173	0.0147338	0.0202192	0.0510633	0.0219861	0.0221516	0.05128989	0.00746246	0.548158	0.00842541	0.0111509	0.419104	0.00569898	10.51858	0.05630528	-3.809846	0.000281596	0.024664	0.338323	3.63673	0.270764	0.309047	0.133107	0.287083	0.1075952	0.5233068
14	0	-3301.342	-3306.875	5.533894	2.61641	0.1997342	0.0276857	0.0139298	0.0319953	0.0697519	0.0922042	0.0367339	0.111955	0.0510087	0.0157999	0.162151	0.0200606	0.0879212	0.0774547	0.0344115	0.04542223	-0.02488355	0.00571408	0.566886	0.0160593	0.0146397	0.385734	0.0109674	3.89047	0.04361365	-3.091754	0.00052634	0.0336223	0.382964	3.58289	0.280756	0.328178	0.115989	0.275077	0.0187301	2.328533
15	1	-3294.655	-3304.313	9.657529	3.667513	0.2043868	0.0173373	0.0297236	0.0233963	0.084375	0.0336117	0.0248909	0.0842129	0.0522359	0.0247236	0.0264538	0.0152037	0.0157775	0.0247375	0.0199313	0.02053628	-0.004160752	0.0145407	0.566021	0.00650965	0.00781919	0.401697	0.0034123	8.955349	0.09177084	-3.885562	0.000616047	0.036344	0.39501	3.56803	0.280062	0.306092	0.135105	0.27874	0.08761008	1.047492
16	0	-3297.458	-3303.236	5.778693	2.664624	0.1906533	0.0300151	0.0119916	0.0363154	0.065929	0.102371	0.0350522	0.0691947	0.0528241	0.0169708	0.130583	0.0364498	0.043827	0.083059	0.0329711	0.05343428	-0.1060352	0.004849	0.475309	0.0167902	0.00770652	0.48846	0.00688535	5.287993	0.1228289	-2.929303	0.000378643	0.0285634	0.358827	3.61223	0.278178	0.309498	0.128086	0.284238	0.01679375	7.313965
17	1	-3299.577	-3308.039	8.462049	3.917936	0.1864189	0.0197063	0.0378942	0.0365511	0.0227171	0.0366996	0.0114077	0.0733438	0.0520305	0.0190748	0.0437641	0.0100743	0.0133407	0.0239358	0.0137489	0.0163545	0.07119355	0.0111885	0.481073	0.00433764	0.00273236	0.498485	0.00218349	12.02029	0.05281008	-4.113252	0.000321184	0.0263263	0.347294	3.62606	0.316811	0.291034	0.136945	0.255209	0.1240036	0.4258753
18	0	-3297.158	-3304.168	7.010336	2.663729	0.1579148	0.0277702	0.0107854	0.0375234	0.0338872	0.0793635	0.0433611	0.0430724	0.0601354	0.0200226	0.120545	0.0426174	0.0374651	0.103647	0.0435435	0.03994329	-0.07781329	0.00801306	0.506874	0.0183853	0.0153689	0.442123	0.00923579	6.933841	0.1025957	-3.220295	8.42518e-05	0.0135446	0.265549	3.72082	0.284821	0.293648	0.144608	0.276923	0.02478242	4.139859
19	1	-3287.756	-3302.698	14.9426	4.063083	0.1739814	0.0171809	0.0310128	0.0274482	0.0356959	0.0283762	0.0147955	0.0339888	0.0405371	0.0188641	0.0457331	0.0169043	0.0102536	0.0246408	0.00992243	0.02096081	-0.09062692	0.0159556	0.559433	0.00599054	0.00441874	0.412535	0.00166782	13.38112	0.1474098	-3.865101	0.000189078	0.0202408	0.312453	3.66712	0.302163	0.290281	0.133088	0.274467	0.05678289	2.596025
20	0	-3298.689	-3301.416	2.726334	2.681569	0.1382362	0.0266944	0.0108243	0.0384458	0.0318367	0.0529006	0.0412726	0.0423715	0.039242	0.0127135	0.163052	0.121096	0.0219715	0.0547935	0.0477227	0.02970541	-0.0521363	0.00635897	0.526795	0.00706663	0.0104999	0.439954	0.00932467	9.591506	0.0734125	-3.516426	2.42172e-05	0.00728117	0.206126	3.78657	0.295749	0.290816	0.154582	0.258853	0.0212762	3.450452
21	1	-3292.119	-3305.326	13.20703	3.872836	0.2061749	0.017842	0.0336159	0.0375286	0.0361856	0.021086	0.0183711	0.0370688	0.0347852	0.0174642	0.0509508	0.0158245	0.0192526	0.0158079	0.0080873	0.02760138	-0.07681321	0.0182391	0.485748	0.00923641	0.00540881	0.478679	0.00268877	15.88761	0.1318013	-3.589889	0.00065322	0.0374121	0.399581	3.56235	0.293272	0.30914	0.128025	0.269563	0.05498806	2.396907
