Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
170	0	-3296.466	-3304.804	8.338172	2.916856	0.1829564	0.0208496	0.0373597	0.0214004	0.0739925	0.140898	0.0257167	0.0507138	0.049709	0.0306843	0.0739211	0.0430725	0.0263243	0.043521	0.0271477	0.03455748	0.0173294	0.0175724	0.486304	0.00193473	0.00963055	0.48191	0.00264837	7.092102	0.0756347	-3.365131	0.000279154	0.0245578	0.337737	3.63743	0.309647	0.28361	0.136851	0.269893	0.09296409	0.8135904
171	1	-3296.41	-3297.859	1.449669	2.013808	0.1868138	0.0282727	0.0439483	0.0843898	0.0168421	0.0378287	0.0543606	0.0529332	0.153098	0.0204253	0.0725906	0.08747	0.0751333	0.0465316	0.026073	0.05253299	-0.2900699	0.0106184	0.554602	0.00290586	0.0054377	0.419996	0.00643945	10.66416	0.4074547	-2.946314	0.000326256	0.0265315	0.348377	3.62476	0.289162	0.302299	0.128989	0.279549	0.1173848	3.471104
172	0	-3311.459	-3315.431	3.972292	3.754805	0.2086753	0.0142106	0.0830132	0.0200954	0.0756381	0.10259	0.0529575	0.0863936	0.0784089	0.0422358	0.0414014	0.0323291	0.0499563	0.0883302	0.078348	0.06088215	-0.05408626	0.0176189	0.472302	0.000810176	0.0125181	0.494383	0.00236767	5.739636	0.1213759	-2.798815	0.000707794	0.0389254	0.405918	3.55445	0.282432	0.309268	0.118733	0.289566	0.06728964	1.803783
173	1	-3300.638	-3304.158	3.520419	1.956331	0.1353325	0.0287897	0.0307355	0.0642568	0.0317151	0.0442395	0.0629281	0.0599019	0.162369	0.0344829	0.11139	0.0532294	0.0879852	0.0459825	0.0563805	0.05967611	-0.2419802	0.00513168	0.478449	0.00175299	0.0101834	0.504305	0.000177541	9.813136	0.2653123	-2.818824	1.95376e-05	0.00654233	0.197281	3.79616	0.289473	0.316676	0.133032	0.260819	0.02333218	11.37109
174	0	-3300.102	-3307.658	7.555456	3.05832	0.2183795	0.0183725	0.063421	0.0522296	0.0330198	0.146909	0.0422483	0.100266	0.055767	0.0444772	0.0133745	0.0297409	0.0326487	0.0271639	0.0230709	0.0413354	-0.006017325	0.0194387	0.606771	0.000768546	0.0103985	0.359992	0.00263097	4.920409	0.1380284	-3.186036	0.000949673	0.0450057	0.429907	3.52414	0.284641	0.289594	0.127764	0.298001	0.1320111	1.045582
175	1	-3289.535	-3300.836	11.30102	1.918485	0.147024	0.0436562	0.0298372	0.0631438	0.0435776	0.0313208	0.0373592	0.0347322	0.0666349	0.0331029	0.0733706	0.0252458	0.0461672	0.0174869	0.0302968	0.0445061	-0.1712263	0.00809348	0.469542	0.0109505	0.00594157	0.503341	0.00213161	8.072332	0.1789841	-3.112129	4.40422e-05	0.00980788	0.232832	3.75732	0.279274	0.304915	0.149503	0.266307	0.007757823	23.07143
176	0	-3295.881	-3300.754	4.872377	2.784526	0.2059739	0.0257952	0.05145	0.0379264	0.0383878	0.121533	0.0453835	0.0805882	0.0443993	0.0371538	0.0063567	0.0381024	0.0962193	0.0378944	0.0473693	0.03308376	0.001585635	0.013744	0.594989	0.00432763	0.0175609	0.366497	0.00288165	6.0334	0.05718032	-3.408713	0.000648964	0.0372914	0.399068	3.56299	0.301664	0.321973	0.11734	0.259023	0.05876595	0.9730178
177	1	-3298.97	-3302.915	3.944656	2.096242	0.1588045	0.0436562	0.0420183	0.0685094	0.0574184	0.0384036	0.0481277	0.0517551	0.0165779	0.0182981	0.0367086	0.0583181	0.0875489	0.0570043	0.0709699	0.06236965	0.05109391	0.00477466	0.515064	0.0107734	0.00696954	0.460247	0.0021711	14.39058	0.07287244	-2.774676	8.84877e-05	0.0138791	0.268194	3.71784	0.289978	0.31925	0.123708	0.267064	0.1239664	0.5878405
178	0	-3287.976	-3299.628	11.65158	2.674884	0.1542912	0.0214453	0.0461903	0.0285249	0.0314638	0.1085	0.0497819	0.0739748	0.0425284	0.027819	0.0199076	0.022455	0.0340589	0.0428238	0.022861	0.03342021	0.07193665	0.00693763	0.460398	0.00665439	0.01425	0.510645	0.00111521	7.044557	0.041874	-3.398595	6.85918e-05	0.0122275	0.254729	3.73298	0.315186	0.290171	0.13625	0.258393	0.1138107	0.3679269
179	1	-3297.621	-3298.124	0.5028898	2.096242	0.1844945	0.0928165	0.0359936	0.080268	0.0311773	0.0595776	0.065181	0.124144	0.00745298	0.011576	0.0317816	0.0255353	0.0550779	0.0391758	0.0520122	0.05029532	0.3692326	0.0107486	0.573199	0.00792469	0.00427763	0.398077	0.00577266	13.11192	0.04516212	-2.989843	0.000297292	0.0253365	0.341996	3.63237	0.285706	0.312514	0.133558	0.268221	0.4143948	0.1089833
180	0	-3300.549	-3306.446	5.89682	2.641851	0.1733489	0.0143491	0.0484413	0.0435556	0.0771606	0.109076	0.0621276	0.0538739	0.0700495	0.0228638	0.0184994	0.0353321	0.0363794	0.0373237	0.0220102	0.0363075	0.1243494	0.00957866	0.446614	0.00641681	0.0151519	0.50912	0.0131192	8.969347	0.1597434	-3.315731	0.000183677	0.0199517	0.310644	3.66922	0.276636	0.321762	0.151392	0.25021	0.2840929	0.562293
181	1	-3294.034	-3300.32	6.286161	2.038396	0.1845597	0.0372156	0.0433509	0.0811048	0.0429019	0.0585745	0.0634458	0.0562655	0.0170946	0.0102332	0.0329495	0.023329	0.0324749	0.0278534	0.00804461	0.03683328	-0.164885	0.00984312	0.508907	0.00598473	0.0133836	0.455791	0.00609085	31.4231	0.2500657	-3.301353	0.00029808	0.0253697	0.342177	3.63216	0.29509	0.281714	0.151279	0.271917	0.0851807	2.935709
182	0	-3297.546	-3305.484	7.938389	1.958118	0.1836669	0.0159504	0.0484358	0.0480356	0.0739271	0.0460542	0.0933813	0.0411284	0.0410099	0.0321104	0.0757357	0.0440344	0.0339101	0.0393091	0.0839044	0.04274061	0.2094576	0.0092895	0.531421	0.00327763	0.0193647	0.421961	0.0146862	6.48604	0.067328	-3.152606	0.000287429	0.0249161	0.339707	3.63509	0.26903	0.303283	0.136418	0.291269	0.2767856	0.2432497
183	1	-3290.336	-3299.096	8.759877	2.310451	0.1939835	0.0136017	0.0315347	0.0811048	0.0218258	0.0437444	0.0345585	0.0338063	0.0572671	0.0208253	0.0597867	0.0302178	0.0130001	0.0279776	0.0204822	0.02702023	-0.1264903	0.00982813	0.493621	0.00411651	0.0113399	0.472074	0.00901993	12.21971	0.2916429	-3.611169	0.00042879	0.0303782	0.367774	3.60142	0.300577	0.295481	0.129561	0.274381	0.1651526	1.765899
184	0	-3307.362	-3306.226	-1.135575	1.846348	0.1562586	0.0199387	0.0740271	0.0904814	0.0624702	0.0794075	0.143754	0.0581887	0.0444575	0.0431474	0.0744383	0.0151161	0.044503	0.0779944	0.127416	0.06724425	-0.3084314	0.0039242	0.496585	0.00399009	0.010198	0.467489	0.0178134	8.685562	0.4372964	-2.699424	7.67848e-05	0.0129336	0.260612	3.72638	0.306111	0.306537	0.114583	0.27277	0.128865	3.393446
185	1	-3287.795	-3297.358	9.563398	2.340718	0.1703865	0.0181491	0.0211295	0.0867655	0.0411915	0.04577	0.0606801	0.0402625	0.0435326	0.0339063	0.0428948	0.0640789	0.030697	0.0265961	0.0320724	0.03491533	-0.0822212	0.00654722	0.462875	0.00976645	0.00656552	0.505505	0.00874023	13.26274	0.09506882	-3.354829	0.000159902	0.0186244	0.302129	3.67909	0.292448	0.305598	0.143498	0.258457	0.01284762	7.399723
186	0	-3305.607	-3304.801	-0.8054099	2.003696	0.1716463	0.0285331	0.0402969	0.0707389	0.0448704	0.115066	0.0943288	0.0434552	0.0782033	0.0299147	0.0234907	0.0684198	0.0782031	0.0702847	0.191359	0.06832713	-0.3491379	0.0115036	0.50808	0.00316542	0.0116752	0.449408	0.0161677	6.31474	0.4875553	-2.683448	0.000169711	0.0191833	0.305759	3.67489	0.316152	0.301437	0.127138	0.255273	0.1384173	3.522357
187	1	-3292.765	-3305.362	12.59772	1.846289	0.1352548	0.0229039	0.0263056	0.089022	0.0183959	0.0404612	0.0302473	0.0373101	0.033687	0.0244428	0.0230481	0.0522691	0.0119104	0.0237914	0.0284474	0.03693629	0.1706436	0.00954526	0.499028	0.0171006	0.00537129	0.46085	0.00810509	11.04111	0.01775862	-3.298561	1.94231e-05	0.00652319	0.197044	3.79641	0.302803	0.294939	0.134111	0.268147	0.1884023	0.09425906
188	0	-3299.886	-3302.697	2.811616	2.003696	0.179675	0.0297467	0.0526226	0.0397415	0.10316	0.0847033	0.0999343	0.0138197	0.0562829	0.0254076	0.0235199	0.0190201	0.0546308	0.0453499	0.0718441	0.05831146	0.1194063	0.00710765	0.504901	0.0127244	0.00581926	0.453999	0.0154486	9.933335	0.1034676	-2.841957	0.00024319	0.0229339	0.328577	3.64825	0.276945	0.326155	0.131427	0.265473	0.2228739	0.4642429
189	1	-3289.047	-3300.193	11.14618	1.86001	0.1905954	0.0301516	0.0435789	0.068533	0.0196821	0.0331583	0.0742594	0.0412436	0.0454341	0.0310406	0.0555765	0.0330112	0.0302222	0.0288678	0.0845529	0.04959961	0.1003695	0.0215391	0.450377	0.0156134	0.00175032	0.508294	0.0024258	6.590619	0.004863468	-3.003772	0.000377811	0.0285323	0.35867	3.61242	0.295526	0.300193	0.141115	0.263166	0.1052329	0.04621622
190	0	-3292.508	-3299.33	6.821732	1.974758	0.1695876	0.0502091	0.0326504	0.0569924	0.0580401	0.0918822	0.0890642	0.0500732	0.0454807	0.0165457	0.0323864	0.0670105	0.0309614	0.105623	0.0619839	0.05416611	-0.1185173	0.00767173	0.512633	0.00887488	0.00238636	0.460461	0.00797273	7.366785	0.1588264	-2.9157	0.000153907	0.0182742	0.299821	3.68175	0.271475	0.312615	0.139007	0.276903	0.04030908	3.940213
191	1	-3287.088	-3300.531	13.44337	1.910279	0.2273104	0.037795	0.0304951	0.0515322	0.0265447	0.038181	0.0498487	0.0203551	0.06194	0.0229816	0.0889877	0.044135	0.0316277	0.0241252	0.0623616	0.04107282	-0.1013486	0.013896	0.395937	0.0133665	0.00465825	0.571241	0.000901215	5.0499	0.1200424	-3.192409	0.00121733	0.0508663	0.451135	3.49678	0.3017	0.288574	0.138839	0.270887	0.01869381	6.421505
192	0	-3289.34	-3298.667	9.326981	2.003233	0.157454	0.0500904	0.034644	0.0502177	0.0518689	0.057891	0.103516	0.108774	0.0494206	0.0244758	0.0644573	0.0422664	0.0261154	0.0431326	0.0296319	0.05028906	0.1116212	0.0139284	0.536146	0.00824889	0.00690146	0.432585	0.00219052	6.055776	0.02604279	-2.989968	8.21205e-05	0.0133731	0.264177	3.72237	0.276034	0.328632	0.139658	0.255676	0.137664	0.1891765
193	1	-3280.856	-3293.352	12.4958	2.005542	0.1779433	0.026261	0.0287643	0.0607593	0.0242302	0.0288909	0.0505043	0.0260633	0.10747	0.0332322	0.0247857	0.0344745	0.0107907	0.0338653	0.0231667	0.03656296	-0.01410134	0.0143534	0.489186	0.00290086	0.0101502	0.482963	0.000446366	6.742748	0.09871075	-3.30872	0.000225654	0.0220978	0.323703	3.65397	0.302061	0.290078	0.135385	0.272475	0.08460942	1.166664
194	0	-3303.276	-3303.161	-0.1155347	2.003233	0.1901346	0.0358022	0.0281908	0.0502177	0.0864923	0.0246595	0.0962901	0.127045	0.0419324	0.0365377	0.0539714	0.0395344	0.0630975	0.0170814	0.0615199	0.05947599	-0.6301028	0.00924443	0.567234	0.00841631	0.0171784	0.389073	0.00885388	5.279284	0.7445102	-2.822183	0.000371232	0.028285	0.357423	3.61392	0.279523	0.305879	0.12812	0.286478	0.1144074	6.507536
195	1	-3284.458	-3297.524	13.06643	2.327198	0.1981612	0.0280294	0.024078	0.0679568	0.0342754	0.0282025	0.0318269	0.0190325	0.0755074	0.0313097	0.0372421	0.0781383	0.0289462	0.0198817	0.0322094	0.03418082	0.07507282	0.0161051	0.477617	0.0077515	0.0127029	0.485224	0.000598809	7.215948	0.02898243	-3.376091	0.000498232	0.0327215	0.378842	3.58794	0.289285	0.295046	0.127292	0.288377	0.1040552	0.2785292
196	0	-3291.251	-3296.525	5.273917	2.104903	0.1703644	0.05497	0.0269934	0.0907318	0.0454926	0.0415237	0.095653	0.181997	0.0469087	0.025802	0.0312158	0.0362788	0.0789873	0.065517	0.0384538	0.057508	0.02432903	0.012235	0.460425	0.00435887	0.00560619	0.508176	0.0091987	5.088183	0.1416982	-2.855831	0.000159734	0.0186147	0.302065	3.67916	0.299514	0.289517	0.142846	0.268122	0.1660272	0.8534636
197	1	-3284.739	-3298.203	13.46391	2.327198	0.1599346	0.0279721	0.0257576	0.0442928	0.0232459	0.0295081	0.043755	0.0158106	0.0872407	0.0307237	0.0329945	0.0247704	0.0385243	0.0328929	0.019014	0.03521686	0.1990146	0.00833739	0.509603	0.00497507	0.00430071	0.472587	0.000197132	7.374239	0.02991619	-3.34623	9.41017e-05	0.0143102	0.271546	3.71405	0.298093	0.304497	0.131689	0.26572	0.2289308	0.1306778
198	0	-3292.608	-3301.619	9.010715	2.104903	0.178502	0.046435	0.0209989	0.0393033	0.0714228	0.0625986	0.0909364	0.0701191	0.0393098	0.0314774	0.0471987	0.0252434	0.0399865	0.0720483	0.0255639	0.03619486	-0.07147559	0.00914063	0.478202	0.00963045	0.00583725	0.487588	0.00960105	7.238405	0.1049309	-3.318838	0.000231205	0.022366	0.325278	3.65212	0.299289	0.303564	0.125776	0.271371	0.03345536	3.136446
199	1	-3284.872	-3298.253	13.38104	2.327198	0.1920448	0.0364419	0.0275299	0.0649434	0.00920436	0.0321475	0.0448439	0.0199273	0.027766	0.0195674	0.0291933	0.0237039	0.0342775	0.0156224	0.0194954	0.02443036	0.4497872	0.0167449	0.556952	0.00841956	0.0071164	0.410356	0.000411705	11.63194	0.0323649	-3.711929	0.000399051	0.0293159	0.362579	3.60771	0.295094	0.294695	0.134658	0.275553	0.4821521	0.06712592
200	0	-3292.232	-3304.014	11.78182	2.62723	0.14835	0.0258947	0.019534	0.0508719	0.0239136	0.0462921	0.0778784	0.0707682	0.0574884	0.0305187	0.0261623	0.0436611	0.0683509	0.0339232	0.0192163	0.03078422	-0.02175276	0.0153426	0.423013	0.00832053	0.00264326	0.544241	0.00643966	5.873093	0.04303837	-3.480753	4.79053e-05	0.0102271	0.236844	3.75288	0.303913	0.310844	0.136609	0.248634	0.02128561	2.021947
201	1	-3284.11	-3294.947	10.83644	2.119192	0.1722743	0.0340939	0.0256897	0.0597667	0.00778757	0.0321475	0.0596552	0.0158131	0.0254071	0.0410059	0.0180899	0.0339465	0.0147013	0.0349732	0.0644731	0.03369567	-0.02802051	0.0112011	0.546496	0.0035107	0.0122249	0.426126	0.000441111	9.973043	0.1077662	-3.390386	0.000174766	0.019465	0.307564	3.6728	0.30483	0.293392	0.125935	0.275843	0.07974572	1.351373
202	0	-3295.529	-3299.449	3.92016	1.971062	0.2179625	0.0482641	0.0342442	0.0597224	0.0193152	0.0301037	0.0764093	0.0560424	0.0365932	0.0199072	0.0145453	0.0532889	0.117587	0.0287705	0.0110984	0.03198228	0.284194	0.0118528	0.548441	0.00344682	0.00386115	0.428187	0.00421095	6.867578	0.1836324	-3.442573	0.000938258	0.044738	0.428896	3.52543	0.297118	0.308078	0.137903	0.256902	0.4678263	0.3925225
203	1	-3284.559	-3294.318	9.758661	2.081295	0.2078783	0.0676182	0.0291607	0.0683573	0.0151613	0.0323997	0.0394012	0.0135102	0.0202646	0.0382773	0.0417394	0.0303292	0.0343247	0.0910346	0.0628367	0.03952975	0.1729803	0.0188334	0.526395	0.00185447	0.00737709	0.444354	0.00118679	7.888841	0.03446718	-3.230702	0.000690064	0.0384405	0.403905	3.55696	0.296119	0.296555	0.128739	0.278586	0.2074475	0.1661489
204	0	-3298.02	-3303.607	5.587074	1.971062	0.1472994	0.0480888	0.0332076	0.0914222	0.0219785	0.0737846	0.0828395	0.0454564	0.0664122	0.0254908	0.0218181	0.0137243	0.0716571	0.0552509	0.0150029	0.04944705	0.2220952	0.0123669	0.530639	0.00561254	0.00485762	0.44057	0.00595418	9.064504	0.02910734	-3.006853	4.48236e-05	0.00989413	0.233666	3.7564	0.31573	0.299315	0.122364	0.262591	0.2512025	0.115872
205	1	-3292.399	-3305.144	12.74493	1.945354	0.2103143	0.0561139	0.0397316	0.0592008	0.0120588	0.033033	0.0549234	0.0145826	0.0407229	0.0343437	0.0239163	0.0351299	0.0374297	0.0456548	0.0678664	0.03557547	-0.1346858	0.0180077	0.53966	0.00493529	0.00625437	0.429626	0.00151716	6.1079	0.1475296	-3.336099	0.000745244	0.0399297	0.410037	3.54929	0.325586	0.28039	0.117623	0.276401	0.01284387	11.48638
206	0	-3286.71	-3297.87	11.16076	1.938398	0.1822404	0.0613033	0.0314168	0.0516221	0.0254052	0.0470836	0.0801203	0.0966115	0.0416987	0.0298391	0.0158226	0.0148177	0.0603816	0.0531065	0.031981	0.03913165	0.09511004	0.0105536	0.518608	0.00547778	0.00520312	0.438887	0.0212698	4.652434	0.02758934	-3.240824	0.000270993	0.024199	0.335747	3.63978	0.274382	0.305315	0.142302	0.278001	0.1226994	0.2248532
207	1	-3289.254	-3300.777	11.52275	2.023732	0.1709789	0.0561139	0.0292338	0.0860039	0.0163462	0.0491796	0.0440705	0.0451288	0.0485428	0.0323093	0.0267804	0.0457994	0.0326145	0.05077	0.0766774	0.04204636	-0.1584065	0.0167056	0.388166	0.0039302	0.0111658	0.578135	0.00189793	5.935808	0.1756646	-3.168982	0.00016446	0.0188862	0.303838	3.67711	0.29492	0.294792	0.141306	0.268982	0.01725814	10.17865
208	0	-3292.178	-3299.796	7.617733	1.998943	0.2334999	0.0601455	0.0371754	0.0641395	0.0131702	0.0514635	0.105501	0.0864881	0.0709616	0.0443446	0.0102622	0.0342143	0.0667708	0.0424693	0.0450445	0.03913165	-0.1686891	0.0181575	0.493511	0.00320752	0.00757223	0.463474	0.0140768	3.862209	0.1791678	-3.240824	0.00142986	0.0550604	0.465374	3.47814	0.281839	0.304941	0.132819	0.280402	0.0104787	17.09828
209	1	-3293.203	-3298.773	5.569441	1.99432	0.1743033	0.0584147	0.0345671	0.0677541	0.0134656	0.0408564	0.0543895	0.045511	0.0307154	0.0136267	0.109384	0.0504474	0.0557523	0.0987599	0.0756956	0.04632063	-0.1791924	0.0160709	0.613924	0.00543014	0.00990571	0.353498	0.0011712	6.812233	0.2327741	-3.072168	0.000191872	0.0203888	0.313372	3.66605	0.284502	0.295307	0.129003	0.291189	0.05358166	4.344287
210	0	-3290.735	-3297.336	6.600786	1.99817	0.1766247	0.0412951	0.0230893	0.0500971	0.0270281	0.0351118	0.0641847	0.118932	0.0312118	0.0266814	0.0581876	0.0332747	0.0361246	0.0456113	0.0817706	0.06059115	0.02162784	0.00910127	0.53244	0.00395429	0.00632379	0.441423	0.00675723	4.356217	0.2118069	-2.803606	0.000212944	0.0214711	0.319974	3.65834	0.297726	0.291363	0.134569	0.276343	0.2334348	0.9073495
211	1	-3296.508	-3299.574	3.065969	2.046272	0.2168072	0.0963536	0.0318268	0.093151	0.0389224	0.032225	0.0479761	0.04988	0.0447875	0.0234454	0.0536613	0.046166	0.0434765	0.154045	0.0216692	0.03262726	0.4264737	0.0138601	0.600496	0.00386263	0.013498	0.350948	0.0173352	7.221331	0.01647726	-3.422607	0.000907124	0.0439993	0.426085	3.52901	0.296533	0.285521	0.13703	0.280916	0.442951	0.03719883
212	0	-3293.583	-3300.346	6.763592	2.149794	0.1746359	0.0214781	0.0367971	0.0461407	0.0270281	0.0664819	0.0522919	0.130767	0.0565983	0.0148571	0.0720562	0.0474833	0.0960004	0.0812864	0.0224865	0.05205814	-0.1556888	0.0133524	0.558888	0.0043731	0.00207577	0.409644	0.0116659	4.736313	0.1629179	-2.955394	0.000194791	0.0205422	0.31432	3.66494	0.285135	0.284783	0.153307	0.276775	0.007229069	22.53649
213	1	-3293.306	-3305.528	12.22222	2.170472	0.1969322	0.0490626	0.0228163	0.0693524	0.0326818	0.030156	0.0338803	0.0472364	0.043955	0.0222878	0.0320402	0.0431314	0.0463265	0.119977	0.0584691	0.03853063	-0.04546983	0.0146744	0.45616	0.0111956	0.0231732	0.487407	0.00738927	5.665488	0.04705118	-3.256302	0.000477026	0.0320246	0.375604	3.59189	0.307786	0.297318	0.156318	0.238577	0.001581341	29.75397
214	0	-3292.701	-3298.607	5.905985	2.026016	0.172887	0.0410529	0.0254425	0.0460322	0.0155474	0.034114	0.0744854	0.0740027	0.0666762	0.0301762	0.0349921	0.0537603	0.129975	0.0347273	0.0821334	0.04705349	0.1232976	0.00555539	0.43277	0.00648399	0.0074589	0.542524	0.00520689	7.046278	0.08306669	-3.05647	0.000179806	0.0197417	0.309321	3.67076	0.300139	0.296161	0.140139	0.263561	0.2063643	0.4025244
215	1	-3290.32	-3303.438	13.11821	2.335588	0.2520897	0.0642578	0.0285977	0.0791325	0.0254416	0.031333	0.0375745	0.0465486	0.0321584	0.0200402	0.0485141	0.037773	0.0165135	0.039063	0.0749786	0.03959294	-0.08154139	0.0229586	0.420107	0.00569394	0.0102666	0.531428	0.00954528	5.652493	0.0933125	-3.229104	0.00221058	0.0682032	0.505872	3.42371	0.306855	0.276673	0.137291	0.279182	0.01177111	7.92725
216	0	-3295.996	-3301	5.004053	1.911949	0.1779011	0.0303554	0.0302351	0.0499043	0.0223119	0.0321387	0.100553	0.0898813	0.0704151	0.038719	0.0997745	0.036804	0.118508	0.0427825	0.0189977	0.04034809	0.2320141	0.011863	0.560366	0.00318498	0.00633752	0.411008	0.00724016	7.736744	0.01135508	-3.210211	0.000225239	0.0220776	0.323584	3.65411	0.323212	0.307841	0.11822	0.250726	0.2433692	0.04665784
217	1	-3289.584	-3300.421	10.83694	2.335588	0.2056435	0.0409163	0.0256504	0.0676458	0.0204274	0.0321303	0.0691505	0.0127836	0.071678	0.0320191	0.05631	0.0207702	0.0285083	0.00945536	0.0152676	0.03355459	-0.0253639	0.0173952	0.500986	0.00879578	0.00249671	0.457482	0.0128445	6.174713	0.1298118	-3.394581	0.000642012	0.0370933	0.398226	3.56404	0.278214	0.317837	0.138175	0.265774	0.1044479	1.242838
218	0	-3292.298	-3296.96	4.661982	1.953482	0.1415303	0.032934	0.0411743	0.0542683	0.028674	0.0242039	0.0975097	0.155381	0.0510379	0.0319386	0.102215	0.0360118	0.0936309	0.0468996	0.0464307	0.05801847	-0.1633638	0.00500602	0.498919	0.00238517	0.0183947	0.472849	0.00244566	6.207152	0.2166665	-2.846994	3.05688e-05	0.00817702	0.216154	3.77564	0.301512	0.307979	0.131567	0.258943	0.05330261	4.064837
219	1	-3300.435	-3310.928	10.49356	2.335588	0.2639611	0.0573232	0.0441495	0.0959557	0.0143904	0.0472184	0.0716341	0.0179115	0.0709518	0.0473472	0.014342	0.0170848	0.0152022	0.0252797	0.0387551	0.02879878	-0.0695961	0.0258097	0.473384	0.00734594	0.00671944	0.45276	0.033981	4.857503	0.087448	-3.547422	0.00282726	0.0769416	0.530018	3.39021	0.269878	0.331261	0.128164	0.270697	0.01785191	4.898525
220	0	-3291.378	-3302.839	11.46041	1.953482	0.1998224	0.0365297	0.0224351	0.0449336	0.0237808	0.0210724	0.0751366	0.0763168	0.0340757	0.032289	0.0686442	0.0575072	0.0769914	0.0400359	0.0530875	0.0426235	-0.05824432	0.00915156	0.448304	0.00346666	0.0173585	0.50399	0.0177295	5.244295	0.08903176	-3.155349	0.00052795	0.0336731	0.383194	3.5826	0.288045	0.283358	0.159754	0.268843	0.03078744	2.891821
221	1	-3294.498	-3302.369	7.870526	2.464299	0.1981725	0.0349523	0.0283586	0.0669814	0.0135274	0.0583086	0.0718316	0.0414383	0.100146	0.0148704	0.0285719	0.0083245	0.010256	0.0117139	0.0455259	0.02852249	0.004955672	0.01125	0.527199	0.00267618	0.00704383	0.439373	0.0124581	6.921975	0.03842305	-3.557062	0.000498429	0.0327279	0.378872	3.5879	0.298784	0.30478	0.139986	0.25645	0.04337873	0.885758
222	0	-3292.188	-3307.125	14.93703	2.702507	0.2037051	0.0251516	0.0136276	0.0317567	0.0414735	0.0256002	0.0621958	0.0445375	0.0168871	0.0296137	0.0224115	0.0194491	0.0313872	0.0187848	0.0176807	0.02101616	-0.05205537	0.0123557	0.45872	0.0128643	0.00704674	0.491044	0.0179693	10.68319	0.06718543	-3.862463	0.000602276	0.03594	0.393259	3.5702	0.288066	0.282949	0.148359	0.280626	0.01513006	4.440527
223	1	-3291.947	-3299.49	7.543026	2.645779	0.1544995	0.0600636	0.0305234	0.0881402	0.0340489	0.0480009	0.0579409	0.0214488	0.172201	0.0204653	0.0397538	0.0197911	0.0232224	0.0479713	0.0442785	0.0488768	0.1329893	0.0133549	0.477879	0.00185682	0.0086913	0.49273	0.00548794	5.54437	0.02778858	-3.018452	6.94255e-05	0.0123013	0.255352	3.73228	0.28925	0.305939	0.126128	0.278683	0.1607779	0.1728383
224	0	-3288.721	-3300.811	12.09	2.702507	0.1718942	0.0275117	0.0228611	0.0279491	0.00849049	0.0263078	0.0435947	0.0436746	0.0121987	0.0136656	0.0488614	0.00537955	0.0251181	0.0166017	0.0229296	0.02089263	0.2311498	0.00660531	0.488537	0.00794105	0.0182438	0.473672	0.0050005	12.98977	0.05959067	-3.868359	0.000171693	0.0192943	0.306472	3.67406	0.313321	0.298938	0.136178	0.251564	0.2907405	0.2049617
225	1	-3288.444	-3300.602	12.1584	2.455744	0.1764941	0.0490932	0.0176309	0.0700773	0.0171872	0.0359719	0.0448921	0.0289631	0.106572	0.018957	0.0517942	0.0255519	0.0604071	0.0213078	0.0253171	0.04038937	0.02548399	0.00966474	0.635405	0.0106127	0.00613113	0.330889	0.00729696	5.511418	0.01040549	-3.209189	0.000211714	0.0214095	0.319603	3.65878	0.283241	0.307579	0.123213	0.285967	0.03588948	0.2899314
226	0	-3290.314	-3306.561	16.24699	3.710698	0.1887524	0.0213543	0.0261388	0.0286976	0.0390083	0.032924	0.0406772	0.0451666	0.0203281	0.0179532	0.0155416	0.0188562	0.0178612	0.0147273	0.0283682	0.02065697	0.008158638	0.00468951	0.537064	0.0171111	0.0178575	0.415782	0.00749635	12.03504	0.001100153	-3.879702	0.000351998	0.0275491	0.353671	3.61843	0.273975	0.3167	0.121232	0.288093	0.009258791	0.1188225
227	1	-3289.408	-3298.661	9.253419	2.168062	0.2321232	0.0371224	0.024498	0.0956213	0.013436	0.035563	0.047177	0.0331812	0.0727221	0.0252851	0.0244072	0.0464247	0.0137542	0.0229206	0.0567179	0.03733891	-0.4080343	0.0199391	0.479136	0.00487123	0.00879865	0.469626	0.0176292	5.2666	0.4175743	-3.287719	0.00138062	0.0541188	0.46224	3.48226	0.295891	0.297118	0.122363	0.284628	0.009539922	43.77125
228	0	-3291.999	-3304.025	12.02612	3.192902	0.1579111	0.0361639	0.0180712	0.0239455	0.0172288	0.0381591	0.0889342	0.0197727	0.0264567	0.0199452	0.0324673	0.0224504	0.0303666	0.0256014	0.0158133	0.03333259	-0.06789844	0.0128312	0.601871	0.00315988	0.0127116	0.367699	0.00172802	20.34644	0.1229941	-3.40122	8.42345e-05	0.0135432	0.265538	3.72083	0.278335	0.326638	0.122967	0.272061	0.05509568	2.232373
