Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5055.192	-5045.248	-9.944094	0.7639374	1	0.04263085	-0.1130229	0.106553	0.0198817	0.0599882	0.00870489	0.173512	0.63136	0.1263057	0.136954	0.476752	1	2.38629	0.617412	0.0544345	0.2139	0.114254	0.0132828	9.508966
10	-3534.634	-3524.098	-10.53515	0.7613731	0.8160701	0.1102814	-0.07645776	0.0587383	0.145467	0.0718187	0.0261223	0.501244	0.19661	0.1049221	0.0989734	0.413524	0.96131	2.52619	0.284628	0.264496	0.18221	0.268666	0.02846432	3.686091
20	-3385.155	-3374.825	-10.33006	0.6384289	0.665996	0.1300477	-0.04632172	0.0128907	0.339184	0.0216857	0.015773	0.542171	0.0682957	0.07200022	0.0669451	0.347034	0.911585	2.67444	0.291741	0.294508	0.153321	0.260431	0.02567849	2.803911
30	-3351.974	-3341.028	-10.94604	0.4119303	0.5332747	0.1786263	-0.04243497	0.0174279	0.385572	0.014149	0.0148614	0.537536	0.0304537	0.0824911	0.0397086	0.273084	0.843047	2.84416	0.290025	0.270691	0.176025	0.263259	0.04005613	2.059388
40	-3333.203	-3322.656	-10.54694	0.4058943	0.4071986	0.1734385	-0.06160423	0.0227975	0.427065	0.0142345	0.00801957	0.49823	0.0296532	0.0725706	0.0177665	0.187113	0.738954	3.05617	0.287128	0.305469	0.149596	0.257807	0.01096637	6.61756
50	-3326.836	-3315.591	-11.24533	0.35801	0.30909	0.232008	-0.04536746	0.0203511	0.425844	0.00423623	0.0134	0.512562	0.0236071	0.07211168	0.0060616	0.111583	0.610757	3.2716	0.301464	0.289159	0.151693	0.257685	0.02674423	2.696346
60	-3317.489	-3304.877	-12.61258	0.2963251	0.2086031	0.2592307	-0.1482563	0.0121418	0.491296	0.00301648	0.0130553	0.47148	0.00900968	0.1864405	0.000706175	0.0388814	0.405736	3.55468	0.298157	0.292169	0.153494	0.256181	0.03818415	4.882667
70	-3325.271	-3313.15	-12.1215	0.2817821	0.2125734	0.2454347	-0.08819184	0.0149552	0.542738	0.00155304	0.00590086	0.42528	0.00957327	0.1383466	0.000799086	0.0413294	0.41567	3.5422	0.297559	0.297624	0.136583	0.268234	0.05015474	2.758395
80	-3314.966	-3303.456	-11.50973	0.2817821	0.2088201	0.2790653	0.02767169	0.0199137	0.562784	0.00344087	0.0121664	0.392003	0.00969221	0.02602371	0.000711048	0.0390138	0.406283	3.55399	0.282245	0.297727	0.12688	0.293148	0.0536954	0.4846544
90	-3326.408	-3313.253	-13.15571	0.2867907	0.1900384	0.3147477	0.1110284	0.0116685	0.401644	0.00300034	0.0105621	0.567834	0.00529099	0.05560085	0.000369869	0.0282335	0.357163	3.61423	0.296235	0.293486	0.162913	0.247366	0.1666293	0.3336799
100	-3314.713	-3300.215	-14.49791	0.2246695	0.1811163	0.3384338	0.2876854	0.0149948	0.493859	0.00505874	0.0123745	0.470897	0.0028154	0.03534219	0.000258537	0.0236408	0.332612	3.64349	0.291149	0.300529	0.134567	0.273755	0.3230276	0.1094092
110	-3322.115	-3307.701	-14.41388	0.2054757	0.2117064	0.3579662	0.2222935	0.0119779	0.523337	0.0111184	0.0206493	0.429271	0.00364635	0.05193853	0.000778114	0.0407901	0.413514	3.54492	0.286852	0.318831	0.118817	0.2755	0.274232	0.1893963
120	-3319.554	-3304.455	-15.09857	0.1854273	0.2020393	0.3978495	0.2574969	0.00665259	0.452651	0.00542331	0.0243838	0.503323	0.00756668	0.05391209	0.000569539	0.0349602	0.388959	3.57551	0.306655	0.288565	0.130784	0.273996	0.3114089	0.1731231
130	-3322.363	-3306.034	-16.32934	0.1503791	0.1835521	0.4786905	0.2442454	0.00786994	0.499347	0.00515779	0.0225686	0.455934	0.00912345	0.09146132	0.00028608	0.024858	0.339389	3.63547	0.311496	0.300961	0.134922	0.25262	0.3357067	0.2724441
140	-3321.093	-3306.76	-14.33298	0.1751946	0.1812051	0.3507704	-0.006157054	0.0117747	0.484243	0.00397671	0.0143829	0.47453	0.0110931	0.1693052	0.000259505	0.0236847	0.33286	3.6432	0.308293	0.289983	0.136295	0.265429	0.1631481	1.037739
150	-3324.442	-3309.327	-15.1146	0.1910372	0.1464338	0.4037661	-0.03243301	0.00880431	0.615727	0.00343215	0.0142707	0.344075	0.0136908	0.1994939	4.24035e-05	0.00962444	0.231044	3.75929	0.295942	0.324048	0.129872	0.250139	0.1670609	1.194139
160	-3317.42	-3302.366	-15.05412	0.1904517	0.1614774	0.4123427	0.1206104	0.0128623	0.511049	0.00258542	0.0108726	0.458465	0.0041662	0.1132753	0.000102203	0.0149101	0.276109	3.70888	0.279978	0.32372	0.117532	0.27877	0.2338857	0.4843191
