Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	birth	calib_lower	calib_upper	death	diff_age_root_ingroup	diversification	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
2780	-38378.47	-38441.33	62.86092	3.823602	2.277205	1.246011	5.981078	1.291233	1.348034	0.0146275	0.521604	0.163608	0.436441	0.246883	0.0951359	0.419879	0.0987039	0.900923	0.242959	0.6395859	-5.981078	0.3189225	0.4288871	0.6035133	0.2106988	4.35973	3.50023	2.92448	1.98947	2.69296	1.64302	2.43208	1.67858	1.82695	4.14012	-4.593705	0.01202001	0.0120966	0.00597592	0.0047406	0.010359	0.0059046	0.0417043	0.00896871	0.0119978	0.00780318	0.00896312	0.0055241	0.00972722	0.0119348	0.00588306	0.0197142	0.0112759	0.010681	0.0389409	0.0112359	0.0082969	0.0258146	0.0109506	0.025342	0.0054371	0.0138734	0.0161458	0.004188	0.0156163	0.0297759	0.00821991	0.0190246	0.00655034	0.00507842	0.00677778	0.00759407	0.00321065	0.0133774	0.00604671	0.00628674	0.00663072	0.0102674	0.00477641	0.00945969	0.0119355	0.00708442	0.00678727	0.00731461	0.00610415	0.00735574	0.00474431	1	0.231244	0.501064	0.308733	0.199286	0.142525	0.155856	1.02175	0.34424	0.246646	6.584591	0.67057
2800	-38388.65	-38444.24	55.5845	3.155648	2.015399	0.8516264	4.03094	0.8784031	0.9092654	0.00573427	0.433799	0.198794	0.330293	0.398085	0.0883319	0.396221	0.0935212	1.15497	0.245962	0.8114256	-4.03094	2.26906	0.5320186	0.8471644	0.279407	3.8762	2.82624	2.39323	3.32486	3.03671	1.96594	2.96938	1.57231	2.15251	3.0884	-4.325787	0.01571304	0.0189473	0.0134664	0.0068273	0.0120718	0.00491049	0.0433692	0.00958777	0.0137317	0.00877678	0.00940933	0.00600986	0.00843209	0.0147066	0.00848491	0.0282665	0.0147827	0.00518679	0.0219202	0.0136303	0.0101197	0.0247932	0.00856698	0.0307761	0.00637086	0.0140761	0.0169482	0.0280135	0.0136941	0.066191	0.00791987	0.0139738	0.0144256	0.0100983	0.00518232	0.01049	0.0147865	0.0144682	0.0229472	0.00747294	0.00626812	0.00878701	0.0248027	0.0068449	0.0194306	0.00600743	0.00619496	0.0173397	0.00672055	0.013369	0.00618799	1	0.238439	0.495119	0.352209	0.241277	0.201875	0.173489	1.17488	0.283647	0.282142	4.878105	0.6556591
2820	-38385.67	-38446.45	60.77968	3.449414	1.972514	0.9567614	4.600908	1.063444	1.149543	0.0144193	0.353089	0.179847	0.483344	0.218557	0.42347	0.346664	0.106736	0.699974	0.312883	0.6016509	-4.600908	1.699092	0.1777617	0.3343033	0.4238892	3.39441	3.50618	2.78807	2.71263	2.98926	1.34217	3.38908	1.99622	1.56656	2.73625	-4.46538	0.01366582	0.0125607	0.00894544	0.00618594	0.014132	0.00356682	0.0317274	0.0197907	0.0205096	0.00831861	0.00919416	0.00829389	0.0112567	0.0113702	0.00704067	0.0280986	0.0155014	0.00543491	0.0199793	0.0165091	0.00978168	0.0174923	0.00759054	0.0269487	0.00599114	0.0158205	0.0179566	0.00966749	0.017027	0.0501616	0.0157139	0.00827688	0.0274917	0.0106128	0.0147757	0.0101699	0.00626861	0.0172205	0.00518618	0.00429105	0.0058269	0.0120936	0.00725359	0.00937765	0.0226172	0.0155883	0.015054	0.0093285	0.0113396	0.00964838	0.0080733	1	0.255402	0.538666	0.268083	0.195735	0.185472	0.199384	1.19899	0.302762	0.283085	4.935211	0.2954566
2840	-38417.51	-38459.25	41.73296	2.595442	1.095577	0.768835	3.323342	0.8287476	0.8536651	0.0669504	0.301247	0.0436654	0.25666	0.246332	0.133056	0.386636	0.108004	1.1417	0.162045	1.363571	-3.323342	2.976658	0.3220437	0.006501486	1.041527	2.7456	3.00945	2.14399	2.50999	3.02182	1.75584	1.44804	1.78702	2.38753	2.43933	-4.068017	0.02033332	0.0266474	0.0162422	0.00867562	0.0103728	0.0095911	0.0415395	0.0242163	0.034448	0.0111003	0.0115317	0.00631178	0.010277	0.0113448	0.00856455	0.0353124	0.0215118	0.012048	0.061457	0.0341137	0.0138778	0.0473298	0.0252714	0.0709967	0.0124419	0.0317689	0.0236585	0.00687293	0.0165026	0.0773355	0.0122486	0.0231021	0.016555	0.0143072	0.0208021	0.0155499	0.0173508	0.025836	0.0215498	0.00625011	0.0143492	0.0292864	0.0120598	0.01269	0.0348848	0.021356	0.0143258	0.0132774	0.0116816	0.0282981	0.0133558	1	0.223134	0.476767	0.302608	0.191029	0.155721	0.169188	1.24501	0.28971	0.238649	3.329843	0.2361767
2860	-38407.45	-38454.35	46.90363	2.52348	1.785783	0.906951	3.941563	1.018313	1.070819	0.0432163	0.440454	0.222506	0.428063	0.282883	2.48149	0.383091	0.093428	1.6077	0.243546	0.6622753	-3.941563	2.358437	0.2788606	0.03260574	0.3834147	3.89691	2.8735	2.54231	2.40746	2.81686	1.48809	2.62116	1.53186	1.81094	3.53628	-4.183879	0.01810882	0.0354303	0.0138664	0.00950891	0.0138155	0.01114	0.0516256	0.011772	0.00940754	0.0113019	0.0159417	0.00672811	0.0126362	0.0158556	0.00899144	0.0370042	0.0236928	0.00778543	0.0272696	0.0171134	0.0130068	0.0358238	0.0125519	0.0377821	0.00705021	0.020223	0.0326748	0.0153199	0.0300077	0.0466459	0.0123772	0.0385203	0.0390068	0.0144271	0.0182445	0.00742092	0.0139281	0.00973943	0.0078927	0.0250624	0.0112052	0.00663592	0.00822045	0.0251703	0.0269823	0.0124106	0.0295063	0.00990309	0.0146247	0.00962024	0.0148301	1	0.186485	0.460154	0.235976	0.16634	0.153601	0.159526	1.04567	0.246627	0.224286	3.974169	0.4210645
2880	-38409.89	-38460.07	50.17301	1.937888	1.293494	0.8509979	3.52466	0.8804972	0.9572375	0.0275453	0.427608	0.20423	0.363082	0.110563	0.78792	0.635558	0.0862235	0.619494	0.209163	0.9993383	-3.52466	2.77534	0.3010883	0.09350352	0.69825	3.02099	3.5955	1.96121	3.06738	2.1417	2.07488	2.10602	1.99711	1.76264	3.15491	-4.177058	0.01823275	0.0275418	0.0191608	0.00951161	0.0126054	0.00671298	0.041966	0.0120269	0.00924375	0.0148695	0.0162362	0.0121337	0.0152018	0.0219578	0.0123515	0.030087	0.0198726	0.00693154	0.0256727	0.0281404	0.0181782	0.0355506	0.0141122	0.0500831	0.0105794	0.0262496	0.0349052	0.0176273	0.0244592	0.0387968	0.021114	0.0198769	0.0123525	0.0115087	0.0191337	0.00863399	0.0121467	0.00966142	0.00900771	0.0128313	0.0178004	0.0197704	0.0185135	0.0131591	0.0276596	0.0186403	0.00211754	0.035232	0.00841297	0.0110385	0.0125354	1	0.220881	0.449872	0.25471	0.196293	0.130752	0.155247	1.05262	0.295558	0.230827	3.618163	0.3012877
2900	-38398.37	-38445.54	47.16671	1.742735	2.215182	1.093552	4.040783	1.032123	1.201683	0.0786838	0.328256	0.161774	0.339525	0.199545	0.0185387	0.74328	0.111132	0.235389	0.183922	0.8235527	-4.040783	2.259217	0.23275	0.7657149	0.5908027	2.40937	2.90671	2.30056	2.56849	2.44705	2.39325	1.93669	1.92061	1.74464	3.73958	-4.600181	0.01194242	0.0218951	0.0104375	0.00574837	0.013144	0.00784616	0.0369154	0.00654611	0.00778376	0.0109512	0.0159205	0.00906079	0.0129018	0.00913	0.00766603	0.0233443	0.0197168	0.00667846	0.0184662	0.0158756	0.0109324	0.0208588	0.00826293	0.0466955	0.00546835	0.0248763	0.040608	0.010718	0.0596656	0.027568	0.0154603	0.0103448	0.0179435	0.0138712	0.0245332	0.0069548	0.00450798	0.00686948	0.0187511	0.00994194	0.0203801	0.00834876	0.00842011	0.00577658	0.0352655	0.00314019	0.00237152	0.0175306	0.0058493	0.0100448	0.0072477	1	0.196046	0.434415	0.310378	0.196818	0.165117	0.140624	1.13009	0.249712	0.270599	4.806498	0.282617
2920	-38394.59	-38451.81	57.2171	2.769838	2.288355	1.223844	3.955062	1.281173	1.357729	0.0798692	0.628832	0.14803	0.291749	0.226487	0.00762462	0.249356	0.123639	1.80639	0.0255286	0.5175978	-3.955062	2.344938	0.3040201	0.8362608	0.2135777	4.65518	3.06262	2.29495	2.57877	2.48496	2.2552	2.21365	2.10092	2.14514	3.06014	-4.459154	0.01375116	0.028658	0.0133538	0.00915018	0.00789887	0.00372286	0.024572	0.00731701	0.00931056	0.00699547	0.012523	0.00752106	0.00940574	0.00614941	0.0066193	0.0164437	0.0128223	0.00802318	0.0162429	0.0159244	0.0102877	0.0207901	0.00812664	0.0253483	0.00477392	0.0141958	0.0228716	0.0135786	0.0309038	0.0493086	0.00806046	0.00893073	0.0118517	0.0112509	0.00419861	0.0217781	0.00594041	0.00407903	0.0133077	0.00630999	0.00690607	0.00742186	0.0151589	0.0162615	0.0185218	0.0104192	0.00441666	0.0276049	0.00695946	0.0122941	0.00726581	1	0.230933	0.531468	0.324889	0.238588	0.103681	0.183865	1.46179	0.272511	0.233977	4.791322	0.5873675
2940	-38398.66	-38454.26	55.59583	2.383398	2.351716	1.283825	4.994265	1.13407	1.417822	0.100439	0.439662	0.128795	0.605828	0.0677147	0.0350432	0.285513	0.108297	4.55477	0.00229508	0.7434215	-4.994265	1.305735	0.314054	0.09829379	0.4293676	3.70368	3.12836	2.32006	2.07717	2.97762	2.29489	2.38579	1.93868	1.82136	2.6335	-4.514913	0.01300539	0.0252384	0.0124894	0.00936882	0.00864297	0.00493877	0.0282341	0.00856073	0.00800769	0.00720485	0.00744962	0.00624837	0.0118107	0.00674734	0.00538613	0.0189086	0.0119462	0.0073522	0.0181355	0.0136895	0.0078781	0.0231895	0.00971987	0.0357445	0.00589739	0.0182791	0.0260761	0.0108028	0.0316501	0.0246808	0.00601529	0.0110906	0.0151693	0.00771806	0.00423858	0.00541968	0.00403298	0.0091022	0.00808625	0.00643274	0.00932832	0.00598079	0.0236899	0.000996059	0.0201502	0.0211282	0.00485178	0.00994923	0.0130311	0.0206408	0.00577438	1	0.241071	0.506431	0.318522	0.203469	0.167071	0.172973	1.20084	0.329149	0.257253	5.092559	0.422444
2960	-38390.27	-38457.91	67.63498	3.391997	2.575591	1.331385	6.090057	1.286404	1.47185	0.0997577	0.490637	0.185585	0.375413	0.269013	0.182061	0.446798	0.0895105	2.49978	0.0011745	0.6753134	-6.090057	0.2099429	0.3607106	0.3849751	0.3146028	2.4518	3.58628	2.37404	3.71427	2.78069	1.41528	1.98704	1.76691	1.70958	4.0248	-4.746262	0.0103193	0.0128883	0.00879096	0.00566613	0.00751982	0.00674865	0.0411381	0.00607873	0.00701109	0.00718064	0.0123891	0.00959244	0.00675291	0.00684388	0.00582953	0.020383	0.0125742	0.00434442	0.0143043	0.0122036	0.0102065	0.0148919	0.00593946	0.0314627	0.00417548	0.0150691	0.0175174	0.00708504	0.0157097	0.0209892	0.0126222	0.00340961	0.00843633	0.00806064	0.00603269	0.00492649	0.00297108	0.00370297	0.00486044	0.00641546	0.0024196	0.0145428	0.00946408	0.00306725	0.0159171	0.00494293	0.00948468	0.00949301	0.0129814	0.0113541	0.00465481	1	0.240876	0.478726	0.347321	0.219735	0.136263	0.167999	1.07128	0.308028	0.263284	6.475032	0.534138
2980	-38388.35	-38447.89	59.53685	2.342921	2.3421	1.048396	5.132778	0.9250086	1.125442	0.0388592	0.716885	0.107415	0.41406	0.247377	0.281442	0.195843	0.0973659	0.923576	0.00747087	0.5206665	-5.132778	1.167222	0.2566563	0.2991287	0.2640102	4.41018	2.95076	2.38547	2.81203	3.2961	1.94164	2.03918	2.15138	1.42822	3.26921	-4.385451	0.01480295	0.0202219	0.00810643	0.00764061	0.0146543	0.00643151	0.0395656	0.00915625	0.0144272	0.00977317	0.0178338	0.0131777	0.00883502	0.00882738	0.00880849	0.0250913	0.0116825	0.00403548	0.0171145	0.0130754	0.0089247	0.0278693	0.00812243	0.0519209	0.0106661	0.0265926	0.0250389	0.0140033	0.0155943	0.0211005	0.00594515	0.00903377	0.0137398	0.00746581	0.0146724	0.00591516	0.00655186	0.0129057	0.0165011	0.0160644	0.0119652	0.0181599	0.00856682	0.00780203	0.0148442	0.00768966	0.00782914	0.0124086	0.0240145	0.00675192	0.00551287	1	0.236437	0.457207	0.288646	0.195246	0.179372	0.183012	1.0272	0.31521	0.250332	5.431907	0.492938
3000	-38386.28	-38441.64	55.35601	2.249075	2.79848	1.146607	5.359917	1.152607	1.220688	0.0805926	0.573519	0.1596	0.421	0.254905	0.911152	0.242319	0.0643554	1.26127	0.230405	0.8285256	-5.359917	0.9400833	0.4023255	0.599243	0.4262001	4.84074	3.50184	2.13934	2.29219	2.48574	1.46028	2.05978	1.90779	1.60744	2.96745	-4.71561	0.01064051	0.0126454	0.00503159	0.00548555	0.012782	0.00543419	0.0352666	0.0123417	0.0131875	0.00743636	0.00907893	0.00662797	0.0103956	0.010329	0.00493998	0.0244943	0.0111577	0.00539382	0.0176132	0.0120296	0.00674026	0.0152321	0.00480862	0.06485	0.00967899	0.0184575	0.0268926	0.00429177	0.0270231	0.0191002	0.0120785	0.00671336	0.015396	0.00703858	0.00794178	0.00292024	0.00726358	0.0172726	0.0070143	0.00719023	0.0158602	0.00331136	0.0124526	0.0104445	0.0144585	0.00306863	0.0200909	0.0168097	0.00515257	0.0120238	0.00685514	1	0.221721	0.514669	0.266342	0.220804	0.136433	0.171698	1.0846	0.278447	0.247276	5.95916	0.4855922
3020	-38404.58	-38445.68	41.09635	1.657387	1.689033	0.7266913	3.211717	0.7249441	0.7838708	0.00981518	0.276651	0.116624	0.605389	0.145277	0.35588	0.259152	0.105225	1.4837	0.269285	0.6226344	-3.211717	3.088283	0.08419123	0.04239874	0.5384432	4.61443	3.16343	2.5223	2.82093	2.86694	1.46491	2.45842	2.07526	1.59676	2.82417	-3.876532	0.0246246	0.0380549	0.01898	0.0176978	0.0224381	0.0120968	0.0749654	0.015965	0.0185229	0.0128786	0.0309299	0.0142881	0.00921089	0.0160127	0.0146368	0.0367914	0.0190838	0.015493	0.0424854	0.0146702	0.0118105	0.033694	0.0152918	0.0651561	0.0164246	0.0358798	0.0385046	0.03269	0.0290359	0.0428849	0.0115349	0.0229888	0.0274863	0.0115492	0.0248179	0.00721534	0.00912988	0.0418113	0.0203157	0.0303982	0.0373148	0.0145921	0.0129332	0.0225745	0.0203069	0.0335173	0.00867204	0.0234825	0.0130414	0.0267235	0.0141368	1	0.203516	0.45661	0.250758	0.182043	0.148177	0.146315	1.02191	0.278628	0.245047	3.254116	0.1352178
3040	-38393.21	-38460.91	67.70493	3.891528	2.328334	1.433947	5.984478	1.381544	1.619575	0.00262709	0.801089	0.136427	0.312926	0.280052	1.47705	0.528178	0.0900186	0.401032	0.226924	0.3122986	-5.984478	0.3155224	0.03230732	1.058247	0.2799913	3.81617	2.93284	2.80694	2.36253	3.04478	1.56403	1.665	1.86166	1.46583	3.29698	-4.736301	0.0104226	0.00732545	0.00442991	0.00344988	0.011607	0.00748291	0.0473919	0.00976295	0.0138954	0.00524323	0.00649637	0.00467407	0.00858959	0.011271	0.00520115	0.0170851	0.0125069	0.00369441	0.0153869	0.0110267	0.00938289	0.0227425	0.00739569	0.0270454	0.00440184	0.0140437	0.0143241	0.00812435	0.0113934	0.0310522	0.00565056	0.010037	0.0073043	0.00567368	0.00441375	0.00352415	0.00729323	0.00862117	0.00837144	0.00560308	0.00224205	0.00490279	0.00556312	0.00518582	0.0122948	0.00447526	0.00322601	0.00804327	0.0114041	0.00573899	0.00464769	1	0.240637	0.497353	0.321812	0.177861	0.14775	0.157975	1.33066	0.268356	0.246808	7.042725	0.1034501
3060	-38406.03	-38451.52	45.48989	1.947851	1.202007	0.6507066	4.096733	0.64824	0.6663685	0.00162817	0.355175	0.145449	0.419628	0.0124896	3.27946	0.862153	0.107599	0.859991	0.318208	0.8381563	-4.096733	2.203267	0.1203022	0.3826651	0.7178541	4.09967	3.66079	2.64284	2.56189	2.50773	2.5053	3.04557	1.92671	2.15122	3.36544	-4.016231	0.02141404	0.0136902	0.0078214	0.00732534	0.0148341	0.00989991	0.0599397	0.0116948	0.0136927	0.0109713	0.0105132	0.0126675	0.0224889	0.0146876	0.0137541	0.0385497	0.0219656	0.00742487	0.031014	0.0354253	0.0214755	0.030646	0.0136511	0.0540735	0.00959445	0.028145	0.0317471	0.0294321	0.0208965	0.0256162	0.0152868	0.00981921	0.0287765	0.0165515	0.00922722	0.0065907	0.0117595	0.0363741	0.0172	0.0240354	0.00679777	0.0266644	0.0225539	0.0149017	0.0271689	0.0119331	0.0113495	0.00683261	0.020381	0.0153384	0.00574405	1	0.223052	0.524434	0.299985	0.220537	0.167001	0.194178	1.22226	0.296461	0.253407	4.479398	0.1435319
3080	-38406.28	-38448.71	42.43517	2.357406	1.363965	0.6702255	3.867393	0.6480229	0.738117	0.0314099	0.573781	0.234718	0.412814	0.332209	24.8435	0.242055	0.0818551	5.94431	0.224714	0.8993213	-3.867393	2.432607	0.03755165	0.539581	0.8617697	3.16024	2.98192	2.61101	2.66588	2.70827	2.64444	2.73292	1.89375	1.58389	3.47796	-4.21999	0.01746654	0.0252637	0.0130238	0.00869876	0.0171985	0.00847216	0.0640726	0.0120581	0.0171636	0.0087073	0.0214516	0.0135586	0.012846	0.0146827	0.0112248	0.041242	0.0211014	0.00679797	0.0164843	0.0450569	0.0267816	0.0278214	0.0106996	0.0361485	0.00341465	0.0195011	0.0224428	0.0248946	0.0230855	0.0365447	0.0163679	0.0072898	0.0297409	0.0240366	0.0304944	0.0153518	0.0103884	0.00564082	0.0106801	0.0134805	0.0175213	0.0198895	0.0227438	0.00941457	0.0327478	0.014939	0.0102572	0.00738616	0.00953704	0.0175417	0.0070483	1	0.249565	0.548919	0.340091	0.212368	0.169286	0.216688	1.27472	0.315745	0.265864	4.406974	0.04175554
3100	-38409.64	-38438.68	29.03646	1.864628	1.035867	0.5611955	2.877115	0.5281643	0.5903373	0.0654038	0.659704	0.163019	0.361634	0.225257	0.360096	0.348607	0.0937771	0.834271	0.327442	1.326607	-2.877115	3.422885	0.8049056	0.5007519	0.5217013	3.0923	2.9728	2.84954	2.53129	3.0409	2.11802	2.10936	1.82915	2.16044	3.71689	-3.694764	0.02953317	0.0342242	0.0185868	0.00929753	0.0155904	0.0171643	0.0887941	0.0214224	0.0258338	0.0226922	0.0642112	0.0399757	0.0203812	0.0194919	0.0136458	0.052452	0.0337373	0.0158468	0.0439939	0.0266747	0.0164395	0.0402781	0.0209265	0.0787022	0.00943182	0.0369642	0.033725	0.0252268	0.0223001	0.0615639	0.0629489	0.0547778	0.0425392	0.022212	0.0328021	0.00732925	0.0059385	0.0203652	0.0212609	0.0181642	0.00727086	0.0254693	0.00880406	0.0106329	0.0536052	0.0188022	0.0183441	0.0166392	0.0210114	0.00879001	0.00829137	1	0.200781	0.51502	0.28874	0.207578	0.165709	0.152504	0.972374	0.254214	0.236935	3.377867	0.6067401
3120	-38407.45	-38438.75	31.29421	1.767284	1.182658	0.5108185	3.64886	0.6095334	0.6586711	0.0684669	0.452185	0.123808	0.366508	0.213605	0.152099	0.378862	0.0675677	0.384987	0.154443	0.8243416	-3.64886	2.65114	0.3350353	0.02485476	0.4893063	3.35287	3.50887	2.45984	2.59532	3.14313	1.80929	2.40546	1.85075	1.6057	3.42804	-3.733465	0.02841202	0.0558731	0.0229765	0.0139811	0.0172154	0.00730683	0.0799564	0.0160546	0.0240043	0.0156775	0.0177809	0.00894522	0.0182607	0.0206065	0.0176495	0.0584234	0.0307404	0.0157151	0.067626	0.0272926	0.0164123	0.0690505	0.0334654	0.0610731	0.00674058	0.0324979	0.0430631	0.0144984	0.0315199	0.0357872	0.0114177	0.0465428	0.0328274	0.0176311	0.0221324	0.0310384	0.0210116	0.0343061	0.00870824	0.0111312	0.02563	0.0268935	0.0129606	0.0303817	0.0357052	0.0102582	0.0130119	0.00947783	0.0577355	0.0400317	0.0106577	1	0.210405	0.456106	0.293144	0.181102	0.16801	0.149204	1.05956	0.289717	0.246396	3.673715	0.4064277
3140	-38393.91	-38429.73	35.8154	2.32841	1.242261	0.5905646	4.125457	0.6798414	0.7613879	0.0754201	0.377751	0.12619	0.2425	0.107431	0.14106	0.211254	0.110523	1.00603	0.163913	1.173825	-4.125457	2.174543	0.6074968	0.005837135	0.5663284	3.12153	3.08438	2.46734	2.52544	2.55993	2.34842	2.06982	1.93248	1.88161	2.77846	-3.917653	0.02363254	0.0416125	0.022595	0.0141893	0.0220306	0.00805817	0.088284	0.0131704	0.022997	0.0142637	0.0185567	0.01277	0.0133952	0.0167473	0.0132676	0.0507975	0.0229187	0.00617177	0.0229892	0.0296884	0.0177641	0.109615	0.0425367	0.164728	0.0231564	0.0373955	0.031607	0.0136738	0.0175983	0.0357267	0.00791037	0.0205358	0.0173111	0.0152145	0.0143316	0.0137222	0.0128924	0.0195558	0.00905764	0.0119874	0.0134851	0.0161212	0.0232063	0.0106778	0.0303267	0.0203945	0.0104776	0.0118811	0.0199594	0.0268879	0.00872577	1	0.201549	0.438516	0.24551	0.172911	0.169573	0.15877	1.0601	0.215916	0.217614	4.131294	0.517536
3160	-38406.36	-38452.99	46.63019	1.780302	1.848594	0.7838499	5.319502	0.8447042	0.8667252	0.104906	0.463745	0.134444	0.404645	0.238668	0.623694	0.54418	0.0950755	0.273557	0.232076	0.7011193	-5.319502	0.9804979	0.3187829	0.1167527	0.3823364	3.60873	2.69667	2.54682	2.37343	2.49619	1.57776	1.83048	1.84737	1.92971	3.0291	-4.210847	0.01762698	0.0255576	0.0139301	0.0100222	0.015137	0.0138849	0.0743414	0.0152345	0.0205492	0.0142427	0.0142413	0.0114725	0.0146823	0.0185839	0.015583	0.0423613	0.020701	0.00539783	0.0281123	0.0231256	0.0149119	0.0352472	0.0135323	0.067257	0.0124142	0.0298537	0.0484948	0.0101652	0.0365869	0.0202485	0.0157013	0.0139455	0.0226262	0.0103583	0.0102908	0.00313722	0.00928741	0.0126557	0.0129862	0.00951534	0.00553272	0.0103163	0.0111095	0.0279382	0.0212103	0.0225701	0.00588341	0.0090083	0.00859108	0.0144781	0.00798046	1	0.191813	0.391053	0.25025	0.184281	0.193704	0.155361	0.815969	0.244263	0.228898	5.436255	0.4546771
3180	-38420.16	-38452.57	32.41184	2.374287	1.681668	0.7276644	5.207589	0.8091769	0.8316639	0.0869443	0.622478	0.199041	0.28549	0.223268	0.255296	0.385032	0.115189	1.24743	0.24354	0.9696709	-5.207589	1.092411	0.2988938	0.2876796	0.6707771	4.23282	3.28911	2.42987	2.65653	3.1698	1.97939	2.11983	1.69861	1.79883	2.92177	-3.705102	0.02922943	0.0271434	0.0164163	0.0138742	0.0240223	0.0194439	0.0756559	0.0131328	0.0129146	0.0186258	0.028372	0.016205	0.0222525	0.0319807	0.013266	0.0464204	0.0215781	0.00789392	0.0372237	0.0487074	0.0261207	0.0387314	0.0174163	0.0843493	0.0145512	0.0355972	0.029201	0.0234272	0.0207847	0.0325004	0.0110236	0.00891892	0.037161	0.0155838	0.0138527	0.0258448	0.0129954	0.0215833	0.014173	0.0412297	0.00928218	0.00983005	0.0101277	0.0241699	0.028086	0.0225947	0.0123232	0.00770762	0.0105291	0.0393882	0.00959595	1	0.16944	0.360889	0.216413	0.145701	0.150712	0.127808	0.831645	0.203992	0.200449	5.495268	0.3082425
3200	-38396.17	-38435.86	39.68438	2.194549	1.140278	0.5645837	4.299994	0.5944441	0.70263	0.0430714	0.189627	0.138226	0.591993	0.195984	0.512107	0.447331	0.0269391	1.21541	0.169401	1.106824	-4.299994	2.000006	0.5617472	0.2344342	0.5450772	3.09898	3.20254	2.48956	2.69277	2.83922	1.72109	2.59344	2.11707	1.51775	3.09617	-4.014355	0.02145425	0.0136195	0.00755668	0.006159	0.0181011	0.0137511	0.0948953	0.0190669	0.0280134	0.0156927	0.0215999	0.0118029	0.0199523	0.0247984	0.0165243	0.0488548	0.0205735	0.0117341	0.0450693	0.0318992	0.023066	0.0377804	0.0164257	0.0955561	0.010849	0.0393537	0.033878	0.010387	0.0166519	0.0365251	0.0247043	0.0123255	0.0183091	0.0125635	0.0119525	0.0129442	0.0161552	0.0103769	0.015126	0.0168452	0.00557668	0.0252238	0.0319174	0.00779763	0.0188793	0.0241068	0.0167661	0.00984907	0.0373587	0.0279699	0.00754799	1	0.189151	0.453521	0.27883	0.184216	0.149167	0.164552	0.986915	0.264031	0.259646	4.534428	0.5075306
3220	-38392.22	-38441.71	49.48557	2.641892	1.349831	0.7176649	4.286682	0.6354587	0.7413413	0.0233541	0.496352	0.163286	0.351757	0.212922	0.231695	0.374489	0.0967931	0.548478	0.181847	0.7358657	-4.286682	2.013318	0.4060965	0.5811976	0.3297692	3.96513	3.775	2.52726	2.95982	2.43951	1.96	1.76241	1.94836	1.90224	2.95127	-4.145927	0.01880928	0.0171778	0.0092561	0.00694998	0.0332378	0.0151308	0.0918333	0.0197493	0.0213297	0.0153314	0.0165757	0.0147175	0.0176997	0.0202912	0.00704099	0.0379208	0.0196334	0.00528601	0.018139	0.026755	0.0180203	0.0270816	0.0117243	0.0530898	0.0106761	0.0254363	0.0217278	0.00844553	0.0121668	0.0325258	0.0319143	0.00855455	0.0159295	0.0146213	0.00498783	0.0126622	0.00628129	0.00936412	0.0102871	0.00954417	0.013135	0.0115086	0.0122438	0.0191117	0.0192478	0.00868377	0.00417627	0.0120053	0.00794496	0.0140447	0.0062223	1	0.20866	0.540635	0.312016	0.226761	0.124614	0.168726	1.12757	0.312796	0.261326	4.86788	0.5518623
