Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	birth	calib_lower	calib_upper	death	diff_age_root_ingroup	diversification	kappa[1]	kappa[2]	kappa[3]	kappa[4]	kappa[5]	kappa[6]	kappa[7]	kappa[8]	kappa[9]	kappa[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
200	-38386.46	-38443.08	56.61398	3.188318	1.776757	0.9441012	4.911187	0.9268833	1.010729	0.0484773	0.569648	0.114869	0.384424	0.20857	0.362155	0.916569	0.0699135	0.828617	0.207237	0.6088331	-4.911187	1.388813	0.02289468	0.5008463	0.5859384	3.61931	2.77473	2.09505	2.38404	2.99528	1.6605	1.91339	1.89635	1.74735	2.80303	-4.478548	0.01348704	0.0136619	0.00679946	0.00485538	0.0138633	0.00906201	0.0560717	0.0126266	0.0140955	0.00898083	0.00965669	0.00961328	0.0163221	0.0130437	0.0074421	0.0296002	0.0112096	0.00586485	0.0187494	0.0243604	0.0189073	0.0246398	0.012084	0.0311788	0.00421557	0.0150342	0.0210417	0.00662699	0.0213643	0.0365555	0.0169849	0.00713078	0.00931959	0.00935183	0.00518073	0.0143509	0.00950473	0.0107663	0.026045	0.00923214	0.0140641	0.0130532	0.00687857	0.0102422	0.010648	0.0242412	0.00864103	0.0160832	0.0132517	0.00733735	0.00698596	1	0.207537	0.444062	0.299455	0.223731	0.105346	0.143887	1.0262	0.295737	0.249176	5.412033	0.0376042
220	-38393.35	-38455.64	62.29623	2.818432	2.053931	0.8344058	5.283682	0.9194869	0.9617964	0.0265504	0.412499	0.181466	0.54521	0.159021	0.959645	4.97012	0.119624	0.90901	0.285939	0.5903624	-5.283682	1.016318	0.04529484	0.04954604	0.5450676	4.38315	3.40839	2.65722	2.57318	2.69347	1.74845	2.17951	2.33778	1.73001	3.87171	-4.617099	0.01174208	0.0112265	0.0060778	0.00571993	0.00948942	0.00463901	0.0350431	0.00616161	0.00761118	0.00784796	0.0256713	0.0175547	0.00830991	0.0130334	0.00984911	0.0256261	0.00804153	0.00706264	0.0201418	0.0111959	0.00837436	0.0187241	0.0087961	0.0534508	0.00730386	0.0165077	0.0177319	0.00716045	0.0119612	0.0203948	0.00957413	0.00969641	0.00694329	0.00560338	0.0113648	0.00268679	0.0036883	0.00592945	0.00822965	0.00937839	0.00820516	0.0107035	0.00694916	0.0138005	0.0112042	0.00248252	0.00770403	0.00852365	0.0124829	0.0206467	0.00672842	1	0.276478	0.604698	0.425303	0.250961	0.17898	0.189	1.70086	0.337458	0.304334	5.333229	0.07672379
240	-38373.64	-38431.99	58.35649	4.165286	2.807413	1.247132	5.775218	0.9815625	1.33165	0.0859873	0.638063	0.198037	0.278123	0.066939	0.341951	1.65909	0.112408	1.11422	0.22451	0.3948508	-5.775218	0.5247822	0.01558572	1.099284	0.3792651	5.39873	3.32456	2.4119	3.07363	2.80716	1.91203	2.23791	2.21909	2.0393	3.51583	-4.630299	0.0115881	0.014376	0.00558295	0.00544299	0.00868615	0.00488226	0.0490095	0.00984466	0.014727	0.00885632	0.00669475	0.00525093	0.0115459	0.0115858	0.00666775	0.0240635	0.0115211	0.0103928	0.0280276	0.00970652	0.00687614	0.0226384	0.0091119	0.033222	0.00870777	0.0148538	0.0153539	0.00624559	0.0116577	0.0419559	0.0077379	0.0121125	0.0096867	0.00629516	0.0103318	0.00451945	0.00552704	0.0136407	0.0134028	0.00696487	0.00606055	0.0136105	0.00928235	0.00449336	0.0102447	0.00451364	0.00458061	0.0150744	0.00760865	0.0073738	0.00466842	1	0.217588	0.476247	0.292771	0.204369	0.157824	0.166181	1.08082	0.248396	0.246627	6.874502	0.03947243
260	-38394.3	-38449.32	55.02129	3.823929	3.327365	1.540019	6.198285	1.446418	1.611388	0.11847	0.426654	0.108877	0.231422	0.347981	0.5491	0.484872	0.0957716	1.74984	0.33448	0.6591063	-6.198285	0.1017146	0.4239047	2.159618	0.2352016	3.98408	3.34776	2.44196	2.82356	2.89636	1.12043	2.74328	1.96869	2.09174	3.33452	-4.965386	0.008288687	0.00841707	0.00481834	0.00336449	0.00890279	0.00501467	0.0403781	0.00614689	0.00796404	0.00729647	0.00897136	0.00363616	0.00688199	0.00818038	0.0078859	0.0223367	0.00725709	0.00611065	0.0251525	0.0133427	0.00908645	0.0149978	0.00488992	0.0226426	0.00533205	0.00988552	0.0174755	0.0276968	0.0165821	0.026226	0.00648757	0.00585644	0.00699359	0.00360376	0.00983111	0.0053276	0.00383916	0.00536672	0.0215886	0.0148883	0.00591157	0.00586584	0.00879315	0.00649458	0.0066524	0.00693021	0.0061088	0.0241903	0.00269456	0.00684338	0.00397452	1	0.228916	0.459058	0.26928	0.187234	0.164593	0.144769	1.28367	0.258854	0.245864	8.357904	0.6431508
280	-38380.75	-38440.49	59.74596	3.395985	2.483116	1.094373	6.191072	1.321633	1.385327	0.00872046	0.382547	0.169903	0.197468	0.232773	0.0660142	0.31249	0.0877768	15.5854	0.290771	0.4509093	-6.191072	0.1089278	0.1986564	0.8456005	0.2522529	3.18449	3.68348	1.95068	3.26611	3.22626	1.97214	2.56684	2.03014	1.55763	3.08577	-4.558838	0.0124465	0.0301194	0.0122171	0.0047948	0.00927697	0.0039678	0.0303004	0.00705489	0.00941542	0.00974905	0.0157917	0.00891016	0.0151402	0.0156109	0.0105251	0.0250653	0.0111878	0.00661756	0.0178314	0.0140548	0.00866063	0.0210382	0.00649709	0.029705	0.00482436	0.0167979	0.0213168	0.0150541	0.0177532	0.0258406	0.00867807	0.00825161	0.00717855	0.00634023	0.0113351	0.00443554	0.00673937	0.00622713	0.00626976	0.00742453	0.00875631	0.00959911	0.00931331	0.0108155	0.00938749	0.00656528	0.00406959	0.0134238	0.0137267	0.00392654	0.00363889	1	0.193619	0.439554	0.255058	0.1876	0.176429	0.133431	0.977985	0.242726	0.223064	7.036673	0.4405684
300	-38393.33	-38437.63	44.3084	2.313497	1.635252	0.538584	3.67427	0.7529614	0.8154985	0.0327806	0.351048	0.177497	0.232026	0.0365749	0.10429	0.556728	0.100175	1.22023	0.305289	0.5997141	-3.67427	2.62573	0.1030484	0.8582966	0.4966657	4.06851	3.33009	2.73641	2.88402	2.53512	1.45395	2.08313	1.93083	1.42805	3.1755	-4.040372	0.02090326	0.0193744	0.0120032	0.0086668	0.0172965	0.0118045	0.0627643	0.0108007	0.017007	0.0153769	0.0233602	0.0237322	0.0167312	0.0187106	0.0180829	0.0518774	0.018179	0.0127444	0.035569	0.0315644	0.0188196	0.0302293	0.0160191	0.0798358	0.0128789	0.0372032	0.0307897	0.0120266	0.0188288	0.0502064	0.0134676	0.0096754	0.0265727	0.0129278	0.0338807	0.0139544	0.0145844	0.00698338	0.00659272	0.0156039	0.00777239	0.0180118	0.0300272	0.0183144	0.0213904	0.0192532	0.00854437	0.0166008	0.0134268	0.0233564	0.00571956	1	0.19758	0.455884	0.280007	0.165031	0.14193	0.159746	0.964846	0.238728	0.238565	4.532567	0.1718292
320	-38386.58	-38442.89	56.31107	3.749332	1.89084	0.8325301	5.166164	0.9122352	1.042499	0.0321714	0.640035	0.123078	0.537481	0.204418	0.267092	6.18698	0.107834	1.00743	0.211228	0.8170776	-5.166164	1.133836	0.1616711	0.2231161	0.6554065	3.80799	2.91951	2.59345	2.40887	2.98956	2.08937	2.57873	1.91478	1.82037	2.70742	-4.422209	0.01426871	0.0227771	0.0114611	0.0108567	0.0170642	0.0071411	0.0534991	0.016795	0.0179599	0.0106517	0.0140166	0.0133324	0.00918234	0.0139607	0.0119264	0.0268703	0.0139369	0.00304808	0.0159321	0.0200423	0.0114621	0.0259149	0.00952103	0.0478367	0.00779093	0.0213345	0.0170955	0.0127002	0.0116219	0.0415339	0.011048	0.0132515	0.0140127	0.010993	0.00666686	0.0118751	0.00767323	0.00664612	0.00594049	0.00798105	0.0076221	0.00525147	0.00959764	0.00954966	0.0172654	0.00861891	0.0138321	0.00788139	0.0189109	0.0188539	0.00657447	1	0.211954	0.458842	0.273927	0.184128	0.212278	0.184011	1.18693	0.25457	0.232794	5.38928	0.197865
340	-38396.27	-38438.58	42.30236	2.188903	1.383275	0.7121188	4.299241	0.7653371	0.786764	0.00474209	0.336456	0.119912	0.297358	0.167279	0.146885	0.940916	0.0913278	0.747312	0.152906	0.8469581	-4.299241	2.000759	0.1854878	0.01516467	0.6614703	3.93085	3.94861	2.17763	2.73877	2.8409	1.99166	2.16703	1.9633	1.50916	3.03942	-4.088053	0.01992996	0.020051	0.0100599	0.00708615	0.0145632	0.00966465	0.0670888	0.0120927	0.0188323	0.0144622	0.0211062	0.00804199	0.0162325	0.0136634	0.00981469	0.0383312	0.016902	0.00759786	0.0295708	0.0412724	0.0215984	0.0674689	0.0253678	0.0462089	0.00508649	0.0251706	0.0321174	0.0186061	0.0280643	0.0349445	0.0117974	0.0133817	0.015023	0.0130028	0.0120445	0.0303155	0.0126597	0.00589239	0.0149212	0.0162149	0.0109656	0.0379268	0.00970585	0.0246832	0.0176067	0.0473664	0.0191446	0.0107224	0.0144506	0.0164602	0.0121009	1	0.188406	0.428557	0.245216	0.18472	0.129421	0.136158	1.02885	0.265622	0.189947	4.314405	0.2190047
360	-38393.26	-38440.86	47.60157	2.517241	1.862314	0.8055047	4.5963	0.8295106	0.8343398	0.0560107	0.473973	0.148572	0.405235	0.386066	0.53093	0.219828	0.0925615	0.505699	0.2239	0.504627	-4.5963	1.7037	0.1205005	0.0501736	0.3841265	4.25353	3.66779	2.75916	2.54087	2.41279	2.90097	3.08176	2.00153	1.54133	2.80936	-4.232201	0.01725456	0.0283288	0.0127484	0.0056021	0.0164602	0.00866265	0.0600667	0.00752316	0.0118816	0.00835766	0.0217745	0.0152525	0.013367	0.0253146	0.0100199	0.0297225	0.0166055	0.0144614	0.0316518	0.0192498	0.0179737	0.0443352	0.0189215	0.0429344	0.00757077	0.02469	0.0259329	0.00498903	0.0179739	0.0362547	0.00614124	0.00660887	0.0161527	0.0082821	0.00765749	0.0104305	0.0110182	0.00558719	0.0251318	0.0203603	0.00845563	0.0105171	0.0285179	0.0107023	0.0152906	0.0147289	0.00603614	0.0129713	0.0194656	0.0105553	0.00760345	1	0.216599	0.491462	0.279997	0.19927	0.166225	0.166366	1.06579	0.283381	0.271408	4.646474	0.2387912
380	-38375.15	-38429.65	54.50716	3.844639	2.011204	1.013914	6.109042	1.080963	1.116308	0.00554182	0.370164	0.184321	0.605132	0.308878	1.04145	0.576944	0.109947	1.06902	0.17525	0.5401348	-6.109042	0.1909584	0.126643	0.4611345	0.4134918	3.02764	3.55246	2.52792	2.61263	2.67981	1.99447	2.8548	2.24305	1.79656	2.94242	-4.459018	0.01375304	0.0289728	0.0159899	0.00831262	0.0111937	0.00503072	0.0335433	0.0161803	0.0205063	0.00748734	0.0106448	0.00711819	0.0127957	0.0130104	0.00741641	0.0235064	0.0110524	0.00273753	0.0174326	0.012545	0.00740143	0.0277798	0.0103308	0.0509738	0.00684527	0.018064	0.0163271	0.00601925	0.0095427	0.0251648	0.0078079	0.0171394	0.00891308	0.00823788	0.0222546	0.0145486	0.0235135	0.00450226	0.0106437	0.00338036	0.00948986	0.0138244	0.00401909	0.0169626	0.011552	0.00633948	0.0143608	0.00708438	0.0139629	0.00857711	0.00420843	1	0.217937	0.440006	0.306554	0.189694	0.130267	0.160369	1.24774	0.297545	0.269794	6.570176	0.2344656
