Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha_mol[1]	alpha_mol[2]	alpha_mol[3]	alpha_mol[4]	alpha_mol[5]	alpha_mol[6]	alpha_mol[7]	alpha_mol[8]	alpha_mol[9]	alpha_mol[10]	birth	death	diff_age_root_ingroup	diversification	kappa_mol[1]	kappa_mol[2]	kappa_mol[3]	kappa_mol[4]	kappa_mol[5]	kappa_mol[6]	kappa_mol[7]	kappa_mol[8]	kappa_mol[9]	kappa_mol[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
1420	-38340.5	-38442.04	101.5381	8.158203	7.460312	3.790439	19.04369	3.666399	4.172866	0.0313267	0.386049	0.179343	0.324406	0.183975	0.36467	0.389113	0.0819652	0.822532	0.158423	0.2156408	0.047165	0.274138	0.1684758	3.98631	2.92001	2.71932	3.48481	2.8215	1.97701	2.02237	1.96542	1.57783	3.85291	-5.947108	0.003105485	0.00304175	0.00128285	0.00122872	0.0027973	0.00173256	0.0107214	0.00211622	0.00346119	0.00207385	0.00282487	0.00212595	0.0029169	0.00362486	0.00200348	0.00539385	0.00316457	0.00143344	0.00454567	0.00339889	0.00247549	0.00508768	0.00183141	0.0119307	0.00215648	0.00615197	0.00645861	0.00178695	0.00470554	0.00492409	0.00263086	0.00259328	0.00391536	0.00366938	0.00245629	0.000717901	0.00117764	0.000925066	0.00350571	0.00262458	0.00148831	0.00173541	0.00165791	0.00139162	0.00425463	0.00259708	0.00155959	0.00196481	0.000875322	0.00136924	0.00203564	1	0.259817	0.547925	0.355253	0.218028	0.176841	0.200457	1.20362	0.34234	0.287881	19.31782	0.2187202
1440	-38337.18	-38433.02	95.83777	10.73316	6.157012	3.915562	21.94463	3.817106	4.443952	0.0413223	0.461209	0.111257	0.25322	0.131585	0.877232	0.723731	0.124095	1.53344	0.239004	0.1535815	0.03780453	0.2226238	0.1157769	4.06228	2.94136	2.27822	2.81886	2.77514	2.17891	1.7904	1.71556	1.74334	2.71422	-5.744257	0.003803876	0.00404876	0.00197931	0.000856569	0.00270938	0.00151168	0.0126191	0.00264527	0.00203604	0.00265978	0.00250024	0.00130087	0.00197601	0.00298614	0.00141038	0.00715595	0.00354014	0.00153819	0.00578971	0.00525746	0.00297001	0.00868991	0.00356124	0.0145205	0.00232293	0.00675774	0.00516569	0.00226821	0.00292614	0.00521864	0.00253357	0.00281119	0.0030499	0.00280842	0.00129554	0.00462426	0.0025504	0.00265414	0.00280628	0.00292576	0.00192881	0.00244037	0.00188897	0.00255646	0.00549082	0.00205473	0.00253891	0.00138847	0.00397757	0.000865725	0.00199429	1	0.247628	0.487994	0.30819	0.222484	0.160799	0.177385	1.20492	0.284878	0.270035	22.16726	0.2461529
1460	-38358.27	-38447.18	88.90986	8.14631	6.144219	3.053292	17.88385	3.327676	3.539088	0.0358884	0.365496	0.152981	0.34351	0.180048	0.777246	0.596164	0.0903221	1.00096	0.213689	0.1547836	0.04500253	1.824346	0.1097811	4.30906	3.42486	2.25317	2.45039	2.44244	2.20378	2.127	1.80387	2.02738	3.9945	-5.530389	0.004710945	0.00297515	0.00202272	0.00182045	0.00318534	0.00237172	0.0122592	0.00283852	0.00298499	0.00198478	0.00333093	0.00180872	0.00406716	0.0045349	0.00288051	0.0080453	0.00436251	0.00106394	0.00594035	0.00477742	0.00268681	0.0060708	0.0027001	0.0154528	0.00309424	0.00697786	0.00750669	0.00195621	0.00633446	0.00553027	0.00783106	0.00467006	0.0033057	0.00294956	0.00429742	0.000925471	0.00435072	0.00150593	0.00243412	0.00307918	0.00247302	0.00289572	0.0014968	0.004021	0.00784783	0.00229564	0.00242419	0.00215001	0.00334605	0.00248599	0.00155357	1	0.252867	0.530459	0.312562	0.186896	0.179369	0.17637	1.14083	0.28838	0.264745	19.7082	0.2907448
1480	-38386.61	-38435.74	49.1241	1.928196	1.857605	0.9108436	5.645277	0.9875761	1.142269	0.0976712	0.452393	0.138504	0.213024	0.20693	0.0398898	0.481167	0.0833859	0.716248	0.211056	0.5992043	0.204218	0.2222879	0.3949863	4.18386	3.20344	2.42894	2.8245	3.72045	1.26481	2.52515	1.77296	1.5352	3.48053	-4.435961	0.01407382	0.0255366	0.0136927	0.00840035	0.0110381	0.00705004	0.0459853	0.0124778	0.0141489	0.0094699	0.019612	0.0133913	0.012313	0.0181305	0.0109158	0.0286021	0.0168263	0.00541056	0.0163172	0.0156669	0.0103702	0.0191036	0.00849089	0.0459648	0.00895078	0.0310936	0.0317386	0.0363322	0.0270108	0.0180388	0.0221869	0.0117432	0.0142632	0.0120109	0.00372723	0.0103386	0.00947047	0.00270702	0.0103755	0.01408	0.0163935	0.0196261	0.0167748	0.00866494	0.0212822	0.00823017	0.0176555	0.00756043	0.0132388	0.0112476	0.00508582	1	0.220478	0.456129	0.30296	0.1902	0.192013	0.174261	0.920556	0.280554	0.272461	5.867565	0.3408153
1500	-38360.17	-38435.27	75.10572	7.465146	4.733711	2.368571	16.94245	2.595975	2.95512	0.0852675	0.267511	0.17514	0.428152	0.229392	0.0101594	0.473599	0.113881	0.86642	0.317175	0.2189402	0.1144424	0.07174032	0.1044978	3.3253	3.15692	2.05398	2.07207	3.24202	2.47637	2.6865	1.7229	1.5496	3.0944	-5.218052	0.006438047	0.0120419	0.00418484	0.00285705	0.00375422	0.00351258	0.018627	0.00663634	0.00722416	0.00351992	0.00571759	0.00433998	0.00713152	0.00625729	0.00446475	0.0147144	0.00682685	0.0047563	0.0126212	0.00907012	0.00766813	0.0111623	0.00434862	0.0144394	0.0023786	0.00736713	0.0106694	0.00545937	0.00749667	0.00830192	0.00710458	0.00324044	0.004432	0.00428351	0.00285892	0.00390985	0.00186079	0.00366837	0.00207144	0.00266193	0.00409847	0.0111505	0.011268	0.00264543	0.00775859	0.00582183	0.00307536	0.00309321	0.00233848	0.00449645	0.00274717	1	0.182602	0.37899	0.236053	0.162776	0.132754	0.145187	0.937502	0.23407	0.209088	17.01419	0.5227106
1520	-38386.06	-38428.42	42.3541	3.99152	1.279448	0.6806426	5.172402	0.7706462	0.8045079	0.0657784	0.518251	0.168427	0.3252	0.200883	0.284672	0.623636	0.098806	1.09267	0.208876	0.9435628	0.3773148	0.03666633	0.5662481	2.90473	3.43948	2.65442	2.81055	2.47206	1.93899	2.87092	1.88183	2.08248	3.52349	-4.150502	0.01872343	0.0289297	0.0126928	0.00825703	0.0120511	0.0100034	0.0665764	0.0143084	0.021311	0.0128919	0.0201368	0.0132834	0.0178572	0.0166563	0.0111033	0.0403855	0.0239406	0.00622563	0.0319465	0.0299014	0.0226279	0.0425371	0.0162371	0.0387323	0.00719643	0.0206209	0.0180219	0.00650496	0.0118114	0.0558346	0.028591	0.0134579	0.0187007	0.0187207	0.00651065	0.0202421	0.0164503	0.0110212	0.0097423	0.0120356	0.00910187	0.0408314	0.00764093	0.0134918	0.0269083	0.0135398	0.0196854	0.00818908	0.00582692	0.0130143	0.00867224	1	0.193036	0.49741	0.278828	0.192442	0.12391	0.137574	1.01298	0.245703	0.238999	5.209069	0.399883
1540	-38399.42	-38442.93	43.50979	3.699303	1.626433	0.9543445	6.1146	0.8182543	1.031576	0.0138308	0.280305	0.148799	0.52099	0.148746	0.138566	0.780941	0.109333	0.729715	0.0829199	0.664273	0.2672854	0.1601835	0.3969876	4.59541	3.52464	2.15128	2.67438	2.9485	2.71837	3.34442	1.91829	1.75954	3.28031	-4.256605	0.01683858	0.0211674	0.0100757	0.00821361	0.0141165	0.0108756	0.0579291	0.0110851	0.0109498	0.0114141	0.0190214	0.00906448	0.0102765	0.0129511	0.00696309	0.0274591	0.0207187	0.0107584	0.0466072	0.0170967	0.014006	0.0246028	0.0136099	0.0212845	0.00370758	0.0148831	0.0177381	0.0105934	0.028555	0.0235824	0.0131823	0.0255189	0.0216541	0.0102184	0.0119955	0.00533979	0.00545768	0.00774675	0.0130662	0.0151908	0.00968423	0.00748171	0.0115436	0.00629401	0.0439501	0.00769603	0.0145851	0.00568029	0.0279014	0.0481673	0.00437576	1	0.222653	0.496055	0.274485	0.210334	0.15481	0.170764	1.27944	0.252377	0.268611	6.274784	0.4023728
1560	-38375.92	-38457.2	81.27282	10.52559	5.079831	1.951191	15.20994	2.366594	2.795041	0.0319858	0.424072	0.149789	0.387756	0.353306	0.0790241	3.7804	0.121932	0.78643	0.154382	0.31307	0.05604886	1.207113	0.2570212	2.65261	3.30044	2.571	2.25589	2.51101	1.97001	2.89384	2.05309	1.79963	3.30134	-5.370811	0.005526012	0.0122074	0.00464225	0.00303484	0.00383686	0.00170845	0.0170681	0.00284018	0.00443588	0.003465	0.00526189	0.00303926	0.00545605	0.00379257	0.00420652	0.0116735	0.00542878	0.00136846	0.0107178	0.00619625	0.0035297	0.0126339	0.00622057	0.00772263	0.00165678	0.00362746	0.00578857	0.001713	0.00532619	0.0134146	0.00239716	0.00374931	0.00955771	0.00405163	0.00470169	0.00223584	0.00215317	0.00393782	0.00372292	0.0039027	0.00189233	0.00572895	0.00200901	0.00382868	0.00635938	0.00866071	0.0038342	0.00179083	0.00356553	0.00292326	0.00192446	1	0.249748	0.569456	0.317085	0.240821	0.154871	0.198329	1.35374	0.300858	0.261834	16.41706	0.1790298
1580	-38403.29	-38442.94	39.64486	2.286987	1.441159	0.5324789	3.693386	0.8694222	0.9757174	0.0979287	0.324753	0.197208	0.343005	0.0421919	0.501798	45.9894	0.10843	1.19654	0.176937	0.8034172	0.2919007	1.313199	0.5115165	4.63121	3.03892	2.39085	2.63123	2.56292	1.43784	2.25797	1.74122	1.56163	3.43755	-4.116697	0.01936719	0.0125247	0.00810102	0.00503522	0.0189721	0.0061641	0.0508885	0.00873771	0.0135472	0.0109046	0.018489	0.0158521	0.0213012	0.0163161	0.0168366	0.060203	0.0209552	0.00496087	0.0233334	0.02262	0.0130418	0.0258786	0.00895997	0.0473579	0.00744729	0.0198417	0.03188	0.0161838	0.0299266	0.0475686	0.0296107	0.0311728	0.0147664	0.012797	0.0209587	0.0120003	0.0259623	0.00990327	0.0045286	0.0106725	0.0317684	0.0102826	0.0135532	0.0171165	0.0228562	0.00769848	0.0146153	0.0170794	0.00920481	0.0128945	0.00781271	1	0.192161	0.473353	0.278806	0.17865	0.135903	0.156923	0.894886	0.27326	0.214388	5.006585	0.3633239
1600	-38361.83	-38451.66	89.83119	10.07826	8.365225	2.976849	17.27142	4.53917	4.728036	0.00480151	0.396275	0.142083	0.269222	0.238334	0.193837	10.4617	0.109319	1.81052	0.20771	0.1912679	0.03446448	3.965344	0.1568034	3.29158	3.41864	1.98205	2.76618	2.50742	1.43373	2.60239	1.87996	1.88675	3.15469	-5.599778	0.004395139	0.00289349	0.00212026	0.00139957	0.00302133	0.002475	0.0120511	0.00228577	0.00288977	0.00252555	0.00407186	0.00232709	0.00247888	0.00353566	0.00245403	0.01048	0.00308086	0.00299498	0.00948427	0.00512417	0.00394262	0.00417256	0.00188343	0.00926338	0.00168112	0.00457894	0.00583203	0.00282097	0.00734315	0.0079529	0.00662984	0.00177069	0.00505041	0.00223616	0.00164749	0.00164493	0.00251285	0.00527396	0.000910493	0.00286489	0.00225483	0.00204742	0.00210562	0.00463703	0.00558006	0.00490524	0.00409098	0.00282434	0.00168776	0.00303218	0.00224208	1	0.226502	0.459223	0.288187	0.202917	0.156997	0.190092	1.09074	0.249816	0.263678	21.23677	0.1801896
1620	-38346.28	-38440.97	94.69344	15.87916	6.017247	5.185636	19.9331	4.836609	6.098943	0.0176002	0.474958	0.168898	0.434704	0.150156	0.516776	0.331276	0.126011	0.87765	0.182615	0.1542261	0.02289497	0.1431832	0.1313311	2.7656	3.40812	1.9925	2.36423	3.18053	1.55239	2.56005	1.92281	1.70529	3.45245	-6.002724	0.002937484	0.00421934	0.00239081	0.00112084	0.0025065	0.00158551	0.0117963	0.00202451	0.00218621	0.00160375	0.0013078	0.00114898	0.00286172	0.00301491	0.00195187	0.00529957	0.00321703	0.000984679	0.00317557	0.00565645	0.00292633	0.00683797	0.00221118	0.00511983	0.00101669	0.00334684	0.00387767	0.00210354	0.00354979	0.0151977	0.00406622	0.00399814	0.00221161	0.0033934	0.000616942	0.00143117	0.00229086	0.00186298	0.000665354	0.00103012	0.0029387	0.00108322	0.00249992	0.000618916	0.00691581	0.00128988	0.0017374	0.002618	0.00262217	0.00259701	0.00191805	1	0.233913	0.49007	0.323133	0.198848	0.155674	0.138996	1.42989	0.270365	0.273932	20.07628	0.1484507
1640	-38356.21	-38444.66	88.45626	9.669317	4.642874	3.492742	14.56601	3.447614	4.026458	0.0657298	0.546115	0.0943132	0.31618	0.245765	9.10568	1.08873	0.0371297	0.428174	0.245932	0.1998377	0.09024226	1.515352	0.1095955	4.33372	3.52094	2.62186	2.52344	2.41859	2.2762	2.08832	1.70486	1.5345	3.26013	-5.651413	0.004173957	0.00740608	0.00367687	0.0023591	0.00331003	0.00149059	0.0116361	0.00241578	0.00287554	0.00288261	0.0029687	0.00226137	0.0034381	0.00320274	0.00228016	0.00858081	0.00435704	0.00386115	0.0122578	0.00689451	0.00439421	0.00879225	0.00377863	0.00834794	0.00131956	0.00558425	0.00687835	0.00256567	0.00792699	0.0122541	0.00589242	0.00491319	0.00359455	0.00246178	0.00380946	0.00218075	0.00244827	0.00241799	0.00233094	0.00418444	0.00555683	0.00256939	0.00152811	0.00330684	0.00601924	0.00471738	0.00325219	0.00329182	0.00320046	0.00467166	0.00208095	1	0.209349	0.497033	0.297637	0.18739	0.191726	0.182768	0.999446	0.290869	0.268363	16.08136	0.4515777
1660	-38336.88	-38447.87	110.9945	23.1248	12.87255	7.410998	30.99952	7.666351	8.534235	0.053956	0.415875	0.110688	0.434995	0.338382	0.0882753	0.305722	0.100687	3.11905	0.137396	0.09939298	0.01578655	2.2168	0.08360643	4.8472	3.05728	2.15068	2.33631	2.71061	1.94666	1.89319	1.89213	1.41589	2.63257	-6.365334	0.002044072	0.00484017	0.00192933	0.00150102	0.00132139	0.000857669	0.00590825	0.00076341	0.00110007	0.00120574	0.00257304	0.00121323	0.000921019	0.00142404	0.00163782	0.00352675	0.00227166	0.00060306	0.00435601	0.00162584	0.00139284	0.00544722	0.00157768	0.00307104	0.000666134	0.0017444	0.00249714	0.0013686	0.0024286	0.00713489	0.000787793	0.00323367	0.00307135	0.00134041	0.00147847	0.00178568	0.000895057	0.00095416	0.00139583	0.00238898	0.00101648	0.00108941	0.00231178	0.00101251	0.00339182	0.00148618	0.000961222	0.00164539	0.000666105	0.00137633	0.000991117	1	0.229358	0.509008	0.302909	0.224639	0.193778	0.20232	1.35235	0.329068	0.265415	33.21632	0.1588296
1680	-38367.28	-38441.22	73.93698	7.180768	4.558163	2.136336	11.21788	2.365635	2.489124	0.0386965	0.33892	0.137134	0.373173	0.228775	0.273648	0.775304	0.111534	0.839981	0.276607	0.3157724	0.1462783	2.621017	0.1694941	3.1314	3.38881	2.45808	2.63125	2.65433	2.15482	2.36943	1.79954	1.67025	2.57413	-5.131771	0.007018197	0.00442016	0.00288345	0.00219223	0.00615383	0.00506927	0.0297386	0.00394212	0.00644314	0.00520485	0.00430736	0.00338295	0.00423946	0.00460135	0.00377565	0.0116815	0.0079518	0.00220051	0.0144194	0.0062846	0.00402604	0.00985412	0.00516376	0.0138181	0.00281544	0.00671341	0.00922343	0.00382515	0.00766528	0.0167691	0.0062018	0.00822449	0.0199093	0.00589073	0.00392843	0.0024274	0.00443276	0.00512625	0.00535543	0.00521926	0.00214164	0.00278199	0.00608193	0.00748162	0.0142103	0.00527689	0.00322468	0.00335965	0.00176183	0.00319134	0.00288599	1	0.201728	0.454063	0.279197	0.205698	0.169186	0.198815	1.24702	0.280336	0.217179	13.8389	0.4632397
1700	-38356.02	-38439.59	83.57262	9.236661	5.123243	2.836626	14.77316	2.860911	3.316492	0.0443703	0.468323	0.165892	0.458667	0.298696	0.224197	0.714534	0.10864	1.14007	0.372471	0.228867	0.04714555	2.291515	0.1817215	5.67735	2.91252	2.14595	2.59006	3.00031	1.78165	2.69215	1.83489	1.3882	3.11016	-5.516361	0.004777494	0.00483835	0.00242218	0.0019037	0.00353138	0.00150287	0.0125635	0.00341774	0.00392546	0.00284356	0.00272104	0.00190036	0.0033128	0.00277346	0.00276154	0.00976733	0.00595162	0.0020998	0.00711514	0.00810771	0.0052629	0.0106091	0.00450585	0.0121809	0.00166731	0.00606204	0.00801918	0.00470991	0.00435752	0.0118237	0.00317782	0.00378684	0.00817329	0.00425936	0.00219977	0.0028607	0.0103014	0.00522003	0.00470197	0.00465733	0.000996751	0.00261999	0.0026548	0.00392884	0.00696118	0.00560024	0.00539702	0.00247932	0.00543587	0.00254051	0.00167071	1	0.205579	0.501662	0.311562	0.179952	0.214764	0.166729	1.19913	0.309352	0.251008	17.06468	0.2059954
1720	-38377.26	-38450.57	73.30841	7.050578	5.542417	3.244867	13.86071	2.363687	3.64286	0.0845723	0.32469	0.196196	0.501328	0.167351	0.271041	0.677557	0.117666	0.439173	0.13559	0.1991095	0.05577031	1.640144	0.1433392	3.55281	3.67278	2.11886	2.53911	2.87094	2.2934	2.17244	1.62845	1.36549	2.78072	-5.449462	0.005108041	0.00806445	0.00413329	0.00206006	0.0050945	0.00352399	0.0163572	0.00859091	0.0121262	0.00397107	0.00351168	0.00193256	0.00287648	0.00338001	0.00203061	0.00757403	0.0066586	0.00351077	0.0181356	0.00455314	0.00265453	0.00695929	0.00291835	0.012665	0.00153455	0.00522432	0.00973621	0.00189539	0.0135497	0.00935015	0.00351053	0.0129583	0.0086195	0.0035474	0.00911015	0.00236281	0.00169529	0.0025901	0.00424379	0.00202672	0.00217896	0.00329829	0.0102881	0.00220236	0.0144822	0.0025061	0.00168842	0.00323795	0.00365382	0.00379313	0.00265301	1	0.248713	0.454175	0.303797	0.188832	0.154075	0.197434	1.42764	0.279811	0.270895	15.50086	0.2800987
1740	-38367.27	-38451.33	84.06055	10.36104	5.277629	3.251518	13.6894	3.253828	3.461909	0.0867083	0.285503	0.193669	0.510819	0.279238	0.60086	0.597232	0.0881308	0.539541	0.214467	0.2168963	0.01439727	0.5036586	0.202499	4.30706	3.10619	2.53526	2.45023	3.28822	2.29933	2.67032	1.7481	1.96819	2.76605	-5.529964	0.004712947	0.00796899	0.00468825	0.0026814	0.00387558	0.0013617	0.0121279	0.0032212	0.00488168	0.00214284	0.00324602	0.00322164	0.0060015	0.00890934	0.00392743	0.00965961	0.00536568	0.00178518	0.00468743	0.00713531	0.00454324	0.00662004	0.00303891	0.00684262	0.00198786	0.00568713	0.00591315	0.0082982	0.00577673	0.0173495	0.00527637	0.00351268	0.00757563	0.00496856	0.00276875	0.00176058	0.00281768	0.0013208	0.00246818	0.00340701	0.00197155	0.00325506	0.00115335	0.00452487	0.0081187	0.00618971	0.00703022	0.00311951	0.00254592	0.00354307	0.00240896	1	0.254573	0.498059	0.311403	0.191752	0.123074	0.167467	1.0236	0.330233	0.237285	14.19306	0.06637861
1760	-38382.42	-38444.57	62.14625	4.603769	3.084478	1.446891	7.139094	1.517668	1.703955	0.0793983	0.386637	0.15676	0.315453	0.202215	2.80034	0.615315	0.117907	0.657303	0.256572	0.4692989	0.1303315	1.725695	0.3389675	3.90201	3.64826	2.67608	2.94897	2.72285	2.37964	2.65352	1.80796	1.98589	3.1549	-4.947594	0.008437482	0.0211173	0.0113546	0.0102841	0.00473952	0.0030943	0.0239929	0.0068567	0.0129009	0.00531008	0.00783613	0.00378729	0.00906376	0.0101863	0.00618321	0.0189883	0.0106198	0.00280569	0.00674308	0.00875806	0.00668911	0.0121386	0.00447703	0.0164849	0.00317132	0.010481	0.0137777	0.0139786	0.00985606	0.0226372	0.0123509	0.00868666	0.00995948	0.00875392	0.00272324	0.00393146	0.0189802	0.00377944	0.00476593	0.00241211	0.0113388	0.00867952	0.00388444	0.00466785	0.0261828	0.00378281	0.00496678	0.00783933	0.00469753	0.00866024	0.00325774	1	0.214192	0.540421	0.326597	0.187262	0.189036	0.18433	1.18644	0.255239	0.255492	8.864789	0.2777152
1780	-38358.25	-38446.58	88.33595	11.49763	14.55847	4.86097	25.3891	4.849883	5.035056	0.0952793	0.495902	0.184098	0.380653	0.144012	0.739073	0.187777	0.0806202	1.34257	0.231886	0.165972	0.04084016	7.487268	0.1251319	4.8631	3.53323	2.05731	2.24824	3.55103	1.08291	2.37117	2.13859	1.66959	2.94125	-5.922668	0.003182316	0.00551902	0.00231265	0.00253925	0.00245582	0.00146832	0.0106181	0.00147324	0.00294692	0.00170737	0.00143607	0.00114331	0.00209104	0.00244754	0.00140606	0.00641827	0.00265561	0.00113671	0.00566419	0.00274859	0.00160931	0.00311135	0.00100459	0.00802694	0.00127368	0.003235	0.00503217	0.00162786	0.00672251	0.00431097	0.00161192	0.0011933	0.00483072	0.00143293	0.00117666	0.00113251	0.0018134	0.00301968	0.00393556	0.00154817	0.00845281	0.00135963	0.00100233	0.00707147	0.0031762	0.000883803	0.00324997	0.00254267	0.000888742	0.00345987	0.000731062	1	0.246472	0.472013	0.338031	0.218275	0.135241	0.173093	1.04924	0.294578	0.293079	32.87637	0.2460665
1800	-38421	-38451.49	30.48765	1.382935	0.8759538	0.4500918	2.424385	0.4512195	0.5080953	0.0145267	0.608612	0.149554	0.223491	0.218204	6.70094	1.6696	0.130774	1.36907	0.236856	1.192946	0.8610089	0.07596374	0.3319368	5.20607	3.33729	2.03059	2.45179	3.31463	1.62232	2.58127	2.43464	1.42039	3.42037	-3.823483	0.02596616	0.0450138	0.016468	0.0202822	0.0215855	0.0168538	0.0697694	0.0172026	0.023561	0.0185446	0.0551852	0.0337755	0.0236452	0.0303559	0.0142446	0.0592408	0.0238558	0.0137201	0.0394052	0.0562206	0.0399952	0.0730181	0.031263	0.0644929	0.0100801	0.0253749	0.0498416	0.018218	0.0593836	0.0638685	0.0147957	0.0139682	0.0233939	0.016442	0.00624404	0.0271138	0.0115259	0.030571	0.014705	0.0143597	0.0271739	0.029416	0.0558305	0.0108426	0.0310965	0.0157934	0.0196152	0.0220049	0.00946476	0.0242698	0.0147588	1	0.216607	0.484017	0.324928	0.185101	0.15685	0.193586	1.14477	0.269418	0.262881	2.500348	0.7217503
1820	-38390.23	-38446.03	55.8031	4.08977	2.548815	1.151311	6.435651	1.107934	1.327416	0.0868064	0.493675	0.179067	0.449963	0.188878	1.3157	0.625202	0.112357	2.11604	0.226792	0.8681052	0.2543382	0.3720162	0.613767	3.11763	3.03571	2.60819	3.08723	2.25542	1.43183	2.81777	1.81735	1.32861	2.93144	-4.529053	0.0128228	0.0261585	0.0118976	0.00716292	0.012467	0.00674964	0.0534675	0.0109709	0.0194388	0.0104394	0.00776809	0.00567528	0.00830016	0.00731769	0.00665334	0.0248705	0.0120711	0.00279454	0.0113166	0.0125372	0.00817317	0.0189858	0.0072573	0.0299384	0.00621394	0.0127429	0.0180425	0.0117086	0.0135214	0.0292005	0.0180275	0.0190976	0.00705283	0.0103535	0.011189	0.0057819	0.00894683	0.00556844	0.00384171	0.00641745	0.00951439	0.00901344	0.00727361	0.00720721	0.0127148	0.00653445	0.0066853	0.0121184	0.00424785	0.00963272	0.00632746	1	0.212541	0.455748	0.261889	0.161587	0.121151	0.148259	1.01008	0.223784	0.221854	6.807667	0.2929809
1840	-38376.83	-38436.76	59.93819	4.24309	2.874936	1.21317	6.486895	1.199521	1.295356	0.0367647	0.285992	0.159453	0.344791	0.0857072	0.642372	0.481929	0.111613	0.866593	0.316365	0.543106	0.2072397	1.186486	0.3358663	5.02437	3.25936	2.38582	2.63209	2.57516	1.46438	2.62657	1.66202	1.76571	3.51484	-4.582288	0.01215803	0.021448	0.00865543	0.00596127	0.0105338	0.00417147	0.040615	0.0126991	0.0128726	0.00655836	0.0107941	0.00599112	0.00816309	0.00837781	0.00583036	0.0230739	0.0150775	0.00516336	0.0195876	0.0109936	0.00816692	0.0264627	0.00983336	0.0238056	0.0041999	0.0188845	0.0167057	0.00682118	0.0126954	0.0300213	0.00498947	0.0136492	0.0141929	0.00847364	0.00270113	0.00456625	0.00657041	0.00943561	0.0149106	0.00826589	0.00685122	0.0108532	0.00844174	0.00597443	0.0220262	0.00670328	0.00528492	0.00811239	0.00674302	0.0120798	0.00510934	1	0.213233	0.42061	0.251161	0.181629	0.115195	0.141556	1.22217	0.285132	0.224782	7.673381	0.3815824
1860	-38405.91	-38450.48	44.56848	3.805872	2.506639	1.036739	5.890726	1.196184	1.259485	0.0882779	0.523875	0.159268	0.455682	0.327274	0.905742	1.58743	0.0882054	0.484022	0.171156	0.4995622	0.1126173	0.2352492	0.3869449	3.78092	3.0141	2.15244	2.45301	3.23303	1.96425	2.14487	2.15552	1.49866	3.25428	-4.406934	0.01448833	0.0322347	0.0195346	0.0123482	0.0128465	0.0125598	0.0656677	0.0108725	0.0188132	0.00963359	0.0108749	0.00486561	0.0109935	0.0119138	0.0100896	0.031229	0.0204949	0.00682748	0.0245831	0.0134964	0.00955887	0.0192874	0.009768	0.0309494	0.00612843	0.0115953	0.020053	0.00606169	0.0295206	0.0365432	0.0145962	0.0189797	0.0175287	0.00928628	0.00655689	0.00460207	0.00650067	0.0304829	0.00942585	0.0119225	0.0112532	0.0103765	0.0087767	0.0101714	0.0425742	0.00277329	0.0124207	0.0126912	0.0101748	0.0272732	0.00723801	1	0.166548	0.35472	0.228486	0.142982	0.152732	0.162531	0.866819	0.20574	0.210327	6.125975	0.225432
