Iteration	Posterior	Likelihood	Prior	age_affinis	age_centrantoides	age_flynni	age_ingroup	age_littoralis	age_littoralis_flynni	alpha_mol[1]	alpha_mol[2]	alpha_mol[3]	alpha_mol[4]	alpha_mol[5]	alpha_mol[6]	alpha_mol[7]	alpha_mol[8]	alpha_mol[9]	alpha_mol[10]	birth	death	diff_age_root_ingroup	diversification	kappa_mol[1]	kappa_mol[2]	kappa_mol[3]	kappa_mol[4]	kappa_mol[5]	kappa_mol[6]	kappa_mol[7]	kappa_mol[8]	kappa_mol[9]	kappa_mol[10]	ln_mean	mu_mol_base	mu_mol_branch[1]	mu_mol_branch[2]	mu_mol_branch[3]	mu_mol_branch[4]	mu_mol_branch[5]	mu_mol_branch[6]	mu_mol_branch[7]	mu_mol_branch[8]	mu_mol_branch[9]	mu_mol_branch[10]	mu_mol_branch[11]	mu_mol_branch[12]	mu_mol_branch[13]	mu_mol_branch[14]	mu_mol_branch[15]	mu_mol_branch[16]	mu_mol_branch[17]	mu_mol_branch[18]	mu_mol_branch[19]	mu_mol_branch[20]	mu_mol_branch[21]	mu_mol_branch[22]	mu_mol_branch[23]	mu_mol_branch[24]	mu_mol_branch[25]	mu_mol_branch[26]	mu_mol_branch[27]	mu_mol_branch[28]	mu_mol_branch[29]	mu_mol_branch[30]	mu_mol_branch[31]	mu_mol_branch[32]	mu_mol_branch[33]	mu_mol_branch[34]	mu_mol_branch[35]	mu_mol_branch[36]	mu_mol_branch[37]	mu_mol_branch[38]	mu_mol_branch[39]	mu_mol_branch[40]	mu_mol_branch[41]	mu_mol_branch[42]	mu_mol_branch[43]	mu_mol_branch[44]	mu_mol_branch[45]	mu_mol_branch[46]	mu_mol_branch[47]	mu_mol_branch[48]	mu_mol_branch[49]	mu_mol_branch[50]	mu_mol_locus_rel[1]	mu_mol_locus_rel[2]	mu_mol_locus_rel[3]	mu_mol_locus_rel[4]	mu_mol_locus_rel[5]	mu_mol_locus_rel[6]	mu_mol_locus_rel[7]	mu_mol_locus_rel[8]	mu_mol_locus_rel[9]	mu_mol_locus_rel[10]	root_age	turnover
200	-38380.51	-38437.65	57.13865	3.942458	2.579767	1.613706	9.245748	1.782453	1.815104	0.0339517	0.417481	0.191419	0.262747	0.217417	0.276062	0.479444	0.08353	1.69661	0.212792	0.3105767	0.05584424	0.7174148	0.2547325	4.10006	3.37062	2.77957	2.97198	2.8933	0.979099	1.61837	2.30409	1.60686	3.62064	-4.738961	0.01039491	0.020174	0.00714052	0.00816388	0.00702478	0.00333079	0.021571	0.00533927	0.00961269	0.00635456	0.00985178	0.00492509	0.0156597	0.0145864	0.012458	0.0154739	0.0123121	0.00393778	0.0210958	0.0126473	0.0102801	0.0214363	0.00926163	0.0266597	0.00564465	0.013999	0.0172713	0.00430085	0.0115034	0.0128814	0.00664467	0.0110724	0.00694097	0.00681009	0.0147028	0.000870463	0.00310297	0.00317931	0.00392995	0.00548379	0.00732521	0.0133744	0.00471719	0.0175354	0.0125879	0.00409166	0.00964544	0.0044573	0.00699959	0.00843423	0.00296318	1	0.213551	0.489461	0.292699	0.214806	0.131975	0.166021	1.00986	0.251965	0.225151	9.963163	0.1798082
220	-38367.15	-38448.09	80.94155	15.76708	5.941634	3.919082	18.72961	3.984515	4.180605	0.0983569	0.325588	0.143233	0.440443	0.31168	0.204574	0.309625	0.105342	1.08976	0.221621	0.2246768	0.1131392	0.08379076	0.1115376	3.48551	3.03254	2.69218	2.17389	3.64748	1.77249	2.93354	1.75811	1.54304	3.49114	-5.605389	0.004370547	0.00783175	0.0053969	0.00327226	0.00542785	0.0015738	0.0144098	0.00251138	0.00322552	0.00266012	0.00268794	0.00150537	0.00276215	0.00420219	0.00169725	0.00675072	0.00424177	0.001507	0.00482133	0.00546098	0.00361353	0.00856504	0.00283881	0.0169719	0.00264047	0.0048931	0.00478483	0.00127199	0.00213503	0.0210763	0.00565107	0.00490545	0.00367997	0.00295597	0.00121744	0.00460271	0.00200898	0.00220908	0.00296101	0.00665472	0.00328123	0.00260138	0.00172382	0.00508823	0.00345184	0.00618904	0.0024922	0.00234966	0.00469587	0.00722827	0.00217998	1	0.200402	0.43864	0.25526	0.208221	0.17297	0.152516	1.04216	0.228188	0.252972	18.8134	0.5035642
240	-38356.61	-38440.97	84.35274	12.76125	6.029148	3.885173	20.39457	3.299021	4.006513	0.0572295	0.518141	0.198567	0.356468	0.232255	0.960213	0.175225	0.093036	1.00118	0.15431	0.1383065	0.06526513	0.8656196	0.07304134	3.15847	3.0942	2.57505	2.91571	3.46691	1.8405	2.92988	1.98369	1.52748	2.81128	-5.695538	0.003993786	0.00328302	0.00192332	0.00189132	0.00272859	0.00138133	0.0122649	0.00215403	0.00369687	0.00334282	0.00271227	0.00183456	0.00291137	0.00363557	0.00221434	0.00726552	0.00338877	0.00125645	0.00521453	0.00574462	0.00393511	0.00609308	0.00286485	0.0146716	0.00294154	0.00550882	0.00574482	0.0017571	0.00269042	0.00884231	0.00696428	0.00267199	0.00254257	0.00222045	0.00182828	0.00369714	0.00235163	0.00119409	0.00883727	0.00343825	0.00214584	0.00299006	0.00360377	0.00139165	0.00541382	0.00284421	0.000645047	0.00265167	0.0114796	0.00482274	0.00139379	1	0.208445	0.490516	0.309241	0.177945	0.144106	0.167536	1.02977	0.249462	0.238361	21.26019	0.4718878
260	-38357.48	-38441.77	84.29869	10.24884	9.688648	4.93365	21.14444	4.471702	4.992434	0.0518918	0.434156	0.194328	0.556233	0.192751	0.457169	0.367042	0.0875319	1.37197	0.195512	0.1746498	0.04262632	2.185078	0.1320235	4.11558	3.86722	2.33568	2.81978	3.29149	2.42768	2.43955	1.94544	1.51402	3.21286	-5.891194	0.003284069	0.00556605	0.0021081	0.0014264	0.00208719	0.00177615	0.0112587	0.00255337	0.00597977	0.00192142	0.00317079	0.00211038	0.00234017	0.00230264	0.00201055	0.00664827	0.00333981	0.00191291	0.00469271	0.00268382	0.00241934	0.00653669	0.00170901	0.0113476	0.00177016	0.0078972	0.00694996	0.0102948	0.00504695	0.00761163	0.00251596	0.0044855	0.00229162	0.00196861	0.00722791	0.000942889	0.00169413	0.00126849	0.00460609	0.00193045	0.00427056	0.00226425	0.00185508	0.00240853	0.00307682	0.00221251	0.0034732	0.00464376	0.00352965	0.00150959	0.00187604	1	0.195669	0.420418	0.267903	0.157729	0.143051	0.139316	0.877062	0.203543	0.221801	23.32952	0.2440673
280	-38361.48	-38442.94	81.45989	10.96246	6.163331	4.264994	18.49033	3.698389	4.546388	0.0208648	0.446541	0.207467	0.389588	0.298085	15.0112	0.378555	0.0901543	0.847602	0.122997	0.2099479	0.04829244	2.385844	0.1616555	3.84662	3.64727	2.78543	2.66973	2.3054	2.10895	2.26489	2.25725	1.52352	3.07608	-5.69237	0.004006458	0.00564907	0.0031755	0.00212918	0.0039957	0.00288012	0.015854	0.00333204	0.00561736	0.00224707	0.00245691	0.00122095	0.00402438	0.00311595	0.00377371	0.00631533	0.00355141	0.000822406	0.00351077	0.00380147	0.00229476	0.0110286	0.00402883	0.0104703	0.00141262	0.00552504	0.0061473	0.00308348	0.00585252	0.00949428	0.00357486	0.00702726	0.0018129	0.00258058	0.00214236	0.000991335	0.00405895	0.00559882	0.00291195	0.00112994	0.00442548	0.00317698	0.00184832	0.000830776	0.00290061	0.00252845	0.00178231	0.0051541	0.00447092	0.00238216	0.00142226	1	0.191841	0.475417	0.271686	0.195791	0.161421	0.1629	0.988394	0.281875	0.220743	20.87618	0.2300211
300	-38405.27	-38462.63	57.35964	3.896319	3.601454	1.471713	7.387134	1.511708	1.696922	0.0291846	0.410821	0.185245	0.92882	0.052468	18.4517	4.84243	0.127234	1.69715	0.261642	0.2753986	0.04747766	0.4951963	0.2279209	3.11458	3.70899	2.10365	2.51566	2.95658	1.6636	2.51804	1.80124	1.94725	3.0181	-4.832281	0.009468751	0.0220834	0.00918477	0.00526175	0.00778128	0.00533716	0.0320167	0.0145604	0.017162	0.00592466	0.0087256	0.00631664	0.00932524	0.00837962	0.00639179	0.0167818	0.00972802	0.00320713	0.0173957	0.0205303	0.0126494	0.0224214	0.0111949	0.0336902	0.00567986	0.0157953	0.0165886	0.00611556	0.0158185	0.01761	0.00387697	0.00311187	0.00914805	0.0047535	0.00497108	0.00249666	0.00264236	0.00833252	0.00740119	0.00443254	0.00739045	0.00591711	0.014439	0.00955985	0.0103251	0.00457799	0.0079808	0.00771238	0.00577388	0.00835082	0.00611348	1	0.183905	0.422108	0.265197	0.179242	0.150147	0.177268	1.1102	0.303729	0.242034	7.88233	0.1723961
320	-38395.67	-38455.85	60.17735	4.623219	4.721403	2.027247	7.909879	2.017872	2.124217	0.07575	0.538886	0.0971989	0.280902	0.325002	1.18537	0.529344	0.0840582	0.70568	0.166128	0.262539	0.05842012	0.6721353	0.2041189	4.48798	3.1994	2.37039	3.05157	2.59901	1.88222	2.13932	1.78184	1.75907	3.03902	-4.944615	0.008462652	0.0130825	0.00515047	0.00302506	0.0107329	0.0101757	0.040998	0.00634605	0.00598587	0.00503979	0.00551207	0.00479679	0.00572075	0.00766038	0.00434772	0.0155592	0.00801946	0.00484689	0.011277	0.00692722	0.00471061	0.0128209	0.00585889	0.021031	0.00572307	0.0110749	0.0180005	0.0131956	0.0170237	0.0220585	0.00562406	0.0148403	0.0133735	0.0043282	0.00154773	0.00610754	0.0103305	0.00278835	0.0142622	0.00591295	0.0131006	0.00641493	0.00764575	0.00462427	0.00781307	0.00821396	0.00640841	0.0115342	0.00949418	0.00382553	0.0054667	1	0.182347	0.36312	0.263834	0.185812	0.107277	0.13117	1.05077	0.233695	0.204888	8.582014	0.2225198
340	-38393.03	-38445.29	52.25764	4.019655	2.726237	1.376097	5.735428	1.239507	1.396647	0.0632119	0.550479	0.112438	0.336537	0.251447	1.0681	0.679463	0.102266	1.06521	0.209244	0.4316891	0.2363429	0.098493	0.1953462	5.08193	2.84327	2.84864	2.61655	3.25002	1.87445	1.69658	2.03354	1.82524	3.97813	-4.826263	0.009525905	0.0110597	0.00613172	0.00401413	0.0145017	0.00652753	0.0467475	0.00530767	0.00776948	0.00991963	0.00599414	0.00624378	0.00598093	0.0115868	0.00690502	0.0209161	0.0112585	0.0079783	0.026079	0.0141427	0.0105288	0.0161657	0.00598207	0.0274492	0.00518707	0.0159706	0.0168509	0.0118517	0.0164828	0.0388585	0.00850209	0.00847032	0.0164998	0.00553255	0.0167282	0.0101141	0.0101679	0.00533491	0.0125408	0.0143766	0.00622584	0.00402117	0.0199746	0.00779397	0.0106091	0.00932656	0.0103194	0.0116647	0.0110655	0.00749785	0.00923747	1	0.190033	0.482529	0.270638	0.164041	0.129028	0.134417	1.28995	0.256835	0.239915	5.833921	0.5474841
360	-38358.22	-38440.88	82.65904	10.00713	7.560112	2.936939	13.49512	3.065423	3.565564	0.0631276	0.336401	0.204399	0.576913	0.209234	0.289847	0.707275	0.110083	0.784431	0.220676	0.2784406	0.1791567	1.317216	0.09928395	3.39449	2.91747	2.60148	3.12777	2.71691	1.81838	2.96581	2.23021	2.0195	3.48715	-5.420451	0.005258399	0.00492418	0.00321714	0.00278616	0.00321468	0.00183428	0.0131584	0.00465218	0.00497326	0.0033953	0.00383883	0.00262834	0.00241104	0.00361021	0.00284535	0.0110878	0.00571683	0.00161751	0.00556871	0.00358592	0.00331281	0.00480846	0.0023392	0.0134398	0.00209787	0.00630898	0.00617997	0.00296068	0.00423437	0.0202382	0.0031202	0.00449152	0.0101787	0.00491038	0.00224788	0.00297101	0.00145228	0.00241888	0.00246876	0.00334303	0.00374321	0.00453752	0.00629749	0.00223883	0.00700384	0.00486454	0.0012986	0.00444833	0.00550544	0.00418564	0.00259094	1	0.230342	0.439101	0.290472	0.18196	0.177518	0.175356	0.994693	0.26074	0.264246	14.81234	0.6434287
380	-38338.27	-38442.51	104.2352	13.06018	12.75627	6.088311	26.45744	5.494557	6.62772	0.037375	0.391487	0.198633	0.612029	0.135257	0.0525609	2.07696	0.0759978	1.00729	0.153729	0.1061044	0.02406533	3.358599	0.08203905	3.61762	3.75276	2.3298	2.56127	2.64908	1.61438	2.26932	1.69031	1.53093	2.88035	-6.109898	0.002638947	0.00274606	0.00142485	0.000873687	0.00162546	0.00123694	0.00649929	0.00145348	0.00262017	0.00204367	0.00268818	0.00125574	0.00202097	0.00184085	0.00128338	0.00412233	0.00176829	0.00262286	0.00603643	0.00339315	0.00245434	0.00276739	0.00139464	0.012819	0.00202316	0.00708634	0.00482748	0.00216874	0.00228111	0.00490477	0.00179011	0.00106679	0.00233927	0.00111712	0.00110464	0.00188049	0.000790048	0.00112452	0.00231376	0.00173471	0.00144726	0.00206896	0.00408137	0.00158242	0.00189939	0.00146748	0.00206242	0.0028322	0.00343027	0.000915434	0.0010169	1	0.234523	0.475904	0.308089	0.21724	0.15445	0.181409	1.01923	0.288902	0.275164	29.81604	0.2268081
