Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	m_b_simplex[1]	m_d_simplex[1]	m_d_simplex[2]	m_e[1]	m_e[2]	m_e_simplex[1]	m_e_simplex[2]	m_w[1]	m_w[2]	m_w_simplex[1]	m_w_simplex[2]	mu[1]	mu[2]	mu[3]	r_e[1]	r_e[2]	r_w[1]	r_w[2]	rho_b	rho_d	rho_e	rho_w
720	-124.29213944	-122.238965384	-2.05317405611	0.23929	0.198207	3.10807	1	0.378822	0.621178	1.29509	0.704907	0.647547	0.352453	1.0939	0.906096	0.546952	0.453048	0.0281198	0.0153053	0	0.0281198	0.0153053	0.23929	0.198207	1.33528485601	0.477427961579	0.0217125319147	0.218748706615
730	-124.995058313	-123.598698857	-1.39635945641	0.392491	0.37924	1.87422	1	0.0615957	0.938404	0.981835	1.01816	0.490918	0.509082	1.01717	0.98283	0.508585	0.491415	0.166397	0.172554	0	0.166397	0.172554	0.392491	0.37924	0.551244472911	0.28977389176	0.169475518908	0.385865572827
740	-126.721136651	-125.396863052	-1.32427359876	0.51623	0.265671	1.31348	1	0.0443736	0.955626	1.65096	0.349037	0.825481	0.174519	1.32045	0.679552	0.660224	0.339776	0.527686	0.11156	0	0.527686	0.11156	0.51623	0.265671	0.265787916197	0.347911832818	0.319623207276	0.390950642466
750	-120.90306894	-119.786860163	-1.11620877684	0.12553	0.304334	1.14859	1	0.0926729	0.907327	1.21247	0.787528	0.606236	0.393764	0.584045	1.41595	0.292023	0.707977	0.120517	0.0782787	0	0.120517	0.0782787	0.12553	0.304334	0.35936326573	0.442515577764	0.0993979926481	0.214931940702
760	-123.429243478	-122.060911757	-1.36833172165	0.20579	0.478031	2.10372	1	0.293778	0.706222	0.33747	1.66253	0.168735	0.831265	0.601882	1.39812	0.300941	0.699059	0.0252694	0.124488	0	0.0252694	0.124488	0.20579	0.478031	0.709951862107	0.241590811691	0.074878945769	0.34191010208
770	-124.264781153	-122.983188652	-1.28159250136	0.571936	0.239907	1.79355	1	0.382757	0.617243	1.05779	0.942212	0.528894	0.471106	1.40898	0.591018	0.704491	0.295509	0.115784	0.103133	0	0.115784	0.103133	0.571936	0.239907	0.490855273079	0.275356788196	0.109458876032	0.405921564054
780	-124.118031204	-122.852225616	-1.26580558844	0.472266	0.168531	0.875602	1	0.205506	0.794494	1.14987	0.85013	0.574935	0.425065	1.474	0.526004	0.736998	0.263002	0.192246	0.142132	0	0.192246	0.142132	0.472266	0.168531	0.11740299519	0.660815429454	0.16718903852	0.320398125272
790	-122.560176113	-121.140277672	-1.41989844045	0.160261	0.479965	1.03506	1	0.155049	0.844951	0.896746	1.10325	0.448373	0.551627	0.500639	1.49936	0.25032	0.74968	0.345399	0.424939	0	0.345399	0.424939	0.160261	0.479965	0.197417550602	0.51719928406	0.385168602389	0.320113003403
800	-121.299670216	-119.988361023	-1.31130919323	0.099042	0.711153	1.23924	1	0.0245359	0.975464	0.524725	1.47527	0.262363	0.737637	0.244489	1.75551	0.122245	0.877755	0.156674	0.440491	0	0.156674	0.440491	0.099042	0.711153	0.214523578185	0.39310547812	0.298582408072	0.405097728853
810	-122.888762709	-121.804792078	-1.08397063129	0.181737	0.475976	1.16931	1	0.398953	0.601047	0.646098	1.3539	0.323049	0.676951	0.552633	1.44737	0.276316	0.723684	0.0634681	0.132998	0	0.0634681	0.132998	0.181737	0.475976	0.25579652135	0.40108468856	0.0982329920867	0.328856429288
