Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	m_b_simplex[1]	m_d_simplex[1]	m_d_simplex[2]	m_e[1]	m_e[2]	m_e_simplex[1]	m_e_simplex[2]	m_w[1]	m_w[2]	m_w_simplex[1]	m_w_simplex[2]	mu[1]	mu[2]	mu[3]	r_e[1]	r_e[2]	r_w[1]	r_w[2]	rho_b	rho_d	rho_e	rho_w
310	-122.480276884	-121.155474718	-1.32480216545	0.279534	0.117022	1.66059	1	0.191501	0.808499	0.751289	1.24871	0.375645	0.624355	1.40981	0.590192	0.704904	0.295096	0.00656665	0.0109144	0	0.00656665	0.0109144	0.279534	0.117022	0.632018198706	0.485765301245	0.00874050863978	0.198278156857
320	-122.091207499	-120.611421301	-1.47978619809	0.235709	0.166444	2.34785	1	0.279223	0.720777	1.1954	0.804597	0.597702	0.402298	1.17224	0.827765	0.586118	0.413882	0.00446577	0.0030058	0	0.00446577	0.0030058	0.235709	0.166444	0.972849891432	0.302124166833	0.00373578216107	0.201076357667
330	-123.088178568	-121.460656777	-1.62752179065	0.179964	0.257682	2.61624	1	0.344821	0.655179	1.68337	0.316626	0.841687	0.158313	0.822418	1.17758	0.411209	0.588791	0.0272028	0.00511656	0	0.0272028	0.00511656	0.179964	0.257682	1.08929644397	0.303242897909	0.0161596592383	0.218822789533
340	-121.05654627	-119.727921395	-1.32862487534	0.0961888	0.324926	1.84196	1	0.116702	0.883298	0.627861	1.37214	0.31393	0.68607	0.456829	1.54317	0.228414	0.771586	0.0150225	0.0328305	0	0.0150225	0.0328305	0.0961888	0.324926	0.710421786396	0.38371910288	0.0239264779518	0.210557508117
350	-123.722311465	-122.543876497	-1.1784349679	0.149753	0.329929	0.875338	1	0.236794	0.763206	0.252863	1.74714	0.126432	0.873568	0.624385	1.37562	0.312192	0.687808	0.0195252	0.134907	0	0.0195252	0.134907	0.149753	0.329929	0.197827500261	0.663549890419	0.0772163237591	0.239841253457
360	-123.183179793	-122.3746694	-0.808510392666	0.282432	0.165624	0.907324	1	0.874986	0.125014	0.441721	1.55828	0.220861	0.779139	1.2607	0.739301	0.630349	0.369651	0.0673675	0.237655	0	0.0673675	0.237655	0.282432	0.165624	0.229633938549	0.202337175648	0.152511238628	0.22402803984
370	-122.197072799	-121.165827945	-1.03124485378	0.431373	0.192397	1.48348	1	0.502863	0.497137	1.00512	0.994875	0.502562	0.497438	1.38312	0.616885	0.691558	0.308442	0.0678582	0.0671663	0	0.0678582	0.0671663	0.431373	0.192397	0.429856935159	0.221990274632	0.0675122674895	0.311885376495
380	-123.421572166	-122.315737137	-1.1058350298	0.415281	0.142447	1.19226	1	0.718327	0.281673	0.37489	1.62511	0.187445	0.812555	1.48919	0.510812	0.744594	0.255406	0.105325	0.456575	0	0.105325	0.456575	0.415281	0.142447	0.317266364715	0.228754207725	0.280950067324	0.278864390038
390	-122.409988725	-121.577394052	-0.832594672758	0.266089	0.0958232	0.965698	1	0.456622	0.543378	1.32176	0.678237	0.660881	0.339119	1.47046	0.529538	0.735231	0.264769	0.0947061	0.0485966	0	0.0947061	0.0485966	0.266089	0.0958232	0.301892944223	0.278094340044	0.0716513230259	0.180956065465
400	-123.485405894	-122.112847143	-1.37255875137	0.535101	0.0983769	1.23837	1	0.737966	0.262034	0.569813	1.43019	0.284906	0.715094	1.68941	0.310593	0.844704	0.155296	0.189169	0.474799	0	0.189169	0.474799	0.535101	0.0983769	0.302447850081	0.421387797519	0.331983939289	0.316739164479
410	-129.621374736	-126.90173843	-2.71963630564	1.0275	0.165027	1.49533	1	0.752603	0.247397	0.63434	1.36566	0.31717	0.68283	1.72323	0.276769	0.861615	0.138385	0.708723	1.5258	0	0.708723	1.5258	1.0275	0.165027	0.151404315317	0.854710082777	1.11725990411	0.596262003438
420	-125.716931168	-123.837216932	-1.87971423671	0.429392	0.409495	1.8766	1	0.266334	0.733666	1.3685	0.631499	0.68425	0.31575	1.02372	0.976282	0.511859	0.488141	0.529263	0.24423	0	0.529263	0.24423	0.429392	0.409495	0.518856764197	0.554667391176	0.386746722849	0.41944335849
430	-123.601857305	-121.893025802	-1.70883150238	0.149288	0.265488	2.06495	1	0.0535752	0.946425	1.4005	0.599499	0.70025	0.29975	0.719849	1.28015	0.359925	0.640075	0.276177	0.118221	0	0.276177	0.118221	0.149288	0.265488	0.825088702395	0.479155700441	0.197199021402	0.20738807814
440	-130.650643125	-127.205817149	-3.44482597625	0.224515	0.199565	5.10731	1	0.269455	0.730545	1.06452	0.935476	0.532262	0.467738	1.05883	0.941168	0.529416	0.470584	0.430859	0.378627	0	0.430859	0.378627	0.224515	0.199565	2.34161578271	0.486427474388	0.404742964552	0.212039754595
450	-121.215543269	-119.890689635	-1.32485363388	0.112374	0.375806	1.61475	1	0.179636	0.820364	0.283971	1.71603	0.141986	0.858014	0.46038	1.53962	0.23019	0.76981	0.0327404	0.19785	0	0.0327404	0.19785	0.112374	0.375806	0.563285052466	0.402183374317	0.115294993769	0.244090213325
460	-121.748198917	-120.555592962	-1.1926059545	0.0597069	0.305828	1.36491	1	0.201122	0.798878	0.608627	1.39137	0.304314	0.695686	0.326683	1.67332	0.163341	0.836659	0.034512	0.0788973	0	0.034512	0.0788973	0.0597069	0.305828	0.499687425579	0.453446662404	0.0567046067379	0.182767259775
470	-124.437563747	-122.763811076	-1.6737526708	0.130432	0.49161	1.82877	1	0.134068	0.865932	1.85725	0.142748	0.928626	0.0713739	0.419366	1.58063	0.209683	0.790317	0.161796	0.0124356	0	0.161796	0.0124356	0.130432	0.49161	0.603365639883	0.672250354118	0.0871158723215	0.311020804479
480	-125.32486268	-123.351719214	-1.97314346574	0.100059	0.290312	2.08149	1	0.173619	0.826381	1.22797	0.772032	0.613984	0.386016	0.512636	1.48736	0.256318	0.743682	0.417442	0.262449	0	0.417442	0.262449	0.100059	0.290312	0.845559600954	0.592452573801	0.339945668174	0.195185622811
490	-125.353133387	-123.153445696	-2.19968769106	0.170514	0.423566	2.6537	1	0.226048	0.773952	1.32789	0.672113	0.663943	0.336057	0.574044	1.42596	0.287022	0.712978	0.338796	0.171483	0	0.338796	0.171483	0.170514	0.423566	1.02981051606	0.617697209684	0.255139587012	0.297040378313
500	-125.291929727	-123.118894097	-2.1730356307	0.0784144	0.651407	3.1982	1	0.245945	0.754055	0.300886	1.69911	0.150443	0.849557	0.214887	1.78511	0.107443	0.892557	0.0509449	0.287687	0	0.0509449	0.287687	0.0784144	0.651407	1.23419120308	0.40461782628	0.169316142089	0.364910459249
510	-128.532415714	-125.880827223	-2.65158849101	0.16186	0.457331	1.00055	1	0.128051	0.871949	1.21868	0.781323	0.609338	0.390662	0.522812	1.47719	0.261406	0.738594	0.406555	0.260652	0	0.406555	0.260652	0.16186	0.457331	0.190681531969	1.81770758572	0.333603962471	0.309595410853
520	-126.847607138	-124.726423003	-2.1211841348	0.175297	0.272326	1.72538	1	0.248956	0.751044	1.19269	0.807311	0.596345	0.403655	0.783236	1.21676	0.391618	0.608382	0.556596	0.37675	0	0.556596	0.37675	0.175297	0.272326	0.638876725467	0.791822288595	0.466673401837	0.223811718903
530	-122.343856335	-120.842795584	-1.50106075095	0.0030033	0.786028	1.12113	1	0.396357	0.603643	0.35094	1.64906	0.17547	0.82453	0.00761262	1.99239	0.00380631	0.996194	0.159776	0.750783	0	0.159776	0.750783	0.0030033	0.786028	0.166051275728	0.485214313144	0.455279313147	0.394515848929
540	-122.469906901	-121.400075485	-1.06983141698	0.00196107	0.513254	1.01206	1	0.0582208	0.941779	0.433897	1.5661	0.216949	0.783051	0.00761262	1.99239	0.00380631	0.996194	0.123305	0.445057	0	0.123305	0.445057	0.00196107	0.513254	0.248424438588	0.279618381285	0.284181029318	0.257607567786
550	-123.685727745	-122.276248535	-1.40947921033	0.00176677	0.462401	1.14044	1	0.0882434	0.911757	1.02501	0.974992	0.512504	0.487496	0.00761262	1.99239	0.00380631	0.996194	0.12363	0.117597	0	0.12363	0.117597	0.00176677	0.462401	0.338135365805	0.718646155794	0.120613791396	0.232083897333
