Iteration	Replicate_ID	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
20	0	-4681.9	-4677.97	-3.92736	1.81883	0.02510166	0.215531	0.298371	0.234852	0.251247
21	0	-4681.89	-4678.04	-3.85276	1.734661	0.02510166	0.210848	0.295608	0.244624	0.24892
22	0	-4682.2	-4678.68	-3.51668	1.623574	0.02744501	0.210014	0.294439	0.243657	0.25189
23	0	-4682.36	-4678.47	-3.88909	2.048792	0.02744501	0.200747	0.29894	0.246	0.254313
24	0	-4681.11	-4677.71	-3.39792	1.887819	0.03157461	0.215715	0.293341	0.241393	0.24955
25	0	-4681.11	-4677.7	-3.40133	1.891762	0.03157461	0.215715	0.293341	0.241393	0.24955
26	0	-4681.5	-4677.94	-3.55381	2.07118	0.03157461	0.215715	0.293341	0.241393	0.24955
27	0	-4683.15	-4679.53	-3.61738	2.147962	0.03157461	0.216604	0.309384	0.223434	0.250578
28	0	-4683.04	-4679.18	-3.85628	1.965964	0.02705543	0.216039	0.308576	0.222135	0.25325
29	0	-4687.56	-4684.24	-3.31597	1.75113	0.03108945	0.201207	0.287392	0.275538	0.235864
30	0	-4686.03	-4682.4	-3.62178	2.107059	0.03108945	0.207459	0.285142	0.273381	0.234017
31	0	-4681.47	-4677.9	-3.57033	2.045331	0.03108945	0.211381	0.298094	0.252085	0.238441
32	0	-4681.49	-4677.96	-3.52483	1.991381	0.03108945	0.207357	0.292419	0.254196	0.246029
33	0	-4681.63	-4678.22	-3.40414	1.851105	0.03108945	0.208151	0.293539	0.25517	0.243139
34	0	-4681.51	-4677.96	-3.54766	2.018375	0.03108945	0.211171	0.29242	0.254197	0.242212
35	0	-4681.4	-4677.89	-3.51183	1.976074	0.03108945	0.211705	0.292222	0.254024	0.242048
36	0	-4680.95	-4677.37	-3.58224	1.85966	0.02904206	0.211705	0.292222	0.254024	0.242048
37	0	-4681.65	-4677.91	-3.74455	2.10893	0.02961523	0.209276	0.288869	0.25111	0.250746
38	0	-4683.68	-4679.76	-3.92528	2.332142	0.02961523	0.213891	0.294809	0.251624	0.239676
39	0	-4681.38	-4677.66	-3.71368	2.071792	0.02961523	0.213891	0.294809	0.251624	0.239676
40	0	-4681.34	-4677.92	-3.41896	1.730722	0.02961523	0.213891	0.294809	0.251624	0.239676
41	0	-4683.12	-4679.37	-3.75171	2.117585	0.02961523	0.221775	0.291852	0.2491	0.237273
42	0	-4682.31	-4678.79	-3.52806	1.854207	0.02961523	0.225338	0.296542	0.237034	0.241085
43	0	-4685.38	-4681.04	-4.33901	1.994457	0.02282261	0.222405	0.292682	0.246965	0.237948
44	0	-4681.7	-4677.87	-3.83272	1.883104	0.0265673	0.219995	0.30157	0.243067	0.235369
45	0	-4681.24	-4677.46	-3.77794	1.946342	0.02770441	0.208403	0.292893	0.240321	0.258383
46	0	-4680.79	-4677.31	-3.47956	1.960148	0.03132591	0.211318	0.293978	0.246859	0.247845
47	0	-4681.51	-4678.02	-3.48776	1.969757	0.03132591	0.214894	0.28887	0.249118	0.247118
48	0	-4681.4	-4677.7	-3.69885	1.736271	0.02661391	0.214192	0.29683	0.250316	0.238662
49	0	-4682.1	-4678.29	-3.80155	1.86652	0.02673751	0.22064	0.301118	0.245908	0.232334
50	0	-4681.34	-4677.61	-3.73509	1.900781	0.02774367	0.215833	0.302975	0.247424	0.233767
51	0	-4681.8	-4678.33	-3.46285	1.709683	0.02889021	0.215833	0.302975	0.247424	0.233767
52	0	-4682.55	-4678.44	-4.10897	1.936428	0.02437305	0.208469	0.303522	0.241526	0.246483
