Iteration	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
0	-10923.1	-10923.6	0.472686	0.7338639	0.7384395	0.0295403	0.650624	0.00173974	0.318096
10	-4770.27	-4767.82	-2.44898	2.074546	0.05218946	0.223713	0.232436	0.362918	0.180934
20	-4713.49	-4710.97	-2.52288	2.093694	0.0506745	0.184469	0.310923	0.266863	0.237745
30	-4686.32	-4682.27	-4.05364	2.21592	0.02716341	0.206723	0.30729	0.219561	0.266427
40	-4687.55	-4683.78	-3.77292	1.881104	0.02716341	0.219398	0.326131	0.233023	0.221448
50	-4682.54	-4678.6	-3.93328	2.069557	0.02716341	0.203604	0.302655	0.234444	0.259297
60	-4681.89	-4678.12	-3.77029	1.878073	0.02716341	0.217053	0.28452	0.254667	0.24376
70	-4681.74	-4677.81	-3.92737	2.06249	0.02716341	0.210927	0.304714	0.247479	0.23688
80	-4681.9	-4678.35	-3.55437	1.635474	0.02716341	0.213511	0.294457	0.25051	0.241522
90	-4682.86	-4678.96	-3.89727	2.026609	0.02716341	0.216698	0.298853	0.25425	0.230199
100	-4684.98	-4681.43	-3.555	1.636172	0.02716341	0.206448	0.284716	0.242223	0.266613
110	-4683.33	-4679.53	-3.8025	1.915329	0.02716341	0.206323	0.285147	0.242078	0.266452
120	-4680.59	-4676.79	-3.79378	1.90522	0.02716341	0.213337	0.29484	0.241165	0.250658
130	-4680.61	-4676.8	-3.81123	1.925477	0.02716341	0.213337	0.29484	0.241165	0.250658
140	-4681.02	-4677.1	-3.91162	2.043672	0.02716341	0.213337	0.29484	0.241165	0.250658
150	-4684.21	-4680.67	-3.539	1.618653	0.02716341	0.22803	0.289333	0.23666	0.245977
160	-4684.71	-4681.31	-3.40544	1.474811	0.02716341	0.216867	0.297744	0.251453	0.233935
170	-4682.18	-4678.48	-3.69916	1.796814	0.02716341	0.209308	0.287366	0.242688	0.260638
180	-4681.22	-4677.48	-3.74203	1.845626	0.02716341	0.207834	0.294928	0.24098	0.256259
190	-4682.73	-4678.83	-3.90848	2.039935	0.02716341	0.208847	0.313919	0.242154	0.235079
