Iteration	Posterior	Likelihood	Prior	kappa	omega	pi[1]	pi[2]	pi[3]	pi[4]
610	-4684.96	-4681.46	-3.4999	1.947147	0.03092954	0.210919	0.277464	0.27074	0.240878
620	-4681.89	-4678.46	-3.43021	1.695666	0.02911884	0.222324	0.29809	0.236553	0.243033
630	-4682.23	-4678.26	-3.97222	1.935224	0.02563472	0.217909	0.29217	0.236086	0.253836
640	-4681.79	-4677.92	-3.86753	1.814701	0.02563472	0.213633	0.304	0.232445	0.249922
650	-4682.9	-4678.86	-4.03573	2.009822	0.02563472	0.215003	0.30595	0.246771	0.232276
660	-4680.93	-4677.4	-3.53431	1.839876	0.02939568	0.212043	0.293609	0.253191	0.241158
670	-4681.99	-4678.66	-3.33379	1.712136	0.03043607	0.209601	0.294519	0.253976	0.241905
680	-4681.56	-4677.87	-3.68856	1.778175	0.02710211	0.215708	0.303101	0.247123	0.234068
690	-4681.54	-4678.03	-3.50893	2.001119	0.03139543	0.210498	0.295779	0.253961	0.239762
700	-4682.8	-4678.72	-4.08131	2.187539	0.02664168	0.206799	0.290582	0.249498	0.253121
710	-4681.07	-4677.15	-3.91443	2.089396	0.02753564	0.210297	0.295498	0.242726	0.251479
720	-4682.27	-4678.52	-3.75428	1.791025	0.02654538	0.219417	0.293565	0.231871	0.255147
730	-4682.35	-4678.69	-3.65874	1.684097	0.02654538	0.212704	0.284583	0.253241	0.249473
740	-4680.68	-4677.11	-3.5757	1.907583	0.0295995	0.215452	0.2958	0.236312	0.252436
750	-4686.13	-4682.22	-3.90917	1.747973	0.02469006	0.200745	0.293365	0.238935	0.266955
760	-4682.44	-4678.85	-3.58468	2.124908	0.03175178	0.202477	0.309018	0.233281	0.255224
770	-4680.54	-4676.99	-3.55005	1.834553	0.02915969	0.20796	0.300362	0.243603	0.248075
780	-4682.58	-4678.83	-3.7492	1.844341	0.02707709	0.216287	0.28421	0.239838	0.259665
790	-4682.59	-4678.83	-3.76114	1.858013	0.02707709	0.220803	0.291752	0.231309	0.256136
800	-4681.57	-4677.83	-3.74507	1.918045	0.02779646	0.218683	0.306934	0.229087	0.245295
810	-4681.3	-4677.37	-3.93011	2.137847	0.02779646	0.21255	0.295981	0.241415	0.250054
820	-4682.72	-4678.89	-3.83092	1.970476	0.02736053	0.218314	0.284042	0.24081	0.256835
830	-4681.87	-4678.24	-3.62406	1.880303	0.02877082	0.216147	0.291205	0.257431	0.235218
840	-4681.56	-4677.83	-3.73614	1.992231	0.02859012	0.211115	0.292055	0.236127	0.260702
850	-4681.17	-4677.22	-3.9494	1.90116	0.02557223	0.214219	0.296348	0.241989	0.247444
860	-4684.95	-4681.69	-3.26226	1.904923	0.03359617	0.224684	0.305964	0.221962	0.247391
870	-4682.8	-4678.99	-3.8132	2.027071	0.02806395	0.200618	0.308698	0.247507	0.243177
880	-4680.67	-4677.16	-3.50847	1.953063	0.03088578	0.214343	0.296582	0.238074	0.251001
890	-4681.87	-4678.12	-3.75009	1.908314	0.0276527	0.207491	0.296317	0.257653	0.23854
900	-4681.12	-4677.69	-3.42888	1.773262	0.02994667	0.214807	0.289977	0.245782	0.249433
910	-4683.26	-4679.14	-4.11443	2.230598	0.02666013	0.209272	0.311034	0.23347	0.246224
920	-4682.18	-4678.87	-3.31016	1.867512	0.03249493	0.220383	0.296786	0.234997	0.247835
930	-4682.76	-4679.51	-3.2548	1.82868	0.0327838	0.204012	0.311571	0.238488	0.245928
940	-4682.04	-4678.67	-3.3703	1.747022	0.03037158	0.214876	0.312165	0.236326	0.236634
950	-4683.28	-4679.92	-3.35441	1.550573	0.02847582	0.220867	0.302209	0.233691	0.243232
960	-4680.77	-4676.99	-3.77616	2.027476	0.02847582	0.208413	0.30631	0.236862	0.248415
970	-4681.95	-4678.11	-3.84176	1.900564	0.02662877	0.210431	0.309276	0.229471	0.250821
980	-4683.88	-4680.26	-3.61714	1.865335	0.02870226	0.224822	0.302081	0.247774	0.225323
990	-4690.27	-4687.24	-3.02643	1.860106	0.03653136	0.215242	0.332589	0.222413	0.229757
1000	-4681.45	-4678.2	-3.25605	1.782235	0.03221897	0.212117	0.301626	0.235959	0.250299
1010	-4681.72	-4677.85	-3.87244	2.00034	0.02719112	0.208968	0.299739	0.232455	0.258838
1020	-4686.6	-4682.95	-3.64849	1.549297	0.02543558	0.210732	0.317794	0.232307	0.239167
1030	-4684.39	-4680.7	-3.69434	1.670527	0.02606804	0.22544	0.300914	0.224425	0.249221
1040	-4683.98	-4680.29	-3.69591	1.912293	0.02827792	0.219198	0.310731	0.217619	0.252452
1050	-4681.26	-4677.6	-3.65644	1.866717	0.02827792	0.210742	0.290187	0.256357	0.242713
1060	-4681.65	-4677.71	-3.93789	2.055325	0.02699212	0.217251	0.29791	0.23463	0.250209
1070	-4681.07	-4677.49	-3.57943	2.057866	0.03110703	0.214576	0.29833	0.245597	0.241498
1080	-4682.13	-4678.42	-3.71652	2.17547	0.03061072	0.202813	0.296636	0.243679	0.256872
1090	-4684.34	-4680.38	-3.95776	2.302149	0.02896372	0.219203	0.28795	0.243497	0.24935
1100	-4683.2	-4679.4	-3.79982	2.344831	0.03126995	0.207044	0.297054	0.23818	0.257723
1110	-4681.88	-4678.55	-3.32782	1.70579	0.0304393	0.215605	0.292956	0.237327	0.254111
1120	-4689.52	-4686.52	-3.00812	1.932045	0.03783764	0.228751	0.292717	0.23971	0.238821
1130	-4681.97	-4678.24	-3.72589	1.723074	0.02622422	0.217231	0.286147	0.251256	0.245366
1140	-4684.41	-4680.53	-3.8842	2.452399	0.03126617	0.206386	0.294381	0.246806	0.252426
1150	-4683.4	-4679.75	-3.6553	2.124997	0.03085562	0.210469	0.320073	0.225753	0.243706
1160	-4683.39	-4679.36	-4.02455	1.952468	0.02527673	0.202767	0.301386	0.237266	0.258582
1170	-4683.7	-4680.33	-3.36477	1.856162	0.03164718	0.220729	0.309869	0.220125	0.249277
1180	-4681.37	-4677.75	-3.6125	2.149691	0.03165576	0.209588	0.297276	0.245895	0.247241
1190	-4682.25	-4679.04	-3.20464	1.847207	0.03370161	0.211709	0.300285	0.248384	0.239622
1200	-4683.23	-4679.61	-3.62605	1.66537	0.02670498	0.205985	0.290877	0.257952	0.245186
1210	-4685.46	-4682	-3.45787	1.911615	0.03107379	0.213562	0.312847	0.252737	0.220855
1220	-4681.71	-4678.1	-3.60323	1.934339	0.02954659	0.208244	0.286923	0.245744	0.259088
1230	-4681.01	-4677.37	-3.64425	1.917982	0.02891098	0.213724	0.307365	0.229461	0.24945
1240	-4680.9	-4677.22	-3.6814	1.898071	0.02830255	0.210648	0.302516	0.249024	0.237812
1250	-4681.93	-4678.3	-3.63018	2.035447	0.03024832	0.209999	0.295312	0.232171	0.262519
1260	-4681.62	-4677.81	-3.80805	2.2187	0.02992769	0.209208	0.296687	0.24138	0.252726
1270	-4682.12	-4678.26	-3.85847	2.204778	0.02920405	0.216492	0.294015	0.242486	0.247008
1280	-4682.36	-4678.9	-3.45675	1.695886	0.02881858	0.210593	0.312048	0.238905	0.238453
1290	-4681.33	-4677.66	-3.66442	1.827582	0.02781844	0.20647	0.291656	0.24844	0.253435
1300	-4680.49	-4677	-3.48937	1.794338	0.0294529	0.210973	0.302281	0.241299	0.245447
1310	-4683.46	-4680.21	-3.25142	1.698839	0.03131327	0.207811	0.296972	0.258301	0.236916
1320	-4681.14	-4677.45	-3.6906	2.010285	0.02928224	0.209592	0.29544	0.253974	0.240994
1330	-4682.04	-4678.41	-3.62462	1.742998	0.0274444	0.2063	0.293754	0.255051	0.244895
1340	-4682.4	-4678.57	-3.83504	1.947389	0.02711124	0.213119	0.284809	0.241475	0.260597
1350	-4682.04	-4678.54	-3.50119	1.896958	0.03038104	0.213352	0.306265	0.224365	0.256018
1360	-4687.19	-4684.2	-2.99239	1.790725	0.03611031	0.21035	0.298767	0.26153	0.229353
1370	-4685.62	-4682.53	-3.09619	1.818019	0.03489958	0.201928	0.314803	0.2455	0.237769
1380	-4683.18	-4679.44	-3.73961	1.901178	0.02769897	0.200606	0.310166	0.247007	0.242221
1390	-4685.7	-4682.18	-3.52298	1.997592	0.03117914	0.210078	0.273981	0.248922	0.267019
1400	-4682.26	-4678.88	-3.37991	1.929591	0.03228042	0.202119	0.299778	0.240105	0.257999
1410	-4681.78	-4677.96	-3.82272	1.903315	0.02684721	0.215291	0.290898	0.235943	0.257869
1420	-4681.94	-4678.19	-3.75493	2.208086	0.03046526	0.208895	0.292996	0.249553	0.248556
1430	-4681.01	-4677.52	-3.48409	1.83894	0.02997835	0.217577	0.306388	0.236964	0.239071
1440	-4681.74	-4678.13	-3.60913	1.725231	0.02744022	0.210992	0.294547	0.255165	0.239295
1450	-4682.28	-4678.79	-3.49557	2.008828	0.03165038	0.206156	0.307677	0.250004	0.236163
1460	-4683.13	-4679.56	-3.56228	2.093824	0.03170851	0.203265	0.311009	0.248884	0.236842
1470	-4685.62	-4682.11	-3.50269	1.752617	0.028874	0.227975	0.289951	0.224997	0.257077
1480	-4682.9	-4679.39	-3.51887	1.756408	0.02872924	0.219593	0.306102	0.222625	0.25168
1490	-4683.11	-4679.88	-3.22264	1.765045	0.0324605	0.21763	0.288897	0.237657	0.255816
1500	-4682.99	-4679.48	-3.51092	1.975751	0.03109741	0.218389	0.286066	0.257256	0.238289
1510	-4683.11	-4679.19	-3.92132	2.238291	0.0287963	0.209042	0.315366	0.231803	0.243789
1520	-4682.1	-4678.16	-3.94661	2.266599	0.02876783	0.212893	0.299708	0.240772	0.246626
1530	-4680.92	-4677.47	-3.44721	1.961459	0.03175566	0.210695	0.307269	0.233734	0.248302
1540	-4683.4	-4680.02	-3.38661	1.928734	0.03218206	0.206708	0.28643	0.262747	0.244115
1550	-4680.38	-4676.61	-3.77446	1.989218	0.0281377	0.212757	0.300664	0.242918	0.243661
1560	-4683.75	-4679.55	-4.19742	1.957932	0.02375502	0.217677	0.294557	0.251916	0.235851
1570	-4685.8	-4682.2	-3.60037	1.873928	0.02897685	0.203112	0.326681	0.231423	0.238785
1580	-4682.11	-4678.05	-4.05393	2.112355	0.02629611	0.210199	0.305862	0.233931	0.250008
1590	-4682.78	-4679.51	-3.27588	1.813813	0.03232561	0.220535	0.309861	0.233654	0.23595
1600	-4684.39	-4681.2	-3.1897	1.655975	0.03160698	0.226521	0.290765	0.241848	0.240866
1610	-4683.37	-4679.69	-3.67467	2.182392	0.03120343	0.201936	0.314109	0.23034	0.253615
1620	-4680.54	-4676.82	-3.71513	1.954235	0.02846363	0.207443	0.299552	0.240692	0.252313
1630	-4682.16	-4678.56	-3.59844	1.970697	0.02997114	0.221878	0.307302	0.234486	0.236334
1640	-4683.56	-4680.22	-3.33724	1.641054	0.02962403	0.209428	0.291186	0.236788	0.262598
1650	-4684.11	-4680.61	-3.50843	1.914715	0.0304798	0.227532	0.297959	0.226583	0.247926
1660	-4683.52	-4679.78	-3.74399	1.743042	0.02622174	0.227038	0.29948	0.241311	0.232171
1670	-4681.44	-4677.91	-3.52819	1.856562	0.0296378	0.206142	0.31099	0.238381	0.244487
1680	-4681.61	-4677.61	-4.00548	2.106442	0.02673524	0.209421	0.300802	0.247077	0.2427
1690	-4684.98	-4681.49	-3.4897	2.212541	0.0340201	0.19978	0.315864	0.229457	0.254899
1700	-4682.69	-4679.17	-3.52312	1.836378	0.02949049	0.202251	0.288682	0.253389	0.255678
1710	-4680.51	-4676.86	-3.65206	1.983221	0.02946365	0.209517	0.306316	0.240995	0.243173
1720	-4681.03	-4677.18	-3.84759	1.883472	0.02642081	0.212651	0.292717	0.250595	0.244036
1730	-4685.1	-4681.74	-3.3553	1.557049	0.02853287	0.209829	0.287722	0.265296	0.237153
1740	-4681.58	-4678.16	-3.42001	1.778427	0.0301078	0.204653	0.300316	0.243039	0.251993
