Iteration	Replicate_ID	Posterior	Likelihood	Prior	diversification[1]	diversification[2]	extinction[1]	extinction[2]	rate_category_prior[1]	rate_category_prior[2]	speciation[1]	speciation[2]	transition_rates[1]	transition_rates[2]
38	0	-1733.441	-1740.789	7.347689	0.19168	0.0343918	1.15583e-05	11.1238	0.646395	0.353605	0.191691	11.1582	0.0153822	0.000981834
39	1	-2080.974	-2101.297	20.32316	1.84635e-05	0.0306336	3.32148e-06	0.128379	0.217181	0.782819	2.1785e-05	0.159013	0.00940581	0.0416604
40	0	-1729.826	-1737.519	7.692785	0.196706	0.0343918	1.15375e-05	11.1238	0.421677	0.578323	0.196718	11.1582	0.0133604	0.000891904
41	1	-2070.98	-2091.341	20.36085	1.62697e-05	0.0455272	2.99046e-06	0.113486	0.217181	0.782819	1.92602e-05	0.159013	0.0100541	0.042807
42	0	-1728.764	-1736.529	7.76589	0.215734	0.0343918	1.13599e-05	11.1238	0.577893	0.422107	0.215745	11.1582	0.0125419	0.000852828
43	1	-2041.556	-2061.314	19.75831	1.39604e-05	0.0772585	3.13669e-06	0.114338	0.217181	0.782819	1.70971e-05	0.191596	0.010955	0.044652
44	0	-1728.741	-1736.615	7.874087	0.237009	0.0343918	1.14291e-05	11.1238	0.577893	0.422107	0.237021	11.1582	0.0114029	0.000800174
45	1	-2039.192	-2059.007	19.81506	1.39944e-05	0.08044	2.8908e-06	0.111156	0.217181	0.782819	1.68852e-05	0.191596	0.0107127	0.0452693
46	0	-1722.307	-1730.33	8.022407	0.221946	0.0343918	8.84949e-06	11.1238	0.0480506	0.951949	0.221955	11.1582	0.0125121	0.000681441
47	1	-2036.441	-2056.061	19.61999	1.56379e-05	0.0924304	3.2308e-06	0.0991659	0.227014	0.772986	1.88687e-05	0.191596	0.0111702	0.0453092
48	0	-1714.433	-1722.756	8.323246	0.206598	0.0343918	8.84949e-06	11.1238	0.0480506	0.951949	0.206607	11.1582	0.011419	0.000463621
49	1	-2020.534	-2039.082	18.54855	1.66564e-05	0.107773	3.32512e-06	0.0838231	0.145471	0.854529	1.99815e-05	0.191596	0.0122336	0.0508436
50	0	-1714.333	-1722.844	8.511674	0.20587	0.0343918	9.2912e-06	11.1238	0.0480506	0.951949	0.205879	11.1582	0.0100828	0.000463621
51	1	-2014.715	-2032.956	18.24118	1.61477e-05	0.114719	3.21256e-06	0.0877492	0.145471	0.854529	1.93602e-05	0.202468	0.0129466	0.0516889
52	0	-1718.065	-1726.17	8.104483	0.246529	0.0343918	8.75441e-06	11.1238	0.0480506	0.951949	0.246538	11.1582	0.0117004	0.000484693
53	1	-2005.087	-2022.638	17.55034	1.95702e-05	0.131116	2.91026e-06	0.109083	0.145471	0.854529	2.24805e-05	0.240199	0.0142793	0.0517962
54	0	-1717.284	-1725.363	8.07901	0.231784	0.0343918	8.32218e-06	11.1238	0.0480506	0.951949	0.231793	11.1582	0.0124589	0.000514213
55	1	-1996.397	-2013.288	16.89072	1.91477e-05	0.140939	2.94644e-06	0.120822	0.247078	0.752922	2.20942e-05	0.261761	0.0142793	0.0545213
56	0	-1716.895	-1724.595	7.700436	0.230538	0.0343918	8.55021e-06	11.1238	0.0480506	0.951949	0.230546	11.1582	0.0145141	0.000500732
57	1	-1996.399	-2013.182	16.78256	2.05046e-05	0.142906	3.23983e-06	0.117877	0.0926069	0.907393	2.37444e-05	0.260783	0.0141056	0.0545213
58	0	-1716.517	-1724.301	7.78466	0.196242	0.0343918	8.64647e-06	11.1238	0.0480506	0.951949	0.196251	11.1582	0.0148896	0.000500732
59	1	-1995.911	-2012.39	16.47926	2.26125e-05	0.154424	3.18209e-06	0.106359	0.25824	0.74176	2.57946e-05	0.260783	0.0157269	0.0548522
