G,N,K,O,M,H,Z
nan,1.30352207483603,nan,nan,nan,nan,0
-1.30352207483603,nan,nan,nan,nan,nan,0
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan
0,0,nan,nan,nan,nan,nan
