Iteration	Posterior	Likelihood	Prior	extirpation_rate	log10_rate_bg	rate_bg
830	-56.6844	-53.5505	-3.13385	1.57071	-0.7815633	0.1653624
840	-57.069	-55.0399	-2.02916	0.9867566	-0.994998	0.1011584
850	-56.2769	-54.1461	-2.13073	1.052465	-0.6520106	0.2228381
860	-56.4923	-54.2352	-2.25708	1.127202	-0.8817226	0.1313038
870	-57.2037	-53.263	-3.94074	1.949158	-0.7563487	0.1752473
880	-56.4717	-53.5828	-2.88893	1.453234	-0.6822379	0.2078558
890	-58.9391	-53.809	-5.13014	2.513426	-0.4491745	0.3554885
900	-56.7517	-54.7382	-2.0135	0.9759673	-0.5752245	0.265935
910	-56.9095	-54.9701	-1.93939	0.9213793	-0.5615216	0.2744596
920	-56.11	-54.2063	-1.90369	0.8921728	-0.7117088	0.1942187
930	-57.6538	-53.4393	-4.21445	2.077355	-0.5545992	0.2788694
940	-59.3503	-53.9697	-5.38059	2.635487	-0.9322447	0.1168841
950	-56.3201	-54.5525	-1.76756	0.685916	-0.710558	0.1947341
960	-56.2836	-53.7846	-2.49896	1.258266	-0.7792884	0.1662308
970	-56.1327	-54.2051	-1.92758	0.9119816	-0.6991313	0.1999257
980	-58.0225	-54.1694	-3.85314	1.908223	-0.9339071	0.1164375
990	-57.8839	-53.0565	-4.82736	2.367638	-0.5991701	0.2516691
1000	-56.7301	-54.3226	-2.40756	1.210083	-0.5748009	0.2661945
1010	-56.8598	-53.6856	-3.17424	1.589877	-0.599345	0.2515678
1020	-56.1632	-53.8631	-2.30013	1.151461	-0.7636585	0.1723223
1030	-58.6368	-55.3532	-3.28353	1.641526	-1.060036	0.08708905
1040	-56.4673	-54.4249	-2.04241	0.9957227	-0.614621	0.2428728
1050	-57.09	-53.4113	-3.67865	1.82672	-0.7867405	0.1634028
1060	-59.2272	-56.9257	-2.30152	0.4099563	-1.170332	0.06755664
1070	-56.1528	-54.1962	-1.95656	0.934652	-0.6895514	0.2043848
1080	-56.1996	-54.1424	-2.05723	1.005595	-0.6722705	0.2126814
1090	-56.1591	-54.2091	-1.95004	0.9296601	-0.6877279	0.2052448
1100	-58.0552	-55.1185	-2.93663	0.3199623	-0.7840522	0.1644174
1110	-57.3324	-54.9341	-2.39828	0.3919681	-0.8359673	0.1458924
1120	-57.3959	-53.2042	-4.19174	2.066699	-0.7568387	0.1750497
1130	-57.1662	-54.4703	-2.69586	1.358373	-0.9444104	0.1136553
1140	-56.1267	-54.285	-1.84171	0.8332318	-0.818017	0.1520488
1150	-62.0299	-59.4301	-2.59978	1.310053	-1.386213	0.0410948
1160	-56.3532	-54.5655	-1.78768	0.7598188	-0.8854572	0.1301796
1170	-56.6704	-54.5345	-2.1359	1.055647	-0.9274549	0.1181803
1180	-56.986	-55.2123	-1.7737	0.6502168	-0.9877318	0.1028651
1190	-60.7997	-52.5227	-8.27693	4.174841	-0.5442611	0.2855873
1200	-56.6464	-54.1292	-2.51716	1.267712	-0.8798326	0.1318765
1210	-56.8274	-53.4234	-3.40397	1.698166	-0.7626883	0.1727077
1220	-57.8594	-53.4452	-4.41421	2.171374	-0.8327693	0.1469707
1230	-56.9892	-54.3278	-2.66141	1.341153	-0.9218556	0.1197139
1240	-58.3474	-55.98	-2.3674	1.188455	-0.4239123	0.3767799
1250	-58.6835	-56.2633	-2.42027	1.216866	-1.135895	0.07313153
1260	-56.0644	-54.1602	-1.90425	0.8926502	-0.7469024	0.1791008
1270	-56.1226	-53.9763	-2.14633	1.062039	-0.7098712	0.1950423
1280	-56.1651	-53.8773	-2.28774	1.144532	-0.7086067	0.195611
1290	-56.5527	-54.7683	-1.78446	0.6269113	-0.6852548	0.2064169
1300	-58.001	-53.3039	-4.6971	2.305456	-0.813199	0.153745
1310	-59.7017	-52.7776	-6.92414	3.42365	-0.533599	0.2926854
1320	-59.6616	-52.8896	-6.77203	3.34293	-0.7805625	0.1657439
1330	-58.3139	-56.5463	-1.76756	0.6891054	-0.4850052	0.3273368
1340	-60.7805	-52.4121	-8.36842	4.227921	-0.6624193	0.2175608
1350	-59.3791	-52.7083	-6.67075	3.289574	-0.5684823	0.2700957
1360	-58.0845	-52.877	-5.20752	2.550993	-0.6439154	0.2270307
1370	-56.5326	-53.5487	-2.98389	1.499082	-0.7552899	0.175675
1380	-57.4306	-53.2281	-4.20252	2.071759	-0.6076234	0.2468179
1390	-57.6106	-55.0359	-2.57476	1.297319	-1.013202	0.09700586
1400	-56.551	-53.8602	-2.69086	1.355882	-0.8328215	0.146953
1410	-56.8309	-53.6871	-3.14384	1.575454	-0.8244419	0.149816
1420	-56.9302	-55.0587	-1.87148	0.5471933	-0.9465617	0.1130937
1430	-56.6109	-53.4658	-3.14512	1.576065	-0.7347611	0.1841785
1440	-57.6681	-54.3321	-3.33592	1.666195	-0.9440473	0.1137503
1450	-56.4903	-53.5734	-2.91684	1.466758	-0.755143	0.1757345
1460	-58.4591	-54.1615	-4.29763	2.116448	-0.9412037	0.1144976
1470	-57.781	-53.9178	-3.86317	1.91291	-0.5042316	0.3131615
1480	-56.7039	-53.4606	-3.2433	1.622545	-0.6608769	0.2183349
1490	-56.1372	-53.8738	-2.26341	1.130801	-0.7436109	0.1804634
1500	-56.6857	-54.8513	-1.83435	0.8251034	-0.9524506	0.1115705
1510	-57.4938	-55.1445	-2.34931	0.4007848	-0.9302044	0.1174345
1520	-57.7397	-53.5247	-4.21498	2.077605	-0.8415472	0.1440299
