Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
410	-51.9791	-46.2427	-5.73645	0.573258	0.426742	0.01748028	3.16389	1.65154	0.41019	0	0.7952749	0.4267421	0.5732579	8.453258
420	-53.0454	-46.5963	-6.44913	0.00644015	0.99356	0.01880713	2.65518	1.40849	0.475503	0	1.386914	0.9935598	0.006440151	6.712561
430	-54.8522	-48.559	-6.29321	0.58139	0.41861	0.02069197	2.45534	1.34991	0.594444	0	1.477884	0.41861	0.58139	4.766337
440	-53.0723	-46.7079	-6.36442	0.105149	0.894851	0.01965081	2.24338	1.30843	0.571133	0	0.3927268	0.8948505	0.1051495	8.83496
450	-51.975	-46.3106	-5.66441	0.615114	0.384886	0.01782249	3.65781	1.41977	0.646356	0	1.155351	0.3848856	0.6151144	4.785252
460	-55.6193	-49.4868	-6.1325	0.0842671	0.915733	0.02942963	2.94185	1.44199	0.361302	0	0.7749395	0.9157329	0.08426712	12.73531
470	-52.9464	-47.1182	-5.82816	0.933593	0.0664073	0.0126464	2.62135	1.3133	0.518097	0	1.359762	0.06640727	0.9335927	3.810491
480	-53.046	-46.2231	-6.82285	0.819517	0.180483	0.03013696	3.49246	1.62733	0.355014	0	0.5926489	0.1804831	0.8195169	25.01913
490	-52.9211	-46.1981	-6.72301	0.329547	0.670453	0.02790756	3.16806	1.36208	0.435728	0	0.7834379	0.6704534	0.3295466	22.86056
500	-53.9209	-46.7257	-7.19518	0.643445	0.356555	0.0310519	3.3858	1.32335	0.613365	0	0.3942568	0.3565551	0.6434449	20.45341
510	-51.6869	-45.9399	-5.74701	0.806019	0.193981	0.02247715	3.61954	1.52155	0.665327	0	0.7166907	0.1939814	0.8060186	8.883417
520	-51.406	-45.4561	-5.94982	0.696657	0.303343	0.02084522	3.62565	1.4371	0.67442	0	0.5986782	0.303343	0.696657	10.51081
530	-52.2856	-46.5946	-5.69102	0.630442	0.369558	0.0204391	2.59989	1.32078	0.595323	0	0.5176691	0.3695582	0.6304418	7.17823
540	-54.913	-47.8256	-7.08738	0.871814	0.128186	0.03378518	3.15496	1.60695	0.613172	0	0.433934	0.1281862	0.8718138	22.31187
550	-51.5687	-45.5206	-6.04815	0.115974	0.884026	0.02107778	2.99915	1.65276	0.633025	0	0.7552206	0.8840255	0.1159745	11.83515
560	-53.6451	-47.5038	-6.14127	0.743025	0.256975	0.02879419	3.587	1.77913	0.508727	0	0.754085	0.2569748	0.7430252	12.99744
570	-52.9031	-46.0327	-6.87043	0.286971	0.713029	0.02130243	2.89867	1.7945	0.515833	0	1.342564	0.7130287	0.2869713	11.18347
580	-53.0665	-47.6002	-5.46632	0.902301	0.0976995	0.01696043	2.66765	1.35893	0.392504	0	0.5652446	0.09769948	0.9023005	6.237453
590	-52.7161	-46.1177	-6.59843	0.781255	0.218745	0.02404674	3.39717	1.33506	0.589779	0	0.6307499	0.2187449	0.7812551	20.58124
600	-53.5088	-46.966	-6.54278	0.154685	0.845315	0.0184306	2.63262	1.49257	0.663222	0	0.4468206	0.8453151	0.1546849	13.63499
610	-52.2994	-46.263	-6.03642	0.714857	0.285143	0.02333278	2.22157	1.70606	0.627073	0	0.5082691	0.2851433	0.7148567	9.92458
620	-52.7783	-46.0776	-6.70067	0.969316	0.0306838	0.02598594	3.12274	1.67443	0.543128	0	0.7153806	0.03068379	0.9693162	23.0611
630	-51.3715	-46.1684	-5.20306	0.508077	0.491923	0.01675545	3.15479	1.5838	0.591791	0	0.5996469	0.4919231	0.5080769	4.98551
640	-52.3534	-46.1493	-6.20415	0.89614	0.10386	0.02060553	2.9382	1.38675	0.663365	0	0.6897351	0.1038605	0.8961395	14.08087
650	-53.7954	-46.892	-6.90336	0.606341	0.393659	0.02544788	3.52465	1.60618	0.360669	0	0.9196139	0.393659	0.606341	23.9139
660	-52.9559	-47.0634	-5.89244	0.0789718	0.921028	0.01322517	2.85273	1.45265	0.466873	0	1.44141	0.9210282	0.07897183	3.442127
670	-53.5309	-47.5682	-5.96275	0.405505	0.594495	0.01536149	3.28609	1.51762	0.692129	0	0.877996	0.5944948	0.4055052	9.810932
680	-52.2735	-45.6048	-6.66875	0.317465	0.682535	0.02563556	3.41272	1.31384	0.653505	0	0.5130991	0.6825345	0.3174655	18.8889
690	-52.486	-46.486	-5.99991	0.81587	0.18413	0.0167619	2.86805	1.41585	0.401147	0	1.148696	0.1841302	0.8158698	6.773217
700	-52.6272	-46.6462	-5.98106	0.847631	0.152369	0.02404953	2.73157	1.32935	0.444885	0	0.632955	0.1523693	0.8476307	11.1138
710	-52.5995	-46.4611	-6.13842	0.163533	0.836467	0.01818803	2.68881	1.52191	0.527175	0	0.4127239	0.8364674	0.1635326	7.837832
720	-52.733	-47.3247	-5.40822	0.467282	0.532718	0.01282342	2.60021	1.65697	0.618507	0	0.7241374	0.5327183	0.4672817	6.31835
730	-52.4787	-45.9016	-6.57709	0.760002	0.239998	0.02469548	3.32004	1.77936	0.533429	0	0.9357738	0.2399975	0.7600025	16.8996
740	-60.5746	-53.5556	-7.01898	0.773098	0.226902	0.04035891	3.07179	1.73308	0.567503	0	0.4253574	0.2269017	0.7730983	20.06962
750	-57.2181	-49.123	-8.09511	0.0574741	0.942526	0.04337593	3.50742	1.59252	0.541506	0	0.5883132	0.9425259	0.05747407	88.89389
760	-53.9419	-46.6769	-7.26504	0.930438	0.069562	0.02898144	3.28099	1.55734	0.435001	0	0.5462442	0.06956199	0.930438	36.60626
770	-53.7544	-46.9057	-6.84868	0.589399	0.410601	0.02567795	3.60302	1.72242	0.582315	0	0.6397625	0.4106005	0.5893995	26.55189
780	-54.7057	-47.26	-7.44574	0.643603	0.356397	0.0310923	3.07612	1.63176	0.583202	0	0.5381136	0.3563968	0.6436032	43.23659
790	-52.2889	-45.5028	-6.78618	0.227842	0.772158	0.02624609	2.90063	1.73835	0.602991	0	0.4276366	0.7721583	0.2278417	16.06436
800	-53.0271	-46.9729	-6.05416	0.86902	0.13098	0.01705793	2.29115	1.45952	0.53459	0	0.4807983	0.1309796	0.8690204	9.38871
810	-53.1771	-46.2794	-6.89772	0.954635	0.0453651	0.02936547	3.68597	1.33991	0.567961	0	0.6834338	0.04536507	0.9546349	28.17257
820	-53.7986	-46.716	-7.08253	0.241672	0.758328	0.0297742	3.56474	1.49675	0.388239	0	0.7807685	0.7583279	0.2416721	32.80886
830	-54.2883	-48.8089	-5.47936	0.586364	0.413636	0.01037873	3.46035	1.49118	0.347734	0	1.074749	0.4136355	0.5863645	4.573481
