G,N,K,O,M,H,Z
0001,0500,1000,1230,1500,1600,3000
0500,0001,0534,0654,0744,0854,3000
1000,0534,0001,0145,0239,0419,3000
1230,0654,0145,0001,0059,0239,3000
1500,0744,0239,0059,0001,0082,3000
1600,0854,0419,0239,0082,0001,3000
3000,3000,3000,3000,3000,3000,0001
