Iteration	Posterior	Likelihood	Prior	age_extant	alpha_cytb	alpha_morpho	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	clock_morpho	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
100	-4213.7	-4155.53	-58.1667	16.1343	0.1979409	1.876276	0.0164161	0.035256	0.0124876	0.0203816	0.0417563	0.00633214	0.0904788	0.0371654	0.00865205	0.0200625	0.0225297	0.030999	0.0239354	0.0134624	0.00909631	0.00669167	0.0226151	0.0462686	0.000648485	0.0045906	0.0224074	0.0227576	0.0145964	0.0412746	0.0153218	0.00883853	0.0108001	0.00711308	0.00348893	0.0106063	0.00347147	0.0557856	0.0591923	0.00934431	0.026169	0.0438797	0.000776691	0.0309627	0.0011922	0.000697878	0.0146689	0.0259249	0.02117409	0.03016382	0.07666823	0.0082301	0.494818	0.00899985	0.00793781	0.465964	0.0140498	0.1325367	4	43.72337	0.6213965	0.000494383	0.0325961	0.378263	3.58865	0.278045	0.641177	1.06656	2.01422	0.318976	0.29052	0.130723	0.259781	0.209205	0.6335258
110	-4212.59	-4152.34	-60.2551	17.70473	0.222931	1.207068	0.0163826	0.0147939	0.02842	0.015812	0.0573679	0.00167472	0.031606	0.0438812	0.0109414	0.0290509	0.127349	0.0384301	0.0143516	0.0210114	0.0104612	0.0284744	0.0141411	0.0812179	0.00169541	0.0105209	0.0241696	0.0042136	0.0204304	0.0214584	0.00374134	0.0163044	0.0251779	0.00660754	0.0130785	0.013976	0.00162207	0.0357597	0.0305045	0.0116585	0.0131898	0.016975	0.00217496	0.0141126	0.00101042	0.00104832	0.0397345	0.0328638	0.01887033	0.0423584	0.01195099	0.0112191	0.54082	0.0107321	0.0117922	0.421592	0.00384518	0.1947112	4	42.55926	0.4894884	0.00108047	0.0479629	0.440827	3.51013	0.176331	0.531227	1.02733	2.26511	0.28939	0.298049	0.129802	0.282759	0.2066622	0.9421714
120	-4224.79	-4152.39	-72.3973	16.39927	0.1946176	1.312499	0.0213124	0.0436203	0.0592071	0.0184017	0.0513065	0.00550819	0.013891	0.0677028	0.0132341	0.0324158	0.0948375	0.028261	0.0199434	0.0244376	0.0113286	0.0499568	0.0222373	0.0567161	0.00592609	0.0167918	0.0133731	0.0104185	0.0314441	0.0462019	0.00674468	0.0167888	0.027458	0.0144522	0.0123158	0.0566525	0.00534925	0.0419399	0.102205	0.0453875	0.0227395	0.023431	0.00191107	0.0309451	0.00454082	0.00205105	0.0255165	0.0224847	0.02725342	0.03867383	0.04001314	0.00702317	0.482345	0.0109886	0.0042531	0.493578	0.00181212	0.1198055	4	41.42676	0.6631119	0.000438854	0.0307292	0.369465	3.59937	0.194851	0.554049	1.03721	2.21389	0.317149	0.291612	0.138836	0.252404	0.1598187	0.7496342
130	-4222.33	-4155.37	-66.9506	16.83415	0.2178289	1.611188	0.031391	0.00970851	0.0322022	0.0867753	0.0250534	0.00453358	0.0544494	0.0617215	0.0082003	0.023541	0.116516	0.0388632	0.0108236	0.0163433	0.00951735	0.054943	0.0173807	0.0570275	0.0076862	0.00569403	0.00808441	0.033464	0.0229617	0.0143256	0.00910673	0.0190308	0.0267192	0.00572648	0.0190635	0.0191466	0.00232298	0.0542818	0.0101789	0.00931131	0.0124131	0.0258193	0.00387271	0.0774707	0.00356037	0.00330776	0.0450171	0.0110814	0.02626964	0.02851169	0.02472561	0.0122592	0.487386	0.00789443	0.00865973	0.482062	0.00173798	0.1715695	4	42.25578	0.6454034	0.00093462	0.0446524	0.428571	3.52584	0.241999	0.606075	1.05633	2.09559	0.290906	0.300992	0.141164	0.266939	0.1962952	0.8740386
140	-4233.77	-4159.49	-74.283	15.89951	0.1648816	1.734179	0.0218516	0.00536568	0.0466517	0.0873901	0.117829	0.0075923	0.0690653	0.0581764	0.00996924	0.0214949	0.09834	0.0416855	0.0189266	0.0164158	0.0250046	0.0494983	0.018856	0.0631259	0.0155274	0.0110249	0.0202571	0.0159824	0.0364606	0.0123548	0.0084699	0.0150327	0.0400443	0.0181757	0.0253134	0.0360067	0.00334505	0.0722206	0.0144666	0.0125416	0.0141314	0.0578891	0.0268642	0.0211387	0.00208962	0.00555971	0.0493373	0.00982243	0.04347032	0.02707949	0.04525882	0.00446898	0.467939	0.00921455	0.00992423	0.503394	0.00505935	0.1447149	3	41.66501	0.5414687	0.000121963	0.0162795	0.286121	3.69748	0.259339	0.623401	1.06165	2.05561	0.281155	0.309571	0.153867	0.255408	0.1899738	0.7617628
150	-4220.07	-4156.78	-63.2872	16.83586	0.1865063	2.694632	0.0399265	0.0126871	0.0494299	0.0488838	0.0182273	0.0127363	0.0538491	0.0379075	0.0128358	0.0214731	0.0281024	0.0440439	0.0186422	0.0213973	0.0100525	0.0374356	0.00669389	0.0313188	0.0128723	0.00506014	0.014637	0.0448473	0.0338336	0.00958132	0.0260457	0.0196534	0.0359748	0.0508379	0.00866253	0.0317255	0.00429184	0.0610452	0.0169307	0.0403305	0.0133772	0.0165623	0.0130793	0.0382046	0.00171626	0.0114662	0.0247225	0.00577955	0.02987503	0.04205523	0.1022777	0.00420455	0.521963	0.0128855	0.00700083	0.44813	0.005816	0.1576767	2	42.32087	0.6768915	0.000322302	0.0263716	0.347534	3.62577	0.364166	0.713084	1.08053	1.84222	0.315593	0.308716	0.136116	0.239575	0.2599544	0.6065551
160	-4224.18	-4158.52	-65.659	14.852	0.1562104	3.825662	0.0480322	0.0156421	0.0833481	0.0830115	0.0314223	0.0230885	0.0402585	0.059702	0.012011	0.0439726	0.0272063	0.0373414	0.0167223	0.00924353	0.00660703	0.0266657	0.00337314	0.0321349	0.0158462	0.0259077	0.0168167	0.0130168	0.0763178	0.035132	0.0222041	0.0267625	0.0198574	0.0802183	0.00764101	0.00371192	0.00278206	0.0703279	0.0338449	0.0281154	0.0180455	0.039346	0.0213873	0.0389147	0.00100582	0.00242541	0.0447798	0.00526408	0.0304493	0.03450656	0.006098384	0.00882189	0.515294	0.0103303	0.0072753	0.449521	0.00875724	0.145359	4	39.08802	0.8993161	7.65755e-05	0.012916	0.260469	3.72654	0.444521	0.768956	1.08439	1.70214	0.299646	0.296666	0.141033	0.262654	0.1514574	0.9597353
170	-4230.78	-4160.62	-70.1604	16.24364	0.1608279	2.997228	0.0215417	0.0149522	0.0985437	0.162039	0.0213822	0.086565	0.0210262	0.0623551	0.00892531	0.0480393	0.0197804	0.0609587	0.0250306	0.0146	0.00245856	0.00853581	0.000958757	0.0286813	0.0189134	0.0182449	0.0203398	0.0260332	0.0300479	0.0493464	0.0353633	0.0242059	0.023678	0.0771131	0.00451621	0.00488802	0.0034761	0.0662778	0.0690185	0.0505246	0.0277725	0.0390748	0.0420812	0.0605484	0.00127774	0.0055448	0.0297106	0.0199271	0.03050326	0.03873397	0.02745883	0.00281689	0.552016	0.00780513	0.00622791	0.419301	0.0118335	0.2538692	4	39.40922	0.868149	9.873e-05	0.014656	0.27419	3.71106	0.389047	0.731374	1.0825	1.79708	0.305225	0.30431	0.118431	0.272035	0.281328	0.9023957
180	-4218.12	-4163.94	-54.1794	14.9459	0.2207875	2.016743	0.0219766	0.0317447	0.0732995	0.106428	0.0222989	0.0556635	0.101155	0.039073	0.00774191	0.0545881	0.0425113	0.0338042	0.0267351	0.0205838	0.00253435	0.00395067	0.00109071	0.0646953	0.0386149	0.0186766	0.0115282	0.00961112	0.025054	0.014894	0.0108726	0.0147605	0.0252284	0.0315312	0.00372465	0.0135399	0.00179077	0.0733256	0.0185819	0.0388271	0.0156695	0.021433	0.0215035	0.0181119	0.00553535	0.00710455	0.0106887	0.038032	0.02657023	0.03881498	-0.009433636	0.00842874	0.480394	0.0126208	0.0071462	0.482033	0.00937665	0.2203447	4	37.85099	0.6333877	0.00101744	0.0465623	0.43571	3.51671	0.295265	0.656782	1.0704	1.97755	0.308031	0.306745	0.12584	0.259384	0.2109111	1.044728
190	-4218.13	-4164.76	-53.367	12.55269	0.2028305	1.44803	0.0364278	0.0344217	0.0537603	0.0185464	0.0177366	0.018618	0.0397279	0.0570194	0.0105576	0.0244061	0.0227561	0.032561	0.0227993	0.0261461	0.00209888	0.0102164	0.00261004	0.0367023	0.0268628	0.0117106	0.0051831	0.000941303	0.0431573	0.0506916	0.0073613	0.0142685	0.0198394	0.0570139	0.00374214	0.0105789	0.00170067	0.0394267	0.0867916	0.0323353	0.0162988	0.0241014	0.0101096	0.0127062	0.0178894	0.0189803	0.00611804	0.0255126	0.01783067	0.05272327	-0.1079029	0.0128166	0.583966	0.00666489	0.0158693	0.369924	0.0107592	0.3946871	5	38.89464	0.6950246	0.000584926	0.0354242	0.391005	3.57299	0.217181	0.579671	1.04722	2.15593	0.294675	0.306336	0.124105	0.274885	0.2867843	1.376251
200	-4217.19	-4150.73	-66.4589	16.33434	0.1562777	0.4971686	0.0535189	0.0150531	0.0347766	0.0291557	0.0196787	0.0473314	0.0173561	0.0649994	0.0101913	0.02126	0.0621952	0.0530777	0.0282329	0.0124085	0.0041623	0.0365527	0.00864107	0.0524844	0.0290377	0.0442776	0.00533213	0.00165274	0.0686939	0.13951	0.0379914	0.0356653	0.0136731	0.0491369	0.00559294	0.0160594	0.00330529	0.0971833	0.0746848	0.0572302	0.0360781	0.0317018	0.0409603	0.0370425	0.0336423	0.0149231	0.00461902	0.0313209	0.03299449	0.02878874	-0.001263593	0.00455574	0.513476	0.00746335	0.00646048	0.463378	0.00466607	0.1861598	5	37.32943	0.6498881	7.68681e-05	0.0129405	0.26067	3.72631	0.0328642	0.250063	0.818197	2.89888	0.31181	0.303559	0.120782	0.263849	0.1848962	1.006834
210	-4220.72	-4155.68	-65.0308	15.38182	0.183109	1.241555	0.0526112	0.0333485	0.0314296	0.0497914	0.0621092	0.0132763	0.00237547	0.0670625	0.0129524	0.0281305	0.052662	0.0362169	0.0179682	0.0125188	0.0135627	0.0107953	0.00569311	0.0428562	0.01736	0.017706	0.0034902	0.00416111	0.125909	0.13778	0.0596494	0.0136188	0.0163521	0.0305235	0.0051988	0.0504763	0.0075839	0.0804687	0.0323293	0.0241969	0.0143341	0.012022	0.043138	0.0301367	0.0353898	0.0189765	0.00834375	0.0409242	0.03086904	0.03002001	0.03082466	0.00522385	0.533269	0.00804666	0.00302717	0.444491	0.00594257	0.1575416	4	38.08212	0.7071793	0.000280916	0.0246345	0.338161	3.63692	0.182503	0.539005	1.0308	2.24769	0.315207	0.294344	0.119016	0.271433	0.1883662	0.8363578
220	-4231.03	-4159.64	-71.3862	17.38934	0.1769711	1.057999	0.0572281	0.015338	0.0366347	0.0240157	0.0433033	0.0353801	0.00759942	0.0496986	0.00873697	0.0300194	0.0708684	0.0398468	0.0167291	0.0303143	0.0128109	0.0161315	0.00544562	0.0607972	0.0165529	0.0292177	0.00439812	0.028332	0.0813855	0.0471148	0.0745492	0.0158081	0.0139639	0.026087	0.00767999	0.101448	0.00352988	0.0858619	0.0277577	0.0253653	0.0147728	0.0192795	0.0265402	0.0221445	0.00854026	0.0267414	0.0146288	0.146298	0.03609822	0.03510499	-0.07466773	0.00921468	0.417398	0.0159112	0.00746404	0.542117	0.00789444	0.2591131	5	38.92317	0.6511926	0.00021623	0.0216349	0.320955	3.65719	0.148379	0.493517	1.00898	2.34912	0.333657	0.269016	0.14925	0.248076	0.1844454	1.404823
230	-4213.17	-4150.06	-63.1152	16.22112	0.1994028	0.2201424	0.0495344	0.00631627	0.0246792	0.0065772	0.116853	0.0282537	0.0101711	0.0639605	0.00943953	0.0291357	0.0326534	0.0380055	0.0131124	0.020016	0.0112241	0.0165221	0.00802024	0.0300723	0.0457274	0.0575245	0.00297561	0.0398987	0.0436629	0.0684671	0.0550103	0.0164722	0.0204626	0.0150366	0.0179214	0.0585689	0.00746564	0.0828128	0.0383454	0.0262843	0.0328407	0.0243994	0.0244005	0.00512593	0.00484401	0.00549141	0.0376355	0.0329029	0.02994938	0.02075123	0.1236516	0.00867017	0.521435	0.00769186	0.00790974	0.446973	0.00732073	0.1490814	5	38.46764	0.7050454	0.000520327	0.0334317	0.382098	3.58395	0.000998976	0.0461435	0.434161	3.5187	0.304977	0.294528	0.143462	0.257033	0.272733	0.5466202
240	-4214.76	-4154.54	-60.2188	13.67718	0.1706818	0.3814926	0.0170966	0.00203631	0.0347055	0.0057283	0.0757548	0.0307089	0.0073668	0.0453487	0.00908207	0.0255114	0.0272379	0.0223325	0.00443728	0.0109955	0.00914519	0.00998953	0.0104617	0.0447581	0.0247313	0.0858739	0.00234753	0.0267868	0.0252715	0.0886117	0.0759344	0.0187794	0.0268526	0.00638419	0.062349	0.045651	0.00861578	0.0710631	0.0880567	0.0673511	0.0241152	0.0611059	0.0221406	0.00627738	0.00703697	0.0044564	0.0188717	0.0150315	0.03957142	0.02197636	0.04681638	0.0111072	0.556765	0.00527317	0.00646094	0.407369	0.0130244	0.1960767	5	37.87428	0.7020435	0.000162162	0.0187547	0.302981	3.6781	0.0141375	0.167801	0.710451	3.10761	0.311017	0.313873	0.110635	0.264474	0.2428931	0.8072552
