Iteration	Posterior	Likelihood	Prior	psi[1]	psi[2]	psi[3]	psi[4]
890	-329.099	0	-329.099	0.983903	0.281664	1.08973	0.0142952
900	-334.953	0	-334.953	0.840486	0.440657	0.729744	0.0100193
910	-344.52	0	-344.52	0.837544	0.30523	0.992135	0.00633261
920	-347.242	0	-347.242	0.878801	0.452989	0.784875	0.0143322
930	-365.276	0	-365.276	0.892725	0.390549	0.862834	0.00467019
940	-367.442	0	-367.442	0.682516	0.225356	0.750529	0.0155033
950	-380.067	0	-380.067	0.931583	0.262398	0.547508	0.0112045
960	-348.799	0	-348.799	0.913247	0.255327	1.01302	0.0225246
970	-359.568	0	-359.568	0.99963	0.246209	0.694885	0.0702023
980	-351.621	0	-351.621	1.17499	0.259873	0.904558	0.0568715
990	-334.918	0	-334.918	1.18757	0.531129	0.710211	0.0442857
1000	-342.628	0	-342.628	0.941424	0.365525	0.609408	0.0735054
