Iteration	Posterior	Likelihood	Prior	div[1]	div[2]	div[3]	div[4]	div[5]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	lambda[5]	mu[1]	mu[2]	mu[3]	mu[4]	mu[5]	psi[1]	psi[2]	psi[3]	psi[4]	psi[5]	turnover[1]	turnover[2]	turnover[3]	turnover[4]	turnover[5]
22300	-249.723	0	-249.723	0.356999	-0.0373874	-0.337178	0.0567879	-0.0119652	2.78294	0.185632	1.0493	0.137643	0.0580568	2.42594	0.22302	1.38647	0.080855	0.0700219	3.01219	0.113994	1.25959	0.00741998	0.0363108	0.871719	1.20141	1.32134	0.587426	1.20609
22400	-183.511	0	-183.511	0.451488	-0.0409883	0.0204547	0.131128	0.10715	2.72939	0.34346	1.45169	0.150399	0.134388	2.27791	0.384448	1.43124	0.0192713	0.0272387	2.61422	0.175921	1.35052	0.00199568	0.0630152	0.834583	1.11934	0.98591	0.128134	0.202686
22500	-220.457	0	-220.457	-0.537581	0.0237532	0.189826	-0.134223	0.209161	1.66921	0.249486	1.41826	0.139249	0.341317	2.20679	0.225732	1.22843	0.273471	0.132157	2.05169	0.111464	1.50544	0.138615	0.000328567	1.32206	0.904791	0.866156	1.96391	0.387196
22600	-193.547	0	-193.547	-0.246877	-0.0360969	-0.327907	0.145403	-0.146366	2.00323	0.291959	1.27105	0.251267	0.0379627	2.2501	0.328056	1.59895	0.105864	0.184329	2.90656	0.168308	1.68691	0.0639983	0.00157993	1.12324	1.12364	1.25798	0.421321	4.85553
22700	-179.497	0	-179.497	0.304782	-0.0120997	-0.105141	0.0469862	-0.00410156	2.39872	0.268031	1.45377	0.147461	0.12489	2.09394	0.280131	1.55891	0.100475	0.128991	2.233	0.109899	1.86094	0.0736707	0.0395952	0.87294	1.04514	1.07232	0.681366	1.03284
22800	-188.819	0	-188.819	0.837236	0.0294809	0.127744	0.0853165	-0.0374829	3.10158	0.339788	1.31289	0.140357	0.18093	2.26435	0.310307	1.18514	0.0550406	0.218413	2.2851	0.165711	1.78556	0.0762509	0.108023	0.730062	0.913238	0.9027	0.392147	1.20717
22900	-235.893	0	-235.893	0.263298	0.019808	0.0367717	0.0319582	-0.06942	2.78119	0.319319	1.16671	0.0513921	0.00328508	2.51789	0.299511	1.12994	0.0194339	0.072705	2.52047	0.0982829	1.51469	0.00266918	0.103314	0.905329	0.937968	0.968483	0.37815	22.1319
23000	-193.324	0	-193.324	-0.396796	-0.040481	-0.030529	0.211047	-0.0560406	1.73153	0.219994	1.57121	0.36659	0.082195	2.12832	0.260475	1.60174	0.155543	0.138236	2.75989	0.122781	1.37637	0.0191804	0.0833105	1.22916	1.18401	1.01943	0.424297	1.6818
23100	-230.177	0	-230.177	0.139146	0.047921	-0.482069	0.122711	0.0797376	2.32083	0.332712	0.976591	0.20094	0.134653	2.18168	0.284791	1.45866	0.0782289	0.0549158	2.51564	0.159519	1.43652	0.00489818	0.184996	0.940045	0.855969	1.49362	0.389314	0.407831
23200	-240.221	0	-240.221	-0.639865	-0.0916807	0.315608	0.0109602	0.0427842	1.62771	0.341343	1.19319	0.207697	0.252446	2.26757	0.433023	0.877584	0.196737	0.209662	2.12046	0.159349	1.24981	0.00572829	0.111536	1.39311	1.26859	0.735492	0.94723	0.830521
23300	-202.808	0	-202.808	0.177838	-0.0521947	0.0841564	0.0516689	0.284034	2.06572	0.261758	1.23343	0.0677696	0.300758	1.88788	0.313953	1.14927	0.0161007	0.0167233	3.20495	0.10542	1.055	0.019146	0.0518315	0.91391	1.1994	0.93177	0.237579	0.055604
