Iteration	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]
0	-2454.17	0	-2454.17	0.763248	0.00593247	0.0573872	0.00492156
10	-1244.97	0	-1244.97	0.362009	0.00724111	0.0200227	0.00297825
20	-903.981	0	-903.981	0.127017	0.00925497	0.0146018	0.00266063
30	-803.975	0	-803.975	0.0795439	0.0208188	0.00910485	0.00155163
40	-800.908	0	-800.908	0.0722804	0.0172598	0.011715	0.0101888
50	-795.233	0	-795.233	0.0734962	0.0150022	0.0110573	0.0129981
60	-796.136	0	-796.136	0.0846849	0.0116869	0.0088164	0.0246685
70	-799.213	0	-799.213	0.0955052	0.00811013	0.0150899	0.0258681
80	-798.451	0	-798.451	0.0814167	0.0151573	0.0133932	0.0149989
90	-800.666	0	-800.666	0.112814	0.0144917	0.00595132	0.0106413
100	-803.676	0	-803.676	0.127376	0.0231932	0.0124226	0.00734622
110	-803.448	0	-803.448	0.121554	0.0148665	0.0137792	0.00677728
120	-802.388	0	-802.388	0.084464	0.0211386	0.0121999	0.0117303
130	-800.311	0	-800.311	0.0889386	0.017685	0.0128546	0.031046
140	-804.939	0	-804.939	0.0848974	0.0194473	0.0156845	0.0214113
150	-799.94	0	-799.94	0.0730714	0.0231183	0.0102939	0.0130596
160	-805.208	0	-805.208	0.0765545	0.0120129	0.010612	0.00970083
170	-800.166	0	-800.166	0.0795713	0.0124496	0.00836828	0.0267356
180	-801.441	0	-801.441	0.0971675	0.024613	0.00809242	0.0360797
190	-799.066	0	-799.066	0.0985027	0.0145214	0.00938937	0.0153565
200	-802.98	0	-802.98	0.0807417	0.0261715	0.0137011	0.0505308
210	-800.012	0	-800.012	0.0769573	0.0152789	0.00843621	0.0370214
220	-800.44	0	-800.44	0.0991009	0.0105526	0.00427751	0.0335509
230	-798.801	0	-798.801	0.0896517	0.0114848	0.0130367	0.0304894
240	-799.844	0	-799.844	0.0819122	0.0232601	0.0166424	0.0500125
250	-805.483	0	-805.483	0.0591737	0.0114994	0.0137895	0.0282476
260	-794.931	0	-794.931	0.0734847	0.0160788	0.00829975	0.0156418
270	-805.001	0	-805.001	0.086647	0.0176964	0.012137	0.0252058
280	-805.699	0	-805.699	0.10596	0.0204826	0.0144952	0.0310241
290	-800.544	0	-800.544	0.0939448	0.0162934	0.00664465	0.0255351
300	-797.492	0	-797.492	0.0954145	0.0164779	0.00742054	0.0222241
310	-800.27	0	-800.27	0.068006	0.0118742	0.00760147	0.0305957
320	-801.33	0	-801.33	0.087914	0.0160056	0.0095455	0.0329227
330	-798.54	0	-798.54	0.097931	0.0201329	0.00921788	0.0254607
340	-798.02	0	-798.02	0.0895335	0.0136838	0.00880431	0.0633431
350	-802.311	0	-802.311	0.101211	0.0117215	0.0182107	0.0137669
360	-798.611	0	-798.611	0.0772018	0.0193714	0.0139428	0.0409897
370	-798.74	0	-798.74	0.0972473	0.0110016	0.0123495	0.0376533
380	-797.917	0	-797.917	0.0686964	0.017795	0.00936147	0.0234679
390	-799.729	0	-799.729	0.0625699	0.0166603	0.0135608	0.0178342
400	-794.549	0	-794.549	0.0857897	0.0145347	0.00877522	0.0202074
410	-799.596	0	-799.596	0.0925048	0.0140649	0.00759071	0.0473999
420	-799.414	0	-799.414	0.106032	0.0102796	0.00983616	0.00807127
430	-802.794	0	-802.794	0.104957	0.0258879	0.00334009	0.00305637
440	-799.957	0	-799.957	0.0817168	0.0130425	0.00505236	0.00513762
450	-797.6	0	-797.6	0.0696402	0.012755	0.00767882	0.0132513
460	-800.342	0	-800.342	0.067891	0.0217146	0.00672375	0.0488079
470	-805.899	0	-805.899	0.081112	0.00973953	0.00357142	0.0339842
480	-801.951	0	-801.951	0.0752315	0.0202748	0.00514326	0.0512361
490	-800.368	0	-800.368	0.0786194	0.0230503	0.00918257	0.0750403
500	-800.962	0	-800.962	0.0864122	0.0132648	0.0050369	0.0225968
510	-798.964	0	-798.964	0.0678108	0.0193795	0.00684455	0.0173441
520	-797.205	0	-797.205	0.0985697	0.0152474	0.00941178	0.0172442
530	-798.946	0	-798.946	0.0784993	0.0139297	0.0112705	0.0224354
540	-801.461	0	-801.461	0.0774681	0.0206399	0.0139064	0.0221018
550	-797.64	0	-797.64	0.0874494	0.0174255	0.00551789	0.0249228
560	-799.574	0	-799.574	0.0905052	0.0145267	0.0109604	0.0054582
570	-798.588	0	-798.588	0.0797218	0.0147731	0.0097387	0.00481783
580	-796.331	0	-796.331	0.0790506	0.0147192	0.00978359	0.00574172
590	-795.945	0	-795.945	0.0812951	0.0170212	0.013244	0.00267651
600	-799.631	0	-799.631	0.0691779	0.0175905	0.00850043	0.00672503
610	-797.832	0	-797.832	0.0917831	0.0177778	0.00574154	0.0176045
620	-801.655	0	-801.655	0.0790972	0.0169515	0.00742474	0.0210978
630	-798.523	0	-798.523	0.0888625	0.0117233	0.00841873	0.0115166
640	-808.252	0	-808.252	0.0957961	0.020006	0.0196884	0.0259599
650	-798.487	0	-798.487	0.0678425	0.0155617	0.0104802	0.0438407
660	-795.763	0	-795.763	0.0911233	0.0161468	0.00636471	0.0250837
670	-801.109	0	-801.109	0.0933694	0.0182379	0.00551881	0.00475486
680	-797.65	0	-797.65	0.0872774	0.020837	0.00513806	0.0610353
690	-795.535	0	-795.535	0.0811673	0.0132498	0.00761401	0.0256554
700	-798.108	0	-798.108	0.0851433	0.0100769	0.0129925	0.00888635
710	-798.737	0	-798.737	0.072282	0.0120381	0.00943903	0.00669193
720	-796.409	0	-796.409	0.0860945	0.0126641	0.00567497	0.0108786
730	-800.537	0	-800.537	0.0868162	0.0185359	0.00885669	0.00537928
740	-797.719	0	-797.719	0.0882264	0.0163386	0.0146865	0.02537
750	-798.142	0	-798.142	0.0766485	0.0169172	0.00715191	0.00896494
760	-799.805	0	-799.805	0.0717984	0.0220897	0.00767141	0.00314978
770	-799.245	0	-799.245	0.101222	0.0151695	0.0089381	0.00772573
780	-797.299	0	-797.299	0.0863628	0.0200972	0.00786829	0.00963831
790	-796.241	0	-796.241	0.0983553	0.0155124	0.0120716	0.00154762
800	-797.269	0	-797.269	0.0940106	0.0200077	0.00989531	0.00128344
810	-796.564	0	-796.564	0.0881475	0.017467	0.0102655	0.00241833
820	-798.385	0	-798.385	0.0920685	0.0170445	0.010809	0.0205506
830	-799.751	0	-799.751	0.0686905	0.0242612	0.012193	0.0116847
840	-803.168	0	-803.168	0.0686635	0.0230303	0.0149946	0.0513917
850	-798.726	0	-798.726	0.0840388	0.0226652	0.0116369	0.0477763
860	-796.766	0	-796.766	0.0886067	0.0149053	0.0133888	0.0441473
870	-801	0	-801	0.097109	0.0206962	0.00504152	0.051678
880	-801.228	0	-801.228	0.0836894	0.0165817	0.00494805	0.0701832
890	-807.368	0	-807.368	0.0952874	0.0242876	0.0130699	0.0658753
900	-801.391	0	-801.391	0.0845953	0.0196308	0.0179121	0.0267899
910	-800.516	0	-800.516	0.0831455	0.0224017	0.0131013	0.0524289
920	-796.733	0	-796.733	0.0850316	0.0152367	0.00920664	0.0281969
930	-796.642	0	-796.642	0.0889689	0.0147292	0.00744884	0.0427341
940	-796.924	0	-796.924	0.0912453	0.0150229	0.00629678	0.0212162
950	-800.522	0	-800.522	0.087966	0.0115018	0.0107275	0.00734942
960	-796.735	0	-796.735	0.0852319	0.013009	0.00969005	0.0057337
970	-801.753	0	-801.753	0.0738667	0.0292674	0.00756279	0.00856129
980	-804.049	0	-804.049	0.074629	0.015579	0.00794328	0.0107325
990	-795.375	0	-795.375	0.0851231	0.0175065	0.0104532	0.00175246
1000	-794.983	0	-794.983	0.078498	0.0163261	0.00836148	0.00213765
1010	-799.435	0	-799.435	0.0835447	0.0155356	0.0076117	0.00209296
1020	-801.827	0	-801.827	0.0609882	0.0207258	0.00651256	0.00529528
1030	-801.495	0	-801.495	0.082383	0.0129624	0.0104397	0.00675522
1040	-807.298	0	-807.298	0.0550893	0.0175881	0.0124247	0.00632829
1050	-799.991	0	-799.991	0.0711809	0.0179485	0.0165933	0.0102598
1060	-795.567	0	-795.567	0.0737738	0.0151009	0.0118232	0.0213305
1070	-797.621	0	-797.621	0.0738414	0.016563	0.00944636	0.0152183
1080	-797.38	0	-797.38	0.0795421	0.0186989	0.00660301	0.0258439
1090	-798.488	0	-798.488	0.0786586	0.0113616	0.00735508	0.0285944
1100	-804.973	0	-804.973	0.060303	0.0139591	0.00570762	0.0513421
1110	-800.902	0	-800.902	0.0991711	0.0131423	0.00798169	0.0491023
1120	-797.739	0	-797.739	0.0706864	0.0148863	0.00863585	0.0297064
1130	-799.931	0	-799.931	0.0836664	0.0178934	0.0106914	0.028658
1140	-801.327	0	-801.327	0.0728284	0.0158651	0.00830615	0.0242624
1150	-806.292	0	-806.292	0.0673017	0.0134206	0.00754429	0.0449972
1160	-800.628	0	-800.628	0.0937026	0.0135561	0.00866585	0.0503748
1170	-798.307	0	-798.307	0.0853969	0.0195353	0.00549163	0.0489769
1180	-797.737	0	-797.737	0.0742675	0.0215947	0.00485198	0.0388955
1190	-797.693	0	-797.693	0.0768995	0.0164666	0.00429462	0.0109125
1200	-801.958	0	-801.958	0.0788827	0.015582	0.0108641	0.0294943
1210	-800.921	0	-800.921	0.0903481	0.0125155	0.00899798	0.0371839
1220	-800.293	0	-800.293	0.0687243	0.0221133	0.0173247	0.0316473
1230	-798.66	0	-798.66	0.0951506	0.019383	0.00730604	0.0717634
1240	-808.173	0	-808.173	0.104645	0.0151785	0.00968797	0.0734252
1250	-801.109	0	-801.109	0.0718149	0.0189378	0.0108523	0.0999586
1260	-804.895	0	-804.895	0.0847439	0.0129149	0.0132408	0.156168
1270	-804.548	0	-804.548	0.0842296	0.0146444	0.0109971	0.12696
1280	-798.512	0	-798.512	0.0854454	0.011762	0.0158664	0.0239104
1290	-799.798	0	-799.798	0.0860339	0.0109399	0.00809849	0.0258125
1300	-802.518	0	-802.518	0.0656904	0.0127317	0.00724705	0.0133157
1310	-799.901	0	-799.901	0.0854032	0.017728	0.0145473	0.0238496
1320	-797.744	0	-797.744	0.0805019	0.0179472	0.0133447	0.0178501
1330	-797.951	0	-797.951	0.0801941	0.0194491	0.0108762	0.00996755
1340	-799.667	0	-799.667	0.0815403	0.0182094	0.0102274	0.00910207
1350	-800.332	0	-800.332	0.0928799	0.0239851	0.0118463	0.0164886
1360	-801.359	0	-801.359	0.0921129	0.0246486	0.0173447	0.00911351
1370	-798.052	0	-798.052	0.100839	0.0200679	0.00628667	0.0102189
1380	-796.671	0	-796.671	0.093843	0.0182978	0.00871364	0.012625
1390	-797.562	0	-797.562	0.104103	0.015062	0.00587034	0.00510091
1400	-797.438	0	-797.438	0.0992201	0.0151205	0.00938815	0.00738142
1410	-800.71	0	-800.71	0.0877616	0.00991557	0.00421095	0.00908096
1420	-802.411	0	-802.411	0.100614	0.0121043	0.006675	0.0088053
1430	-800.203	0	-800.203	0.0780322	0.017821	0.00986509	0.00961117
1440	-800.613	0	-800.613	0.0864778	0.0211495	0.00625111	0.0144702
1450	-803.504	0	-803.504	0.0816033	0.0237509	0.0116636	0.0159972
1460	-800.586	0	-800.586	0.0931294	0.0127256	0.00757519	0.0150839
1470	-800.806	0	-800.806	0.107355	0.0222711	0.0065829	0.00724646
1480	-797.774	0	-797.774	0.103903	0.0160358	0.0103722	0.021103
1490	-799.594	0	-799.594	0.0848708	0.0242604	0.00738593	0.0238076
1500	-798.473	0	-798.473	0.0716245	0.0131145	0.0085551	0.035527
1510	-802.537	0	-802.537	0.110028	0.00884865	0.0123588	0.0502377
1520	-795.614	0	-795.614	0.0794805	0.0147589	0.0096899	0.0129958
1530	-796.099	0	-796.099	0.0840989	0.016173	0.0118548	0.0123537
1540	-796.739	0	-796.739	0.0744159	0.0157536	0.00821318	0.00880179
1550	-797.259	0	-797.259	0.0816413	0.018437	0.00859791	0.00419092
1560	-797.689	0	-797.689	0.0767227	0.0208855	0.00891658	0.00995096
1570	-796.52	0	-796.52	0.0777714	0.0129546	0.00666683	0.0206158
1580	-798.416	0	-798.416	0.079987	0.0142579	0.00570726	0.0586968
1590	-796.85	0	-796.85	0.0855256	0.0182067	0.00818853	0.043651
1600	-796.481	0	-796.481	0.0887162	0.0174088	0.013748	0.0375816
1610	-797.852	0	-797.852	0.0943345	0.0116719	0.00919265	0.0313409
