Iteration	Posterior	Likelihood	Prior	div[1]	div[2]	div[3]	div[4]	lambda[1]	lambda[2]	lambda[3]	lambda[4]	mu[1]	mu[2]	mu[3]	mu[4]	psi[1]	psi[2]	psi[3]	psi[4]	turnover[1]	turnover[2]	turnover[3]	turnover[4]
0	-2454.17	0	-2454.17	-0.646701	0.0292862	-0.0478554	0.108178	0.116547	0.0352187	0.00953188	0.1131	0.763248	0.00593247	0.0573872	0.00492156	0.145552	0.292904	0.0275772	0.0256211	6.54884	0.168447	6.02056	0.0435152
10	-1244.97	0	-1244.97	-0.115555	-0.00141013	-0.00459276	0.0942461	0.246454	0.00583098	0.0154299	0.0972243	0.362009	0.00724111	0.0200227	0.00297825	0.0213617	0.115799	0.00675679	0.0041179	1.46887	1.24183	1.29765	0.0306328
20	-903.981	0	-903.981	0.0712844	0.00155448	-0.000448291	0.0960297	0.198301	0.0108095	0.0141535	0.0986903	0.127017	0.00925497	0.0146018	0.00266063	0.00355537	0.0442777	0.00782607	0.00095608	0.640524	0.856193	1.03167	0.0269594
30	-803.975	0	-803.975	0.0938869	-0.0123695	0.0173074	0.114966	0.173431	0.00844922	0.0264122	0.116517	0.0795439	0.0208188	0.00910485	0.00155163	0.000918372	0.00546697	0.00381047	0.000774486	0.458649	2.46399	0.344721	0.0133167
40	-800.908	0	-800.908	0.0905487	-0.00692643	0.0249282	0.107605	0.162829	0.0103334	0.0366432	0.117794	0.0722804	0.0172598	0.011715	0.0101888	0.000569832	0.00342811	0.00226623	0.00241736	0.443903	1.6703	0.319705	0.0864963
50	-795.233	0	-795.233	0.0760138	0.00725118	0.0228615	0.0889489	0.14951	0.0222534	0.0339188	0.101947	0.0734962	0.0150022	0.0110573	0.0129981	0.000463854	0.00203312	0.00319262	0.0023009	0.491581	0.674154	0.325992	0.127498
60	-796.136	0	-796.136	0.0486407	0.00601817	0.0222952	0.0974199	0.133326	0.017705	0.0311116	0.122088	0.0846849	0.0116869	0.0088164	0.0246685	0.00125234	0.00290458	0.00385179	0.00211457	0.635174	0.660087	0.28338	0.202054
70	-799.213	0	-799.213	0.0656825	0.011906	0.0165986	0.0901169	0.161188	0.0200161	0.0316885	0.115985	0.0955052	0.00811013	0.0150899	0.0258681	0.000582529	0.00248373	0.00312324	0.00100095	0.592509	0.40518	0.476196	0.22303
80	-798.451	0	-798.451	0.0878	0.000538148	0.0247836	0.0933807	0.169217	0.0156955	0.0381768	0.10838	0.0814167	0.0151573	0.0133932	0.0149989	0.000568993	0.00198902	0.00371793	0.00102702	0.481139	0.965713	0.350819	0.138392
90	-800.666	0	-800.666	0.0884724	0.000120954	0.0252959	0.075595	0.201286	0.0146126	0.0312472	0.0862364	0.112814	0.0144917	0.00595132	0.0106413	0.000609212	0.00238846	0.00385299	0.00360652	0.560465	0.991723	0.190459	0.123397
