Iteration	Posterior	Likelihood	Prior	psi[1]	psi[2]	psi[3]	psi[4]
0	-2454.17	0	-2454.17	0.145552	0.292904	0.0275772	0.0256211
10	-1244.97	0	-1244.97	0.0213617	0.115799	0.00675679	0.0041179
20	-903.981	0	-903.981	0.00355537	0.0442777	0.00782607	0.00095608
30	-803.975	0	-803.975	0.000918372	0.00546697	0.00381047	0.000774486
40	-800.908	0	-800.908	0.000569832	0.00342811	0.00226623	0.00241736
50	-795.233	0	-795.233	0.000463854	0.00203312	0.00319262	0.0023009
60	-796.136	0	-796.136	0.00125234	0.00290458	0.00385179	0.00211457
70	-799.213	0	-799.213	0.000582529	0.00248373	0.00312324	0.00100095
80	-798.451	0	-798.451	0.000568993	0.00198902	0.00371793	0.00102702
90	-800.666	0	-800.666	0.000609212	0.00238846	0.00385299	0.00360652
100	-803.676	0	-803.676	0.000611079	0.00213685	0.00322181	0.00585495
110	-803.448	0	-803.448	0.000332956	0.00250252	0.00415329	0.00165863
120	-802.388	0	-802.388	0.000391343	0.0039745	0.00233045	0.00219529
130	-800.311	0	-800.311	0.00028021	0.00272124	0.00312413	0.00301118
140	-804.939	0	-804.939	0.000278791	0.00196819	0.00400478	0.009461
150	-799.94	0	-799.94	0.000422425	0.00205901	0.00393351	0.00350704
160	-805.208	0	-805.208	0.000993309	0.00232192	0.00706688	0.00624194
170	-800.166	0	-800.166	0.000678508	0.00298712	0.00376416	0.0108415
180	-801.441	0	-801.441	0.000794636	0.0020721	0.00272913	0.00498522
190	-799.066	0	-799.066	0.00225831	0.00266742	0.00299967	0.00416266
200	-802.98	0	-802.98	0.0013913	0.00295505	0.00262518	0.00502417
210	-800.012	0	-800.012	0.00108578	0.00341348	0.00351611	0.00114731
220	-800.44	0	-800.44	0.00122887	0.0026749	0.00342209	0.00358318
230	-798.801	0	-798.801	0.000768355	0.00303443	0.00462356	0.00145198
240	-799.844	0	-799.844	0.000848638	0.00288368	0.0030593	0.00082751
250	-805.483	0	-805.483	0.00110923	0.00318161	0.00253256	0.00304018
260	-794.931	0	-794.931	0.000910627	0.00251123	0.00364018	0.0013866
270	-805.001	0	-805.001	0.00108156	0.00225954	0.00441671	0.00330354
280	-805.699	0	-805.699	0.000929445	0.00101515	0.00251959	0.00544924
290	-800.544	0	-800.544	0.000767432	0.00193415	0.00257513	0.00528358
300	-797.492	0	-797.492	0.00128696	0.00217591	0.00305783	0.00443113
310	-800.27	0	-800.27	0.00156483	0.00342287	0.00560428	0.00223529
320	-801.33	0	-801.33	0.00184456	0.00440261	0.00321158	0.00158485
330	-798.54	0	-798.54	0.00204639	0.00296283	0.00321714	0.00202399
340	-798.02	0	-798.02	0.00129849	0.00324278	0.00302344	0.0026682
350	-802.311	0	-802.311	0.000947718	0.00169185	0.00197992	0.00249227
360	-798.611	0	-798.611	0.0019316	0.00292783	0.00250613	0.00211792
370	-798.74	0	-798.74	0.00111402	0.0024172	0.0031281	0.00300297
380	-797.917	0	-797.917	0.000705365	0.00157309	0.00293797	0.0020673
390	-799.729	0	-799.729	0.00101979	0.00208529	0.00175039	0.00226228
400	-794.549	0	-794.549	0.0010879	0.00243381	0.00364487	0.00163442
410	-799.596	0	-799.596	0.0010945	0.00479646	0.00348536	0.0016527
420	-799.414	0	-799.414	0.00105694	0.00300856	0.00265112	0.00189886
430	-802.794	0	-802.794	0.000850222	0.00342505	0.0034925	0.0034788
440	-799.957	0	-799.957	0.000846628	0.00225161	0.00449959	0.00108716
450	-797.6	0	-797.6	0.0010618	0.00280422	0.00406565	0.00101878
460	-800.342	0	-800.342	0.000983359	0.00303719	0.00440313	0.00463912
470	-805.899	0	-805.899	0.000956923	0.00279922	0.00507776	0.0103891
480	-801.951	0	-801.951	0.00150048	0.00245616	0.00477505	0.00746453
490	-800.368	0	-800.368	0.00125172	0.00194236	0.0020162	0.00192441
500	-800.962	0	-800.962	0.00150763	0.00254817	0.00421418	0.00150468
510	-798.964	0	-798.964	0.000617761	0.00316667	0.00282212	0.000581584
520	-797.205	0	-797.205	0.000739799	0.00272599	0.00355923	0.000715899
530	-798.946	0	-798.946	0.000715983	0.00436312	0.00460663	0.00111756
540	-801.461	0	-801.461	0.00117231	0.004242	0.00510146	0.00263813
550	-797.64	0	-797.64	0.00112455	0.00307956	0.00401119	0.00200031
560	-799.574	0	-799.574	0.00114177	0.00259529	0.00535803	0.00418346
570	-798.588	0	-798.588	0.00110761	0.00415136	0.00327204	0.00325165
580	-796.331	0	-796.331	0.00187128	0.00263292	0.00452229	0.00183663
590	-795.945	0	-795.945	0.00068315	0.00204002	0.00400039	0.00278541
600	-799.631	0	-799.631	0.000926328	0.00243246	0.00323331	0.00480455
610	-797.832	0	-797.832	0.00192233	0.0029475	0.00314029	0.0014978
620	-801.655	0	-801.655	0.00269876	0.00262178	0.00458871	0.00232187
630	-798.523	0	-798.523	0.00176232	0.00176005	0.00285248	0.000849152
640	-808.252	0	-808.252	0.00167997	0.00123633	0.00296978	0.00151096
650	-798.487	0	-798.487	0.00067624	0.00171997	0.00305845	0.00210204
660	-795.763	0	-795.763	0.000874659	0.00263911	0.0029374	0.00263356
670	-801.109	0	-801.109	0.000805274	0.00241371	0.0030975	0.00341324
680	-797.65	0	-797.65	0.0010515	0.00265466	0.00374141	0.00189866
690	-795.535	0	-795.535	0.000848056	0.00275641	0.00357601	0.00183565
700	-798.108	0	-798.108	0.000736077	0.0023483	0.00275916	0.00204319
710	-798.737	0	-798.737	0.000432737	0.00368398	0.00252104	0.00113533
720	-796.409	0	-796.409	0.000793671	0.00348887	0.00392828	0.00122589
730	-800.537	0	-800.537	0.000979291	0.00374155	0.0038974	0.000305124
740	-797.719	0	-797.719	0.00135829	0.00288011	0.00300135	0.000976697
750	-798.142	0	-798.142	0.00122213	0.00161981	0.00335137	0.00379706
760	-799.805	0	-799.805	0.000865797	0.00212382	0.00320811	0.00680913
770	-799.245	0	-799.245	0.00103806	0.00283701	0.00253894	0.00744197
780	-797.299	0	-797.299	0.00119084	0.00339716	0.00299456	0.00666374
790	-796.241	0	-796.241	0.00113846	0.00371135	0.0031519	0.00205696
800	-797.269	0	-797.269	0.00137533	0.0021926	0.00328753	0.00306223
810	-796.564	0	-796.564	0.00126187	0.00242886	0.00260911	0.00100131
