Iteration	Posterior	Likelihood	Prior	mu[1]	mu[2]	mu[3]	mu[4]
0	-816.478	0	-816.478	0.0812011	0.00231341	0.0456144	0.0507601
10	-518.075	0	-518.075	0.0597168	0.00409534	0.0281404	0.0500306
20	-504.477	0	-504.477	0.0433695	0.0123635	0.027201	0.120319
30	-482.289	0	-482.289	0.0814805	0.00944155	0.0295356	0.136438
40	-457.95	0	-457.95	0.0825771	0.0128095	0.0351509	0.0710896
50	-468.908	0	-468.908	0.0967812	0.0265837	0.0319204	0.0920414
60	-455.313	0	-455.313	0.107445	0.021968	0.0139818	0.124049
70	-457.896	0	-457.896	0.11328	0.0262738	0.0124716	0.139405
80	-460.447	0	-460.447	0.10163	0.0250022	0.0210176	0.141078
90	-456.654	0	-456.654	0.115195	0.02116	0.0193015	0.13407
100	-442.413	0	-442.413	0.107199	0.0175393	0.0146366	0.156288
110	-443.412	0	-443.412	0.118355	0.024347	0.00713449	0.134901
120	-473.081	0	-473.081	0.0867558	0.0149007	0.0102946	0.418359
130	-445.609	0	-445.609	0.117638	0.0188327	0.00427342	0.0734228
140	-449.07	0	-449.07	0.108006	0.0119975	0.00690485	0.0344455
150	-445.891	0	-445.891	0.130884	0.0278898	0.00311665	0.0748798
160	-447.316	0	-447.316	0.121087	0.0233724	0.00361807	0.0589269
170	-447.045	0	-447.045	0.166305	0.0164347	0.00514882	0.0598793
180	-444.499	0	-444.499	0.150134	0.0211659	0.00608586	0.0337194
190	-431.664	0	-431.664	0.182877	0.0230933	0.00670454	0.0674558
200	-424.145	0	-424.145	0.181399	0.0276497	0.00507063	0.0504987
210	-438.077	0	-438.077	0.163969	0.0186124	0.00214264	0.124364
220	-439.342	0	-439.342	0.161734	0.0353776	0.000911865	0.352688
230	-425.326	0	-425.326	0.121198	0.0356752	0.00170013	0.197315
240	-422.206	0	-422.206	0.119252	0.0181074	0.0040791	0.145569
250	-411.477	0	-411.477	0.152066	0.0219583	0.0190624	0.104852
