Iteration	Posterior	Likelihood	Prior	timeline[1]	timeline[2]	timeline[3]
0	-2700.02	0	-2700.02	34	79	135
10	-1233.5	0	-1233.5	34	79	135
20	-1028.35	0	-1028.35	34	79	135
30	-992.399	0	-992.399	34	79	135
40	-966.913	0	-966.913	34	79	135
50	-927.572	0	-927.572	34	79	135
60	-895.821	0	-895.821	34	79	135
70	-860.78	0	-860.78	34	79	135
80	-832.903	0	-832.903	34	79	135
90	-828.767	0	-828.767	34	79	135
100	-801.948	0	-801.948	34	79	135
110	-734.219	0	-734.219	34	79	135
120	-677.208	0	-677.208	34	79	135
130	-650.295	0	-650.295	34	79	135
140	-643.346	0	-643.346	34	79	135
150	-594.859	0	-594.859	34	79	135
160	-559.189	0	-559.189	34	79	135
170	-480.638	0	-480.638	34	79	135
180	-435.343	0	-435.343	34	79	135
190	-418.529	0	-418.529	34	79	135
200	-411.708	0	-411.708	34	79	135
210	-401.751	0	-401.751	34	79	135
220	-405.987	0	-405.987	34	79	135
230	-377.628	0	-377.628	34	79	135
240	-365.3	0	-365.3	34	79	135
250	-369.502	0	-369.502	34	79	135
260	-357.305	0	-357.305	34	79	135
270	-372.924	0	-372.924	34	79	135
280	-348.295	0	-348.295	34	79	135
290	-344.178	0	-344.178	34	79	135
300	-364.533	0	-364.533	34	79	135
310	-342.025	0	-342.025	34	79	135
320	-363.205	0	-363.205	34	79	135
330	-320.041	0	-320.041	34	79	135
340	-319.232	0	-319.232	34	79	135
350	-337.672	0	-337.672	34	79	135
360	-349.52	0	-349.52	34	79	135
370	-329.769	0	-329.769	34	79	135
380	-310.995	0	-310.995	34	79	135
390	-330.806	0	-330.806	34	79	135
400	-322.03	0	-322.03	34	79	135
410	-310.236	0	-310.236	34	79	135
420	-336.496	0	-336.496	34	79	135
430	-332.67	0	-332.67	34	79	135
440	-343.341	0	-343.341	34	79	135
450	-345.518	0	-345.518	34	79	135
460	-319.049	0	-319.049	34	79	135
470	-339.64	0	-339.64	34	79	135
480	-342.805	0	-342.805	34	79	135
490	-351.254	0	-351.254	34	79	135
500	-370.018	0	-370.018	34	79	135
510	-344.174	0	-344.174	34	79	135
520	-370.221	0	-370.221	34	79	135
530	-358.096	0	-358.096	34	79	135
540	-339.06	0	-339.06	34	79	135
550	-372.952	0	-372.952	34	79	135
560	-328.55	0	-328.55	34	79	135
570	-346.404	0	-346.404	34	79	135
580	-357.308	0	-357.308	34	79	135
590	-334.373	0	-334.373	34	79	135
600	-347.418	0	-347.418	34	79	135
610	-337.267	0	-337.267	34	79	135
620	-352.66	0	-352.66	34	79	135
630	-361.475	0	-361.475	34	79	135
640	-357.994	0	-357.994	34	79	135
650	-331.576	0	-331.576	34	79	135
660	-309.104	0	-309.104	34	79	135
670	-318.582	0	-318.582	34	79	135
680	-343.101	0	-343.101	34	79	135
690	-346.001	0	-346.001	34	79	135
700	-347.866	0	-347.866	34	79	135
710	-336.245	0	-336.245	34	79	135
720	-349.28	0	-349.28	34	79	135
730	-335.463	0	-335.463	34	79	135
740	-361.007	0	-361.007	34	79	135
750	-352.272	0	-352.272	34	79	135
760	-362.736	0	-362.736	34	79	135
770	-369.543	0	-369.543	34	79	135
780	-383.328	0	-383.328	34	79	135
790	-350.479	0	-350.479	34	79	135
800	-337.149	0	-337.149	34	79	135
810	-367.766	0	-367.766	34	79	135
820	-380.892	0	-380.892	34	79	135
830	-371.831	0	-371.831	34	79	135
840	-367.511	0	-367.511	34	79	135
850	-349.669	0	-349.669	34	79	135
860	-331.755	0	-331.755	34	79	135
870	-330.079	0	-330.079	34	79	135
880	-358.361	0	-358.361	34	79	135
890	-375.224	0	-375.224	34	79	135
900	-345.391	0	-345.391	34	79	135
910	-366.669	0	-366.669	34	79	135
920	-379.269	0	-379.269	34	79	135
930	-364.839	0	-364.839	34	79	135
940	-368.117	0	-368.117	34	79	135
950	-372.043	0	-372.043	34	79	135
960	-354.254	0	-354.254	34	79	135
970	-361.434	0	-361.434	34	79	135
980	-353.198	0	-353.198	34	79	135
990	-345.716	0	-345.716	34	79	135
1000	-330.633	0	-330.633	34	79	135
1010	-347.171	0	-347.171	34	79	135
1020	-371.662	0	-371.662	34	79	135
1030	-360.922	0	-360.922	34	79	135
1040	-367.144	0	-367.144	34	79	135
1050	-360.542	0	-360.542	34	79	135
1060	-335.885	0	-335.885	34	79	135
1070	-356.067	0	-356.067	34	79	135
1080	-346.488	0	-346.488	34	79	135
