Iteration	Posterior	Likelihood	Prior	timeline[1]	timeline[2]	timeline[3]
0	-2179.63	0	-2179.63	34	79	135
10	-1352.52	0	-1352.52	34	79	135
20	-868.416	0	-868.416	34	79	135
30	-817.638	0	-817.638	34	79	135
40	-804.582	0	-804.582	34	79	135
50	-802.53	0	-802.53	34	79	135
60	-800.947	0	-800.947	34	79	135
70	-799.107	0	-799.107	34	79	135
80	-800.088	0	-800.088	34	79	135
90	-799.53	0	-799.53	34	79	135
100	-803.023	0	-803.023	34	79	135
110	-800.086	0	-800.086	34	79	135
120	-799.157	0	-799.157	34	79	135
130	-796.952	0	-796.952	34	79	135
140	-796.183	0	-796.183	34	79	135
150	-799.481	0	-799.481	34	79	135
160	-798.76	0	-798.76	34	79	135
170	-804.874	0	-804.874	34	79	135
180	-798.594	0	-798.594	34	79	135
190	-805.495	0	-805.495	34	79	135
200	-798.384	0	-798.384	34	79	135
210	-798.084	0	-798.084	34	79	135
220	-802.512	0	-802.512	34	79	135
230	-797.487	0	-797.487	34	79	135
240	-798.066	0	-798.066	34	79	135
250	-805.67	0	-805.67	34	79	135
260	-800.356	0	-800.356	34	79	135
270	-798.597	0	-798.597	34	79	135
280	-806.054	0	-806.054	34	79	135
290	-798.389	0	-798.389	34	79	135
300	-797.5	0	-797.5	34	79	135
310	-804.256	0	-804.256	34	79	135
320	-797.77	0	-797.77	34	79	135
330	-803.286	0	-803.286	34	79	135
340	-800.584	0	-800.584	34	79	135
350	-797.243	0	-797.243	34	79	135
360	-803.102	0	-803.102	34	79	135
370	-799.59	0	-799.59	34	79	135
380	-800.321	0	-800.321	34	79	135
390	-801.002	0	-801.002	34	79	135
400	-800.959	0	-800.959	34	79	135
410	-802.109	0	-802.109	34	79	135
420	-800.384	0	-800.384	34	79	135
430	-796.205	0	-796.205	34	79	135
440	-800.403	0	-800.403	34	79	135
450	-799.313	0	-799.313	34	79	135
460	-798.252	0	-798.252	34	79	135
470	-799.69	0	-799.69	34	79	135
480	-798.088	0	-798.088	34	79	135
490	-798.505	0	-798.505	34	79	135
500	-796.75	0	-796.75	34	79	135
510	-799.471	0	-799.471	34	79	135
520	-796.397	0	-796.397	34	79	135
530	-797.778	0	-797.778	34	79	135
540	-797.018	0	-797.018	34	79	135
550	-797.548	0	-797.548	34	79	135
560	-797.05	0	-797.05	34	79	135
570	-797.638	0	-797.638	34	79	135
580	-801.276	0	-801.276	34	79	135
590	-800.889	0	-800.889	34	79	135
600	-797.236	0	-797.236	34	79	135
610	-796.952	0	-796.952	34	79	135
620	-801.537	0	-801.537	34	79	135
630	-800.08	0	-800.08	34	79	135
640	-796.822	0	-796.822	34	79	135
650	-797.733	0	-797.733	34	79	135
660	-803.742	0	-803.742	34	79	135
670	-796.695	0	-796.695	34	79	135
680	-804.571	0	-804.571	34	79	135
690	-806.818	0	-806.818	34	79	135
700	-802.521	0	-802.521	34	79	135
710	-800.279	0	-800.279	34	79	135
720	-800.281	0	-800.281	34	79	135
730	-797.76	0	-797.76	34	79	135
740	-799.299	0	-799.299	34	79	135
750	-802.954	0	-802.954	34	79	135
760	-800.812	0	-800.812	34	79	135
770	-802.434	0	-802.434	34	79	135
780	-807.681	0	-807.681	34	79	135
790	-807.679	0	-807.679	34	79	135
800	-804.47	0	-804.47	34	79	135
810	-799.537	0	-799.537	34	79	135
820	-804.556	0	-804.556	34	79	135
830	-803.904	0	-803.904	34	79	135
840	-802.374	0	-802.374	34	79	135
850	-802.541	0	-802.541	34	79	135
