Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]
0	-2454.17	0	-2454.17	0.116547	0.0352187	0.00953188	0.1131
10	-1244.97	0	-1244.97	0.246454	0.00583098	0.0154299	0.0972243
20	-903.981	0	-903.981	0.198301	0.0108095	0.0141535	0.0986903
30	-803.975	0	-803.975	0.173431	0.00844922	0.0264122	0.116517
40	-800.908	0	-800.908	0.162829	0.0103334	0.0366432	0.117794
50	-795.233	0	-795.233	0.14951	0.0222534	0.0339188	0.101947
60	-796.136	0	-796.136	0.133326	0.017705	0.0311116	0.122088
70	-799.213	0	-799.213	0.161188	0.0200161	0.0316885	0.115985
80	-798.451	0	-798.451	0.169217	0.0156955	0.0381768	0.10838
90	-800.666	0	-800.666	0.201286	0.0146126	0.0312472	0.0862364
100	-803.676	0	-803.676	0.204009	0.024682	0.0371934	0.117985
110	-803.448	0	-803.448	0.206188	0.0176211	0.0302674	0.097532
120	-802.388	0	-802.388	0.191558	0.017991	0.0355943	0.0842709
130	-800.311	0	-800.311	0.180956	0.0187824	0.0333467	0.0999313
140	-804.939	0	-804.939	0.196641	0.0253686	0.0359419	0.0976026
150	-799.94	0	-799.94	0.148184	0.0446578	0.0281672	0.119202
160	-805.208	0	-805.208	0.132641	0.034939	0.0294846	0.0976253
170	-800.166	0	-800.166	0.150083	0.0181264	0.0323178	0.118329
180	-801.441	0	-801.441	0.13281	0.0305196	0.0362078	0.143552
190	-799.066	0	-799.066	0.129406	0.0152473	0.0281234	0.125349
200	-802.98	0	-802.98	0.136916	0.0211526	0.0399322	0.118108
210	-800.012	0	-800.012	0.137366	0.0141416	0.0357635	0.148826
220	-800.44	0	-800.44	0.134974	0.0155042	0.0244583	0.120675
230	-798.801	0	-798.801	0.137941	0.0224601	0.0304351	0.135012
240	-799.844	0	-799.844	0.126539	0.0280188	0.0343262	0.140063
250	-805.483	0	-805.483	0.130057	0.017073	0.0389697	0.107826
260	-794.931	0	-794.931	0.128396	0.0278543	0.0233426	0.113269
270	-805.001	0	-805.001	0.0946771	0.0467367	0.0229082	0.117442
280	-805.699	0	-805.699	0.124715	0.0373424	0.0398459	0.105182
290	-800.544	0	-800.544	0.121044	0.0251739	0.0288181	0.1084
300	-797.492	0	-797.492	0.12067	0.0296567	0.0305529	0.104132
310	-800.27	0	-800.27	0.111931	0.018879	0.0239808	0.0890488
320	-801.33	0	-801.33	0.159875	0.0168866	0.0281717	0.111476
330	-798.54	0	-798.54	0.137343	0.0217801	0.0258605	0.100859
340	-798.02	0	-798.02	0.148783	0.0184715	0.0301304	0.13633
350	-802.311	0	-802.311	0.130749	0.0240335	0.0438583	0.117312
360	-798.611	0	-798.611	0.122168	0.0207375	0.0305487	0.144441
370	-798.74	0	-798.74	0.136182	0.0260305	0.0293034	0.108919
380	-797.917	0	-797.917	0.104739	0.0290998	0.0361499	0.108978
390	-799.729	0	-799.729	0.111444	0.020973	0.0360436	0.126198
400	-794.549	0	-794.549	0.132929	0.0248461	0.0305491	0.11792
410	-799.596	0	-799.596	0.174211	0.0161067	0.0224385	0.134212
420	-799.414	0	-799.414	0.167205	0.013925	0.0328344	0.0943274
430	-802.794	0	-802.794	0.156066	0.0239903	0.0301895	0.0884251
440	-799.957	0	-799.957	0.157382	0.0164804	0.0185704	0.107923
450	-797.6	0	-797.6	0.126512	0.0164322	0.0259467	0.137632
460	-800.342	0	-800.342	0.129017	0.0330025	0.0229734	0.126558
470	-805.899	0	-805.899	0.122138	0.0352241	0.0233032	0.118762
480	-801.951	0	-801.951	0.116364	0.0289635	0.022997	0.124333
490	-800.368	0	-800.368	0.105588	0.0306736	0.0301684	0.161655
500	-800.962	0	-800.962	0.0967551	0.037056	0.0213709	0.108576
510	-798.964	0	-798.964	0.1311	0.0173221	0.0303183	0.105824
520	-797.205	0	-797.205	0.139065	0.0284969	0.0312701	0.119282
530	-798.946	0	-798.946	0.14714	0.0299507	0.0223344	0.101138
540	-801.461	0	-801.461	0.133004	0.0308219	0.0216764	0.118649
550	-797.64	0	-797.64	0.136254	0.0250005	0.0311161	0.0848488
560	-799.574	0	-799.574	0.14663	0.0303701	0.0297696	0.0816028
570	-798.588	0	-798.588	0.116907	0.0242712	0.023869	0.119207
580	-796.331	0	-796.331	0.10542	0.0238154	0.0271897	0.0936606
590	-795.945	0	-795.945	0.152277	0.0235229	0.0357507	0.10426
600	-799.631	0	-799.631	0.145919	0.0295432	0.0238267	0.0987359
610	-797.832	0	-797.832	0.140936	0.0164788	0.0309039	0.095891
620	-801.655	0	-801.655	0.09525	0.0180603	0.0238806	0.143908
630	-798.523	0	-798.523	0.104998	0.0191571	0.0335667	0.105188
640	-808.252	0	-808.252	0.102576	0.0372804	0.0295966	0.111579
650	-798.487	0	-798.487	0.126054	0.0257599	0.0323819	0.161791
660	-795.763	0	-795.763	0.138116	0.0205355	0.0298869	0.109387
670	-801.109	0	-801.109	0.182858	0.0239026	0.0325888	0.0868797
680	-797.65	0	-797.65	0.150393	0.0224865	0.0285427	0.12692
