Iteration	Posterior	Likelihood	Prior	psi[1]	psi[2]	psi[3]	psi[4]
0	-816.478	0	-816.478	0.292448	0.0117557	0.034901	0.0025916
10	-518.075	0	-518.075	0.0520921	0.0144458	0.0197873	0.00271429
20	-504.477	0	-504.477	0.0153206	0.0105233	0.00823956	0.00582728
30	-482.289	0	-482.289	0.0107586	0.00813045	0.00898415	0.004958
40	-457.95	0	-457.95	0.00451474	0.00403722	0.011738	0.00895738
50	-468.908	0	-468.908	0.00584094	0.00481863	0.00619545	0.00228991
60	-455.313	0	-455.313	0.00351164	0.00213699	0.0106465	0.00208461
70	-457.896	0	-457.896	0.00382953	0.00357774	0.010515	0.0032308
80	-460.447	0	-460.447	0.00383231	0.00199936	0.00682589	0.00733667
90	-456.654	0	-456.654	0.0045933	0.00236554	0.0103701	0.021996
100	-442.413	0	-442.413	0.00452502	0.00158895	0.00388467	0.0228193
110	-443.412	0	-443.412	0.00345263	0.00178023	0.00828718	0.0152888
120	-473.081	0	-473.081	0.0046432	0.00158438	0.0106798	0.0263697
130	-445.609	0	-445.609	0.0125286	0.00218333	0.0101514	0.0530194
140	-449.07	0	-449.07	0.00854213	0.00211996	0.00975005	0.161501
150	-445.891	0	-445.891	0.0114622	0.00228438	0.00656876	0.133662
160	-447.316	0	-447.316	0.00418262	0.0015865	0.00371063	0.118669
170	-447.045	0	-447.045	0.00755136	0.00280716	0.00641329	0.140771
180	-444.499	0	-444.499	0.0148533	0.00284353	0.0137015	0.102165
190	-431.664	0	-431.664	0.0127046	0.00228636	0.016816	0.0889343
200	-424.145	0	-424.145	0.0062636	0.00175309	0.0138548	0.168236
210	-438.077	0	-438.077	0.00350014	0.00221276	0.0211426	0.0668223
220	-439.342	0	-439.342	0.0114363	0.00200033	0.0132094	0.152502
230	-425.326	0	-425.326	0.0141207	0.00423228	0.0254195	0.10562
240	-422.206	0	-422.206	0.00694043	0.00309321	0.0157259	0.181882
250	-411.477	0	-411.477	0.0229461	0.00434944	0.0447471	0.135839
