Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]
910	-366.669	0	-366.669	0.519883	0.501702	0.528916	0.0725539
920	-379.269	0	-379.269	0.540951	0.407876	0.480127	0.0447431
930	-364.839	0	-364.839	0.447183	0.623035	0.42076	0.0517869
940	-368.117	0	-368.117	0.719108	0.388719	0.332302	0.0695118
950	-372.043	0	-372.043	0.602505	0.351434	0.421267	0.0866405
960	-354.254	0	-354.254	0.517197	0.455326	0.389248	0.110706
970	-361.434	0	-361.434	0.54166	0.603753	0.627462	0.103442
980	-353.198	0	-353.198	0.528902	0.527531	0.599098	0.106162
990	-345.716	0	-345.716	0.620956	0.844667	0.400972	0.150283
1000	-330.633	0	-330.633	0.657722	0.529112	0.62072	0.191928
1010	-347.171	0	-347.171	0.563384	0.493622	0.400999	0.185741
1020	-371.662	0	-371.662	0.500911	0.559963	0.712396	0.116598
1030	-360.922	0	-360.922	0.432827	0.365328	0.560307	0.0914195
1040	-367.144	0	-367.144	0.349713	0.535979	0.37019	0.105258
1050	-360.542	0	-360.542	0.445474	0.578076	0.489241	0.0588801
1060	-335.885	0	-335.885	0.824535	0.474229	0.680251	0.0757044
1070	-356.067	0	-356.067	0.695011	0.403829	0.346288	0.199532
1080	-346.488	0	-346.488	0.496476	0.652198	0.489125	0.247681
