Iteration	Posterior	Likelihood	Prior	lambda[1]	lambda[2]	lambda[3]	lambda[4]
0	-816.478	0	-816.478	0.0415303	0.00362494	0.0481932	0.0783045
10	-518.075	0	-518.075	0.0140868	0.00777598	0.0426253	0.138331
20	-504.477	0	-504.477	0.0348628	0.0121473	0.0565288	0.200518
30	-482.289	0	-482.289	0.0398193	0.0101847	0.082876	0.155575
40	-457.95	0	-457.95	0.0833817	0.00767646	0.103444	0.0995658
50	-468.908	0	-468.908	0.0536196	0.0244914	0.0961394	0.116962
60	-455.313	0	-455.313	0.104866	0.0248978	0.0795922	0.128557
70	-457.896	0	-457.896	0.0726869	0.0406646	0.0986605	0.137302
80	-460.447	0	-460.447	0.0576998	0.0302685	0.0888139	0.132899
90	-456.654	0	-456.654	0.0727103	0.0328458	0.102315	0.191263
100	-442.413	0	-442.413	0.0453882	0.0189655	0.105925	0.144508
110	-443.412	0	-443.412	0.0813748	0.0263529	0.126655	0.119587
120	-473.081	0	-473.081	0.0206582	0.0346221	0.0902997	0.0903661
130	-445.609	0	-445.609	0.0255141	0.0211859	0.093655	0.203733
140	-449.07	0	-449.07	0.0268126	0.0179595	0.0726385	0.142598
150	-445.891	0	-445.891	0.0230093	0.0236698	0.0902126	0.0402894
160	-447.316	0	-447.316	0.0408567	0.0372521	0.0893583	0.0266387
170	-447.045	0	-447.045	0.0994242	0.0211311	0.0992948	0.0498757
180	-444.499	0	-444.499	0.0551686	0.0312269	0.088935	0.133126
190	-431.664	0	-431.664	0.0415667	0.0433085	0.0950304	0.0943343
200	-424.145	0	-424.145	0.082366	0.0420831	0.0973371	0.180828
210	-438.077	0	-438.077	0.0955037	0.0527462	0.079302	0.0819494
220	-439.342	0	-439.342	0.0385884	0.0563401	0.0891417	0.0984572
230	-425.326	0	-425.326	0.00344886	0.0572213	0.0853619	0.0368228
240	-422.206	0	-422.206	0.00246529	0.054215	0.11384	0.0928049
250	-411.477	0	-411.477	0.00985313	0.0535987	0.109555	0.107168
